DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKA	PTKA		PTKA	allzu		Wer	allzu	Hohes liebt , der scheut Verhöhnen , Nicht fremdes nur , auch das im eignen Geiste , Drum schweigt er , läugnet selbst sich ab die Klage , So wie ich jetzt noch zage , Nur Dein Gebot mit Widerstreben leiste , 101 Dir und dem holden Bilde Zu Deiner Seite , das der Mond umkreiste , Verliebt schon , süßern Lichtes , hell'rer Milde , Euch trau' ich 's an – mein Sehnen heißt Mathilde .	Alwin .Wer allzu Hohes liebt , der scheut Verhöhnen , Nicht fremdes nur , auch das im eignen Geiste , Drum schweigt er , läugnet selbst sich ab die Klage , So wie ich jetzt noch zage , Nur Dein Gebot mit Widerstreben leiste , 101 Dir und dem holden Bilde Zu Deiner Seite , das der Mond umkreiste , Verliebt schon , süßern Lichtes , hell'rer Milde , Euch trau' ich 's an – mein Sehnen heißt Mathilde .Alwin erhielt den Auftrag , mit hundert	3315	1	fouque_alwin_alwin.tsv
PTKA	PTKA		PTKA	allzu		Ich bin mir nun zwar keiner	allzu	warmen Pietät für's Judentum bewußt .	ist reizlos für die meisten Maler .Ich bin mir nun zwar keiner allzu warmen Pietät für's Judentum bewußt .« sagte Heinrich .	1209	6	mauthner_ahasver_ahasver.tsv
PTKA	PTKA		PTKA	am		Aber das Herkommen war durch Krieg und Pest in den letzten Jahren in Vergessenheit geraten , und der Schultheiß hatte	am	wenigsten an den Bartholomäustag gedacht .	in Löhnberg abgehalten zu werden pflegte ?Aber das Herkommen war durch Krieg und Pest in den letzten Jahren in Vergessenheit geraten , und der Schultheiß hatte am wenigsten an den Bartholomäustag gedacht .Er lachte über sich selbst , obgleich	585	20	riehl_barmherz_barmherz.tsv
PTKA	PTKA		PTKA	am		und außerdem verstehe ich auch das Rathgeben	am	besten !	Jeremias .und außerdem verstehe ich auch das Rathgeben am besten !Wenn Sie sonst nichts schuldig blieben ,	4803	7	tieck_zerbino_zerbino.tsv
PTKA	PTKA		PTKA	am		« » Und wenn einmal die Zeit kommt , wie es eines Tages ja geschehen muß – ich wundere mich nur , daß sie nicht schon längst gekommen ist , aber Grace muß es ja	am	besten wissen , denn sie hat immer recht – , wo sie eines Freundes bedarf , um ihm das ganze Herz auszuschütten , der ihr ein Teil von dem sein soll , was sie uns gewesen ist , dann , Marion , dann wollen wir beweisen , welche Wonne es für uns ist , zu wissen , daß unsere liebe gute Schwester liebt und wieder geliebt wird , wie sie es verdient .	» Folge ihr !« » Und wenn einmal die Zeit kommt , wie es eines Tages ja geschehen muß – ich wundere mich nur , daß sie nicht schon längst gekommen ist , aber Grace muß es ja am besten wissen , denn sie hat immer recht – , wo sie eines Freundes bedarf , um ihm das ganze Herz auszuschütten , der ihr ein Teil von dem sein soll , was sie uns gewesen ist , dann , Marion , dann wollen wir beweisen , welche Wonne es für uns ist , zu wissen , daß unsere liebe gute Schwester liebt und wieder geliebt wird , wie sie es verdient .Er warf dann noch einen Blick auf	3564	35	dickens_3weihnac_3weihnac.tsv
PTKA	PTKA		PTKA	am		Sokrates : Und dann wann es	am	besten ist ?	genehm ist , sei es so .Sokrates : Und dann wann es am besten ist ?Sokrates : Also , o Kriton ,	23078	6	schleier_platowrk_platowrk.tsv
PTKA	NN		APPR	zu			Zu	Schellander .	Ganz flüchtig .Zu Schellander .Marschall .	960	0	fulda_wundermt_wundermt.tsv
PTKA	APPR		PTKA	zu		Oh , hätt ichs nie gewagt auf Erd zu wandeln ,	Zu	bitter straft sich dieser Lust Entzücken !	Überall muß er dabeisein .Oh , hätt ichs nie gewagt auf Erd zu wandeln , Zu bitter straft sich dieser Lust Entzücken !Rosa .	1430	11	raimund_verschwn_verschwn.tsv
PTKA	PTKZU		PTKA	zu		« Wer dies noch fragen kann , ist wahrlich zum Staatsmann , ich will nicht sagen verdorben , aber gewiß	zu	ungewandt , und vielleicht zu unbefangen , zu rein .	im Ernste für ihr Augenmerk halten .« Wer dies noch fragen kann , ist wahrlich zum Staatsmann , ich will nicht sagen verdorben , aber gewiß zu ungewandt , und vielleicht zu unbefangen , zu rein .Wer einen anschaulichen Begriff davon hat ,	972	20	forster_essays_essays.tsv
PTKA	PTKZU		PTKA	zu		« Wer dies noch fragen kann , ist wahrlich zum Staatsmann , ich will nicht sagen verdorben , aber gewiß zu ungewandt , und vielleicht	zu	unbefangen , zu rein .	im Ernste für ihr Augenmerk halten .« Wer dies noch fragen kann , ist wahrlich zum Staatsmann , ich will nicht sagen verdorben , aber gewiß zu ungewandt , und vielleicht zu unbefangen , zu rein .Wer einen anschaulichen Begriff davon hat ,	972	25	forster_essays_essays.tsv
PTKA	PTKZU		PTKA	zu		« Wer dies noch fragen kann , ist wahrlich zum Staatsmann , ich will nicht sagen verdorben , aber gewiß zu ungewandt , und vielleicht zu unbefangen ,	zu	rein .	im Ernste für ihr Augenmerk halten .« Wer dies noch fragen kann , ist wahrlich zum Staatsmann , ich will nicht sagen verdorben , aber gewiß zu ungewandt , und vielleicht zu unbefangen , zu rein .Wer einen anschaulichen Begriff davon hat ,	972	28	forster_essays_essays.tsv
