DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKVZ	PTKVZ		PTKVZ	ab		Sie ließen nicht	ab	, sich in die Augen zu sehen , Wange auf Wange und Lippe auf Lippe zu schmiegen .	» O du ... !Sie ließen nicht ab , sich in die Augen zu sehen , Wange auf Wange und Lippe auf Lippe zu schmiegen .« Er fühlte es selber : Mittagsbrot	3758	3	lauff_heilnied_heilnied.tsv
PTKVZ	PTKVZ		PTKVZ	ab		( Medea nimmt schweigend den Schleier	ab	und gibt ihn Goran .	Aietes .( Medea nimmt schweigend den Schleier ab und gibt ihn Goran .Gib mir es !	5506	6	grillprz_vliess_vliess.tsv
PTKVZ	PTKVZ		PTKVZ	ab		" Damit zog er sein Mützchen	ab	, sprach andächtig und fromm das Gratias , und unter lustigen , frohen Gesprächen verzehrten wir das ländliche , kräftig und schmackhaft zubereitete Mahl .	so was taugt nicht beim Essen ." Damit zog er sein Mützchen ab , sprach andächtig und fromm das Gratias , und unter lustigen , frohen Gesprächen verzehrten wir das ländliche , kräftig und schmackhaft zubereitete Mahl ." Ich bat ihn , mir näher	2667	6	etahoff_elexiere_elexiere.tsv
PTKVZ	PTKVZ		PTKVZ	an		Und nach langer Zeit hob sie sich empor , warf noch einen Blick auf den herrlichen Erzengel Michael und den armen Teufel darunter , setzte sich und 109 verfaßte einen Brief , in welchem folgende Worte geschrieben standen : Die Jungfrau starrte ihn ängstlich	an	, in der Meinung , daß er plötzlich irre redete ; doch wie er ihr ruhig und frei ins Antlitz blickte , lachte sie laut auf und rief : Mit diesen Worten erhob sie sich , nahm den Knaben auf den Arm und winkte mir , die kleine Leiche zu tragen .	Augen strahlten vor Freude und Schönheit .Und nach langer Zeit hob sie sich empor , warf noch einen Blick auf den herrlichen Erzengel Michael und den armen Teufel darunter , setzte sich und 109 verfaßte einen Brief , in welchem folgende Worte geschrieben standen : Die Jungfrau starrte ihn ängstlich an , in der Meinung , daß er plötzlich irre redete ; doch wie er ihr ruhig und frei ins Antlitz blickte , lachte sie laut auf und rief : Mit diesen Worten erhob sie sich , nahm den Knaben auf den Arm und winkte mir , die kleine Leiche zu tragen .Ich meinestheils war auch nicht gerade blind	289	44	hoffmaha_phaeaken_phaeaken.tsv
PTKVZ	PTKVZ		PTKVZ	an		Durch sie bin ich gescheuert wie dein Becher , von dem du sprachst , und wenn ich jetzt in der Stille vor dir tobe , so nimm	an	, daß es mein deutsches Silber ist , ein empörtes Gemüt , was an mir zum Vorschein kommt .	Untreue zu begegnen mit gleicher Verstellung .Durch sie bin ich gescheuert wie dein Becher , von dem du sprachst , und wenn ich jetzt in der Stille vor dir tobe , so nimm an , daß es mein deutsches Silber ist , ein empörtes Gemüt , was an mir zum Vorschein kommt .» Die Völker leben in Siechtum und	8310	27	freytag_ahnen_ahnen.tsv
PTKVZ	PTKVZ		PTKVZ	auf		« Es herrschte eine tiefe Stille ; Olivier ging im Zimmer	auf	und nieder .	über seinen Augen befindliche Binde entfernt .« Es herrschte eine tiefe Stille ; Olivier ging im Zimmer auf und nieder .Die unterirdische Wohnung lag ungefähr eine halbe	725	11	aimard_mexnaec3_mexnaec3.tsv
PTKVZ	PTKVZ		PTKVZ	auf		Und nach langer Zeit hob sie sich empor , warf noch einen Blick auf den herrlichen Erzengel Michael und den armen Teufel darunter , setzte sich und 109 verfaßte einen Brief , in welchem folgende Worte geschrieben standen : Die Jungfrau starrte ihn ängstlich an , in der Meinung , daß er plötzlich irre redete ; doch wie er ihr ruhig und frei ins Antlitz blickte , lachte sie laut	auf	und rief : Mit diesen Worten erhob sie sich , nahm den Knaben auf den Arm und winkte mir , die kleine Leiche zu tragen .	Augen strahlten vor Freude und Schönheit .Und nach langer Zeit hob sie sich empor , warf noch einen Blick auf den herrlichen Erzengel Michael und den armen Teufel darunter , setzte sich und 109 verfaßte einen Brief , in welchem folgende Worte geschrieben standen : Die Jungfrau starrte ihn ängstlich an , in der Meinung , daß er plötzlich irre redete ; doch wie er ihr ruhig und frei ins Antlitz blickte , lachte sie laut auf und rief : Mit diesen Worten erhob sie sich , nahm den Knaben auf den Arm und winkte mir , die kleine Leiche zu tragen .Ich meinestheils war auch nicht gerade blind	289	70	hoffmaha_phaeaken_phaeaken.tsv
PTKVZ	PTKVZ		PTKVZ	aus		Nebenbei freilich blieb es nicht	aus	, daß sich früh ein kleiner Hochmuthsteufel ihr in den Nacken setzte , ihr das Näschen kräftig in die Höhe reckte und ihren Kindergeberden eine seltsam possirliche Würde lieh .	sprach Photinissa kurz mit ruhiger Ueberzeugung .Nebenbei freilich blieb es nicht aus , daß sich früh ein kleiner Hochmuthsteufel ihr in den Nacken setzte , ihr das Näschen kräftig in die Höhe reckte und ihren Kindergeberden eine seltsam possirliche Würde lieh .Folget mir !	442	5	hoffmaha_phaeaken_phaeaken.tsv
PTKVZ	PTKVZ		PTKVZ	aus		Hatte nun Leuchtenburg entweder in Seelbergs Gesellschaft oder , wenn Dieser sinnlichen Vergnügungen nachrennte , ohne ihn den ganzen Tag durch sich so herumgetrieben , so kramte er , wenn sie des Abends miteinander allein waren , seinen ganzen Vorrath von gesammleten hämischen Bemerkungen	aus	.	, um seine Anekdotensucht zu befriedigen .Hatte nun Leuchtenburg entweder in Seelbergs Gesellschaft oder , wenn Dieser sinnlichen Vergnügungen nachrennte , ohne ihn den ganzen Tag durch sich so herumgetrieben , so kramte er , wenn sie des Abends miteinander allein waren , seinen ganzen Vorrath von gesammleten hämischen Bemerkungen aus .« Jetzt wurde aber wirklich von vielen	2508	44	knigge_seelberg_seelberg.tsv
PTKVZ	APPR		PTKVZ	bei		Uebrigens lege ich ihm keine besondere Wichtigkeit	bei	.	Ihm war kalt .Uebrigens lege ich ihm keine besondere Wichtigkeit bei .« Das russische Kostüm bedeutete , daß	1231	7	schubin_geleise_geleise.tsv
PTKVZ	ART		PTKVZ	ein		Warum treten Sie nicht in die englische Armee	ein	?	will , daß du mich liebst .Warum treten Sie nicht in die englische Armee ein ?« » Ich mache keinen Gebrauch davon	10301	8	kraftr_kaiserk2_kaiserk2.tsv
PTKVZ	PTKVZ		PTKVZ	ein		Er könne die Mittel übrigens ohne meine Beihilfe auf hunderterlei andere Art erhalten , wenn auch nicht ganz so leicht wie von mir – vielleicht werde er sie überhaupt nicht brauchen , und es falle ihm auch vorderhand nicht im entferntesten	ein	, sie zu benützen .	könne mir das ja gleichgültig sein .Er könne die Mittel übrigens ohne meine Beihilfe auf hunderterlei andere Art erhalten , wenn auch nicht ganz so leicht wie von mir – vielleicht werde er sie überhaupt nicht brauchen , und es falle ihm auch vorderhand nicht im entferntesten ein , sie zu benützen .Er meinte , zu nichts Bösem ;	18784	41	dickens_chuzzlew_chuzzlew.tsv
PTKVZ	VVFIN		PTKVZ	empor		Und nach langer Zeit hob sie sich	empor	, warf noch einen Blick auf den herrlichen Erzengel Michael und den armen Teufel darunter , setzte sich und 109 verfaßte einen Brief , in welchem folgende Worte geschrieben standen : Die Jungfrau starrte ihn ängstlich an , in der Meinung , daß er plötzlich irre redete ; doch wie er ihr ruhig und frei ins Antlitz blickte , lachte sie laut auf und rief : Mit diesen Worten erhob sie sich , nahm den Knaben auf den Arm und winkte mir , die kleine Leiche zu tragen .	Augen strahlten vor Freude und Schönheit .Und nach langer Zeit hob sie sich empor , warf noch einen Blick auf den herrlichen Erzengel Michael und den armen Teufel darunter , setzte sich und 109 verfaßte einen Brief , in welchem folgende Worte geschrieben standen : Die Jungfrau starrte ihn ängstlich an , in der Meinung , daß er plötzlich irre redete ; doch wie er ihr ruhig und frei ins Antlitz blickte , lachte sie laut auf und rief : Mit diesen Worten erhob sie sich , nahm den Knaben auf den Arm und winkte mir , die kleine Leiche zu tragen .Ich meinestheils war auch nicht gerade blind	289	7	hoffmaha_phaeaken_phaeaken.tsv
PTKVZ	PTKVZ		PTKVZ	entgegen		Die Offiziere kamen uns aufs freundlichste	entgegen	, und da sie an dem U. S. ( United States ) , mit dem unsere Tiere und Wagen gezeichnet waren , uns ebenfalls als eine Regierungsexpedition erkannten , so bedurfte es keiner großen Förmlichkeiten , um schnell ein kameradschaftliches Begegnen herzustellen .	Wagen nach dem rechten Ufer hinauf .Die Offiziere kamen uns aufs freundlichste entgegen , und da sie an dem U. S. ( United States ) , mit dem unsere Tiere und Wagen gezeichnet waren , uns ebenfalls als eine Regierungsexpedition erkannten , so bedurfte es keiner großen Förmlichkeiten , um schnell ein kameradschaftliches Begegnen herzustellen .Nach zweistündiger Rast brachen wir wieder auf	95	6	moellhsn_nordame2_nordame2.tsv
PTKVZ	PTKVZ		PTKVZ	fort		« » Er wüsste aber genug zu erzählen « , fuhr Kurt eifrig	fort	.	mehr mit diesen zwei zusammenkommen müsste !« » Er wüsste aber genug zu erzählen « , fuhr Kurt eifrig fort .» Ja , wenn du nur dabei	869	13	spyri_wildenst_wildenst.tsv
PTKVZ	ADV		PTKVZ	herbei		Ich habe mich in den fünfundzwanzig Jahren sehr verändert ; meine Heimat ist Indien ; ich könnte meinen Aufenthalt dort bis zu meiner Jugend zurück beweisen ; ich bin noch niemals in Amerika gewesen , und , zum Schluß , ich darf meinen Posten unter keinen Verhältnissen verlassen , es sei denn , mein Verbleib führe einen Verrat unserer Absichten	herbei	.	Waren Sie denn wirklich dort ?Ich habe mich in den fünfundzwanzig Jahren sehr verändert ; meine Heimat ist Indien ; ich könnte meinen Aufenthalt dort bis zu meiner Jugend zurück beweisen ; ich bin noch niemals in Amerika gewesen , und , zum Schluß , ich darf meinen Posten unter keinen Verhältnissen verlassen , es sei denn , mein Verbleib führe einen Verrat unserer Absichten herbei .« » In Indien ?	9928	60	kraftr_kaiserk1_kaiserk1.tsv
PTKVZ	PTKVZ		PTKVZ	herum		Sie tummelten sich mitten im ärgsten Sturme auf dem Eise	herum	und schienen sich dabei außerordentlich wohl zu fühlen .	vergessen , wie das eigentlich war .Sie tummelten sich mitten im ärgsten Sturme auf dem Eise herum und schienen sich dabei außerordentlich wohl zu fühlen .Welch seltsames Gefühl , die Füße wieder	870	10	nansen_nachtei3_nachtei3.tsv
PTKVZ	PTKVZ		PTKVZ	hin		Die schuldigen Geissen wohl haben sie mir oft ertappt , und mit Arrest belegt ; dann mußte mein Vater	hin	, und sie lösen .	mir ein Bein vom Leib wegzuhauen .Die schuldigen Geissen wohl haben sie mir oft ertappt , und mit Arrest belegt ; dann mußte mein Vater hin , und sie lösen .waren meine gewöhnlichen Ehrentitel .	606	19	braeker_tocken_tocken.tsv
PTKVZ	PTKVZ		ADV	hinaus		Nur draußen auf dem Corridor vernehm' ich deutlich , wie sie ausruft : Ich bin nur ein armes Mädchen , aber dieses Schloß soll eher über mir zusammenstürzen – Damit ging er	hinaus	und noch denselben Tag verließ er das Schloß , und wir sahen ihn viele Jahre nicht wieder .	sie laut und heftig sprechen hörte .Nur draußen auf dem Corridor vernehm' ich deutlich , wie sie ausruft : Ich bin nur ein armes Mädchen , aber dieses Schloß soll eher über mir zusammenstürzen – Damit ging er hinaus und noch denselben Tag verließ er das Schloß , und wir sahen ihn viele Jahre nicht wieder .Bis Mitternacht blieb Alles drüben still .	847	32	heyse_imgrafen_imgrafen.tsv
PTKVZ	ADV		PTKVZ	nieder		« Es herrschte eine tiefe Stille ; Olivier ging im Zimmer auf und	nieder	.	über seinen Augen befindliche Binde entfernt .« Es herrschte eine tiefe Stille ; Olivier ging im Zimmer auf und nieder .Die unterirdische Wohnung lag ungefähr eine halbe	725	13	aimard_mexnaec3_mexnaec3.tsv
PTKVZ	PTKVZ		PTKVZ	vor		Rebay erzählte von der schönen Zeit , da er Couplets für Matras geschrieben hatte , trug den Inhalt einer Posse	vor	, die er vor fünfunddreißig Jahren verfertigt hatte , und spielte die Rollen selbst gewissermaßen vor .	war , ohne den Mund aufzutun .Rebay erzählte von der schönen Zeit , da er Couplets für Matras geschrieben hatte , trug den Inhalt einer Posse vor , die er vor fünfunddreißig Jahren verfertigt hatte , und spielte die Rollen selbst gewissermaßen vor .Und plötzlich sagte sie zu Karl :	26	20	schnitzl_neuelied_neuelied.tsv
PTKVZ	APPR		PTKVZ	vor		Rebay erzählte von der schönen Zeit , da er Couplets für Matras geschrieben hatte , trug den Inhalt einer Posse vor , die er vor fünfunddreißig Jahren verfertigt hatte , und spielte die Rollen selbst gewissermaßen	vor	.	war , ohne den Mund aufzutun .Rebay erzählte von der schönen Zeit , da er Couplets für Matras geschrieben hatte , trug den Inhalt einer Posse vor , die er vor fünfunddreißig Jahren verfertigt hatte , und spielte die Rollen selbst gewissermaßen vor .Und plötzlich sagte sie zu Karl :	26	36	schnitzl_neuelied_neuelied.tsv
PTKVZ	PTKVZ		PTKVZ	zu		Sie beeilte sich , den Kopf wieder unter dem Kranze hervorzuziehen , und schritt auf ihn	zu	, um seinem Grimm durch irgend ein scherzendes Wort die Spitze abzubrechen .	der üppigen grünen Umrahmung gewahr ward .Sie beeilte sich , den Kopf wieder unter dem Kranze hervorzuziehen , und schritt auf ihn zu , um seinem Grimm durch irgend ein scherzendes Wort die Spitze abzubrechen .» Sehr wohl , Herr Baron !	958	16	wolzogen_thronfo2_thronfo2.tsv
PTKVZ	ADV		PTKVZ	zurück		Ich habe mich in den fünfundzwanzig Jahren sehr verändert ; meine Heimat ist Indien ; ich könnte meinen Aufenthalt dort bis zu meiner Jugend	zurück	beweisen ; ich bin noch niemals in Amerika gewesen , und , zum Schluß , ich darf meinen Posten unter keinen Verhältnissen verlassen , es sei denn , mein Verbleib führe einen Verrat unserer Absichten herbei .	Waren Sie denn wirklich dort ?Ich habe mich in den fünfundzwanzig Jahren sehr verändert ; meine Heimat ist Indien ; ich könnte meinen Aufenthalt dort bis zu meiner Jugend zurück beweisen ; ich bin noch niemals in Amerika gewesen , und , zum Schluß , ich darf meinen Posten unter keinen Verhältnissen verlassen , es sei denn , mein Verbleib führe einen Verrat unserer Absichten herbei .« » In Indien ?	9928	24	kraftr_kaiserk1_kaiserk1.tsv
PTKVZ	ADV		PTKVZ	zusammen		Verwirren sich seine Begriffe von Recht und Tugend nicht in dem Drange des Erwerbs , so sinkt er erschöpft am Ende seiner Tage	zusammen	.	, unsre Verlockung zur Sünde werden .Verwirren sich seine Begriffe von Recht und Tugend nicht in dem Drange des Erwerbs , so sinkt er erschöpft am Ende seiner Tage zusammen .Das Bett , einmal erweitert zum Genuß	23041	23	gutzkow_ritter_ritter.tsv
