DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAINF	VAINF		VAINF	haben		Ihre Mienen und Blicke gaben ihm zu verstehen , daß sie nichts mit ihm zu tun	haben	wollten .	Sie reichten ihm nicht die Hand .Ihre Mienen und Blicke gaben ihm zu verstehen , daß sie nichts mit ihm zu tun haben wollten .Sie erwiderten kaum seinen Gruß .	5285	16	wasserma_etzeland_etzeland.tsv
VAINF	VAINF		VAINF	haben		Franz war nicht wenig stolz darauf , das so wichtige Klebmittel selbst geerntet zu	haben	, wenn auch die spitzen Stacheln des Schotendorns seine Hände nicht wenig zerkratzt hatten .	, ich kenne ja meine Landsleute .Franz war nicht wenig stolz darauf , das so wichtige Klebmittel selbst geerntet zu haben , wenn auch die spitzen Stacheln des Schotendorns seine Hände nicht wenig zerkratzt hatten .» Es wohnen hier herum ganze Scharen	376	14	woerisho_naturfor_naturfor.tsv
VAINF	VAFIN		VAFIN	haben		Da seht die Leute : sollten sie vergessen	haben	, wie er auf das Volk in den Straßen mit Ruten loshauen ließ ?	Hochmut oder von seiner Grausamkeit sprechen ?Da seht die Leute : sollten sie vergessen haben , wie er auf das Volk in den Straßen mit Ruten loshauen ließ ?( 122 ) Wie hat er sich	3004	8	cicero_verres_verres.tsv
VAINF	VAINF		VAINF	haben		Nachts , als sich auf polizeiliche Anordnung der Andrang der Gaffer verloren , erklärte der Dämon , gebetet zu	haben	, und äußerte mit Freude , er könne nun den Namen Jesus , Bibel , Himmel , Kirche aussprechen , er könne beten und läuten hören .	des Mädchens zu ihren Anfällen stattfand .Nachts , als sich auf polizeiliche Anordnung der Andrang der Gaffer verloren , erklärte der Dämon , gebetet zu haben , und äußerte mit Freude , er könne nun den Namen Jesus , Bibel , Himmel , Kirche aussprechen , er könne beten und läuten hören .So unterblieb auch dieses und überhaupt alle	289	19	kernerj_orlach_orlach.tsv
VAINF	VAINF		VAINF	sein		Deine Liebe ist wahr und innig , und wir werden unendlich glücklich	sein	.	« » Nun ?Deine Liebe ist wahr und innig , und wir werden unendlich glücklich sein .Ein Herzog in der Zwangsjacke !	5042	12	may_scepter_scepter.tsv
VAINF	VAINF		VAINF	sein		Damit wird weiter zusammenhängen , daß die illyrische Nationalität sich in dem Bereich der makedonischen Statthalterschaft besser behauptet hat als in dem der dalmatischen : in jenem lebt sie heute noch fort und es muß in der Kaiserzeit , abgesehen von dem griechischen Apollonia und der italischen Kolonie Dyrrachium , neben den beiden Reichssprachen im Binnenland , die des Volkes , die illyrische , geblieben	sein	.	Stadt als römische Bürgergemeinde eingerichtet wurde .Damit wird weiter zusammenhängen , daß die illyrische Nationalität sich in dem Bereich der makedonischen Statthalterschaft besser behauptet hat als in dem der dalmatischen : in jenem lebt sie heute noch fort und es muß in der Kaiserzeit , abgesehen von dem griechischen Apollonia und der italischen Kolonie Dyrrachium , neben den beiden Reichssprachen im Binnenland , die des Volkes , die illyrische , geblieben sein .Aber Verstärkung durch dort angesiedelte Veteranen und	1432	65	mommsen_roem08_roem08.tsv
VAINF	VAINF		VAINF	sein		Der Vater hatte indessen auf die Entfernung des jungen Menschen gedacht und ihm bereits einige leise Winke gegeben , die aber bis jetzt ganz ohne Wirkung blieben ; er war in der peinlichsten Not , zumal er Ursache hatte , zu befürchten , daß die Reize des Mädchens auch nicht ohne Eindruck auf Otto geblieben	sein	möchten .	saßen im Diskurs auf dem Sofa .Der Vater hatte indessen auf die Entfernung des jungen Menschen gedacht und ihm bereits einige leise Winke gegeben , die aber bis jetzt ganz ohne Wirkung blieben ; er war in der peinlichsten Not , zumal er Ursache hatte , zu befürchten , daß die Reize des Mädchens auch nicht ohne Eindruck auf Otto geblieben sein möchten .Man merkte nicht , wie spät es	2357	55	moerike_nolten_nolten.tsv
VAINF	VAINF		VAINF	sein		O , wie verwünschte er die Schwäche , die ihn noch hinderte , sich aufzumachen und für seine Rachepläne tätig zu	sein	!	eine begeisterte Glut in seinem Innern .O , wie verwünschte er die Schwäche , die ihn noch hinderte , sich aufzumachen und für seine Rachepläne tätig zu sein !« __ _ Herr Pickwick sah umher	7818	21	dickens_pickwic1_pickwic1.tsv
VAINF	VAINF		VAINF	sein		Du mußt die Klügere	sein	und dies eine Mal noch nachgeben .	Lubin Herr von Sotenville .Du mußt die Klügere sein und dies eine Mal noch nachgeben .Claudine .	360	4	moliere_georgeda_georgeda.tsv
VAINF	VAINF		VAINF	sein		Daß der Operndichter , rücksichtlich der Anordnung , der Ökonomie des Ganzen , den aus der Natur der Sache genommenen Regeln des Drama treu bleiben müsse , versteht sich wohl von selbst : aber er hat es wirklich nötig , ganz vorzüglich bemüht zu	sein	, die Szenen so zu ordnen , daß der Stoff sich klar und deutlich vor den Augen des Zuschauers entwickele .	, das wird mir Glück bringen !Daß der Operndichter , rücksichtlich der Anordnung , der Ökonomie des Ganzen , den aus der Natur der Sache genommenen Regeln des Drama treu bleiben müsse , versteht sich wohl von selbst : aber er hat es wirklich nötig , ganz vorzüglich bemüht zu sein , die Szenen so zu ordnen , daß der Stoff sich klar und deutlich vor den Augen des Zuschauers entwickele .Aber morgen – morgen ist all deine	2002	44	etahoff_serapion_serapion.tsv
