DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAPP	VAPP		VAPP	haben		Wir haben eine Jungfrau	gehabt	, die hat allemal , wenn sie vom Felde kam , in allen Kachelene gschmöckt und hat allemal es richtig erraten , wenn ein Kaffee gemacht worden , von dem sie nichts erhielt , wohl aber ein anderer Dienst , und dann hat sie acht Tage dr Kolder gmacht , daß man es bei ihr kaum aushalten konnte .	es macht die Andern nur schalus .Wir haben eine Jungfrau gehabt , die hat allemal , wenn sie vom Felde kam , in allen Kachelene gschmöckt und hat allemal es richtig erraten , wenn ein Kaffee gemacht worden , von dem sie nichts erhielt , wohl aber ein anderer Dienst , und dann hat sie acht Tage dr Kolder gmacht , daß man es bei ihr kaum aushalten konnte .Aber wennd meinst , so wey mr	2857	4	gotthelf_ulikncht_ulikncht.tsv
VAPP	VAPP		VAPP	haben		– Und zum dritten fiel ihm ein – und als ihm dies einfiel , da knirschte er mit den Zähnen – wie er mit dem Herzog von Braunschweig in Frankreich gewesen war , nichts auf dem Leibe , nichts in dem Leibe als die rote Ruhr , und wie die Franzosen ihn gejagt und gehetzt hatten , und wie so viele von seinen Kameraden an der Landstraße liegen blieben , und auch sein bester Freund , Krischan Krüger , und wie das Volk kein Erbarmen	gehabt	hatte .	Keinen guten Gang geht 's nicht .– Und zum dritten fiel ihm ein – und als ihm dies einfiel , da knirschte er mit den Zähnen – wie er mit dem Herzog von Braunschweig in Frankreich gewesen war , nichts auf dem Leibe , nichts in dem Leibe als die rote Ruhr , und wie die Franzosen ihn gejagt und gehetzt hatten , und wie so viele von seinen Kameraden an der Landstraße liegen blieben , und auch sein bester Freund , Krischan Krüger , und wie das Volk kein Erbarmen gehabt hatte .So kamen sie aus den Scheunen heraus	5118	85	reuter_2franz_2franz.tsv
VAPP	VAPP		VAPP	haben		» Wenn ich immer das getan hätte , was du wolltest « , meinte er gutmütig , » dann hättest du im ganzen Jahr vielleicht zwanzig Wochen Engagement	gehabt	, die Woche zu fünf Pfund .	und unbefugten Eindringens in fremde Wohnungen .» Wenn ich immer das getan hätte , was du wolltest « , meinte er gutmütig , » dann hättest du im ganzen Jahr vielleicht zwanzig Wochen Engagement gehabt , die Woche zu fünf Pfund .Templar kniff die Augenlider zusammen .	343	28	wallacee_kr-erzae_kr-erzae.tsv
VAPP	VAPP		VAPP	sein		Kein fremder Beherrscher seit dem Perser Kambyses , welcher seine Hand an die Götter des Landes gelegt hatte , war im Stande	gewesen	, deren felsenfeste Macht zu brechen .	auf Rom und das Abendland ausübte .Kein fremder Beherrscher seit dem Perser Kambyses , welcher seine Hand an die Götter des Landes gelegt hatte , war im Stande gewesen , deren felsenfeste Macht zu brechen .Die Statue ist eine der vollendetsten Gestalten	5905	22	gregorov_hadrian_hadrian.tsv
VAPP	VAPP		VAPP	sein		Flora hatte ihm nämlich ihre Unterredung mit Frau Sternau mitgeteilt ; kurz vor dem Souper hatte eine ähnliche Unterredung stattgefunden , sie war zwar nur sehr kurz	gewesen	, aber Frau Sternau hatte angedeutet , daß sie entschlossen sei , dem Glück so vieler nicht entgegenzutreten .	bei dem man recht munter war .Flora hatte ihm nämlich ihre Unterredung mit Frau Sternau mitgeteilt ; kurz vor dem Souper hatte eine ähnliche Unterredung stattgefunden , sie war zwar nur sehr kurz gewesen , aber Frau Sternau hatte angedeutet , daß sie entschlossen sei , dem Glück so vieler nicht entgegenzutreten .Zur Abwechslung mußte der kleine Kurt Helmers	1677	27	may_waldro31_waldro31.tsv
VAPP	VAPP		VAPP	sein		Die Schwester war bei dem ganzen Vorfall nicht im Stande	gewesen	, ein Wort zu sprechen .	die Schwester , ihm wenigstens vergebe .Die Schwester war bei dem ganzen Vorfall nicht im Stande gewesen , ein Wort zu sprechen .Er trat in Adelaidens Zimmer , und	5127	10	alexis_pita15_pita15.tsv
VAPP	VAPP		VAPP	sein		Gesetzt , Hedda , ein Mann käme – so gegen die Morgenstunde , – nach einer wild durchschwärmten Nacht heim zur Mutter seines Kindes und sagte : Du , höre , – ich bin da und da	gewesen	.	– in den Tagen seiner Blüte .Gesetzt , Hedda , ein Mann käme – so gegen die Morgenstunde , – nach einer wild durchschwärmten Nacht heim zur Mutter seines Kindes und sagte : Du , höre , – ich bin da und da gewesen .Sie haben gewiß schon von ihr gehört	2650	37	ibsen_hegabler_hegabler.tsv
VAPP	VAPP		VAPP	sein		Er spürte , daß Kerkhoven etwas anderes im Sinn hatte , und um diesem andern möglichst lang zu entgehen , erzählte er , daß er neulich bei einer Verhandlung	gewesen	sei , wo ein Mensch zu acht Jahren verurteilt wurde und der Richter ungerührt wie ein Stein in der Motivierung des Urteils fortfuhr , während der Verurteilte , der ohne Frage unschuldig war , mit entsetzlichen Schreien zu Boden stürzte , die Augen verdrehte und mit Händen und Füßen um sich schlug .	ein Zollinspektor die Abfertigung der Reisenden .Er spürte , daß Kerkhoven etwas anderes im Sinn hatte , und um diesem andern möglichst lang zu entgehen , erzählte er , daß er neulich bei einer Verhandlung gewesen sei , wo ein Mensch zu acht Jahren verurteilt wurde und der Richter ungerührt wie ein Stein in der Motivierung des Urteils fortfuhr , während der Verurteilte , der ohne Frage unschuldig war , mit entsetzlichen Schreien zu Boden stürzte , die Augen verdrehte und mit Händen und Füßen um sich schlug .Es kam auf einmal über ihn ,	6469	29	wasserma_andergst_andergst.tsv
VAPP	VAPP		VAPP	sein		Dabei sind seine Schriften von so ungeheurem Einfluß	gewesen	nicht nur auf die Literatur der Welt , sondern auf die Geschicke der Menschheit , daß wir ihm gegenüber eine gewisse Unruhe nicht los werden .	ein Buch als ein paar Seiten .Dabei sind seine Schriften von so ungeheurem Einfluß gewesen nicht nur auf die Literatur der Welt , sondern auf die Geschicke der Menschheit , daß wir ihm gegenüber eine gewisse Unruhe nicht los werden .Welche Sicherheit des Tons und Stils aber	1622	8	hofmille_franzose_franzose.tsv
VAPP	VAPP		VAPP	sein		– Und zum dritten fiel ihm ein – und als ihm dies einfiel , da knirschte er mit den Zähnen – wie er mit dem Herzog von Braunschweig in Frankreich	gewesen	war , nichts auf dem Leibe , nichts in dem Leibe als die rote Ruhr , und wie die Franzosen ihn gejagt und gehetzt hatten , und wie so viele von seinen Kameraden an der Landstraße liegen blieben , und auch sein bester Freund , Krischan Krüger , und wie das Volk kein Erbarmen gehabt hatte .	Keinen guten Gang geht 's nicht .– Und zum dritten fiel ihm ein – und als ihm dies einfiel , da knirschte er mit den Zähnen – wie er mit dem Herzog von Braunschweig in Frankreich gewesen war , nichts auf dem Leibe , nichts in dem Leibe als die rote Ruhr , und wie die Franzosen ihn gejagt und gehetzt hatten , und wie so viele von seinen Kameraden an der Landstraße liegen blieben , und auch sein bester Freund , Krischan Krüger , und wie das Volk kein Erbarmen gehabt hatte .So kamen sie aus den Scheunen heraus	5118	30	reuter_2franz_2franz.tsv
VAPP	VAPP		VAPP	sein		Oder ... vielleicht ist es auch gut , daß ich's vergessen hatte ; ein Totschlag immerhin ... auf jeden Fall gibt 's ein Gericht ... und möglicherweise hatte von ihnen ebenfalls einer einen Browning ... da wäre es möglich	gewesen	... wegen eines Nichts ... hole es der Teufel , zu Schaden zu kommen !	.Oder ... vielleicht ist es auch gut , daß ich's vergessen hatte ; ein Totschlag immerhin ... auf jeden Fall gibt 's ein Gericht ... und möglicherweise hatte von ihnen ebenfalls einer einen Browning ... da wäre es möglich gewesen ... wegen eines Nichts ... hole es der Teufel , zu Schaden zu kommen !.	1040	39	arcybase_ssanin_ssanin.tsv
VAPP	VAPP		VAPP	werden		Sie sind vom schnellen Gehen ohnmächtig	geworden	.	, mach ein Ende , Modlizki !Sie sind vom schnellen Gehen ohnmächtig geworden .» Sie konnten es ... vielleicht wußten	4014	6	ungar_klasse_klasse.tsv
VAPP	VAPP		VAPP	werden		Doch es blieb bei dem guten Willen , und nur der Blick in die Landschaft war frei	geworden	.	» Ich verstehe dich nicht .Doch es blieb bei dem guten Willen , und nur der Blick in die Landschaft war frei geworden .Dann ging er auf sein Zimmer zu	2898	17	fontane_petoefy_petoefy.tsv
VAPP	VAPP		VAPP	werden		Der Diener , der ihn hierher begleitet hat , ist Lohndiener bei uns	geworden	.	alle Menschen , die nicht faulenzen .Der Diener , der ihn hierher begleitet hat , ist Lohndiener bei uns geworden .Das weißt du nicht ?	415	13	auerbach_dorfg10_dorfg10.tsv
VAPP	VAPP		VAPP	werden		In der lateinischen Sprache , in ihrer Grammatik , die in unerreichter Fülle aus den Gründen und Abgründen des Gedankens quillt – wenn irgendwo , sind hier in geheimnisvoll klarer Mystik Sinn und Wort , Logik und Ausdruck , Bild und Gegenstand eins	geworden	.	Das Stichwort seines Lebens ist gefallen .In der lateinischen Sprache , in ihrer Grammatik , die in unerreichter Fülle aus den Gründen und Abgründen des Gedankens quillt – wenn irgendwo , sind hier in geheimnisvoll klarer Mystik Sinn und Wort , Logik und Ausdruck , Bild und Gegenstand eins geworden .Er sagt zu .	673	43	weisse_essay_essay.tsv
VAPP	VAPP		VAPP	werden		Er war Werkmeister	geworden	und hatte allerlei Verantwortliches .	und verlassen in ihrem kleinen Stübel .Er war Werkmeister geworden und hatte allerlei Verantwortliches .» Besinn dich nicht « , sagte	1276	3	hauptmac_mathilde_mathilde.tsv
VAPP	VAPP		VAPP	werden		Eine gewisse theoretische Unwahrhaftigkeit war in ihm zur andern Natur	geworden	; gegen die Gesetze wird er sich nicht verfehlt haben .	ließ er einmal auf sich warten .Eine gewisse theoretische Unwahrhaftigkeit war in ihm zur andern Natur geworden ; gegen die Gesetze wird er sich nicht verfehlt haben .Keiner achtete ihn , und doch war	3890	10	immerman_oberhof_oberhof.tsv
VAPP	VAPP		VAPP	werden		Zwei sehr junge Gebern aus seinem Dorfe , Bruder und Schwester , die nach ihrer Eltern Tode auf einem kleinen Gütchen beisammen lebten und ihre Wirtschaft fortsetzten so gut sie konnten , hatten einander von Kindheit an innigst geliebt ; die Gewohnheit , immer beisammen zu sein , einerlei Interesse und Wünsche zu haben , und Freude und Leid mit einander gleich zu teilen , war ihnen zur andern Natur	geworden	, und sie konnten sich ganz und gar keinen Begriff davon machen , wie sie ohne einander leben könnten .	Kerims Gegenwart nicht hatte aufkommen können .Zwei sehr junge Gebern aus seinem Dorfe , Bruder und Schwester , die nach ihrer Eltern Tode auf einem kleinen Gütchen beisammen lebten und ihre Wirtschaft fortsetzten so gut sie konnten , hatten einander von Kindheit an innigst geliebt ; die Gewohnheit , immer beisammen zu sein , einerlei Interesse und Wünsche zu haben , und Freude und Leid mit einander gleich zu teilen , war ihnen zur andern Natur geworden , und sie konnten sich ganz und gar keinen Begriff davon machen , wie sie ohne einander leben könnten .M. Skriblerus Es war ein ziemlich naher	2396	70	wieland_danisch_danisch.tsv
