DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMFIN	VMFIN		VMFIN	dürfen		Und wenn ihn Harro hinausbegleitete , sagte er : » Ich	darf	Ihnen nicht zu viel Zeit nehmen , Herr Graf .	Was sagst du dazu ?Und wenn ihn Harro hinausbegleitete , sagte er : » Ich darf Ihnen nicht zu viel Zeit nehmen , Herr Graf .Hoffentlich werden wir uns wieder haben ...	1117	11	guenthea_heilige2_heilige2.tsv
VMFIN	VMFIN		VMFIN	dürfen		Auch sterben	darf	ich nicht , vor Gott nicht treten , Wenn ich nicht sagen kann : sie hat verziehn .	Leiden willen , ach , vergebt !Auch sterben darf ich nicht , vor Gott nicht treten , Wenn ich nicht sagen kann : sie hat verziehn .Speit Ihr nicht an den Mörder ,	1627	2	tieck_genoveva_genoveva.tsv
VMFIN	VMFIN		VMFIN	dürfen		Trotzdem , daß der Bonapartismus tiefe Sympathien im Volke findet und auch die große Zahl der Ehrgeizigen , die sich nicht für eine Idee entscheiden wollen , in sich aufnimmt , trotzdem glaube ich nicht , daß er so bald den Sieg davontragen möchte ; käme er aber zur Herrschaft , so	dürfte	auch diese nicht von langer Dauer sein , und sie würde , ganz wie die frühere napoleonische Regierung , nur eine kurze Vermittlungsperiode bilden .	großen Fehler durch ihre unzeitige Knickerei .Trotzdem , daß der Bonapartismus tiefe Sympathien im Volke findet und auch die große Zahl der Ehrgeizigen , die sich nicht für eine Idee entscheiden wollen , in sich aufnimmt , trotzdem glaube ich nicht , daß er so bald den Sieg davontragen möchte ; käme er aber zur Herrschaft , so dürfte auch diese nicht von langer Dauer sein , und sie würde , ganz wie die frühere napoleonische Regierung , nur eine kurze Vermittlungsperiode bilden .Aber es ist nicht dieser libertizide Napoleon	375	52	heine_lutetia_lutetia.tsv
VMFIN	VMFIN		VMFIN	können		« Die Leute strömten immer zahlreicher , je näher man der Kirche kam , denn an Pfingsten , wenn die Sonne schön warm scheinet , wagt so manches alte Mütterli , das durch Kalte und Kot nicht mehr kam , noch so gerne einen Kirchgang und labet seine Seele , die auch gerne da oben wäre an des Herrn Mahl ; es weiß nicht , was der Herr im nächsten Winter mit ihm vorhat , es sucht , wo es	kann	, den Herrn , damit wenn der Tod kommt , der Herr es finde .	froh , wenn er weg wäre .« Die Leute strömten immer zahlreicher , je näher man der Kirche kam , denn an Pfingsten , wenn die Sonne schön warm scheinet , wagt so manches alte Mütterli , das durch Kalte und Kot nicht mehr kam , noch so gerne einen Kirchgang und labet seine Seele , die auch gerne da oben wäre an des Herrn Mahl ; es weiß nicht , was der Herr im nächsten Winter mit ihm vorhat , es sucht , wo es kann , den Herrn , damit wenn der Tod kommt , der Herr es finde .Christen forderte nun Rücksichten für diese Schwäche	1271	80	gotthelf_geldgeis_geldgeis.tsv
VMFIN	VMFIN		VMFIN	können		« » Ich	kann	nicht und will nicht .	Frauenzimmer haben ihre Nucken und Naupen .« » Ich kann nicht und will nicht .« » Und ist sie gnädig gewesen	8838	3	lauff_seherin_seherin.tsv
VMFIN	VMFIN		VMFIN	können		Auch sterben darf ich nicht , vor Gott nicht treten , Wenn ich nicht sagen	kann	: sie hat verziehn .	Leiden willen , ach , vergebt !Auch sterben darf ich nicht , vor Gott nicht treten , Wenn ich nicht sagen kann : sie hat verziehn .Speit Ihr nicht an den Mörder ,	1627	15	tieck_genoveva_genoveva.tsv
VMFIN	VMFIN		VMFIN	können		Dies setzte uns sofort in den beabsichtigten Respekt , so daß wir nun ungehindert eintreten	konnten	.	mein Gesicht und leuchtete erschrocken auf .Dies setzte uns sofort in den beabsichtigten Respekt , so daß wir nun ungehindert eintreten konnten .« Auch er hatte aufgeblickt .	4562	15	may_amstille_0inhalt.tsv
VMFIN	VMFIN		VMFIN	können		» Hm. wenn wir die Fahrt wie jetzt beibehalten ,	können	wir kurz vor Sonnenuntergang dort sein , « erwiderte ich .	, wenn ein Kriegsschiff uns anhält .» Hm. wenn wir die Fahrt wie jetzt beibehalten , können wir kurz vor Sonnenuntergang dort sein , « erwiderte ich .Dieses Mal haben wir in Singapore eine	3211	10	emmerich_celebes_celebes.tsv
VMFIN	VMFIN		VMFIN	können		» Nun , seht Ihr , wie man einen Menschen bloßstellen	könnte	, wenn man nicht mehr weiß , was man redet , « sagte Athos , und zuckte die Achseln , als ob er Mitleid mit sich selbst fühlte .	, ich will Athos allein aufsuchen .» Nun , seht Ihr , wie man einen Menschen bloßstellen könnte , wenn man nicht mehr weiß , was man redet , « sagte Athos , und zuckte die Achseln , als ob er Mitleid mit sich selbst fühlte .Man würde Sie vor die Tür gerufen	8205	11	dumasalt_musket_musket.tsv
VMFIN	VMFIN		VMFIN	können		» Napoleon vernichtet ist – « » Er	könnte	wie Leander zu Hero schwimmen !	; jetzt auch vielleicht nicht mehr .» Napoleon vernichtet ist – « » Er könnte wie Leander zu Hero schwimmen !Die Geheimrätin schwärmte nicht mehr für Italien	18441	8	alexis_ruhe_ruhe.tsv
