DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMINF	VMINF		VMINF	dürfen		Ich fühlte mich unsäglich glücklich , einen ganzen Monat inmitten dieser Herrlichkeit leben zu	dürfen	, und fing unwillkürlich an zu singen : » Guten Morgen , schöne Müllerin !	glänzenden Weidengebüschen und dunklem Erlenlaub glitzerte .Ich fühlte mich unsäglich glücklich , einen ganzen Monat inmitten dieser Herrlichkeit leben zu dürfen , und fing unwillkürlich an zu singen : » Guten Morgen , schöne Müllerin !Unter mir lagen die schindelgedeckten Holzhäuser und	2092	14	gjelleru_seitsah_seitsah.tsv
VMINF	VMFIN		VMINF	dürfen		« » Weil wir keine Zeit dazu haben und die Sachen auch keinem Boten anvertrauen	dürfen	.	, als bis Sie aufgestanden sind .« » Weil wir keine Zeit dazu haben und die Sachen auch keinem Boten anvertrauen dürfen .« » Noch ein wenig Geduld ,	6574	15	may_kong_0inhalt.tsv
VMINF	VMINF		VMINF	dürfen		Auf jene Möglichkeit hätte man wohl noch hoffen	dürfen	, wenn dasjenige Wehen des Geistes , das einst von unserem Reformator angeregt und auch ihm selbst schon entgegengekommen war , voll und kräftig im deutschen Volk sich erhalten und wenn der neue Geist die Massen oder auch nur wenigstens die einflußreichsten Classen und Persönlichkeiten , die dem neuen Bekenntniß zufielen , alle wahrhaft innerlich durchdrungen , geläutert und zum Kämpfen , Arbeiten und Dulden gekräftigt hätte .	daß wenigstens Clemens keines machen wollte .Auf jene Möglichkeit hätte man wohl noch hoffen dürfen , wenn dasjenige Wehen des Geistes , das einst von unserem Reformator angeregt und auch ihm selbst schon entgegengekommen war , voll und kräftig im deutschen Volk sich erhalten und wenn der neue Geist die Massen oder auch nur wenigstens die einflußreichsten Classen und Persönlichkeiten , die dem neuen Bekenntniß zufielen , alle wahrhaft innerlich durchdrungen , geläutert und zum Kämpfen , Arbeiten und Dulden gekräftigt hätte .Er erklärte : » Ich halt 's	29	8	koestlin_luther_luther.tsv
VMINF	VMINF		VMINF	dürfen		Meine Schöne stand voll Würde auf , setzte sich wieder hin und sagte sanft und mit tiefem Gefühl , sie sei ein Mädchen von Stande und glaube Achtung beanspruchen zu	dürfen	.	eine Nachricht denn , lieber Papa ?Meine Schöne stand voll Würde auf , setzte sich wieder hin und sagte sanft und mit tiefem Gefühl , sie sei ein Mädchen von Stande und glaube Achtung beanspruchen zu dürfen .Ich bezahlte alles bar .	2469	30	casanova_band03_casa3.tsv
VMINF	VMINF		VMINF	können		» Hasan « , sagte hierauf Saadi , » da es kein Handwerk gibt , das seinen Mann nicht ernährte , so zweifle ich nicht , daß dir das deinige so viel einträgt , um bequem davon leben zu	können	; ja ich muß mich wundern , daß du es schon so lange treibst , ohne etwas erspart und einen bedeutenden Vorrat von Hanf angekauft zu haben ; du könntest dann noch weit mehr Arbeit fertigen , sowohl durch eigenen Fleiß , als auch durch angenommene Gesellen , und dir so nach und nach dein Leben etwas bequemer machen .	diese Bildsäulen strahlten solchen Glanz aus .» Hasan « , sagte hierauf Saadi , » da es kein Handwerk gibt , das seinen Mann nicht ernährte , so zweifle ich nicht , daß dir das deinige so viel einträgt , um bequem davon leben zu können ; ja ich muß mich wundern , daß du es schon so lange treibst , ohne etwas erspart und einen bedeutenden Vorrat von Hanf angekauft zu haben ; du könntest dann noch weit mehr Arbeit fertigen , sowohl durch eigenen Fleiß , als auch durch angenommene Gesellen , und dir so nach und nach dein Leben etwas bequemer machen .Sie dachten , dazu werde der Schlüssel	3524	39	weil_band3_inhalt.tsv
VMINF	VMINF		VMINF	können		Nun , tun Sie , was Sie nicht lassen	können	!	» Sie haben ein gottgesegnetes Selbstvertrauen .Nun , tun Sie , was Sie nicht lassen können !Wo der hintritt , wächst kein Gras	9625	9	bleibtre_bismarc2_bismarc2.tsv
VMINF	VMINF		VMINF	können		Wenn sich Robinson einen kleinen Kahn und zwei Ruder macht , so wird er ihn schon allein regieren	können	.	die Stelle des Brenofens vertreten hatte .Wenn sich Robinson einen kleinen Kahn und zwei Ruder macht , so wird er ihn schon allein regieren können .Ordentlicher Weise muß man diese erst in	5627	18	campe_robinson_robinson.tsv
VMINF	VMINF		VVINF	können		) Was der Philosoph des » Willens zur Macht « deshalb immer und immer lehrt , ist , daß die Vertreter der höchsten weltlichen sowie geistigen Mächte sich der ungeheuren Verantwortung bewußt sein sollen , daß sie am Marmor » Menschheit « arbeiten und das kostbarste Material auf Jahrhunderte , ja auf Jahrtausende hin verderben	können	.	nie eine solche Macht gewonnen haben .) Was der Philosoph des » Willens zur Macht « deshalb immer und immer lehrt , ist , daß die Vertreter der höchsten weltlichen sowie geistigen Mächte sich der ungeheuren Verantwortung bewußt sein sollen , daß sie am Marmor » Menschheit « arbeiten und das kostbarste Material auf Jahrhunderte , ja auf Jahrtausende hin verderben können .Sie haben die höchste Macht so schlecht	65	55	nietzsch_willmac2_willmac2.tsv
VMINF	VMINF		VMINF	können		Nachbars Samuelchen – ich habe seitdem den Namen weder in der Bibel noch außer der Bibel recht leiden	können	– wurde von seinem Vater zum Krämer geschickt , um eine Dose voll Schnupftabak zu holen .	die Unruhe saß in beider Seelen .Nachbars Samuelchen – ich habe seitdem den Namen weder in der Bibel noch außer der Bibel recht leiden können – wurde von seinem Vater zum Krämer geschickt , um eine Dose voll Schnupftabak zu holen .« Dabei blieb es .	449	18	seume_meinlebe_meinlebe.tsv
VMINF	VMINF		VMINF	können		Der Gefangene , der damals noch auf die Macht des Völkerrechts baute und von Augusts wohlwollenden Absichten unterrichtet war , weigerte sich das zu bezahlen , was er umsonst erhalten zu	können	wähnte .	ihn zu retten zu spät kam .Der Gefangene , der damals noch auf die Macht des Völkerrechts baute und von Augusts wohlwollenden Absichten unterrichtet war , weigerte sich das zu bezahlen , was er umsonst erhalten zu können wähnte .Er schickte Wachen ab , um den	486	31	voltaire_karl12_karl12.tsv
