DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVIZU	VVIZU		VVIZU	abbrechen		Er erteilte daher den Auftrag , die Spitze des Messers , wenn sie hervordringe ,	abzubrechen	, doch scheint dieser Auftrag nicht zur Ausführung gelangt zu sein .	Sturm auf den verbarrikadierten Hassein unternommen .Er erteilte daher den Auftrag , die Spitze des Messers , wenn sie hervordringe , abzubrechen , doch scheint dieser Auftrag nicht zur Ausführung gelangt zu sein .Ja ob überhaupt bei dieser Sachlage die	2262	15	alexis_hendel05_hendel05.tsv
VVIZU	VVINF		VVIZU	abschneiden		Aus diesem Grunde beschließt die heilige und sittlich gesinnte französische Kammer , die » einsame Zellenhaft « einzuführen , und andere Heilige werden ein Gleiches tun , um den » demoralisierenden Verkehr «	abzuschneiden	.	Mir und Dir ) zu verhüten .Aus diesem Grunde beschließt die heilige und sittlich gesinnte französische Kammer , die » einsame Zellenhaft « einzuführen , und andere Heilige werden ein Gleiches tun , um den » demoralisierenden Verkehr « abzuschneiden .Etwa auch das Gefängnis ?	4018	33	stirner_einzige_einzige.tsv
VVIZU	VVINF		VVIZU	anbauen		« » Sanderus sagte , « entgegnete Zbyszko , » daß sich keine Burgen hier in der Nähe befinden , und so verhält es sich auch , da die Kreuzritter neuerdings dies Land in Besitz genommen haben , aber nicht im stande gewesen sind , sich darin	anzubauen	.	gefangen genommen oder erschlagen worden wäre .« » Sanderus sagte , « entgegnete Zbyszko , » daß sich keine Burgen hier in der Nähe befinden , und so verhält es sich auch , da die Kreuzritter neuerdings dies Land in Besitz genommen haben , aber nicht im stande gewesen sind , sich darin anzubauen .Jurand , welcher auf seine Tochter zugeeilt	4679	47	sienkiew_kreuzri2_kreuzri2.tsv
VVIZU	VVIZU		VVIZU	ansehen		War schmal und fast unscheinbar	anzusehen	, aber ihre Blicke konnten dir nachsehen , flammig und wild , wie die Augäpfel von einem feuervergoldeten Bronzebild .	und sie machte das Meer irr .War schmal und fast unscheinbar anzusehen , aber ihre Blicke konnten dir nachsehen , flammig und wild , wie die Augäpfel von einem feuervergoldeten Bronzebild .Ein italienischer Baron , den ich schon	3858	5	dauthend_geflerde_geflerde.tsv
VVIZU	ADJA		VVIZU	anstellen		Das Volk , die Menschheit wird allerdings viel gewinnen , wenn wir ihn hier auf eine vortheilhafte Art	anzustellen	suchen .	Gebeinen immer noch eine Suppe kochen .Das Volk , die Menschheit wird allerdings viel gewinnen , wenn wir ihn hier auf eine vortheilhafte Art anzustellen suchen .Ein Schrank .	2313	18	tieck_zerbino_zerbino.tsv
VVIZU	VVINF		VVIZU	auflegen		Ich befahl , vier Gedecke	aufzulegen	, und im nächsten Augenblick saßen wir beisammen , wie wenn wir die besten Freunde gewesen wären .	aber nicht aus der Hauptstadt stammte .Ich befahl , vier Gedecke aufzulegen , und im nächsten Augenblick saßen wir beisammen , wie wenn wir die besten Freunde gewesen wären .Haben Sie mir denn nicht geschrieben ?	1810	5	casanova_band05_casa5.tsv
VVIZU	VVIZU		VVIZU	aufmachen		Ich sollte das Schloß daraufhin ansehen , ob dort eine Militärschule	aufzumachen	sei .	Der Franzose hatte seinen Auftrag erledigt .Ich sollte das Schloß daraufhin ansehen , ob dort eine Militärschule aufzumachen sei .Wir besichtigten das Haus .	4543	11	barthel_blockhau_blockhau.tsv
VVIZU	VVIZU		VVIZU	ausbrechen		Kommt dann plötzlich der Bote , und die Frau Regentin beginnt in ein Toben	auszubrechen	, wütige Blicke zu werfen und ganz in der Art des seligen Königs auszurufen : » Wird man denn nie einen Augenblick Ruhe haben in diesem Staat ?	nach nichts Appetit als nach ihm .Kommt dann plötzlich der Bote , und die Frau Regentin beginnt in ein Toben auszubrechen , wütige Blicke zu werfen und ganz in der Art des seligen Königs auszurufen : » Wird man denn nie einen Augenblick Ruhe haben in diesem Staat ?Das Essen wurde aufgetragen , ohne daß	6	14	balzac_tolldr2_tolldr2.tsv
VVIZU	VVINF		VVIZU	aushalten		So fuhren wir dahin , eingekeilter als je , und wir alle vier lieferten einen schlagenden Beweis , was der Mensch nicht alles	auszuhalten	vermag .	nur seinem Nachbar zu Gute kam .So fuhren wir dahin , eingekeilter als je , und wir alle vier lieferten einen schlagenden Beweis , was der Mensch nicht alles auszuhalten vermag .Glücklicher Weise kam er nicht neben mir	1938	23	hacklaen_humorerz_humorerz.tsv
VVIZU	VVIZU		VVIZU	ausrufen		Kommt dann plötzlich der Bote , und die Frau Regentin beginnt in ein Toben auszubrechen , wütige Blicke zu werfen und ganz in der Art des seligen Königs	auszurufen	: » Wird man denn nie einen Augenblick Ruhe haben in diesem Staat ?	nach nichts Appetit als nach ihm .Kommt dann plötzlich der Bote , und die Frau Regentin beginnt in ein Toben auszubrechen , wütige Blicke zu werfen und ganz in der Art des seligen Königs auszurufen : » Wird man denn nie einen Augenblick Ruhe haben in diesem Staat ?Das Essen wurde aufgetragen , ohne daß	6	28	balzac_tolldr2_tolldr2.tsv
VVIZU	VVINF		VVIZU	ausschlafen		« » Maria , Maria , « sagte Sendt , » Sie täten besser , einmal	auszuschlafen	, Ihr Freund Hallwig würde es sicher molochitisch nennen , wie Sie auf Ihre Gesundheit loswirtschaften .	um diese inneren Notwendigkeiten zu sehen .« » Maria , Maria , « sagte Sendt , » Sie täten besser , einmal auszuschlafen , Ihr Freund Hallwig würde es sicher molochitisch nennen , wie Sie auf Ihre Gesundheit loswirtschaften .Er behauptet zwar , es gebe nichts	766	16	reventlo_herrdame_herrdame.tsv
VVIZU	VVINF		VVIZU	ausweichen		« Die Pilgerhaufen wurden schließlich so zahlreich , daß ihnen fast nicht mehr	auszuweichen	war .	, den ich hoffentlich erringen würde .« Die Pilgerhaufen wurden schließlich so zahlreich , daß ihnen fast nicht mehr auszuweichen war .Dieser hatte unserer Unterhaltung mit Spannung zugehört	9012	13	may_orangen_0inhalt.tsv
VVIZU	VVFIN		VVIZU	eindrücken		Fast möchte man das letztere denken , wenn man weiss , wie sich Studenten , ihrer philosophischen Prüfungen wegen , zu martern haben , um die tollsten und spitzesten Einfälle des menschlichen Geistes , neben den grössten und schwerfasslichsten , sich in das arme Gehirn	einzudrücken	.	's doch so herrlich weit gebracht ?Fast möchte man das letztere denken , wenn man weiss , wie sich Studenten , ihrer philosophischen Prüfungen wegen , zu martern haben , um die tollsten und spitzesten Einfälle des menschlichen Geistes , neben den grössten und schwerfasslichsten , sich in das arme Gehirn einzudrücken .Sollen sie durch das Wirrsal der Meinungen	1183	45	nietzsch_unzeit_unzeit.tsv
VVIZU	VVFIN		VVIZU	einflößen		Du bist verheirathet … Laura spöttisch Immer noch besser als eine Liebe empfinden , die Anderen	einzuflößen	man nicht im Stande ist .	mit einem Male diese leidenschaftliche Entschiedenheit ?Du bist verheirathet … Laura spöttisch Immer noch besser als eine Liebe empfinden , die Anderen einzuflößen man nicht im Stande ist .Fliehen wir , Laura !	149	16	dohm_schuss_schuss.tsv
VVIZU	VVIZU		VVIZU	einführen		Aus diesem Grunde beschließt die heilige und sittlich gesinnte französische Kammer , die » einsame Zellenhaft «	einzuführen	, und andere Heilige werden ein Gleiches tun , um den » demoralisierenden Verkehr « abzuschneiden .	Mir und Dir ) zu verhüten .Aus diesem Grunde beschließt die heilige und sittlich gesinnte französische Kammer , die » einsame Zellenhaft « einzuführen , und andere Heilige werden ein Gleiches tun , um den » demoralisierenden Verkehr « abzuschneiden .Etwa auch das Gefängnis ?	4018	17	stirner_einzige_einzige.tsv
VVIZU	VVFIN		VVIZU	einmarschieren		Anfang November wurde vom Chevalier beschlossen , in das Herz von England	einzumarschieren	.	keck auf die Stirn gedrückt hatte .Anfang November wurde vom Chevalier beschlossen , in das Herz von England einzumarschieren .Der kleine Trupp führte die Bezeichnung »	300	12	scott_waverle2_waverle2.tsv
VVIZU	VVINF		VVIZU	einsehen		Aus diesen Hauptzügen , durch welche die zwey großen Stämme der Südländer von einander abweichen , läßt sich der mächtige Einfluß erkennen , den Klima , Nahrungsmittel , und Sitten auf die Beschaffenheit des Körpers äußern ; zugleich ist aber auch daraus mit Gewißheit	einzusehen	, daß diese dreyerley Ursachen nicht hinreichend sind , um alle hieher gehörige Erscheinungen zu erklären .	glücklichste Art , mit Höflichkeit gemischt .Aus diesen Hauptzügen , durch welche die zwey großen Stämme der Südländer von einander abweichen , läßt sich der mächtige Einfluß erkennen , den Klima , Nahrungsmittel , und Sitten auf die Beschaffenheit des Körpers äußern ; zugleich ist aber auch daraus mit Gewißheit einzusehen , daß diese dreyerley Ursachen nicht hinreichend sind , um alle hieher gehörige Erscheinungen zu erklären .Sie sind durchgehends gutmüthig , aufgeräumt ,	1969	44	forster_bemerkun_bemerkun.tsv
