DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPO	PTKVZ		APPO	entgegen		Helgestad saß schon an dem Tische unter dem mächtigen Nußbaum und vor ihm stand Hannah , die sich umwandte und ihrem Vater	entgegen	ging , mit dem sie über sein langes Ausbleiben zu schelten begann .	bei ihrem Freund Björnarne zu leben .Helgestad saß schon an dem Tische unter dem mächtigen Nußbaum und vor ihm stand Hannah , die sich umwandte und ihrem Vater entgegen ging , mit dem sie über sein langes Ausbleiben zu schelten begann .Gula hat uns selbst eingeladen , sie	7332	22	muegge_afraja1_afraja1.tsv
APPO	APZR		APPO	entlang		Auf den norddeutschen Grasebenen steht sie in zerstreuten Gruppen und Hainen	entlang	; aber in den Tieftälern von Norwegen füllt sie weite , schimmernde Waldstrecken , und da selbst , wo ewiger Schnee den Kiölengrat umhüllt , klammert sie sich an die stiefmütterliche Scholle .	untersten Lauf der Elbe und Weser .Auf den norddeutschen Grasebenen steht sie in zerstreuten Gruppen und Hainen entlang ; aber in den Tieftälern von Norwegen füllt sie weite , schimmernde Waldstrecken , und da selbst , wo ewiger Schnee den Kiölengrat umhüllt , klammert sie sich an die stiefmütterliche Scholle .Zu dieser Heide muß man im geologischen	2447	11	masius_ndtland_ndtland.tsv
APPO	APPR		APPO	entlang		Während er an den schmutzigen Korridorwänden	entlang	taumelte , hörte er , wie sie hinter ihm ihrem Schützling , seinem Haupttänzer , die letzten guten Lehren gaben .	, wie der Alchymist den Schmelzofen ?Während er an den schmutzigen Korridorwänden entlang taumelte , hörte er , wie sie hinter ihm ihrem Schützling , seinem Haupttänzer , die letzten guten Lehren gaben .Und wenn schon , was ist da	348	6	eekhoud_erzaehlg_erzaehlg.tsv
APPO	APPR		APPO	entlang		« Als sie ihren Gang schweigend an der Häuserreihe , wo das abendliche Dunkel bereits ihre Gestalten verbarg , fortsetzten , hörten sie keinen weiteren Laut als den langsamen Tritt eines Jochs Ochsen nebst dem Rasseln eines Karrens , der sich in gleicher Richtung mit ihnen die Straße	entlang	bewegte .	Fliehen Sie , was Sie können !« Als sie ihren Gang schweigend an der Häuserreihe , wo das abendliche Dunkel bereits ihre Gestalten verbarg , fortsetzten , hörten sie keinen weiteren Laut als den langsamen Tritt eines Jochs Ochsen nebst dem Rasseln eines Karrens , der sich in gleicher Richtung mit ihnen die Straße entlang bewegte .« rief der junge Mann mit einer	5323	48	cooper_ansiedl_ansiedl.tsv
APPO	APPR		APPR	gegenüber		Dem	gegenüber	zerfahren die Erzählungen unmittelbarer Sympathien in einzelne Anekdoten : wir sehen sie hie und da bald unter den ernstesten , bald unter den einfältigsten Umständen auftreten , nirgends mit Konsequenz an Vorgänge geknüpft , deren Wichtigkeit diesen unmittelbaren Wechseleinfluß auch nur als Ausnahme motivierte .	Entwicklung eines vernünftigen Geisteslebens gründen könnte .Dem gegenüber zerfahren die Erzählungen unmittelbarer Sympathien in einzelne Anekdoten : wir sehen sie hie und da bald unter den ernstesten , bald unter den einfältigsten Umständen auftreten , nirgends mit Konsequenz an Vorgänge geknüpft , deren Wichtigkeit diesen unmittelbaren Wechseleinfluß auch nur als Ausnahme motivierte .So müssen wir auch hier , obgleich	3666	1	lotze_medpsy_medpsy.tsv
APPO	APPO		APPO	gegenüber		Aber die Regierung , als die einfache Seele oder das Selbst des Volksgeistes , verträgt nicht eine Zweiheit der Individualität ; und der sittlichen Notwendigkeit dieser Einheit tritt die Natur als der Zufall der Mehrheit	gegenüber	auf .	des göttlichen und menschlichen Gesetzes dar .Aber die Regierung , als die einfache Seele oder das Selbst des Volksgeistes , verträgt nicht eine Zweiheit der Individualität ; und der sittlichen Notwendigkeit dieser Einheit tritt die Natur als der Zufall der Mehrheit gegenüber auf .Diese natürliche Bedeutung verliert er im geistigen	259	35	hegel_phaenom_phaenom.tsv
APPO	APPO		APPO	gegenüber		Auch dem Vater	gegenüber	wollte Ernestine ihre Selbstständigkeit zur Geltung bringen .	anderen Augen in die Welt sehe .Auch dem Vater gegenüber wollte Ernestine ihre Selbstständigkeit zur Geltung bringen .So wie er gewesen war , konnte	5080	3	polenz_buettner_buettner.tsv
APPO	APPO		APPO	gegenüber		Aber in dem Streben nach diesem haben sich die Strebenden immer abweisender dem ersten und höchsten aller Rechte	gegenüber	gestellt , dem Rechte der weiblichen Persönlichkeit , ihre eigenen Gedanken zu denken , ihre eigenen Wege zu verfolgen , auch wenn diese Gedanken und diese Wege andere Bahnen einschlagen , als die der Frauenrechtlerinnen .	Zusammenhang mit anderen grossen Zeitfragen verloren .Aber in dem Streben nach diesem haben sich die Strebenden immer abweisender dem ersten und höchsten aller Rechte gegenüber gestellt , dem Rechte der weiblichen Persönlichkeit , ihre eigenen Gedanken zu denken , ihre eigenen Wege zu verfolgen , auch wenn diese Gedanken und diese Wege andere Bahnen einschlagen , als die der Frauenrechtlerinnen .Gewiss hört man in Rede und Schrift	832	18	key_jahrkind_jahrkind.tsv
APPO	APPR		ADV	gegenüber		Sein Verfolger blieb starr ihm	gegenüber	stehen , und einige Augenblicke maßen sich der Mensch und das Thier wie zwei ebenbürtige Feinde mit Blicken des Hasses und Abscheus .	ja auch die Figur treffen mußten .Sein Verfolger blieb starr ihm gegenüber stehen , und einige Augenblicke maßen sich der Mensch und das Thier wie zwei ebenbürtige Feinde mit Blicken des Hasses und Abscheus .Da Rockte er , am ganzen Leibe	156	5	heyse_kleopatr_kleopatr.tsv
APPO	APPR		APPO	gegenüber		Im ersten halben Jahre brauchen die Durchlauchten noch gar nichts zu wissen – und dann – « Das alles klang neckend und wurde bezaubernd naiv , hingeworfen , aber es enthielt scharfe Dolchstöße für den weit über zwei Jahrzehnte älteren Mann , der seiner vergötterten jungen Frau	gegenüber	auf keinen Fall alt werden wollte .	.Im ersten halben Jahre brauchen die Durchlauchten noch gar nichts zu wissen – und dann – « Das alles klang neckend und wurde bezaubernd naiv , hingeworfen , aber es enthielt scharfe Dolchstöße für den weit über zwei Jahrzehnte älteren Mann , der seiner vergötterten jungen Frau gegenüber auf keinen Fall alt werden wollte ..	5840	47	marlitt_gisela_gisela.tsv
APPO	APPO		APPO	halber		Sofort holte ich Papier und Tinte , tauchte des Vogels Schnabel ein und schrieb , ohne daß mir vom Vogel irgendein Widerstand entgegengesetzt worden wäre , folgendes : › Ich , storchartiger Vogel , verpflichte mich für den Fall , daß du mich mit Fischen , Fröschen und Würmern ( diese zwei letzten Lebensmittel fügte ich der Billigkeit	halber	hinzu ) bis zum Flüggewerden nährst , Dich auf meinem Rücken in die südlichen Länder zu tragen .	mit in die südlichen Länder nehmen .Sofort holte ich Papier und Tinte , tauchte des Vogels Schnabel ein und schrieb , ohne daß mir vom Vogel irgendein Widerstand entgegengesetzt worden wäre , folgendes : › Ich , storchartiger Vogel , verpflichte mich für den Fall , daß du mich mit Fischen , Fröschen und Würmern ( diese zwei letzten Lebensmittel fügte ich der Billigkeit halber hinzu ) bis zum Flüggewerden nährst , Dich auf meinem Rücken in die südlichen Länder zu tragen .Bringe ich also solche Opfer , will	603	58	kafka_oktavhef_oktavhef.tsv
