DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APZR	APZR		APZR	an		Aber Gesang und heller Zuruf verstummte von da	an	gar nicht mehr auf den Schiffen , und fröhliche Erregung herrschte überall , denn heute noch sollte man den Heimatstrand erreichen , und je mehr die ersehnten Gestade sich näherten , desto beflügelter schienen die Fahrzeuge , von windgeschwellten Segeln und doppelt kräftigen Ruderschlägen getrieben , ihre feuchte Straße dahinzurauschen .	das gottgeliebte Eiland nicht ungeehrt vorübergehen .Aber Gesang und heller Zuruf verstummte von da an gar nicht mehr auf den Schiffen , und fröhliche Erregung herrschte überall , denn heute noch sollte man den Heimatstrand erreichen , und je mehr die ersehnten Gestade sich näherten , desto beflügelter schienen die Fahrzeuge , von windgeschwellten Segeln und doppelt kräftigen Ruderschlägen getrieben , ihre feuchte Straße dahinzurauschen .Er gedachte des Tages auch , da	2829	8	hamerlin_aspasia_aspasia.tsv
APZR	APZR		APZR	an		So kam es , daß seine ursprünglich robuste Natur vor der Zeit zu wanken begann , weshalb er sich auch von 1832	an	fast alljährlich genötigt sah , statt zu Reisen für Auge und Herz , zu Badekuren seine Zuflucht zu nehmen .	Erholung , aber eine körperliche kaum .So kam es , daß seine ursprünglich robuste Natur vor der Zeit zu wanken begann , weshalb er sich auch von 1832 an fast alljährlich genötigt sah , statt zu Reisen für Auge und Herz , zu Badekuren seine Zuflucht zu nehmen .« 4. und 5. eine Baum- und	19776	22	fontane_mark_Kopie_von_mark.tsv
APZR	APZR		APZR	an		Dort sollte er von nun	an	wohnen , seinen Wochenlohn beziehen wie ein Knecht und bei den Leuten essen , aber nicht mehr bei der Mutter an ihrem Tische .	Hilfe von Knechten und Mägden hinaus .Dort sollte er von nun an wohnen , seinen Wochenlohn beziehen wie ein Knecht und bei den Leuten essen , aber nicht mehr bei der Mutter an ihrem Tische .Die Frau kam gerade zurück , als	3860	5	stoessl_menschdm_menschdm.tsv
APZR	APZR		APZR	aus		« Eine Fähre bringt uns ans jenseitige Ufer zur freundlichen Wohnung des Kastellans , von wo	aus	wir uns über Terrassen fort nach rechts wenden .	unser Wanderziel : Nach der Römerschanze .« Eine Fähre bringt uns ans jenseitige Ufer zur freundlichen Wohnung des Kastellans , von wo aus wir uns über Terrassen fort nach rechts wenden .Nach einer starken Viertelstunde biegt der Weg	2674	16	nordhaus_maerkisc_maerkisc.tsv
APZR	APZR		APPO	entlang		Die Gefangenen wurden aus der einen Seite des Hohlwegs	entlang	kommandiert , und Hinrich fuhr auf der anderen , so schnell er in des alten Nahmachers Streckfurche vorwärts kommen konnte .	ich wieder in ordentlichen Umständen sein !Die Gefangenen wurden aus der einen Seite des Hohlwegs entlang kommandiert , und Hinrich fuhr auf der anderen , so schnell er in des alten Nahmachers Streckfurche vorwärts kommen konnte .Ich sollte die Lappen borgen , worin	5853	9	reuter_2franz_2franz.tsv
APZR	APZR		APZR	her		Daraufhin erschien von der andern Ecke	her	ein zweiter Wachmann und lief zu dem ersten hin .	wieder auf , murmelte › Sakra !Daraufhin erschien von der andern Ecke her ein zweiter Wachmann und lief zu dem ersten hin .In demselben Augenblick wurden auch schon Schritte	117	6	capek_gestkakt_gestkakt.tsv
APZR	APZR		APZR	her		Ich war wirklich ohne die Kette zur Welt gekommen , mit der alle in unserer Familie vom Mutterschoße	her	gefesselt waren .	uns gegenüber auf dem Hügel saßen .Ich war wirklich ohne die Kette zur Welt gekommen , mit der alle in unserer Familie vom Mutterschoße her gefesselt waren .Mein Vater behauptete , jeder Sintlinger sei	1784	18	stehr_brindeis_brindeis.tsv
APZR	ADV		APZR	her		« Da stand er auf und ging vor mir	her	spazieren von großem Hochmut , und er hatte einen großen runden grünen Stein durch die Lippen des Mundes stecken , wie ihr Gebrauch ist .	er , » ich lebe noch .« Da stand er auf und ging vor mir her spazieren von großem Hochmut , und er hatte einen großen runden grünen Stein durch die Lippen des Mundes stecken , wie ihr Gebrauch ist .Lebst du noch ?	1231	9	pannwitz_pfadfind_pfadfind.tsv
APZR	PTKVZ		APZR	her		» Aber ich bitt' Euch , Beppo , jetzt erklärt uns , unter welchen Leuten wir sind , wer uns so davonführt , als wären wir in einem Traum befangen ... « Und doch empört , entsetzt war er auch so ; er stand und schaute starren Blickes auf das ganze Bild da unten vor ihm hinab ... wie lange es dauerte , dies Schauspiel , er hätte es nicht zu sagen gewußt ; er nahm nur mit einem Male eine sehr plötzlich in das Lager der Nymphen geratene Aufregung wahr – sie zuckten zusammen , leise Schreie wurden laut , einige sprangen auf , zogen , was sie an Gewand an sich trugen , eng um sich	her	; die anderen folgten ihrem Beispiel – es waren dicke niederfallende Regentropfen , die auf die nackten Schultern und Rücken aufschlagend , so plötzlich den panischen Schrecken in dies Lager geworfen .	Schritte mit wankendem Fuße vorwärts machend .» Aber ich bitt' Euch , Beppo , jetzt erklärt uns , unter welchen Leuten wir sind , wer uns so davonführt , als wären wir in einem Traum befangen ... « Und doch empört , entsetzt war er auch so ; er stand und schaute starren Blickes auf das ganze Bild da unten vor ihm hinab ... wie lange es dauerte , dies Schauspiel , er hätte es nicht zu sagen gewußt ; er nahm nur mit einem Male eine sehr plötzlich in das Lager der Nymphen geratene Aufregung wahr – sie zuckten zusammen , leise Schreie wurden laut , einige sprangen auf , zogen , was sie an Gewand an sich trugen , eng um sich her ; die anderen folgten ihrem Beispiel – es waren dicke niederfallende Regentropfen , die auf die nackten Schultern und Rücken aufschlagend , so plötzlich den panischen Schrecken in dies Lager geworfen .Mit eigentümlichen Blicken hatte dem allen Callisto	2877	118	schueckg_luther_luther.tsv
APZR	APZR		APZR	her		An diesem Ausflusse hat er , wie die Leute erzählen , verschiedene Jahre	her	abgenommen ; das will aber gegen die übrige ungeheure Masse gar nichts sagen .	den wir so ganz übersehen haben .An diesem Ausflusse hat er , wie die Leute erzählen , verschiedene Jahre her abgenommen ; das will aber gegen die übrige ungeheure Masse gar nichts sagen .Nach einer kleinen Weile mußten wir selbst	1146	13	antholog_reisebi1_reisebi1.tsv
APZR	APZR		APZR	her		« Diese Vorbereitungen entgingen nicht den wachsamen Vorposten des Cerialis : sie meldeten ihm von drohenden Bewegungen im Lager der Gallier , als er gerade in seinem Zelt die Führer der soeben aus Norden	her	eingetroffenen Verstärkungen – von der XIV. Legion – begrüßte : es waren Labeo und Cajus Briganticus .	und nickten lächelnd diesen Damen zu .« Diese Vorbereitungen entgingen nicht den wachsamen Vorposten des Cerialis : sie meldeten ihm von drohenden Bewegungen im Lager der Gallier , als er gerade in seinem Zelt die Führer der soeben aus Norden her eingetroffenen Verstärkungen – von der XIV. Legion – begrüßte : es waren Labeo und Cajus Briganticus .Sie wehrten ihren Landsmänninnen nicht !	3803	34	dahn_bataver_bataver.tsv
APZR	APZR		APZR	heraus		Er verfolgte das Thema indessen nicht weiter , denn Chuffey , der aus seiner Kaminecke	heraus	entdeckt haben mochte , daß Anthony zu horchen und Jonas zu sprechen scheine , rief plötzlich begeistert : » Ach Gott , lieber Mr. Chuzzlewit , warum fragen Sie ?	menschlichen Natur , sagen Sie nein !Er verfolgte das Thema indessen nicht weiter , denn Chuffey , der aus seiner Kaminecke heraus entdeckt haben mochte , daß Anthony zu horchen und Jonas zu sprechen scheine , rief plötzlich begeistert : » Ach Gott , lieber Mr. Chuzzlewit , warum fragen Sie ?» Aber er tat es doch hoffentlich	3129	15	dickens_chuzzlew_chuzzlew.tsv
APZR	APZR		APZR	herum		Im Hause geht alles gut , der Tapezier fängt an , mein Kämmerchen ist fertig und künftige Woche werde ich in Ordnung kommen ; ich komme nicht viel weg , es gibt immer im Hause	herum	zu gräbeln , ich sehne mich auch nicht aus dem Hause .	, wenn Du nicht dabei bist .Im Hause geht alles gut , der Tapezier fängt an , mein Kämmerchen ist fertig und künftige Woche werde ich in Ordnung kommen ; ich komme nicht viel weg , es gibt immer im Hause herum zu gräbeln , ich sehne mich auch nicht aus dem Hause .Im Stillen habe ich darüber nachgedacht .	1296	35	goethe_br-frau1_br-frau1.tsv
APZR	APZR		ADV	herum		» Allerdings , ich möchte wohl hier	herum	etwas erwerben , finde aber nichts Passendes .	auf Grund meiner Rechte entlassen habe .» Allerdings , ich möchte wohl hier herum etwas erwerben , finde aber nichts Passendes .Zuletzt schwillt doch jedem der Kamm !	610	7	heiberg_todsuend_todsuend.tsv
APZR	APZR		APZR	herum		Ich hatte sieben Meilen im Januar gemacht , und war auf dem Pflaster noch eine Stunde	herum	trottiert ; ich konnte mich also nicht entschließen spät in der Finsternis noch einmal auszugehen .	; da war nichts zu haben .Ich hatte sieben Meilen im Januar gemacht , und war auf dem Pflaster noch eine Stunde herum trottiert ; ich konnte mich also nicht entschließen spät in der Finsternis noch einmal auszugehen .Zimmer und Bett waren herrlich .	1732	16	seume_syrakus_syrakus.tsv
APZR	ADV		PTKVZ	hin		– Während Robert die Stuhllehne umfaßte , sah er vor sich	hin	, dringlich , wie suchend .	Berlin war ausgelöscht .– Während Robert die Stuhllehne umfaßte , sah er vor sich hin , dringlich , wie suchend .Es war ein Moment zufälliger Stille auf	9940	11	kraze_garba_garba.tsv
APZR	ADV		ADV	hinaus		» Denkst du noch daran , wieder da	hinaus	zu ziehen .	» Aber das ist lange her !» Denkst du noch daran , wieder da hinaus zu ziehen .Auch sie war ganz in Pelz gehüllt	2761	8	wied_bosheit1_bosheit1.tsv
APZR	PTKVZ		APZR	hinaus		Bei hochfahrenden Damen , wie die Lomond , zähle ich in kleiner Münze einen Bettel auf den Tisch , den sie sich anzunehmen schämen ; sie werfen ihn mir ins Gesicht , mich zur Tür	hinaus	, und ich lache mir draußen ins Fäustchen .	, je zerlumpter , desto besser .Bei hochfahrenden Damen , wie die Lomond , zähle ich in kleiner Münze einen Bettel auf den Tisch , den sie sich anzunehmen schämen ; sie werfen ihn mir ins Gesicht , mich zur Tür hinaus , und ich lache mir draußen ins Fäustchen .Ich verspreche die halbe Einnahme , ganzes	427	35	dingelst_amazone_amazone.tsv
APZR	APZR		APZR	hinaus		« Nach einiger Zeit fuhren zwei elegant bespannte Kutschen zum Tor	hinaus	, und hinterher folgte ein leere Leiterwagen .	Klappe und verkündete mir mein Urteil .« Nach einiger Zeit fuhren zwei elegant bespannte Kutschen zum Tor hinaus , und hinterher folgte ein leere Leiterwagen .Ich wurde sehr freundlich aufgenommen und dann	10212	11	may_waldroe1_waldroe1.tsv
APZR	APZR		APZR	hinaus		Ich habe sie jedenfalls gehabt , und das ist grad das beste dran , daß man sich Zeit dazu nehmen kann im Hellen wie im Dunkeln , daß man sie von seinem Schreibtisch	hinaus	in die Gasse oder das freie Feld und von dort zu seinem Schreibtisch zurücktragen kann , ohne Rechenschaft darüber ablegen zu müssen !	und wie gut man 's hat !Ich habe sie jedenfalls gehabt , und das ist grad das beste dran , daß man sich Zeit dazu nehmen kann im Hellen wie im Dunkeln , daß man sie von seinem Schreibtisch hinaus in die Gasse oder das freie Feld und von dort zu seinem Schreibtisch zurücktragen kann , ohne Rechenschaft darüber ablegen zu müssen !Ach , lieber Freund , da sitzt	1115	33	raabe_telfan_telfan.tsv
APZR	APZR		APZR	hinaus		Dieser Anblick war zu Viel für Guert's Philosophie , und die Mündung seiner Büchse zu der Lücke	hinaus	streckend , drückte er auf ihn ab , ohne sorgfältig zu zielen .	er mit seinem Werke beschäftigt war .Dieser Anblick war zu Viel für Guert's Philosophie , und die Mündung seiner Büchse zu der Lücke hinaus streckend , drückte er auf ihn ab , ohne sorgfältig zu zielen .Es sind mehrere schöne englische Frauen mit	727	17	cooper_satansto_satansto.tsv
APZR	APZR		APZR	hinaus		Über ein paar der aussichtsreichsten Gipfel des Oberlandes und durch seine vielen Talfalten , in denen große und kleine Dorfschaften liegen , wandte ich mich mit einer Fußwanderung	hinaus	in die Heimat .	die Abneigung von Natur zu Natur !Über ein paar der aussichtsreichsten Gipfel des Oberlandes und durch seine vielen Talfalten , in denen große und kleine Dorfschaften liegen , wandte ich mich mit einer Fußwanderung hinaus in die Heimat .Für mich aber gibt es in der	2129	28	heer_heider_heider.tsv
APZR	APZR		APZR	hinaus		Wahrscheinlich würde man eine ähnliche Abweichung finden , wenn man über die Blutwärme	hinaus	sich der Temperatur näherte , wo das Gefühl des Brennens eintritt , wobei jedoch immer auffallend bleibt , daß die Abweichung oberhalb der Mitteltemperatur erst in höheren Graden beginnt , indes sie unterhalb der Mitteltemperatur alsbald beginnt .	jedoch keine Symmetrie unterhalb derselben statt .Wahrscheinlich würde man eine ähnliche Abweichung finden , wenn man über die Blutwärme hinaus sich der Temperatur näherte , wo das Gefühl des Brennens eintritt , wobei jedoch immer auffallend bleibt , daß die Abweichung oberhalb der Mitteltemperatur erst in höheren Graden beginnt , indes sie unterhalb der Mitteltemperatur alsbald beginnt .Ohne uns nun hier mit dem Spezialmaße	47	13	fechner_epsypht1_epsypht1.tsv
APZR	ADV		VVINF	hinaus		Eraßmus erstaunete entweder wegen meiner Freygebigkeit / oder weil er so viel baar Gelt auff einmal sein Tage nicht beysammen gesehen / und als er sich wieder erholet / schwur er mir / daß er die Esther / wann ich sie anders zu wegen bringen könte / ehelichen / und ihr Kind / wie sein eygen Fleisch und Blut halten und aufferziehen wolte / da ich nun diesen Eyd hinweg hatte / informirte ich ihn / wie er sich in den Handel schicken / und daß er die Josanna / der Esther ehemals gewesene vertraute Dienerin auff Morgen zu sich bescheiden solte / ich aber liesse mich noch denselben Abend in Eliezers / ja gar in der Esther Schlaffkammer sperren / wo sie sampt ihrem Kind / item einer alten Kindswarterin und dem Kindsmägdlein zu liegen pflag / welchem ich außwartete / biß sie alle entschlieffen / alsdann nam ich das Töchterlein ( so wie eines Fürsten Kind in Decklachen und Wickelbinden von Gold / Perlen und Edelgesteinen überstickt / eingewunden war ) mit mir darvon / und ob gleich Eliezers Behausung mit Schlossen so wol versorgt war / daß einem andern / als mir / ohnmöglich gewest wäre /	hinauß	zu kommen / so gab mir solches doch nichts zu schaffen / dann meine Springwurtzel öffnet mir den Weg allenthalben / und ich war so kühn überall / hinder mir wiederumb fein still und säuberlich zuzuschliessen .	Aber !Eraßmus erstaunete entweder wegen meiner Freygebigkeit / oder weil er so viel baar Gelt auff einmal sein Tage nicht beysammen gesehen / und als er sich wieder erholet / schwur er mir / daß er die Esther / wann ich sie anders zu wegen bringen könte / ehelichen / und ihr Kind / wie sein eygen Fleisch und Blut halten und aufferziehen wolte / da ich nun diesen Eyd hinweg hatte / informirte ich ihn / wie er sich in den Handel schicken / und daß er die Josanna / der Esther ehemals gewesene vertraute Dienerin auff Morgen zu sich bescheiden solte / ich aber liesse mich noch denselben Abend in Eliezers / ja gar in der Esther Schlaffkammer sperren / wo sie sampt ihrem Kind / item einer alten Kindswarterin und dem Kindsmägdlein zu liegen pflag / welchem ich außwartete / biß sie alle entschlieffen / alsdann nam ich das Töchterlein ( so wie eines Fürsten Kind in Decklachen und Wickelbinden von Gold / Perlen und Edelgesteinen überstickt / eingewunden war ) mit mir darvon / und ob gleich Eliezers Behausung mit Schlossen so wol versorgt war / daß einem andern / als mir / ohnmöglich gewest wäre / hinauß zu kommen / so gab mir solches doch nichts zu schaffen / dann meine Springwurtzel öffnet mir den Weg allenthalben / und ich war so kühn überall / hinder mir wiederumb fein still und säuberlich zuzuschliessen .Doch ists besser hie als dort gelitten	228	200	grimmels_vogelnst_vogelnst.tsv
APZR	ADV		APZR	hinweg		Eraßmus erstaunete entweder wegen meiner Freygebigkeit / oder weil er so viel baar Gelt auff einmal sein Tage nicht beysammen gesehen / und als er sich wieder erholet / schwur er mir / daß er die Esther / wann ich sie anders zu wegen bringen könte / ehelichen / und ihr Kind / wie sein eygen Fleisch und Blut halten und aufferziehen wolte / da ich nun diesen Eyd	hinweg	hatte / informirte ich ihn / wie er sich in den Handel schicken / und daß er die Josanna / der Esther ehemals gewesene vertraute Dienerin auff Morgen zu sich bescheiden solte / ich aber liesse mich noch denselben Abend in Eliezers / ja gar in der Esther Schlaffkammer sperren / wo sie sampt ihrem Kind / item einer alten Kindswarterin und dem Kindsmägdlein zu liegen pflag / welchem ich außwartete / biß sie alle entschlieffen / alsdann nam ich das Töchterlein ( so wie eines Fürsten Kind in Decklachen und Wickelbinden von Gold / Perlen und Edelgesteinen überstickt / eingewunden war ) mit mir darvon / und ob gleich Eliezers Behausung mit Schlossen so wol versorgt war / daß einem andern / als mir / ohnmöglich gewest wäre / hinauß zu kommen / so gab mir solches doch nichts zu schaffen / dann meine Springwurtzel öffnet mir den Weg allenthalben / und ich war so kühn überall / hinder mir wiederumb fein still und säuberlich zuzuschliessen .	Aber !Eraßmus erstaunete entweder wegen meiner Freygebigkeit / oder weil er so viel baar Gelt auff einmal sein Tage nicht beysammen gesehen / und als er sich wieder erholet / schwur er mir / daß er die Esther / wann ich sie anders zu wegen bringen könte / ehelichen / und ihr Kind / wie sein eygen Fleisch und Blut halten und aufferziehen wolte / da ich nun diesen Eyd hinweg hatte / informirte ich ihn / wie er sich in den Handel schicken / und daß er die Josanna / der Esther ehemals gewesene vertraute Dienerin auff Morgen zu sich bescheiden solte / ich aber liesse mich noch denselben Abend in Eliezers / ja gar in der Esther Schlaffkammer sperren / wo sie sampt ihrem Kind / item einer alten Kindswarterin und dem Kindsmägdlein zu liegen pflag / welchem ich außwartete / biß sie alle entschlieffen / alsdann nam ich das Töchterlein ( so wie eines Fürsten Kind in Decklachen und Wickelbinden von Gold / Perlen und Edelgesteinen überstickt / eingewunden war ) mit mir darvon / und ob gleich Eliezers Behausung mit Schlossen so wol versorgt war / daß einem andern / als mir / ohnmöglich gewest wäre / hinauß zu kommen / so gab mir solches doch nichts zu schaffen / dann meine Springwurtzel öffnet mir den Weg allenthalben / und ich war so kühn überall / hinder mir wiederumb fein still und säuberlich zuzuschliessen .Doch ists besser hie als dort gelitten	228	69	grimmels_vogelnst_vogelnst.tsv
