DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOKOM	KOKOM		KOKOM	als		Aber die beiden Tage , die er in Roncières verlebt , blieben in seiner Seele haften	als	eine Quelle von Wärme , von Glück und Trunkenheit .	an der ein armer Blinder sang .Aber die beiden Tage , die er in Roncières verlebt , blieben in seiner Seele haften als eine Quelle von Wärme , von Glück und Trunkenheit .Er hatte ein kleineres angefangenes Bild vorgenommen	2937	16	maupassa_starktod_starktod.tsv
KOKOM	APPR		APPR	als		Die bescheidene jetzige Scham der Einzelwesen , welche lieber das blinde Schicksal	als	die schauende Vorsehung für sich sorgen läßt , bezeugt weniger Unglauben und Bescheidenheit als Bewußtsein , nicht fromm zu glauben und zu handeln .	Ein- oder Ausschließung des Unendlichen gelte .Die bescheidene jetzige Scham der Einzelwesen , welche lieber das blinde Schicksal als die schauende Vorsehung für sich sorgen läßt , bezeugt weniger Unglauben und Bescheidenheit als Bewußtsein , nicht fromm zu glauben und zu handeln .Der alte Chronikenschreiber führt den Blutregen –	692	12	jeanpaul_levana_levana.tsv
KOKOM	APPR		APPR	als		Durch alle Zeiten geht das Gefühl , daß unser Geist etwas Besseres ist	als	der tote Kloß Materie , worauf wir treten .	und herrlich an und für sich .Durch alle Zeiten geht das Gefühl , daß unser Geist etwas Besseres ist als der tote Kloß Materie , worauf wir treten .Im Gesicht ist ebensoviel Wahrheit als im	309	13	heinse_aphorism_aphorism.tsv
KOKOM	KOKOM		APPR	als		Hole zum Glauben mit einem besonnenen Überglauben aus ; achte vorzüglich auf das , was , ohne deine Schuld und Würdigkeit wiederkommend , wie ein Geist erscheint und geht , was plötzlich in der Nacht herunterfällt	als	ein Manna , das entweder ernährt , oder sanft ausheilt .	Leute , die er tragen mag .Hole zum Glauben mit einem besonnenen Überglauben aus ; achte vorzüglich auf das , was , ohne deine Schuld und Würdigkeit wiederkommend , wie ein Geist erscheint und geht , was plötzlich in der Nacht herunterfällt als ein Manna , das entweder ernährt , oder sanft ausheilt .Übrigens fällt durch Montesquieus Bemerkung ein Lorbeerkranz	451	36	jeanpaul_daemmer_daemmer.tsv
KOKOM	KOKOM		KOKOM	als		« Da hob er die Hände , blickte zur Decke ,	als	sähe er durch sie hindurch in blaue Fernen , und rief : » Papperlapapp , « machte Dallas .	Sie damals wie ein Highwayräuber angefallen .« Da hob er die Hände , blickte zur Decke , als sähe er durch sie hindurch in blaue Fernen , und rief : » Papperlapapp , « machte Dallas .Als das Gedicht beendet war , hob	482	11	schiroka_byron_byron.tsv
KOKOM	KOKOM		KOKOM	als		So fuhren wir dahin , eingekeilter	als	je , und wir alle vier lieferten einen schlagenden Beweis , was der Mensch nicht alles auszuhalten vermag .	nur seinem Nachbar zu Gute kam .So fuhren wir dahin , eingekeilter als je , und wir alle vier lieferten einen schlagenden Beweis , was der Mensch nicht alles auszuhalten vermag .Glücklicher Weise kam er nicht neben mir	1938	6	hacklaen_humorerz_humorerz.tsv
KOKOM	KOKOM		KOKOM	als		Stolpernde Schritte kamen die Straße herauf ; zwei Stimmen waren zu vernehmen ; aber sie klangen gar nicht so ,	als	ob sie aus menschlichen Kehlen kamen .	Kenn ich sie etwa auch ?Stolpernde Schritte kamen die Straße herauf ; zwei Stimmen waren zu vernehmen ; aber sie klangen gar nicht so , als ob sie aus menschlichen Kehlen kamen .» Wirklich ?	9283	20	may_wegglue6_wegglue6.tsv
KOKOM	KOKOM		KOKOM	als		Dühring hat Helmholtz geradezu besudelt ; und es braucht wohl kaum gesagt zu werden , daß Einstein diese Art einer polemischen Beweisführung verabscheut ; mehr	als	das : er nimmt sie wesentlich von der pathologischen Seite , und für manche der Dühring'schen Kernsprüche hat er nur das Lächeln der Geringschätzung übrig .	Pol , der gefunden werden kann .Dühring hat Helmholtz geradezu besudelt ; und es braucht wohl kaum gesagt zu werden , daß Einstein diese Art einer polemischen Beweisführung verabscheut ; mehr als das : er nimmt sie wesentlich von der pathologischen Seite , und für manche der Dühring'schen Kernsprüche hat er nur das Lächeln der Geringschätzung übrig .Einsteins Eröffnung , sofern ich sie richtig	253	25	moszkows_einstein_einstein.tsv
KOKOM	KOKOM		KOKOM	als		Ihr Ich erlaubte mir heute früh zu telegraphiren da ich aus der eben erhaltenen Depesche ersah dass der theure ferne Freund , besorgt war , und ich den Hohen so bald	als	möglich beruhigen wollte .	Theurer gütiger Herr !Ihr Ich erlaubte mir heute früh zu telegraphiren da ich aus der eben erhaltenen Depesche ersah dass der theure ferne Freund , besorgt war , und ich den Hohen so bald als möglich beruhigen wollte .Es gilt die Krone in ihrem heiligen	1791	31	ludwig2_cosima_cosima.tsv
KOKOM	KOKOM		KOKOM	als		Er suchte den Vogel im Baum , der ein so wunderschönes Stimmlein hätte ; aber er konnte nichts sehen	als	nur das Bildnis des gekreuzigten Herren am Stamm .	Platz für das Frauenklösterlein zu suchen .Er suchte den Vogel im Baum , der ein so wunderschönes Stimmlein hätte ; aber er konnte nichts sehen als nur das Bildnis des gekreuzigten Herren am Stamm .Aber er konnte nichts dagegen sagen .	5	19	sagen_franken_hoffrau.tsv
KOKOM	KOKOM		KOKOM	als		Die Geschichte hat gezeigt und zeigt täglich , daß dieser Unordnungen und Grausamkeiten desto mehr sind , je mehr Bürger dabei sind , von denen man doch billig etwas mehr Humanität erwarten sollte	als	von Kriegern .	nicht ohne Grund , aber übertrieben .Die Geschichte hat gezeigt und zeigt täglich , daß dieser Unordnungen und Grausamkeiten desto mehr sind , je mehr Bürger dabei sind , von denen man doch billig etwas mehr Humanität erwarten sollte als von Kriegern .Wäre Kosciuszko noch da gewesen , so	921	33	seume_vierpol_vierpol.tsv
