DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KON	KON		ADV	aber		« » Ja ,	aber	eine junge Dame – ganz einsam – und nun soll ich ... « » Hoho !	Ich weiß alles .« » Ja , aber eine junge Dame – ganz einsam – und nun soll ich ... « » Hoho !Eine nette Komödie !	2683	4	kraftr_nobody1_nobody1.tsv
KON	KON		KON	aber		Der Tag war sehr regnerisch gewesen ; die kiesbestreuten Gänge hatten das Wasser bereits wieder eingesogen ,	aber	es tropfte noch immer von den Zweigen , von den Blättern .	blieb er in derselben Stellung sitzen .Der Tag war sehr regnerisch gewesen ; die kiesbestreuten Gänge hatten das Wasser bereits wieder eingesogen , aber es tropfte noch immer von den Zweigen , von den Blättern .rief Amélie eifrig ; we are seven	1390	17	spielhag_inreih2_inreih2.tsv
KON	KON		KON	und			Und	überall tummelt sich 's umher .	feiernde Stille zieht über die Erde .Und überall tummelt sich 's umher .Es ist eine erste Herbstmahnung , die	1971	0	masius_ndtland_ndtland.tsv
KON	KON		KON	und		« Heinrich von Schauenberg stand auf ,	und	sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	7	stifter_witiko_witiko.tsv
KON	KON		KON	und		« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem	und	Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	34	stifter_witiko_witiko.tsv
KON	KON		KON	und		« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest	und	liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	54	stifter_witiko_witiko.tsv
KON	KON		KON	und		« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest ,	und	ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	57	stifter_witiko_witiko.tsv
KON	KON		KON	und		« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst ,	und	daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	67	stifter_witiko_witiko.tsv
KON	KON		KON	und		« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret	und	liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	72	stifter_witiko_witiko.tsv
KON	KON		KON	und		« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt	und	dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	74	stifter_witiko_witiko.tsv
