DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PIAT	PIAT		PIAT	alle		« » Hätt's lieber auch verkaufen sollen , die Liegenschaften von meinem seligen Weib , « sagte er , » die Wirtschaft ist unter fremden Händen nicht besser geworden ;	alle	Jahr' einmal hinreisen , das ist zu weit .	Der mußte auf der Stelle abdanken .« » Hätt's lieber auch verkaufen sollen , die Liegenschaften von meinem seligen Weib , « sagte er , » die Wirtschaft ist unter fremden Händen nicht besser geworden ; alle Jahr' einmal hinreisen , das ist zu weit .Das Meer lag in matter Bläue ,	1594	30	rosegger_abelsber_abelsber.tsv
PIAT	PIAT		PIAT	alle		Ich mußte ihn bei schönem Wetter auf	allen	kleinen Lustfahrten begleiten .	bedarf es mehr zu unserm Troste ?Ich mußte ihn bei schönem Wetter auf allen kleinen Lustfahrten begleiten .Und wir sind in Gott , wir	834	7	zschokke_alamont_alamont.tsv
PIAT	PIAT		PIAT	alle		Von	allen	Gräsern tropfte der Tau , spiegelte sich die liebe Welt in den Farben des Regenbogens .	heiliger Morgenfrühe auf den Knollenkamp zu .Von allen Gräsern tropfte der Tau , spiegelte sich die liebe Welt in den Farben des Regenbogens .» Sie stehen völlig außerhalb des getätigten	4715	1	lauff_3koenige_3koenige.tsv
PIAT	KON		ADV	alle		De Austwagen höll still ;	allens	sprung runne , allens gung in't Hus , ick mit ; blot de lütten Drois lepen tauirst in den Goren un föllen äwer de unripen Stickelbeeren her .	min fiwjöhrig brun Fahlen makt hadden .De Austwagen höll still ; allens sprung runne , allens gung in't Hus , ick mit ; blot de lütten Drois lepen tauirst in den Goren un föllen äwer de unripen Stickelbeeren her .De Fru Amtshauptmannen gung in't Rathus ,	3014	5	reuter_franztid_franztid.tsv
PIAT	ADV		ADV	alle		De Austwagen höll still ; allens sprung runne ,	allens	gung in't Hus , ick mit ; blot de lütten Drois lepen tauirst in den Goren un föllen äwer de unripen Stickelbeeren her .	min fiwjöhrig brun Fahlen makt hadden .De Austwagen höll still ; allens sprung runne , allens gung in't Hus , ick mit ; blot de lütten Drois lepen tauirst in den Goren un föllen äwer de unripen Stickelbeeren her .De Fru Amtshauptmannen gung in't Rathus ,	3014	9	reuter_franztid_franztid.tsv
PIAT	PIAT		PIAT	alle		Mitrovich : Ich schwör in	aller	Namen , doch laßt uns lieber jeden andern Ort zuerst durchwühlen als diesen , wo Eure Feinde , die Feinde unsrer Freiheit , sind verschüttet .	's in Ewigkeit mir nicht verzeihen .Mitrovich : Ich schwör in aller Namen , doch laßt uns lieber jeden andern Ort zuerst durchwühlen als diesen , wo Eure Feinde , die Feinde unsrer Freiheit , sind verschüttet .Unstät und flüchtig auf der Welt zu	367	5	arnim_marino_marino.tsv
PIAT	PIAT		PIAT	beide		Man hatte dan Anfang mit den	beiden	Kosaken , zwei jungen , kräftigen Männern gemacht , und ein Schurke von Langzopf hielt ihnen abwechseld mit einer Zange glühende Kohlen , die er aus dem Feuerbecken nahm , an die Fußsohlen , während die ganze Bande umherstand und an den Schmerzen der armen Soldaten ihr Vergnügen hatte .	von der Wahrheit dieser Erzählungen überzeugen .Man hatte dan Anfang mit den beiden Kosaken , zwei jungen , kräftigen Männern gemacht , und ein Schurke von Langzopf hielt ihnen abwechseld mit einer Zange glühende Kohlen , die er aus dem Feuerbecken nahm , an die Fußsohlen , während die ganze Bande umherstand und an den Schmerzen der armen Soldaten ihr Vergnügen hatte .In Nertschinsk und bei meinen Jagdzügen hatte	2055	6	retcliff_sibirien_sibirien.tsv
PIAT	PIAT		PIAT	beide		Die Locken glänzten und dufteten zu	beiden	Seiten des Scheitels .	Sein Anzug war untadelhaft .Die Locken glänzten und dufteten zu beiden Seiten des Scheitels .Er hatte einen Spaziergang gemacht , der	3204	6	keyserlg_rosaherz_rosaherz.tsv
PIAT	PIAT		PIAT	beide		Es war draußen vor unserm Felseneinschnitte so dunkel , daß wir die	beiden	Komantschen , obgleich sie höchstens drei Meter von uns entfernt lagen , kaum sehen konnten .	wurde der Himmel für uns sichtbar .Es war draußen vor unserm Felseneinschnitte so dunkel , daß wir die beiden Komantschen , obgleich sie höchstens drei Meter von uns entfernt lagen , kaum sehen konnten .» Wo pflegt sie zu schlafen ?	6960	12	may_satan3_0inhalt.tsv
PIAT	PIAT		PIAT	beide		« Die	beiden	andern Stiche stellten ganz ähnliche Scenen dar , nur um eine gesellschaftliche Oktave höher .	» O , Herr Peter !« Die beiden andern Stiche stellten ganz ähnliche Scenen dar , nur um eine gesellschaftliche Oktave höher .« gab der Bruder verstimmt zurück .	1794	2	maupassa_2brueder_2brueder.tsv
PIAT	ADV		PIAT	etwas		Aber siehe , nun kommen die Ovambos und fischen mit feinen Pinzetten	etwas	Leuchtendes daraus heraus .	Zentrum sich schwarze Steine angesammelt haben .Aber siehe , nun kommen die Ovambos und fischen mit feinen Pinzetten etwas Leuchtendes daraus heraus .Die Wüste siebt sich ganz von selbst	168	12	faber_tausend_tausend.tsv
PIAT	PIAT		PIAT	jede		Kurz , und wie oben schon erwähnt , der Schulmeisterssohn , so jung er auch noch war , bestand aufs beste in dem Examen , während der Professor	jede	Antwort schuldig blieb .	gejagter Hirsch ; weg war er .Kurz , und wie oben schon erwähnt , der Schulmeisterssohn , so jung er auch noch war , bestand aufs beste in dem Examen , während der Professor jede Antwort schuldig blieb .Ich bedanke mich , daß Ihr mich	1493	28	antholog_schelmen_schelmen.tsv
PIAT	PIAT		PIAT	jede		Mitrovich : Ich schwör in aller Namen , doch laßt uns lieber	jeden	andern Ort zuerst durchwühlen als diesen , wo Eure Feinde , die Feinde unsrer Freiheit , sind verschüttet .	's in Ewigkeit mir nicht verzeihen .Mitrovich : Ich schwör in aller Namen , doch laßt uns lieber jeden andern Ort zuerst durchwühlen als diesen , wo Eure Feinde , die Feinde unsrer Freiheit , sind verschüttet .Unstät und flüchtig auf der Welt zu	367	12	arnim_marino_marino.tsv
PIAT	PIAT		PIAT	kein		« »	Kein	einziges ?	ich bin es doch einmal nicht .« » Kein einziges ?Ich bin nicht reich , wie Sie	16261	2	dumasalt_musket10_musket10.tsv
