DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PPOSS	NN		NN	deine		» Wo solltest Du künftig eine Brust finden , um zu entladen , was die	Deine	drückt , wenn nicht bei mir ?	erwärmendes Feuer in meinem Herzen wirkst .» Wo solltest Du künftig eine Brust finden , um zu entladen , was die Deine drückt , wenn nicht bei mir ?Und es ist oft ergötzlich , zu	44	15	harden_koepfe_koepfe.tsv
PPOSS	NN		NN	deinige		Reise in Gottes Namen , wenn du mußt , und sei glücklich mit den	Deinigen	.	» Nein .Reise in Gottes Namen , wenn du mußt , und sei glücklich mit den Deinigen .» Zanke mich nicht aus , Schatz	1404	14	nordau_nixe_nixe.tsv
PPOSS	ADJA		PIS	deinige		, Wir haben zwei Rosse , Ascher' , sagte ich , , du setzest Monna Lisa auf das	deinige	.	den Zinnen der Schritt der Runde ., Wir haben zwei Rosse , Ascher' , sagte ich , , du setzest Monna Lisa auf das deinige .Am Himmel wanderten schwarze lange Wolken und	632	18	cfmeyer_heilige1_heilige1.tsv
PPOSS	NN		NN	eurige		Eure himmlischen Augen allein sind an unserer Verwandlung Ursach' , unsere Verirrungen sind die	Eurigen	, wenn Ihr nicht mit uns helft sie zu einem guten Zweck zu leiten .	Hört mich an , schöne Prinzessin !Eure himmlischen Augen allein sind an unserer Verwandlung Ursach' , unsere Verirrungen sind die Eurigen , wenn Ihr nicht mit uns helft sie zu einem guten Zweck zu leiten .Plane Worte durchdringen das Ohr des Schmerzens	2701	14	lenz_theater_theater.tsv
PPOSS	PPOSAT		PPOSS	ihr		Allmählich , sehr sanft , zog ihn die Frau zu sich herüber , über das Faß , so daß sein Ellenbogen die gläserne Kugel streifte , sein Gesicht ganz nahe vor dem	ihren	stand .	erst griff die Zigeunerin nach ihr .Allmählich , sehr sanft , zog ihn die Frau zu sich herüber , über das Faß , so daß sein Ellenbogen die gläserne Kugel streifte , sein Gesicht ganz nahe vor dem ihren stand .Sie sah Tarabas ins Gesicht , bis	3387	32	roth_tarabas_tarabas.tsv
PPOSS	PPOSAT		PPOSS	ihr		Eine Solidarität der Zeitungen gibt sich nur vor der Gemeinheit , die eine der	ihren	begeht , zu erkennen , nicht gegenüber dem Unglück , das einer von ihnen zugestoßen ist .	auch nur die Annonce eines Freudenmädchens .Eine Solidarität der Zeitungen gibt sich nur vor der Gemeinheit , die eine der ihren begeht , zu erkennen , nicht gegenüber dem Unglück , das einer von ihnen zugestoßen ist .Es ist ja unbestreitbar , daß Korpsgeist	3280	14	kraus_grimasse_grimasse.tsv
PPOSS	NN		NN	ihrige		« » Wenn ich Ihnen das auch begreiflich machen wollte , Sie würden mich doch nicht verstehen ; denn , wie mir scheint , vermissen Sie ja noch nichts im Kreise der	Ihrigen	?	.« » Wenn ich Ihnen das auch begreiflich machen wollte , Sie würden mich doch nicht verstehen ; denn , wie mir scheint , vermissen Sie ja noch nichts im Kreise der Ihrigen ?.	4787	32	marlitt_goldelse_goldelse.tsv
PPOSS	NN		NN	ihrige		... ‹ » Gnädige Frau , erwiderte Gottfried , » ich möchte Sie am liebsten bitten , immer weiter zu sprechen , denn ich habe noch nie eine Stimme gehört , die mit der	Ihrigen	zu vergleichen wäre .	Kinde gerechtfertigt durch seine opfervolle Hingebung .... ‹ » Gnädige Frau , erwiderte Gottfried , » ich möchte Sie am liebsten bitten , immer weiter zu sprechen , denn ich habe noch nie eine Stimme gehört , die mit der Ihrigen zu vergleichen wäre .Er unterlag der Versuchung .	1363	34	balzac_kehrseit_kehrseit.tsv
PPOSS	NN		NN	ihrige		Unmittelbar nach dem Abgang meines letzten Briefes an Sie , liebe Charlotte , empfing ich den	Ihrigen	und ersah daraus , daß ich die Ursache Ihres verzögerten Schreibens richtig erraten hatte .	, zu dem Sie kommen wollten .Unmittelbar nach dem Abgang meines letzten Briefes an Sie , liebe Charlotte , empfing ich den Ihrigen und ersah daraus , daß ich die Ursache Ihres verzögerten Schreibens richtig erraten hatte .Ist der Gesichtspunkt der rechte , edel	2359	16	humboldw_briefreu_briefreu.tsv
PPOSS	NN		NN	ihrige		Ist dieser Mann , liebe Freundin , des	Ihrigen	würdig ?	Augenblick an wie neu gekräftigt vorkam .Ist dieser Mann , liebe Freundin , des Ihrigen würdig ?Der köstliche Friede , den er mir	270	8	bretonne_zeitgeno_zeitgeno.tsv
