DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWS	PWS		PWS	was		»	Was	weiß ich , ob er lebt ?	» Françoise , Françoise .» Was weiß ich , ob er lebt ?Er faßte sie voll Leidenschaft am Arm	1485	1	heinea_verborge_verborge.tsv
PWS	PWS		PWS	was			Was	soll ich denn haben ?	Nichts !Was soll ich denn haben ?Delfine ( schämt sich ) : Ich	3237	0	bahr_konzert_konzert.tsv
PWS	PWS		PWS	was		Ada	Was	soll das Getuschel ?! Keine Geheimnisse !	Was gehen mich Ihre Schweißfüß an !Ada Was soll das Getuschel ?! Keine Geheimnisse !Er geht hin und her .	1681	1	horvath_schoenau_schoenau.tsv
PWS	PWS		PWS	was		« »	Was	uns Frauen betrifft « , versetzte die Milesierin lächelnd , » so kann ich nur sagen , daß es auf ein gewisses Maß von Wohlgestalt ankommt , und auf die Art sich zu kleiden , und auf die Kunst , anmutig zu tanzen oder bezaubernd die Zither zu spielen und was man sonst noch für Künste des Gefallens unterscheidet .	wir jenes Anblicks zum erstenmal genießen .« » Was uns Frauen betrifft « , versetzte die Milesierin lächelnd , » so kann ich nur sagen , daß es auf ein gewisses Maß von Wohlgestalt ankommt , und auf die Art sich zu kleiden , und auf die Kunst , anmutig zu tanzen oder bezaubernd die Zither zu spielen und was man sonst noch für Künste des Gefallens unterscheidet .Aber die feierliche Eröffnung des Tempels gedenke	3753	2	hamerlin_aspasia_aspasia.tsv
PWS	PWS		PWS	was		Sein Patron , Herr Notarius Johann Peter Gerechtsam , hatte seiner Zeit ein Poem unter dem Titel › Novus cantus cum salamandro ‹ zu irgend einer Notariatsversammlung gedichtet , und da er Sulpiz mit der Abschrift desselben beauftragt – na , und so weiter ... Warum auch nicht ?! –	Was	so viele andere tagtäglich vollführten – warum sollte das nicht der Herr Sekretarius Knippscheer riskieren ?! Er log drum frisch drauf los und verausgabte Münzen als seine eigene Prägung , die einer anderen Stempelmaschine entstammten .	» Nanu !Sein Patron , Herr Notarius Johann Peter Gerechtsam , hatte seiner Zeit ein Poem unter dem Titel › Novus cantus cum salamandro ‹ zu irgend einer Notariatsversammlung gedichtet , und da er Sulpiz mit der Abschrift desselben beauftragt – na , und so weiter ... Warum auch nicht ?! – Was so viele andere tagtäglich vollführten – warum sollte das nicht der Herr Sekretarius Knippscheer riskieren ?! Er log drum frisch drauf los und verausgabte Münzen als seine eigene Prägung , die einer anderen Stempelmaschine entstammten .– da sollte nicht einer kommen und	2397	50	lauff_aleit_aleit.tsv
PWS	PWS		PRELS	was		Der Nebel erstarrte zu einer wolligen Wand , in die der Scheinwerfer einen qualmenden Trichter zu bohren bemüht war und der Dörfer Äcker Wälder , den Himmel und selbst die natürliche Finsternis der Nacht verschluckte , denn	was	einen da umfing , war eine schleimige Masse , aus Rauch und Wasser gemischt , bewegt und zäh , fett und übelriechend .	Der Nebel immer dicker .Der Nebel erstarrte zu einer wolligen Wand , in die der Scheinwerfer einen qualmenden Trichter zu bohren bemüht war und der Dörfer Äcker Wälder , den Himmel und selbst die natürliche Finsternis der Nacht verschluckte , denn was einen da umfing , war eine schleimige Masse , aus Rauch und Wasser gemischt , bewegt und zäh , fett und übelriechend .Die Straßen wurden immer öder und öder	4556	37	wasserma_andergst_andergst.tsv
PWS	PWS		PWS	was		‹ Und dabei nickten die drei mutwilligen , frohen Mädchen dem Monde zu und verneigten sich vor ihm grüßend , und dann umarmten sie einander und lachten und jubelten und wußten nicht ,	was	sie hoch oben in der lauwarmen Sommernacht alles für Tollheit und Schäkerei begehen sollten .	in deinem Ohr , du Ungeheuer !‹ Und dabei nickten die drei mutwilligen , frohen Mädchen dem Monde zu und verneigten sich vor ihm grüßend , und dann umarmten sie einander und lachten und jubelten und wußten nicht , was sie hoch oben in der lauwarmen Sommernacht alles für Tollheit und Schäkerei begehen sollten .‹ rief ich zornig .	174	33	ungern_braumaer_braumaer.tsv
PWS	PRELS		PWS	was		Klara Wenn ein König zu einer armen , unbedeutenden Lehrerin Worte spricht , wie Sie soeben , dann ist das nicht nur eine Beleidigung , – es ist so feig , so niedrig , daß Sie dazu den Mut haben konnten , nach dem ,	was	Sie an meinem Vater getan haben !	ein Auge auf das Königtum haben .Klara Wenn ein König zu einer armen , unbedeutenden Lehrerin Worte spricht , wie Sie soeben , dann ist das nicht nur eine Beleidigung , – es ist so feig , so niedrig , daß Sie dazu den Mut haben konnten , nach dem , was Sie an meinem Vater getan haben !– Also ihr seid ein Verband von	2244	45	bjoernso_koenig_koenig.tsv
PWS	PRELS		PRELS	was		Man consumirt sein Fleisch frisch und geräuchert ,	was	sich vermöge des Fettes länger als bei anderen Fischen erhält .	und verliert er an Güte wenig .Man consumirt sein Fleisch frisch und geräuchert , was sich vermöge des Fettes länger als bei anderen Fischen erhält .Da dieser Fisch einer der vorzüglichsten ist	8211	8	rottenho_kochbuch_kochbuch.tsv
PWS	PWS		PWS	was		Es ist richtig ,	was	der Weise , der beide Schicksale am eigenen Leibe erlebt hatte , sagte , daß Reichtümer geeigneter sind , Drittens wird dem Leser manchmal die Frage aufsteigen , warum ich mich nicht von den Schrecken des Opiums befreite , entweder dadurch , daß ich es aufgab , oder dadurch , daß ich den Genuß wenigstens einschränkte .	würde , es ihr zu erstatten .Es ist richtig , was der Weise , der beide Schicksale am eigenen Leibe erlebt hatte , sagte , daß Reichtümer geeigneter sind , Drittens wird dem Leser manchmal die Frage aufsteigen , warum ich mich nicht von den Schrecken des Opiums befreite , entweder dadurch , daß ich es aufgab , oder dadurch , daß ich den Genuß wenigstens einschränkte .Dieses Glas hat das großherzige Mädchen ohne	902	4	quincey_opiumess_opiumess.tsv
