DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAINF	VAFIN		VAINF	haben		Du glaubtest , uns etwas mitzuteilen , wovon wir keine Ahnung	haben	.	» So hattest du allerdings recht .Du glaubtest , uns etwas mitzuteilen , wovon wir keine Ahnung haben .Aber es sollte anders kommen , als	6674	11	may_ardis-1_ardis-1.tsv
VAINF	VAINF		VAINF	haben		O , wie traurig war der Gedanke , wenn sie am andern Ende des Wäldchens hinaustreten müßte auf die offene Straße , ohne ihn gesehen zu	haben	!	beschleicht eisigere Furcht ihr das Herz .O , wie traurig war der Gedanke , wenn sie am andern Ende des Wäldchens hinaustreten müßte auf die offene Straße , ohne ihn gesehen zu haben !« Nun ist sie an einer andern	351	26	eliot_adambed1_adambed1.tsv
VAINF	VAFIN		VAFIN	haben		« » Ihr müßtet viele Augen	haben	, wenn Euer Wunsch jedesmal in Erfüllung ginge .	« fuhr der Chef nachdenkend fort .« » Ihr müßtet viele Augen haben , wenn Euer Wunsch jedesmal in Erfüllung ginge .» Aber wie ist mir denn ?	1793	6	kraftr_vestali2_vestali2.tsv
VAINF	VAFIN		VAFIN	haben		« » Sanderus sagte , « entgegnete Zbyszko , » daß sich keine Burgen hier in der Nähe befinden , und so verhält es sich auch , da die Kreuzritter neuerdings dies Land in Besitz genommen	haben	, aber nicht im stande gewesen sind , sich darin anzubauen .	gefangen genommen oder erschlagen worden wäre .« » Sanderus sagte , « entgegnete Zbyszko , » daß sich keine Burgen hier in der Nähe befinden , und so verhält es sich auch , da die Kreuzritter neuerdings dies Land in Besitz genommen haben , aber nicht im stande gewesen sind , sich darin anzubauen .Jurand , welcher auf seine Tochter zugeeilt	4679	36	sienkiew_kreuzri2_kreuzri2.tsv
VAINF	VAINF		VAINF	sein		Zwar gefiel ihm die Hast , mit der er das Schloß und alle seine Reizungen , sobald es ihm Zeit zu	sein	gedünkt , verlassen , da es ihm nicht unbemerkt geblieben war , daß er die Empfindsamkeit des schönen Mädchens so hoch hätte hinauf spielen können , als er nur immer gewollt ; dennoch konnte er sich nicht des heimlichen Verdachts gegen sich selbst erwehren , der Mangel an den üblichen Staatskleidungsstücken hätte ihn so plötzlich auf und davon getrieben .	verdrüßlichen Reise in der Stadt angekommen .Zwar gefiel ihm die Hast , mit der er das Schloß und alle seine Reizungen , sobald es ihm Zeit zu sein gedünkt , verlassen , da es ihm nicht unbemerkt geblieben war , daß er die Empfindsamkeit des schönen Mädchens so hoch hätte hinauf spielen können , als er nur immer gewollt ; dennoch konnte er sich nicht des heimlichen Verdachts gegen sich selbst erwehren , der Mangel an den üblichen Staatskleidungsstücken hätte ihn so plötzlich auf und davon getrieben .– Die Uniform ist überhaupt gar nicht	1760	21	schlegld_florenti_florenti.tsv
VAINF	VAINF		VAINF	sein		In Deutschland soll jetzt ein wahres Chinafieber ausgebrochen	sein	... Von Goldmann einen Brief bekommen .	das wäre jetzt recht angenehm gewesen .In Deutschland soll jetzt ein wahres Chinafieber ausgebrochen sein ... Von Goldmann einen Brief bekommen .In jeder Weise hat man sich in	7912	8	heyking_tagebuec_tagebuec.tsv
VAINF	VAINF		VAINF	sein		« kommt herausgetrudelt , Atem hat er draußen geschöpft , und was er nun sagt , hört sich ungefähr folgendermaßen an : » Dein dämliches Gefrage ehrt den gemeinen Mann – der Majestät des Todes kann niemand entgehn – Wenn Sie meinen , daß Fantasia gut ist – mir soll sie nicht zu dick	sein	.	Sie mit !« kommt herausgetrudelt , Atem hat er draußen geschöpft , und was er nun sagt , hört sich ungefähr folgendermaßen an : » Dein dämliches Gefrage ehrt den gemeinen Mann – der Majestät des Todes kann niemand entgehn – Wenn Sie meinen , daß Fantasia gut ist – mir soll sie nicht zu dick sein .Sag ich Ihnen !	948	54	tucholsk_panterti_panterti.tsv
VAINF	VAINF		VAINF	sein		Mit gewohnter Kaltblütigkeit überlegte Adrian , ob er wohl in dem beobachtenden oder schon in dem praktischen Studium der Reise angelangt	sein	mochte .	Warum ist das so ?Mit gewohnter Kaltblütigkeit überlegte Adrian , ob er wohl in dem beobachtenden oder schon in dem praktischen Studium der Reise angelangt sein mochte .Ich liebe Wordsworth am meisten , und	8188	21	meredith_feverel_feverel.tsv
VAINF	VAINF		VAINF	sein		Ein solches zu suchen , ließ Fritz sich gleich am andern Tage angelegen	sein	.	ihres Vaters Haus komm' ich nicht .Ein solches zu suchen , ließ Fritz sich gleich am andern Tage angelegen sein .» Er holt sie mir doch nicht	863	13	taura_erzgebi1_erzgebi1.tsv
VAINF	VAINF		VAINF	sein		Als könnte man nicht ein Genie	sein	und zugleich ein Kavalier ?	Der Mann soll ein Genie sein .Als könnte man nicht ein Genie sein und zugleich ein Kavalier ?Aber so sind sie alle , diese	5647	6	vossr_brutusdu_brutusdu.tsv
VAINF	VAINF		VAINF	sein		Ich fand darin ein Stückchen Bernstein von der Gestalt eines Diskus , mit einem kleinen Loche in der Mitte , durch welches ein Draht oder Ring gegangen zu	sein	schien .	es mag gehören wem es will .Ich fand darin ein Stückchen Bernstein von der Gestalt eines Diskus , mit einem kleinen Loche in der Mitte , durch welches ein Draht oder Ring gegangen zu sein schien .Es sind zwei Rotunden , jetzt ziemlich	218	28	seume_syrakus_syrakus.tsv
