DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVIMP	NE		VVIMP	geben			Gib	dir keine Mühe !	, der vor mir davongelaufen ist !Gib dir keine Mühe !« » Hat dein großer Schech das	7726	0	may_sklaven_0inhalt.tsv
VVIMP	VVIMP		VVIMP	geben		Marggraf schauete wieder zu Amanda hinauf und bat : » Himmlisches Wesen ,	gib	mir ein Zeichen , daß mein Werk gelingt , gelungen !	Wonne ohne Maß und ein Freudengebet .Marggraf schauete wieder zu Amanda hinauf und bat : » Himmlisches Wesen , gib mir ein Zeichen , daß mein Werk gelingt , gelungen !– In den Räumen glänzte , tönte	3809	13	jeanpaul_komet_komet.tsv
VVIMP	VVFIN		VVFIN	geben		» Paul ,	gieb	mir den Brief .	, nichts , nichts , siehste ?» Paul , gieb mir den Brief .Ich hatte die drei Frauen gegrüßt ,	420	3	maupassa_horla_horla.tsv
VVIMP	NE		NN	halten		« »	Halt	, wir sprechen noch ein Wort zusammen !	, Georg , das geht nicht .« » Halt , wir sprechen noch ein Wort zusammen !In vierzehn Tagen , vermute ich ,	10177	2	kraftr_vestali5_vestali5.tsv
VVIMP	ADJD		ADJD	klauen		» Och wat , is allns ut de Finstern kommen , denn muß du ok rut , « reep Hein , hol Anna Susanna ut de Kök rut un nehm ehr op den Arm , so dull as se ok spaddeln dä ,	klau	mit ehr de Wanten dol un sett ehr op Deck hen .	nu » Ons Wilhelmintje « heet .» Och wat , is allns ut de Finstern kommen , denn muß du ok rut , « reep Hein , hol Anna Susanna ut de Kök rut un nehm ehr op den Arm , so dull as se ok spaddeln dä , klau mit ehr de Wanten dol un sett ehr op Deck hen .» Nu kiek an !	1749	43	fock_heingode_heingode.tsv
VVIMP	NN		VVFIN	kommen		»	Kommt	helfen , wir wollen ihn töten .	zornig , aber er sagte nichts .» Kommt helfen , wir wollen ihn töten .Ein anderer : Er sagt zu Mboloko	3287	1	einsteic_gaukler_gaukler.tsv
VVIMP	NE		VVIMP	lassen		XIV. 102. »	Laß	o Herr « – » Deines Kinds Gebet « – » Herr wir traun « .	Les Préludes ( nach Lamartine ) .XIV. 102. » Laß o Herr « – » Deines Kinds Gebet « – » Herr wir traun « .Aus allem Mißgeschick heraus aber entfaltet er	1042	3	lipsius_musistud_musistud.tsv
VVIMP	NE		VVIMP	lassen		« Sie schüttelte den Kopf : »	Laß	das , Johannes , es ist ein trauriges Lied , und ich habe eine unfrohe Stimme .	unberechenbarer erbebender Klang wie aufwühlend herausbrach .« Sie schüttelte den Kopf : » Laß das , Johannes , es ist ein trauriges Lied , und ich habe eine unfrohe Stimme .« Anna erschrak .	3535	7	waser_annawase_annawase.tsv
VVIMP	NE		VVIMP	lassen		»	Laßt	mich hier liegen , gnädiger Herr « , bat er mit schwacher Stimme , » und bringt Ursula in Sicherheit .	» Vater !» Laßt mich hier liegen , gnädiger Herr « , bat er mit schwacher Stimme , » und bringt Ursula in Sicherheit .Er wehrte ihn mit den Händen ab	2353	1	wichert_buergerm_buergerm.tsv
VVIMP	VVFIN		VVFIN	lassen		« Ach Gott » , sprach sie , sich wieder vor dem Kreuze niederwerfend , « erlöse uns von dem Übel und	laß	die Stadt nicht untergehen , bis daß mein Jucundus wiederkommt !	Wind in dem alten Gestein wühlt !« Ach Gott » , sprach sie , sich wieder vor dem Kreuze niederwerfend , « erlöse uns von dem Übel und laß die Stadt nicht untergehen , bis daß mein Jucundus wiederkommt !» rief der Mann hinter ihm ,	10375	22	dahn_rom_rom.tsv
VVIMP	VVFIN		VVFIN	lassen		Der Himmel will über mich einstürzen , so ängstigt mich deine grimmige wilde Miene :	laß	uns fliehen !	deiner Blicke erfüllt mich mit Entsetzen .Der Himmel will über mich einstürzen , so ängstigt mich deine grimmige wilde Miene : laß uns fliehen !– Was liegt dir im Sinne ,	1380	15	wezel_herrulr3_herrulr3.tsv
VVIMP	VVFIN		VVFIN	lassen		So	laß	sie kommen !	Hast du deine Frau bei dir ?So laß sie kommen !Was is denn ?	3760	1	ganghofe_hubertus_hubertus.tsv
VVIMP	VVFIN		VVFIN	lassen		« erwidert Plustra schon ein wenig energischer ; »	laßt	's Euch gut schmecken , Kinder !	der Ecke vom Markt wieder zusammenzutreffen .« erwidert Plustra schon ein wenig energischer ; » laßt 's Euch gut schmecken , Kinder !Der Vorschlag wurde aber mit lauter Zustimmung	6707	9	winterfe_toechter_toechter.tsv
VVIMP	NN		VVIMP	merken			Merke	ich nur ein einziges Mal , daß Thatkraft und Lust zur Sache erlahmen , ist's aus mit uns !	, » ich nehme Sie an .Merke ich nur ein einziges Mal , daß Thatkraft und Lust zur Sache erlahmen , ist's aus mit uns !Der Champagnergraf griff eilends in den ihm	5266	0	zobeltit_telamone_telamone.tsv
