DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVIZU	VVFIN		VVIZU	abfangen		« » Ja « , sagte Sam , » und es hat den außerordentlichen Vorteil , daß die Schließer äußerst bedacht sind , jedermann , der diese Schlechtigkeit begehen will , ohne sie bezahlt zu haben ,	abzufangen	, worauf die Sache in die Zeitungen kommt und sie wegen ihrer Wachsamkeit belobt werden .	Abend hat er außerordentliche Atmungsbeschwerden bekommen .« » Ja « , sagte Sam , » und es hat den außerordentlichen Vorteil , daß die Schließer äußerst bedacht sind , jedermann , der diese Schlechtigkeit begehen will , ohne sie bezahlt zu haben , abzufangen , worauf die Sache in die Zeitungen kommt und sie wegen ihrer Wachsamkeit belobt werden .– Kommen Sie zurück !	6702	37	dickens_pickwic2_pickwic2.tsv
VVIZU	VVIZU		VVIZU	absegeln		« Er war aber noch nicht weit gekommen , da stand er auf einem Berge , und darunter breitete sich ein großes Meer aus , und viele Schiffe gingen auf dem Meer , und andere liefen in den Hafen ein , und andere machten sich bereit , wieder	abzusegeln	.	wir nicht , « sprachen sie .« Er war aber noch nicht weit gekommen , da stand er auf einem Berge , und darunter breitete sich ein großes Meer aus , und viele Schiffe gingen auf dem Meer , und andere liefen in den Hafen ein , und andere machten sich bereit , wieder abzusegeln .Aber er sprach immer : » könnt	974	48	rudolphi_maehrche_maehrche.tsv
VVIZU	VVPP		VVIZU	abstreifen		Sollen wir zurückgezogenen einflußlosen Schriftsteller , die wir doch auch gewohnt sind , den Samen reeller Thatsachen von den Blüten der Erscheinung	abzustreifen	und in unserer Art auch Etwas für die Geschichte zu thun , die Gründlichkeit nur der Paulskirche und den Protokollen unserer Ständekammern , Interims- und Verwaltungsräthe überlassen ?	Also Das nicht , lieber Leser !Sollen wir zurückgezogenen einflußlosen Schriftsteller , die wir doch auch gewohnt sind , den Samen reeller Thatsachen von den Blüten der Erscheinung abzustreifen und in unserer Art auch Etwas für die Geschichte zu thun , die Gründlichkeit nur der Paulskirche und den Protokollen unserer Ständekammern , Interims- und Verwaltungsräthe überlassen ?.	42976	22	gutzkow_ritter_ritter.tsv
VVIZU	ADJA		VVIZU	anerkennen		Balzac habe behauptet , nachdem er ihren Ludgerus gelesen , die Westphalen müßten doch ein greulich dummes Volk sein , daß sie einen solchen Schatz nicht	anzuerkennen	gewußt &c .	daß es ihr wahrscheinlich kläglich geht .Balzac habe behauptet , nachdem er ihren Ludgerus gelesen , die Westphalen müßten doch ein greulich dummes Volk sein , daß sie einen solchen Schatz nicht anzuerkennen gewußt &c .Ihren litterarischen Bekannten B. Meyer habe ich	557	26	droste_brdroste_brdroste.tsv
VVIZU	VVIZU		VVIZU	anpassen		Früher hielt er es für bedeutend und notwendig , mit der Natur und den Menschen , die vor ihm gedacht , gelebt und gefühlt , den Philosophen und Dichtern der Vergangenheit , übereinzustimmen ; jetzt hielt er es für wichtig und notwendig , mit seinen Kameraden im Einverständnis zu leben und sich den gesellschaftlichen Gewohnheiten seiner Kreise	anzupassen	.	noch um sein eigenes Vergnügen kümmerte .Früher hielt er es für bedeutend und notwendig , mit der Natur und den Menschen , die vor ihm gedacht , gelebt und gefühlt , den Philosophen und Dichtern der Vergangenheit , übereinzustimmen ; jetzt hielt er es für wichtig und notwendig , mit seinen Kameraden im Einverständnis zu leben und sich den gesellschaftlichen Gewohnheiten seiner Kreise anzupassen .Man hatte wiederholt um sie angehalten ,	1076	57	tolstoi_auferst1_auferst1.tsv
VVIZU	VVIZU		VVIZU	aufbrechen		– Es war jedoch Zeit , wieder	aufzubrechen	; allein Fränzchen versuchte vergebens , sein Wildbret zu tragen ; nach einigem Überlegen aber sprang er mit Vergnügen auf und rief : » Jetzt weiß ich's .	Cavia Capybara vor mir zu haben .– Es war jedoch Zeit , wieder aufzubrechen ; allein Fränzchen versuchte vergebens , sein Wildbret zu tragen ; nach einigem Überlegen aber sprang er mit Vergnügen auf und rief : » Jetzt weiß ich's .Ich enthielt mich deswegen , ganz in	833	7	wyssjung_schwrobi_schwrobi.tsv
VVIZU	VVIZU		VVIZU	aufheben		« Ljuba bückte sich , um das gelbe Blatt einer Pappel	aufzuheben	, seufzte und sprach : » In unserem Innern ist alles nicht so , wie wir es sehen .	immer kürzer und verschwindet schließlich ganz .« Ljuba bückte sich , um das gelbe Blatt einer Pappel aufzuheben , seufzte und sprach : » In unserem Innern ist alles nicht so , wie wir es sehen .Aber jener wiederholte leise und gleichsam flehend	3987	11	gorki_klimsamg_klimsamg.tsv
VVIZU	VVFIN		VVINF	auflauern		Der König , welcher Nachricht davon bekommen hatte , zog in eigener Person mit 3000 Mann aus , dem General Sparr	aufzulauern	, und glücklicherweise traf er ihn gerade , als sein Korps zerstreut war ; er griff ihn an , zersprengte einen Teil desselben und den Rest in wenig Stunden darauf , so daß 1000 Mann auf dem Platze blieben und der General Sparr selbst gefangen genommen wurde .	Vaters und meiner Freunde glücklich ankam .Der König , welcher Nachricht davon bekommen hatte , zog in eigener Person mit 3000 Mann aus , dem General Sparr aufzulauern , und glücklicherweise traf er ihn gerade , als sein Korps zerstreut war ; er griff ihn an , zersprengte einen Teil desselben und den Rest in wenig Stunden darauf , so daß 1000 Mann auf dem Platze blieben und der General Sparr selbst gefangen genommen wurde .Doch ich lasse das alles dahingestellt und	10	21	defoe_denkwuer_denkwuer.tsv
VVIZU	VVIZU		VVIZU	aufpassen		Nur zu mir herüber kam sie in ihrer Furcht und bat mich , sie zu schützen und ein wenig	aufzupassen	.	Er belagerte die Frau Megner .Nur zu mir herüber kam sie in ihrer Furcht und bat mich , sie zu schützen und ein wenig aufzupassen .Den ganzen Tag , wenn er sie	1005	19	stoessl_menschdm_menschdm.tsv
VVIZU	VVFIN		VVIZU	ausharren		Dies ging jedoch vorüber , und der Stoizismus seiner Rasse befähigte ihn , auf seinem Posten	auszuharren	bis zuletzt .	sofort , daß das äußerste herannahte .Dies ging jedoch vorüber , und der Stoizismus seiner Rasse befähigte ihn , auf seinem Posten auszuharren bis zuletzt .So sprechend erhob er sich von der	5971	16	scherr_pilgerwi_pilgerwi.tsv
