DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAIMP	NE		VAIMP	sein		Ueberm Wasser tönt der Geister Sturmgesang und Schicksalsgruß ;	Sei	lebendig , ruft der Meister , Gruppe aus dem Tartarus !	Fünfte war der Herr der Welt .Ueberm Wasser tönt der Geister Sturmgesang und Schicksalsgruß ; Sei lebendig , ruft der Meister , Gruppe aus dem Tartarus !Die Hörer rings im Kreise Sind tief	766	9	keim_sturmges_sturmges.tsv
VAIMP	NE		VAFIN	sein		» Ursache wird sie sein von grausen Kriegen , Von wüster Tat , von Sohn- und Vaterzwist ; Wird dienstbar sein jedwedem Mißvergnügen , Wie trockner Brennstoff es dem Feuer ist ; Nie , seit der Tod mein Lieb mir weggediebt ,	Sei	froh der Liebe , wer am besten liebt .	Lieb' nur , Lieb' zu schmähen !» Ursache wird sie sein von grausen Kriegen , Von wüster Tat , von Sohn- und Vaterzwist ; Wird dienstbar sein jedwedem Mißvergnügen , Wie trockner Brennstoff es dem Feuer ist ; Nie , seit der Tod mein Lieb mir weggediebt , Sei froh der Liebe , wer am besten liebt .Es ist ein Borgen – ich mag	159	42	shakespr_venusado_venusado.tsv
VAIMP	NN		VAFIN	sein		13	Sei	vorsichtig , doch seis nicht allzusehr , Am meisten seis beim Meth Und bei des Andern Weib ; auch wahre dich Zum dritten vor der Diebe List .	Vögel Krankheit , Zeit der Stürme .13 Sei vorsichtig , doch seis nicht allzusehr , Am meisten seis beim Meth Und bei des Andern Weib ; auch wahre dich Zum dritten vor der Diebe List .) Wie ist der Winter zu bezeichnen	958	1	simrock_edda_edda.tsv
VAIMP	NE		VAIMP	sein		–	Sei	freute sick doræwer , frog em æwer nich , denn wenn sei ok Allens girn weiten müggt , so was sei doch grad' nich niglich .	lütte , thüringsche Kopmann woll seggt .– Sei freute sick doræwer , frog em æwer nich , denn wenn sei ok Allens girn weiten müggt , so was sei doch grad' nich niglich .– › Mit uns'rer Macht ist nichts	1524	1	reuter_montecch_montecch.tsv
VAIMP	NE		VAFIN	sein		Mit den Worten : «	Sei	unbesorgt , mein Kind , ich werde deine Sache nicht vergessen « – setzte sie sich in der Sänfte zurecht , mit der sich die Diener sofort entfernten .	Wiedersehen beim Feste , mein Prinz !Mit den Worten : « Sei unbesorgt , mein Kind , ich werde deine Sache nicht vergessen « – setzte sie sich in der Sänfte zurecht , mit der sich die Diener sofort entfernten .– So sagt Kala Rama .	305	5	gjelleru_weltwand_weltwand.tsv
VAIMP	NE		VAFIN	sein		« »	Sei	unbesorgt !	« » Was stand darin ?« » Sei unbesorgt !.	2656	2	landsbrg_reichenb_reichenb.tsv
VAIMP	NE		VAFIN	sein		« « – Von	Sei	geiht .	S' tau Höcht Ehr leiwen Röck .« « – Von Sei geiht .« Un seggt mit höflichen Gesnatter :	953	4	reuter_huesung_huesung.tsv
VAIMP	NE		VAFIN	sein			Sei	stark , lieber Bruder !	Auch Du , mein treuer Basilios !Sei stark , lieber Bruder !Julian .	9591	0	ibsen_kaiser_kaiser.tsv
VAIMP	NE		VAIMP	sein		« – »	Seid	uns willkommen , frommer Vater !	seid ; ich will euch erquicken !« – » Seid uns willkommen , frommer Vater !» Es ist eine schwere Trübsal eingezogen	3759	3	may_waldroe1_waldroe1.tsv
VAIMP	NN		VAIMP	sein		Allmählich wandte er sich wieder zu Peggotty um und fragte von neuem : »	Seid	Ihr hübsch wohlauf ?	mühsame und zeitraubende Worte zu gebrauchen .Allmählich wandte er sich wieder zu Peggotty um und fragte von neuem : » Seid Ihr hübsch wohlauf ?Barkis sogleich etwas Platz machte und nach	1359	14	dickens_copperf1_copperf1.tsv
