DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMPP	VVPP		ADJD	wollen		‹ Aber alliweil haben 's von mir a Geständniß	g'wollt	.	g'wesen – s'is nöt zan derzählen .‹ Aber alliweil haben 's von mir a Geständniß g'wollt .Aber das Ohr des Gesetzes wachte um	805	9	franzos_halbasi2_halbasi2.tsv
VMPP	VVPP		VMPP	wollen		Ich habe recht gerne eure Gattin werden	gewollt	, der Vater hat euch auch in hohem Grade lieb ; – aber da nun alles anders geworden ist , muß ich euch sagen , daß es nicht mehr geschehen kann .	ich gar schon in Pirling draußen .Ich habe recht gerne eure Gattin werden gewollt , der Vater hat euch auch in hohem Grade lieb ; – aber da nun alles anders geworden ist , muß ich euch sagen , daß es nicht mehr geschehen kann .Und wenn die Föhren ihre Nadeln fallen	841	7	stifter_mappe_mappe.tsv
VMPP	VVFIN		VMPP	wollen		– Sie hatte erreicht , was sie	gewollt	, niemand dachte mehr daran , ihr nachzulaufen ; den Hof zu retten war dringendere Arbeit , und alle Hände halfen dabei .	daß man sie weithin sehen mußte .– Sie hatte erreicht , was sie gewollt , niemand dachte mehr daran , ihr nachzulaufen ; den Hof zu retten war dringendere Arbeit , und alle Hände halfen dabei .« Wally hörte Geräusch hinter sich –	678	7	hillern_geierwal_geierwal.tsv
VMPP	VVPP		VMPP	wollen		Aber er sei im Grunde der Seele ein guter Mensch , und wie er sich eben jetzt betragen , da er gehört , es stehe übel um ihre Umstände , und daß er sie dennoch	gewollt	, obwohl er sie mit einem verarmten Hause und fünf Geschwistern übernehmen müsse , das sei doch auch ein Zeichen von einer festen und redlichen Gesinnung , und sie hoffe , mit der Zeit werde es recht ordentlich gehen .	von Einem zum Andern drehen könne .Aber er sei im Grunde der Seele ein guter Mensch , und wie er sich eben jetzt betragen , da er gehört , es stehe übel um ihre Umstände , und daß er sie dennoch gewollt , obwohl er sie mit einem verarmten Hause und fünf Geschwistern übernehmen müsse , das sei doch auch ein Zeichen von einer festen und redlichen Gesinnung , und sie hoffe , mit der Zeit werde es recht ordentlich gehen .Wie schwer es ihr werde , das	739	35	heyse_pfadfind_pfadfind.tsv
VMPP	VVPP		VMPP	wollen		Hierüber war nun ihr königlicher Herr Vater , der lieber	gewollt	hätte , sie möge sich bucklich lachen , sehr unwillig und wendete alles an , um sie aufzuheitern .	sehr liebte und darum Liebseelchen nannte .Hierüber war nun ihr königlicher Herr Vater , der lieber gewollt hätte , sie möge sich bucklich lachen , sehr unwillig und wendete alles an , um sie aufzuheitern .» Herr , da ist er !	1684	10	brentano_italmaer_italmaer.tsv
VMPP	VVPP		VMPP	wollen		Ich hätte sie tausendmal besitzen können , wenn ich es	gewollt	hätte , aber meiner Treu , es ist unmöglich !	Fräulein DuchesnoisBerühmte Tragödin ( 1777–1835 ) .Ich hätte sie tausendmal besitzen können , wenn ich es gewollt hätte , aber meiner Treu , es ist unmöglich !Aber gestern war ich in » Philinte	9815	10	stendhal_ichmensc_ichmensc.tsv
VMPP	VVPP		VMPP	wollen		Die Königin erteilte den Mördern einen Schutzbrief , erklärte jedoch , daß sie keineswegs den Tod des Seneschalls	gewollt	habe .	Luigi Contarino , Antichità di Napoli .Die Königin erteilte den Mördern einen Schutzbrief , erklärte jedoch , daß sie keineswegs den Tod des Seneschalls gewollt habe .« Sergiannis Mutter war die Tochter eines	1741	18	platen_neapel_neapel.tsv
VMPP	VVPP		VMPP	wollen		Drehen , drehen , so wie's die Schnur	gewollt	hatte .	und auf einmal war alles nichts .Drehen , drehen , so wie's die Schnur gewollt hatte .Es ist unbedingt wahr .	3157	8	holzamer_jahrtag_jahrtag.tsv
VMPP	VVPP		VMPP	wollen		Das eben hatte Alexander	gewollt	.	, die dem Sieger Alexander huldigten .Das eben hatte Alexander gewollt ..	7508	4	birt_alexand_alexand.tsv
VMPP	VMPP		VMPP	wollen		Libanza erzählte das Geschehene und sagte , Ntsongo habe seinen Tod	gewollt	.	Schwester Ntsongos und seinen Bruder wiederzufinden .Libanza erzählte das Geschehene und sagte , Ntsongo habe seinen Tod gewollt .Dann rupfte sie Kräuter , um Glut	3216	11	einsteic_gaukler_gaukler.tsv
