DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
$.	$.		$.	!		Ach	!		Uberwindet euch aber / schöne Prinzessin !Ach !Aus den unmöglichen ümständen / die unsere	25543	1	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
$.	$.		$.	!		» Will 's schon behalten	!		» Keine Antwort !» Will 's schon behalten !« » Ich werde mich dadurch geehrt	11259	5	56361-Hackl_nder__Friedrich_Wilhelm_von.tsv
$.	$.		$.	!		hohoho	!		« » Wie ?hohoho !Auch vom Rhein beziehen wir jetzt Alles	341	1	26924-Franzos__Karl_Emil.tsv
$.	$.		$.	.		Endlich begann Egloff wieder zu sprechen : » Sie sehen , dieses Haus schüchtert mich so ein , ich unterlasse wahrscheinlich wichtige Dinge	.		Hand , und dann schwiegen sie .Endlich begann Egloff wieder zu sprechen : » Sie sehen , dieses Haus schüchtert mich so ein , ich unterlasse wahrscheinlich wichtige Dinge .« – » Gottlos , « wiederholte	653	23	66883-Keyserling__Eduard_von.tsv
$.	$.		$.	.		Wenn die Entscheidung zugunsten Amerikas ausfällt , wird ein Teil der Claims am Forty Miles Creek amerikanisch	.		Herr Skim , entgegnete der Scout .Wenn die Entscheidung zugunsten Amerikas ausfällt , wird ein Teil der Claims am Forty Miles Creek amerikanisch .Doch um von da aus nach der	6333	17	107542-Verne__Jules.tsv
$.	$.		$.	.		An seinem Bett saß stumm , die dunklen Augen fast bewegungslos auf sein Gesicht geheftet , Abdallah ben Zarujah , der Emir aus der Hedjas , und am andern Ende der stumpfsinnige Schützling Nini's	.		hob den Vorhang und öffnete sie .An seinem Bett saß stumm , die dunklen Augen fast bewegungslos auf sein Gesicht geheftet , Abdallah ben Zarujah , der Emir aus der Hedjas , und am andern Ende der stumpfsinnige Schützling Nini's .« Trotz aller Vorsicht der Obrigkeit ,	11048	34	31528-Goedsche__Herrmann.tsv
$.	$.		$.	.		Die Spahis , von der Bevölkerung gern aufgenommen , verteilten sich in verschiedene arabische Häuser , während der Ingenieur und die Offiziere die Gastfreundschaft eines Landsmannes annahmen	.		, untermischt mit mehreren französischen Kolonisten .Die Spahis , von der Bevölkerung gern aufgenommen , verteilten sich in verschiedene arabische Häuser , während der Ingenieur und die Offiziere die Gastfreundschaft eines Landsmannes annahmen .– Das glaube ich !	708	27	107546-Verne__Jules.tsv
$.	$.		$.	.		Nun aber hör ich ihn sagen : Die Welt , die Cäsarn dient , ist meiner nicht mehr wert	.		auch nachher mit seinem Unglücke bekannt .Nun aber hör ich ihn sagen : Die Welt , die Cäsarn dient , ist meiner nicht mehr wert .Schrecken !	886	19	73651-Lessing__Gotthold_Ephraim.tsv
$.	$.		$.	.		« » Die Zustimmung zu meinem Selbst in einem andern	.		» O nein , nein !« » Die Zustimmung zu meinem Selbst in einem andern .Und wenn ich weich gewesen wäre ,	1543	10	64877-Janitschek__Maria.tsv
$.	$.		$.	.		« Er trat , angetan mit dem neuen Kleidungsstück , ein	.		werde sie auch später wieder bekämpfen .« Er trat , angetan mit dem neuen Kleidungsstück , ein .Ganz plötzlich ward es still .	646	11	80060-M_hsam__Erich.tsv
