DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPO	APPO		APPO	entgegen		Da rief der Bürgermeister rasch die rathlosen Bürger auf dem Markte zusammen und forderte sie auf , freiwillig zurückzubleiben und sich den Hussiten	entgegen	zu werfen , auf daß Greise , Weiber und Kinder indeß Zeit zum Entrinnen gewinnen könnten .	Abschied genommen , dem Feinde entgegen .Word Als die Hussiten im Jahre 1429 durch das Land Meißen zogen und Alles mit Mord und Brand verwüsteten , kamen sie auch in das sächsische Hochland und zwar in die Nähe des in einem der tiefsten und schönsten Thäler Sachsens liegenden Städtchens Gottleuba , welches zum Amte Pirna gehört .Word Als die Hussiten im Jahre 1429	2	23	52395-Gr_sse__Johann_Georg_Theodor.tsv
APPO	PTKVZ		PTKVZ	entgegen		Nichts am Horizont , als gegen vier Uhr Abends ein langes Dampfboot , welches westlich uns	entgegen	fuhr .	des Tages auf der Plateform zu .Nichts am Horizont , als gegen vier Uhr Abends ein langes Dampfboot , welches westlich uns entgegen fuhr .Da konnte man ihn wohl für ein	5209	16	107494-Verne__Jules.tsv
APPO	PTKVZ		APPO	entgegen		Der aber ließ ihn dort nicht ruhen , da sprach Christus , der seiner Kreuzigung	entgegen	ging : » Ich will ruhen und Du sollst wandern !	auf einer Wiese die Pferdelende herunter .Der aber ließ ihn dort nicht ruhen , da sprach Christus , der seiner Kreuzigung entgegen ging : » Ich will ruhen und Du sollst wandern !Sein Hund klafft .	62	15	86421-Pr_hle__Heinrich.tsv
APPO	APZR		APPO	entlang		« In der Süderstraße meiner Vaterstadt , dem Gäßchen gegenüber , das nach dem St.-Jürgens-Kirchhof und über diesen an dem Stift	entlang	nach der Norderstraße führt , stand seit Anfang des 17. Jahrhunderts ein kleines Haus , über dessen Eingangstür sich ein in Sandstein ausgehauenes Bild befand : ein Mann in einem Schifflein , zu dem durch hohe Wellen der Tod geschwommen war und schon den Mann zu sich ins Meer hinabriß ; darunter stand : » Up Land un See « .	wie sie in der meinen bebte .« In der Süderstraße meiner Vaterstadt , dem Gäßchen gegenüber , das nach dem St.-Jürgens-Kirchhof und über diesen an dem Stift entlang nach der Norderstraße führt , stand seit Anfang des 17. Jahrhunderts ein kleines Haus , über dessen Eingangstür sich ein in Sandstein ausgehauenes Bild befand : ein Mann in einem Schifflein , zu dem durch hohe Wellen der Tod geschwommen war und schon den Mann zu sich ins Meer hinabriß ; darunter stand : » Up Land un See « .Der Alte nickte : » Das hoffen	56	21	99899-Storm__Theodor.tsv
APPO	APPR		APPR	entlang		Aber sie spürte , wie sein Blick sich ihr	entlang	schmeichelte bis an ihren Nacken , wo sie ihn eine Weile körperlich zu empfinden glaubte , bis sie endlich merkte , daß es ein Grashalm war , der sie kitzelte .	hintereinander drei Glas Wein getrunken habe ?Aber sie spürte , wie sein Blick sich ihr entlang schmeichelte bis an ihren Nacken , wo sie ihn eine Weile körperlich zu empfinden glaubte , bis sie endlich merkte , daß es ein Grashalm war , der sie kitzelte .Noch verzückter und durstiger als die ,	655	9	97226-Schnitzler__Arthur.tsv
APPO	APPR		APPO	gegenüber		Nun begann Sankt Peter mit Gewandtheit die Verteidigung aber es war ihm nicht möglich , den eklatanten Beweisen	gegenüber	durchzudringen , die Herr Donnerschlag auf den Tisch des Hauses niederlegte .	Händen der strafenden Gerechtigkeit entrissen hatte .Nun begann Sankt Peter mit Gewandtheit die Verteidigung aber es war ihm nicht möglich , den eklatanten Beweisen gegenüber durchzudringen , die Herr Donnerschlag auf den Tisch des Hauses niederlegte .» Im schlimmsten Falle müssen wir den	19	18	88598-Reventlow__Franziska_Gr_fin_zu.tsv
APPO	APPO		APPO	gegenüber		« – Nach dieser Rede , die Emerentien gewiß jeder Leserin von Gemüt teuer macht , setzte sie sich dem Delphin	gegenüber	auf einen unförmlichen Rasenhügel , der ehemals eine Bergère gewesen war , und fuhr fort , herzbrechende Seufzer auszustoßen .	Seele aus tausend Wunden bluten machen .« – Nach dieser Rede , die Emerentien gewiß jeder Leserin von Gemüt teuer macht , setzte sie sich dem Delphin gegenüber auf einen unförmlichen Rasenhügel , der ehemals eine Bergère gewesen war , und fuhr fort , herzbrechende Seufzer auszustoßen .Wie höhlt sie das Herz aus !	4140	21	64595-Immermann__Karl.tsv
APPO	APPR		APPO	gegenüber		Daß auf diesem Wege der Erziehung schwere Fälle vorkommen , wo man dem kühnen Fragegeist des Kindes	gegenüber	in Verlegenheit kommt , ist gewiß .	denen sie sich noch gegenwärtig befindet .Daß auf diesem Wege der Erziehung schwere Fälle vorkommen , wo man dem kühnen Fragegeist des Kindes gegenüber in Verlegenheit kommt , ist gewiß .Ferner : sie zurückzuhalten von voreiligem Urteil	3552	17	79882-Meysenbug__Malwida_Freiin_von.tsv
APPO	APPR		APPO	gegenüber		» Nun , das läßt sich wohl alles mit der Zeit ersetzen , aber hier « – mit diesen wenigen einfachen Worten hatte er seine enormen pekuniären Verluste dem Unglück des jungen Mädchens	gegenüber	abgewogen .	Ja , was für ein Mann !» Nun , das läßt sich wohl alles mit der Zeit ersetzen , aber hier « – mit diesen wenigen einfachen Worten hatte er seine enormen pekuniären Verluste dem Unglück des jungen Mädchens gegenüber abgewogen .Er sah lange in das aufgebrochene Hünengrab	4071	33	78773-Marlitt__Eugenie.tsv
APPO	APPO		APPO	gegenüber		Die Unterweisungen des Abbé T. hatten mir allerdings die Augen geöffnet , und ich wußte recht gut , wie wir uns hier auf der Welt dem lieben Gott und den Gesetzen der Menschen	gegenüber	zu verhalten haben , aber von dem Treiben der Menschen hatte ich gar keine Ahnung .	hierdurch konnte seine Rache befriedigt werden .Die Unterweisungen des Abbé T. hatten mir allerdings die Augen geöffnet , und ich wußte recht gut , wie wir uns hier auf der Welt dem lieben Gott und den Gesetzen der Menschen gegenüber zu verhalten haben , aber von dem Treiben der Menschen hatte ich gar keine Ahnung .Ihre Eitelkeit war verletzt , und um	1361	33	3757-Argens__Jean_Baptiste_Boyer__Marquis_d_.tsv
APPO	APPO		APPO	gegenüber		Der Kapitän Bourcart befand sich dem Kapitän King	gegenüber	vor dem Winde , und dadurch , daß er um ein Viertel anlufen ließ , vergrößerte er bald die Entfernung zwischen den beiden Fahrzeugen .	.Der Kapitän Bourcart befand sich dem Kapitän King gegenüber vor dem Winde , und dadurch , daß er um ein Viertel anlufen ließ , vergrößerte er bald die Entfernung zwischen den beiden Fahrzeugen ..	2115	8	107540-Verne__Jules.tsv
APPO	PTKVZ		APPO	halber		Jener rechte Schächer , so mit dem Weltheiland , zwar begangener eignen Missethaten	halber	, auf dem Berg Kalvariä an das Kreuz geheftet worden , wie er vernommen und in seine Ohren gehört , daß sein Mitkamerad etliche gotteslästerische Wort ausgesprengt , gedachte bei sich selbst , daß er nicht könne solches verantworten bei Gott , und solgsam kein Kind der Seligkeit werden , wann er nicht seinen Mitgespan von solcher Unthat sollte abmahnen , und ihm seine verübte Frechheit verweisen .	vom Wasser ins ewige Feuer gerathen .Jener rechte Schächer , so mit dem Weltheiland , zwar begangener eignen Missethaten halber , auf dem Berg Kalvariä an das Kreuz geheftet worden , wie er vernommen und in seine Ohren gehört , daß sein Mitkamerad etliche gotteslästerische Wort ausgesprengt , gedachte bei sich selbst , daß er nicht könne solches verantworten bei Gott , und solgsam kein Kind der Seligkeit werden , wann er nicht seinen Mitgespan von solcher Unthat sollte abmahnen , und ihm seine verübte Frechheit verweisen .« Es ist ein Pflaster , auf	15567	13	4-Abraham_a_Sancta_Clara.tsv
APPO	APPO		APPO	halber		Der Rath / welcher wohl wuste : daß die Römer mit den Deutschen nicht Ruhms- sondern ihrer Wohlfahrt	halber	zu fechten hätten / erwieß den Gesandten grosse Ehre / zeigte ihnen alle denckwürdige Sachen der Stadt / und unter andern die unschätzbaren Bilder und Gemälde / welche Mu & ius aus der eingeäscherten Stadt Corinth nach Rom bracht hatte ; unter welchen ein auff einen alten Stab sich lehnender Hirte überaus hochgehalten ward .	er vorher seinen Anspruch ihnen eroffnen .Der Rath / welcher wohl wuste : daß die Römer mit den Deutschen nicht Ruhms- sondern ihrer Wohlfahrt halber zu fechten hätten / erwieß den Gesandten grosse Ehre / zeigte ihnen alle denckwürdige Sachen der Stadt / und unter andern die unschätzbaren Bilder und Gemälde / welche Mu & ius aus der eingeäscherten Stadt Corinth nach Rom bracht hatte ; unter welchen ein auff einen alten Stab sich lehnender Hirte überaus hochgehalten ward .Dieser Vortrag und Erbieten bewegte die Deutschen	1754	18	78039-Lohenstein__Daniel_Casper_von.tsv
APPO	PTKVZ		APPO	halber		Erato fiel ihr bey / und sagte : daß die Amaltheische Ziege ihrer guten und mit Honig vermischten Milch	halber	/ damit Jupiter auf Creta / wie Esculapius mit Hunds-Milch soll ernähret worden seyn / unter die Gestirne kommen wäre ; ihrer viel in Morgenland pflegten auch deswegen nach eingesa leten Früchten mit Ziegen-Milch ihre Bäume /Aecker und Wiesen anzufeuchten : daß sie folgendes Jahr desto fruchtbarer seyn mögen .	meist trocknende Kräuter und Blätter ässen .Erato fiel ihr bey / und sagte : daß die Amaltheische Ziege ihrer guten und mit Honig vermischten Milch halber / damit Jupiter auf Creta / wie Esculapius mit Hunds-Milch soll ernähret worden seyn / unter die Gestirne kommen wäre ; ihrer viel in Morgenland pflegten auch deswegen nach eingesa leten Früchten mit Ziegen-Milch ihre Bäume /Aecker und Wiesen anzufeuchten : daß sie folgendes Jahr desto fruchtbarer seyn mögen .Zu Athen wäre es auch straffbar /	9923	19	78039-Lohenstein__Daniel_Casper_von.tsv
APPO	APPO		APPO	halber		Sie erfreute sich ja / ihrer Königin und dieses Prinzen	halber	/ über seiner unschuld : doch betaurete sie darneben den edlen Cimber / dessen liebe ihr nicht unbekant war / und sahe sie ihm sein anligen wol an / ob er gleich solches verbergen wolte .	der Ammonide für eine beschaffenheit håtte .Sie erfreute sich ja / ihrer Königin und dieses Prinzen halber / über seiner unschuld : doch betaurete sie darneben den edlen Cimber / dessen liebe ihr nicht unbekant war / und sahe sie ihm sein anligen wol an / ob er gleich solches verbergen wolte .( fragte Abimelech ) ich erinnere mich	12335	10	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
APPO	ADV		APPO	halber		– Werdet Ihr den Durst Eurer Geliebten nach Eurem Geheimnisse – nicht durch eine Unwahrheit löschen , keine Lerche über die Stadt fliegen lassen , sondern Muth genug haben , Nein zu sagen , wo Ihr Gewissens	halber	nicht Ja sagen könnt ?	Lerche nicht fliegen als diese Nachricht .– Werdet Ihr den Durst Eurer Geliebten nach Eurem Geheimnisse – nicht durch eine Unwahrheit löschen , keine Lerche über die Stadt fliegen lassen , sondern Muth genug haben , Nein zu sagen , wo Ihr Gewissens halber nicht Ja sagen könnt ?Um sie zu befriedigen , gab der	8595	37	62296-Hippel__Theodor_Gottlieb_von.tsv
APPO	ADV		APPO	hinunter		Der ihm so wohlwollend zugewandte Greis hatte sich von ihm die kleine Haustreppe	hinunter	in ein Gemach führen lassen , das zwar eine sehr angenehme Kühle verbreitete , aber bald für ihn ein Gegenstand des Schreckens werden sollte .	seiner Familie zu weit geführt hätte .Der ihm so wohlwollend zugewandte Greis hatte sich von ihm die kleine Haustreppe hinunter in ein Gemach führen lassen , das zwar eine sehr angenehme Kühle verbreitete , aber bald für ihn ein Gegenstand des Schreckens werden sollte .Die Damen grüßten ihn durch eine leichte	10447	13	56355-Gutzkow__Karl.tsv
APPO	APPR		APPO	nach		Der Prediger konnte sich in der Nähe des Generals gar nicht behaglich fühlen , und es war ihm also sehr erwünscht zu vernehmen , daß die Rückkehr	nach	sei nem Pfarrhause ohne Gefahr zu bewerkstelligen sei ; er beschloß daher , seine Familie auf dem Schlosse zu lassen , wo er sie unter dem unmittelbaren Schutze des feindlichen Generals am Sichersten glaubte , und kehrte mit dem Arzte nach dem Dorfe zurück , um selbst zu sehen , wie es den Bauern erginge .	ist diese Scheidewand für Frankreich gesunken .Der Prediger konnte sich in der Nähe des Generals gar nicht behaglich fühlen , und es war ihm also sehr erwünscht zu vernehmen , daß die Rückkehr nach sei nem Pfarrhause ohne Gefahr zu bewerkstelligen sei ; er beschloß daher , seine Familie auf dem Schlosse zu lassen , wo er sie unter dem unmittelbaren Schutze des feindlichen Generals am Sichersten glaubte , und kehrte mit dem Arzte nach dem Dorfe zurück , um selbst zu sehen , wie es den Bauern erginge .Hätten Sie mir die nicht schriftlich geben	5444	27	11308-Bernhardi__Sophie.tsv
APPO	VVFIN		APPO	ungeachtet		Früh vier Uhr hatte sie jeglichen Tag heftige Anwandlungen , und der Derwisch sagte , hier sei noch Etwas von Zauberei verborgen , wohinter er , alles Fragens bei der Prinzeßin	ungeachtet	, nicht kommen könnte .	und um die Prinzeßin werben könnte .Früh vier Uhr hatte sie jeglichen Tag heftige Anwandlungen , und der Derwisch sagte , hier sei noch Etwas von Zauberei verborgen , wohinter er , alles Fragens bei der Prinzeßin ungeachtet , nicht kommen könnte .« Sie hatte alle Anstalten getroffen ,	77	31	71798-L_hr__Johann_Andreas_Christian.tsv
APPO	APPR		APPO	wegen		Schon ihrer Rasse	wegen	hätten sie sich schwerlich vertragen .	und eilt auf die Herzogin zu .Schon ihrer Rasse wegen hätten sie sich schwerlich vertragen .Der kleine sich sträubende Löwe , der	5207	3	107526-Verne__Jules.tsv
APPO	APPR		APPO	wegen		Sie hatte ein Zettelchen an ihren Mann aufs Land geschrieben , wo er sich Geschäfte	wegen	aufhielt .	, was ich ein Kind bin !Sie hatte ein Zettelchen an ihren Mann aufs Land geschrieben , wo er sich Geschäfte wegen aufhielt .– Gute Nacht !	1478	15	32552-Goethe__Johann_Wolfgang.tsv
