DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
CARD	CARD		CARD	105			105	Dann er macht die gleich in einer guldenen Ketten solcher seltzame weiß von weitem herauß gehen / daß sie in sein Hand / wie sie ein ansehen hatte / sich erstreckten / vnn gleichwol die Kett hernachgehends vberall gantz befunden ward .	/ vnnd noch in Leben ist .105 Dann er macht die gleich in einer guldenen Ketten solcher seltzame weiß von weitem herauß gehen / daß sie in sein Hand / wie sie ein ansehen hatte / sich erstreckten / vnn gleichwol die Kett hernachgehends vberall gantz befunden ward .Nach fůnff Stunden / als sie wider	2072	0	14106-Bodin__Jean.tsv
CARD	CARD		CARD	12			12	Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .	Geld dar / auff einer wage .12 Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .DA merckt ich / das des HERRN	3953	0	78101-Luther__Martin.tsv
CARD	CARD		CARD	1821		Ich habe schon im vergangenen Jahre in Neapel (	1821	) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .	, in eine köstliche Frucht verwandelt .Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .Ist unsre Geliebte unsre vertrauteste Freundin geworden	2182	9	99251-Stendhal.tsv
CARD	CARD		CARD	82			82	Dise bekanten / daß sie / damit sie dem Großhofmeister Mumold das leben fristeten / des Königs Sohn vmb das leben gebracht hettē .	Jedoch ist diß nichts newes .82 Dise bekanten / daß sie / damit sie dem Großhofmeister Mumold das leben fristeten / des Königs Sohn vmb das leben gebracht hettē .97 Vnd es schemt es hab Plato	2435	0	14106-Bodin__Jean.tsv
CARD	CARD		CARD	893		Es waren aber sechs Dutzet altfränkische silberne Tischbecher , ein groß gulden Pokal , etliche Duplet , vier silberne und ein guldenes Salzfaß , eine altfränkische guldne Kette , unterschiedliche Diamanten , Rubinen , Saphiren und Schmaragden , beides in Ringen und andern Kleinodien gefasset ; item ein ganz Lädlein voll großer Perlen , aber alle verdorben oder abgestanden , und dann in einem versporten ledernen Sack achtzig von den ältisten Joachimstalern aus feinem Silber , sodann	893	Goldstücke mit dem französischen Wappen und einem Adler , welche Münze niemand kennen wollte , weil man , wie sie sagten , die Schrift nicht lesen konnte .	erst durch den Schuß geöffnet hatte .Es waren aber sechs Dutzet altfränkische silberne Tischbecher , ein groß gulden Pokal , etliche Duplet , vier silberne und ein guldenes Salzfaß , eine altfränkische guldne Kette , unterschiedliche Diamanten , Rubinen , Saphiren und Schmaragden , beides in Ringen und andern Kleinodien gefasset ; item ein ganz Lädlein voll großer Perlen , aber alle verdorben oder abgestanden , und dann in einem versporten ledernen Sack achtzig von den ältisten Joachimstalern aus feinem Silber , sodann 893 Goldstücke mit dem französischen Wappen und einem Adler , welche Münze niemand kennen wollte , weil man , wie sie sagten , die Schrift nicht lesen konnte .Als der Schuß geschehen , wieherte mein	4148	77	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
CARD	CARD		CARD	9			9	) Wie man Abrechnung mit seiner Moralität halten solle .	sondern ein aufrichtiger und gerechter Freund !9 ) Wie man Abrechnung mit seiner Moralität halten solle .7 ) Sei Dir ein angenehmer Gesellschafter	2468	0	68043-Knigge__Adolph_Freiherr_von.tsv
CARD	CARD		CARD	acht		‹ Mein Alter aber saß am Bett und rechnete an den Fingern : › Eins , zwei , vier –	acht	.	Nit raus ?‹ Mein Alter aber saß am Bett und rechnete an den Fingern : › Eins , zwei , vier – acht .Nit raus ?	1682	20	86993-Raabe__Wilhelm.tsv
CARD	ADJD		ADJD	achtzig		Es waren aber sechs Dutzet altfränkische silberne Tischbecher , ein groß gulden Pokal , etliche Duplet , vier silberne und ein guldenes Salzfaß , eine altfränkische guldne Kette , unterschiedliche Diamanten , Rubinen , Saphiren und Schmaragden , beides in Ringen und andern Kleinodien gefasset ; item ein ganz Lädlein voll großer Perlen , aber alle verdorben oder abgestanden , und dann in einem versporten ledernen Sack	achtzig	von den ältisten Joachimstalern aus feinem Silber , sodann 893 Goldstücke mit dem französischen Wappen und einem Adler , welche Münze niemand kennen wollte , weil man , wie sie sagten , die Schrift nicht lesen konnte .	erst durch den Schuß geöffnet hatte .Es waren aber sechs Dutzet altfränkische silberne Tischbecher , ein groß gulden Pokal , etliche Duplet , vier silberne und ein guldenes Salzfaß , eine altfränkische guldne Kette , unterschiedliche Diamanten , Rubinen , Saphiren und Schmaragden , beides in Ringen und andern Kleinodien gefasset ; item ein ganz Lädlein voll großer Perlen , aber alle verdorben oder abgestanden , und dann in einem versporten ledernen Sack achtzig von den ältisten Joachimstalern aus feinem Silber , sodann 893 Goldstücke mit dem französischen Wappen und einem Adler , welche Münze niemand kennen wollte , weil man , wie sie sagten , die Schrift nicht lesen konnte .Als der Schuß geschehen , wieherte mein	4148	67	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
CARD	ADJD		CARD	dreißigtausend		So gelang es ihm , ungefähr	dreißigtausend	gedruckte Bände und vierzehntausend Handschriften zu sammeln .	, mit so bedeutenden Kosten gründete .So gelang es ihm , ungefähr dreißigtausend gedruckte Bände und vierzehntausend Handschriften zu sammeln .So überwies er auch die Ueberbleibsel seiner	4059	6	78504-Manzoni__Alessandro.tsv
CARD	CARD		CARD	fünfzig		Die letzten	funfzig	Jahre , die alles umgeworfen oder erschüttert , haben nur eins nicht erschüttert – Lafayettes Tugend .	, das kann er nicht fassen .Die letzten funfzig Jahre , die alles umgeworfen oder erschüttert , haben nur eins nicht erschüttert – Lafayettes Tugend .Ein ehrlicher Mann !	1498	2	6286-B_rne__Ludwig.tsv
