DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM.xy	ADJA		ADJA	14.		8. ] David gethan , und der Aussetzige , ja Christus selber am Oelberg , etc. [ Rand : Matt. 26. Marc.	14.	Luc. 22 .	5. Argument , wider das Segensprechen .8. ] David gethan , und der Aussetzige , ja Christus selber am Oelberg , etc. [ Rand : Matt. 26. Marc. 14. Luc. 22 .Wie denn zur Zeit deß HErrn Christi	4869	22	84969-Pfitzer__Johann_Nikolaus.tsv
FM.xy	CARD		CARD	22		8. ] David gethan , und der Aussetzige , ja Christus selber am Oelberg , etc. [ Rand : Matt. 26. Marc. 14. Luc.	22	.	5. Argument , wider das Segensprechen .8. ] David gethan , und der Aussetzige , ja Christus selber am Oelberg , etc. [ Rand : Matt. 26. Marc. 14. Luc. 22 .Wie denn zur Zeit deß HErrn Christi	4869	24	84969-Pfitzer__Johann_Nikolaus.tsv
FM.xy	CARD		CARD	23		Word ( S. ebd. S. 71 u.b. Harrys Th. I. S.	23	.	, welche die Unterirdischen zurückgelassen haben .Word ( S. ebd. S. 71 u.b. Harrys Th. I. S. 23 .Word ( S. ebd. S. 71 u.b.	0	11	55231-Gr_sse__Johann_Georg_Theodor.tsv
FM.xy	CARD		ADJA	250.		9 p.	250.	251 .	Vgl. Erdmann , Grundriß der Gesch .9 p. 250. 251 .– freies Citat aus der Recension von	131	2	61273-Herder__Johann_Gottfried.tsv
FM.xy	CARD		CARD	251		9 p. 250.	251	.	Vgl. Erdmann , Grundriß der Gesch .9 p. 250. 251 .– freies Citat aus der Recension von	131	3	61273-Herder__Johann_Gottfried.tsv
FM.xy	CARD		CARD	71		Word ( S. ebd. S.	71	u.b. Harrys Th. I. S. 23 .	, welche die Unterirdischen zurückgelassen haben .Word ( S. ebd. S. 71 u.b. Harrys Th. I. S. 23 .Word ( S. ebd. S. 71 u.b.	0	5	55231-Gr_sse__Johann_Georg_Theodor.tsv
FM.xy	CARD		ADV	744.		II. V.	744.	b .	als etwa Ceres beym Triptolemus gewesen .II. V. 744. b .Nachdem aber das gütige Glück so werthgeschätzte	28654	2	78039-Lohenstein__Daniel_Casper_von.tsv
FM.xy	CARD		CARD	9			9	p. 250. 251 .	Vgl. Erdmann , Grundriß der Gesch .9 p. 250. 251 .– freies Citat aus der Recension von	131	0	61273-Herder__Johann_Gottfried.tsv
FM.xy	XY		XY	b		II. V. 744.	b	.	als etwa Ceres beym Triptolemus gewesen .II. V. 744. b .Nachdem aber das gütige Glück so werthgeschätzte	28654	3	78039-Lohenstein__Daniel_Casper_von.tsv
FM.xy	NN		NE	b.			B.	T. Dunelm .	, laßt mich nach Amerika gehen .B. T. Dunelm .Warum mußte er uns verlassen ?	1364	0	102347-Suttner__Bertha_von.tsv
FM.xy	NE		NE	dunelm		B. T.	Dunelm	.	, laßt mich nach Amerika gehen .B. T. Dunelm .Warum mußte er uns verlassen ?	1364	2	102347-Suttner__Bertha_von.tsv
FM.xy	FM		ADJA	ebd.		Word ( S.	ebd.	S. 71 u.b. Harrys Th. I. S. 23 .	, welche die Unterirdischen zurückgelassen haben .Word ( S. ebd. S. 71 u.b. Harrys Th. I. S. 23 .Word ( S. ebd. S. 71 u.b.	0	3	55231-Gr_sse__Johann_Georg_Theodor.tsv
FM.xy	NE		NE	harrys		Word ( S. ebd. S. 71 u.b.	Harrys	Th. I. S. 23 .	, welche die Unterirdischen zurückgelassen haben .Word ( S. ebd. S. 71 u.b. Harrys Th. I. S. 23 .Word ( S. ebd. S. 71 u.b.	0	7	55231-Gr_sse__Johann_Georg_Theodor.tsv
FM.xy	NE		ADJA	i.		Word ( S. ebd. S. 71 u.b. Harrys Th.	I.	S. 23 .	, welche die Unterirdischen zurückgelassen haben .Word ( S. ebd. S. 71 u.b. Harrys Th. I. S. 23 .Word ( S. ebd. S. 71 u.b.	0	9	55231-Gr_sse__Johann_Georg_Theodor.tsv
FM.xy	ADJA		NE	ii.			II.	V. 744. b .	als etwa Ceres beym Triptolemus gewesen .II. V. 744. b .Nachdem aber das gütige Glück so werthgeschätzte	28654	0	78039-Lohenstein__Daniel_Casper_von.tsv
FM.xy	NN		NN	luc.		8. ] David gethan , und der Aussetzige , ja Christus selber am Oelberg , etc. [ Rand : Matt. 26. Marc. 14.	Luc.	22 .	5. Argument , wider das Segensprechen .8. ] David gethan , und der Aussetzige , ja Christus selber am Oelberg , etc. [ Rand : Matt. 26. Marc. 14. Luc. 22 .Wie denn zur Zeit deß HErrn Christi	4869	23	84969-Pfitzer__Johann_Nikolaus.tsv
FM.xy	NN		NE	marc.		8. ] David gethan , und der Aussetzige , ja Christus selber am Oelberg , etc. [ Rand : Matt. 26.	Marc.	14. Luc. 22 .	5. Argument , wider das Segensprechen .8. ] David gethan , und der Aussetzige , ja Christus selber am Oelberg , etc. [ Rand : Matt. 26. Marc. 14. Luc. 22 .Wie denn zur Zeit deß HErrn Christi	4869	21	84969-Pfitzer__Johann_Nikolaus.tsv
FM.xy	XY		ADJA	p.		9	p.	250. 251 .	Vgl. Erdmann , Grundriß der Gesch .9 p. 250. 251 .– freies Citat aus der Recension von	131	1	61273-Herder__Johann_Gottfried.tsv
FM.xy	NN		VVIMP	s.		Word (	S.	ebd. S. 71 u.b. Harrys Th. I. S. 23 .	, welche die Unterirdischen zurückgelassen haben .Word ( S. ebd. S. 71 u.b. Harrys Th. I. S. 23 .Word ( S. ebd. S. 71 u.b.	0	2	55231-Gr_sse__Johann_Georg_Theodor.tsv
FM.xy	NN		NN	s.		Word ( S. ebd.	S.	71 u.b. Harrys Th. I. S. 23 .	, welche die Unterirdischen zurückgelassen haben .Word ( S. ebd. S. 71 u.b. Harrys Th. I. S. 23 .Word ( S. ebd. S. 71 u.b.	0	4	55231-Gr_sse__Johann_Georg_Theodor.tsv
FM.xy	NE		NN	s.		Word ( S. ebd. S. 71 u.b. Harrys Th. I.	S.	23 .	, welche die Unterirdischen zurückgelassen haben .Word ( S. ebd. S. 71 u.b. Harrys Th. I. S. 23 .Word ( S. ebd. S. 71 u.b.	0	10	55231-Gr_sse__Johann_Georg_Theodor.tsv
FM.xy	NE		NE	t.		B.	T.	Dunelm .	, laßt mich nach Amerika gehen .B. T. Dunelm .Warum mußte er uns verlassen ?	1364	1	102347-Suttner__Bertha_von.tsv
FM.xy	NE		NE	th.		Word ( S. ebd. S. 71 u.b. Harrys	Th.	I. S. 23 .	, welche die Unterirdischen zurückgelassen haben .Word ( S. ebd. S. 71 u.b. Harrys Th. I. S. 23 .Word ( S. ebd. S. 71 u.b.	0	8	55231-Gr_sse__Johann_Georg_Theodor.tsv
FM.xy	ADJA		VVFIN	u.b.		Word ( S. ebd. S. 71	u.b.	Harrys Th. I. S. 23 .	, welche die Unterirdischen zurückgelassen haben .Word ( S. ebd. S. 71 u.b. Harrys Th. I. S. 23 .Word ( S. ebd. S. 71 u.b.	0	6	55231-Gr_sse__Johann_Georg_Theodor.tsv
FM.xy	NN		NE	v.		II.	V.	744. b .	als etwa Ceres beym Triptolemus gewesen .II. V. 744. b .Nachdem aber das gütige Glück so werthgeschätzte	28654	1	78039-Lohenstein__Daniel_Casper_von.tsv
