DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM	VVFIN		NE	amis		D'	amis	sûrs et fidèles ; Homburg indessen sollte noch erreicht werden , und um zehn Uhr abends rückten wir in seine Straßen ein .	trübseligen Anblick dem Auge zu entziehen .D' amis sûrs et fidèles ; Homburg indessen sollte noch erreicht werden , und um zehn Uhr abends rückten wir in seine Straßen ein .Auch Dorf Glindow hat von diesem allem	8533	1	26867-Fontane__Theodor.tsv
FM	NE		NE	d'			D'	amis sûrs et fidèles ; Homburg indessen sollte noch erreicht werden , und um zehn Uhr abends rückten wir in seine Straßen ein .	trübseligen Anblick dem Auge zu entziehen .D' amis sûrs et fidèles ; Homburg indessen sollte noch erreicht werden , und um zehn Uhr abends rückten wir in seine Straßen ein .Auch Dorf Glindow hat von diesem allem	8533	0	26867-Fontane__Theodor.tsv
FM	ADJA		PPOSAT	dei		Dit künn	dei	Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !	un haer ne groote Kroon up .Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !« – Un as dei Mann hen	125	2	64836-Jahn__Ulrich.tsv
FM	FM		ADJA	dei		Dit künn dei Mann yrst recht nich fåten un saer tau	dei	Fruu : » Ja , Koenich sin is doch nich slicht !	un haer ne groote Kroon up .Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !« – Un as dei Mann hen	125	11	64836-Jahn__Ulrich.tsv
FM	NE		NE	dit			Dit	künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !	un haer ne groote Kroon up .Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !« – Un as dei Mann hen	125	0	64836-Jahn__Ulrich.tsv
FM	FM		NE	electricus		« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus	electricus	oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !	Schlag fährt mir durch alle Glieder .« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !Doch ich springe hin , öffne den	879	22	62300-Hoffmann__E__T__A_.tsv
FM	FM		NE	et		D' amis sûrs	et	fidèles ; Homburg indessen sollte noch erreicht werden , und um zehn Uhr abends rückten wir in seine Straßen ein .	trübseligen Anblick dem Auge zu entziehen .D' amis sûrs et fidèles ; Homburg indessen sollte noch erreicht werden , und um zehn Uhr abends rückten wir in seine Straßen ein .Auch Dorf Glindow hat von diesem allem	8533	3	26867-Fontane__Theodor.tsv
FM	NE		NN	fruu		Dit künn dei Mann yrst recht nich fåten un saer tau dei	Fruu	: » Ja , Koenich sin is doch nich slicht !	un haer ne groote Kroon up .Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !« – Un as dei Mann hen	125	12	64836-Jahn__Ulrich.tsv
FM	NE		NN	gymnotus		« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von	Gymnotus	electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !	Schlag fährt mir durch alle Glieder .« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !Doch ich springe hin , öffne den	879	21	62300-Hoffmann__E__T__A_.tsv
FM	NE		NE	indicus		« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus	indicus	, wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !	Schlag fährt mir durch alle Glieder .« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !Doch ich springe hin , öffne den	879	28	62300-Hoffmann__E__T__A_.tsv
