DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KON	KON		KON	und		»	Und	was sollte das sein , was hier noch zu retten wäre ?	keine Träne in sein Auge kam .» Und was sollte das sein , was hier noch zu retten wäre ?Er atmete tief , und sein Kopf	1574	1	79543-Meisel_Hess__Grete.tsv
KON	NN		NN	und		12	Vnd	gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .	Geld dar / auff einer wage .12 Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .DA merckt ich / das des HERRN	3953	1	78101-Luther__Martin.tsv
KON	KON		KON	und		Ein Zittern befiel den Grafen , sein Atem ging schwer ,	und	in kalkiger Blässe erstarrte sein Gesicht , während sein Blick emporflog über den Wechsel .	der die Bedeutung dieses Rufes erkannte .Ein Zittern befiel den Grafen , sein Atem ging schwer , und in kalkiger Blässe erstarrte sein Gesicht , während sein Blick emporflog über den Wechsel .‹ « » Herr Graf , der	11419	11	27054-Ganghofer__Ludwig.tsv
KON	KON		KON	und		‹ Mein Alter aber saß am Bett	und	rechnete an den Fingern : › Eins , zwei , vier – acht .	Nit raus ?‹ Mein Alter aber saß am Bett und rechnete an den Fingern : › Eins , zwei , vier – acht .Nit raus ?	1682	7	86993-Raabe__Wilhelm.tsv
KON	KON		KON	und		Zu den also bescholtenen Gleichgültigen	und	Indifferenten gehörte auch Jukundus .	, wohl angemessen und gut genäht .Zu den also bescholtenen Gleichgültigen und Indifferenten gehörte auch Jukundus .Er schien auszusehen wie einer , der	235	5	66080-Keller__Gottfried.tsv
KON	KON		KON	und		« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah	und	ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .	« » Ah ?« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .Oder doch , oder doch ?	7274	35	79326-May__Karl.tsv
KON	KON		KON	und		« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit	und	der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .	« » Ah ?« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .Oder doch , oder doch ?	7274	41	79326-May__Karl.tsv
KON	KON		KON	und		Kurz , ich erkläre mich schlechterdings wider alle Neuerungen ,	und	gebe meine Stimme dahin : daß alles bey dem alten wohlhergebrachten Reichsherkommen gelassen werde .	Wo sind ihre Bestallungsbriefe dazu ?Kurz , ich erkläre mich schlechterdings wider alle Neuerungen , und gebe meine Stimme dahin : daß alles bey dem alten wohlhergebrachten Reichsherkommen gelassen werde .Was haben sie für eine Vollmacht aufzuweisen	1932	10	48520-Gottsched__Johann_Christoph.tsv
KON	KON		KON	und		Dieser war in Liebe entbrannt gegen die reizende Königstochter ,	und	sie schenkte ihm ihr Herz aus inniger Dankbarkeit .	und versprach ihm den höchsten Lohn .Dieser war in Liebe entbrannt gegen die reizende Königstochter , und sie schenkte ihm ihr Herz aus inniger Dankbarkeit .Nun geschah es , daß der Wunderarzt	7	10	10160-Bechstein__Ludwig.tsv
KON	KON		KON	und		Indem ich die Rechnung mit der Haushälterin abschloß , fand ich , daß während der letzten zwei Wochen den Schülerinnen zweimal ein Gabelfrühstück serviert worden ist , welches aus Brot	und	Käse bestand .	nicht zu oft eintreten zu lassen .Indem ich die Rechnung mit der Haushälterin abschloß , fand ich , daß während der letzten zwei Wochen den Schülerinnen zweimal ein Gabelfrühstück serviert worden ist , welches aus Brot und Käse bestand .Das meine ist nicht der Hang zu	10915	30	15086-Bront___Charlotte.tsv
