DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOUI	APPR		KOUI	anstatt		dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten als anstatt der verbrachten Freude Leid ohne Trost ,	anstatt	des Zechens Durst ohne Labung , anstatt des Fressens Hunger ohn Fülle , anstatt der Herrlichkeit und Prachts Finsternus ohn Liecht , anstatt der Wollüste Schmerzen ohne Linderung , anstatt des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .	, o schnöde , arge Welt !dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten als anstatt der verbrachten Freude Leid ohne Trost , anstatt des Zechens Durst ohne Labung , anstatt des Fressens Hunger ohn Fülle , anstatt der Herrlichkeit und Prachts Finsternus ohn Liecht , anstatt der Wollüste Schmerzen ohne Linderung , anstatt des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .Damit du aber gleichwohl sehest , daß	5017	41	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
KOUI	APPR		KOUI	anstatt		dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten als anstatt der verbrachten Freude Leid ohne Trost , anstatt des Zechens Durst ohne Labung ,	anstatt	des Fressens Hunger ohn Fülle , anstatt der Herrlichkeit und Prachts Finsternus ohn Liecht , anstatt der Wollüste Schmerzen ohne Linderung , anstatt des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .	, o schnöde , arge Welt !dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten als anstatt der verbrachten Freude Leid ohne Trost , anstatt des Zechens Durst ohne Labung , anstatt des Fressens Hunger ohn Fülle , anstatt der Herrlichkeit und Prachts Finsternus ohn Liecht , anstatt der Wollüste Schmerzen ohne Linderung , anstatt des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .Damit du aber gleichwohl sehest , daß	5017	48	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
KOUI	APPR		KOUI	anstatt		dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten als anstatt der verbrachten Freude Leid ohne Trost , anstatt des Zechens Durst ohne Labung , anstatt des Fressens Hunger ohn Fülle ,	anstatt	der Herrlichkeit und Prachts Finsternus ohn Liecht , anstatt der Wollüste Schmerzen ohne Linderung , anstatt des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .	, o schnöde , arge Welt !dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten als anstatt der verbrachten Freude Leid ohne Trost , anstatt des Zechens Durst ohne Labung , anstatt des Fressens Hunger ohn Fülle , anstatt der Herrlichkeit und Prachts Finsternus ohn Liecht , anstatt der Wollüste Schmerzen ohne Linderung , anstatt des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .Damit du aber gleichwohl sehest , daß	5017	55	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
KOUI	APPR		KOUI	anstatt		dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten als anstatt der verbrachten Freude Leid ohne Trost , anstatt des Zechens Durst ohne Labung , anstatt des Fressens Hunger ohn Fülle , anstatt der Herrlichkeit und Prachts Finsternus ohn Liecht ,	anstatt	der Wollüste Schmerzen ohne Linderung , anstatt des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .	, o schnöde , arge Welt !dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten als anstatt der verbrachten Freude Leid ohne Trost , anstatt des Zechens Durst ohne Labung , anstatt des Fressens Hunger ohn Fülle , anstatt der Herrlichkeit und Prachts Finsternus ohn Liecht , anstatt der Wollüste Schmerzen ohne Linderung , anstatt des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .Damit du aber gleichwohl sehest , daß	5017	64	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
KOUI	APPR		KOUI	anstatt		dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten als anstatt der verbrachten Freude Leid ohne Trost , anstatt des Zechens Durst ohne Labung , anstatt des Fressens Hunger ohn Fülle , anstatt der Herrlichkeit und Prachts Finsternus ohn Liecht , anstatt der Wollüste Schmerzen ohne Linderung ,	anstatt	des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .	, o schnöde , arge Welt !dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten als anstatt der verbrachten Freude Leid ohne Trost , anstatt des Zechens Durst ohne Labung , anstatt des Fressens Hunger ohn Fülle , anstatt der Herrlichkeit und Prachts Finsternus ohn Liecht , anstatt der Wollüste Schmerzen ohne Linderung , anstatt des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .Damit du aber gleichwohl sehest , daß	5017	71	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
KOUI	KOUI		KOUI	ohne		Zwar die Regeln selbst waren leicht zu machen ; sie lehren nur was geschehen soll ,	ohne	zu sagen , wie es geschehen kann .	um so unschicklicher zur Komödie sein ?Zwar die Regeln selbst waren leicht zu machen ; sie lehren nur was geschehen soll , ohne zu sagen , wie es geschehen kann .Denn , wenn es nun wirklich einmal	959	16	73655-Lessing__Gotthold_Ephraim.tsv
KOUI	KOUI		KOUI	ohne		Der flinke Kurt hatte die Abendmahlzeit schon aufgetischt ; aber sein Herr wollte nicht anbeißen , und gabelte lange in der Schüssel herum ,	ohne	einen Bissen zum Munde zu führen .	und ihren Unwillen verwirkt zu haben .Der flinke Kurt hatte die Abendmahlzeit schon aufgetischt ; aber sein Herr wollte nicht anbeißen , und gabelte lange in der Schüssel herum , ohne einen Bissen zum Munde zu führen .« Der Graf war von dieser rätselhaften	590	24	82945-Mus_us__Johann_Karl_August.tsv
KOUI	APPR		KOUI	ohne		Sie maß fünfundzwanzig Fuß in der Breite , jedoch nur zwei Fuß in der Höhe , ähnelte ihrer Gestalt nach also einer Schleußenöffnung am Rande eines Trottoirs , wodurch es zunächst unmöglich wurde ,	ohne	Weiteres durch den Eingang einzudringen .	Wassers die so lange gesuchte Oeffnung .Sie maß fünfundzwanzig Fuß in der Breite , jedoch nur zwei Fuß in der Höhe , ähnelte ihrer Gestalt nach also einer Schleußenöffnung am Rande eines Trottoirs , wodurch es zunächst unmöglich wurde , ohne Weiteres durch den Eingang einzudringen .» Vielleicht haben unsere Gefährten , meinte	6001	34	107501-Verne__Jules.tsv
KOUI	APPR		KOUI	ohne		Sein Tagebuch wünschte man gedruckt zu sehen , denn es enthält eine ungeschmückte Darstellung der Lebensart der dortigen Wilden , ihrer kümmerlichen Nahrung ihres außerordentlichen Elends , indem sie ,	ohne	eine stete Wohnung zu haben , die öden Wüsteneyen durchirren , und auf den gefrorenen Seen jenes weitausgebreiteten Landes umherziehen , wo Herr Hearne gegen 1300 Englische Meilen , bis ans Meer , gegangen ist , und wo die Compagnie fünf hundert Englische Meilen landeinwärts , in 53 ° 0' 32 N Br. und 106 ° 27 ' 30 W L einen Handelsposten Namens Hudsons-Haus , unterhält Der Herausgeber von Cooks letzter Reise , Dr Douglas , der diese Nachricht mittheilt , hat uns aus Hearnes Tagebuch einen Zug aubewahrt , der zwar diese lange Anmerkung noch etwas verlängern wird , aber seiner Stelle wohl werth ist .	erst am 30sten Junius 1772 zurückkam .Sein Tagebuch wünschte man gedruckt zu sehen , denn es enthält eine ungeschmückte Darstellung der Lebensart der dortigen Wilden , ihrer kümmerlichen Nahrung ihres außerordentlichen Elends , indem sie , ohne eine stete Wohnung zu haben , die öden Wüsteneyen durchirren , und auf den gefrorenen Seen jenes weitausgebreiteten Landes umherziehen , wo Herr Hearne gegen 1300 Englische Meilen , bis ans Meer , gegangen ist , und wo die Compagnie fünf hundert Englische Meilen landeinwärts , in 53 ° 0' 32 N Br. und 106 ° 27 ' 30 W L einen Handelsposten Namens Hudsons-Haus , unterhält Der Herausgeber von Cooks letzter Reise , Dr Douglas , der diese Nachricht mittheilt , hat uns aus Hearnes Tagebuch einen Zug aubewahrt , der zwar diese lange Anmerkung noch etwas verlängern wird , aber seiner Stelle wohl werth ist .) Jezt kam ein Nebelwetter mit feinem	467	30	26876-Forster__Georg.tsv
KOUI	KOUI		KOUI	um		Glauben Sie mir denn nicht , daß ich jetzt das halbe Leben dafür geben würde ,	um	Ihr Lachen zu hören und Ihre Tränen nicht zu sehen ... « Das Märchen hielt in Oblomowka nicht nur die Kinder , sondern auch die Erwachsenen bis ans Ende des Lebens in seinem Bann .	» Es ist noch nicht Zeit !Glauben Sie mir denn nicht , daß ich jetzt das halbe Leben dafür geben würde , um Ihr Lachen zu hören und Ihre Tränen nicht zu sehen ... « Das Märchen hielt in Oblomowka nicht nur die Kinder , sondern auch die Erwachsenen bis ans Ende des Lebens in seinem Bann .» Wenn es aber wahr ist ,	10990	16	48338-Gon_arov__Ivan_Aleksandrovi_.tsv
