DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOUS	APPR		APPR	als		« » Ich würde den Ausspruch des Herrn Barons	als	Überzeugung hochschätzen und mit Ihrem Ziele für identisch halten , « meinte Pawlowitsch mit dem scharfen Akzent des Russen zu Else Gerstenbergk gewandt , » Ihr Glücklichsein ist glücklich machen .	die Polizei ist ja nicht hier !« » Ich würde den Ausspruch des Herrn Barons als Überzeugung hochschätzen und mit Ihrem Ziele für identisch halten , « meinte Pawlowitsch mit dem scharfen Akzent des Russen zu Else Gerstenbergk gewandt , » Ihr Glücklichsein ist glücklich machen .» Walzer und Polka und ähnliche neckische	5296	9	14314-Braun__Lily.tsv
KOUS	KOKOM		KOUS	als		über welches abgelaufene Zeitalter schwebte ihr Geist – auf welcher Staffel der Vergangenheit mußte sie mich stehen sehen ,	als	ihre ausgestreckte Hand mir das Bild des sterbenden Heilandes mit der herzzerreißenden Frage vorhielt : Nun diesen Fittich senkt , und kindisch sich verweilt , Auf einen Hügel hebt , Wie sie den bescheidnen Wänden Auf Blumen schwebend sich nur von ihrem Aushauche nährt .	So höre wenigstens mich ihr nachlallen .über welches abgelaufene Zeitalter schwebte ihr Geist – auf welcher Staffel der Vergangenheit mußte sie mich stehen sehen , als ihre ausgestreckte Hand mir das Bild des sterbenden Heilandes mit der herzzerreißenden Frage vorhielt : Nun diesen Fittich senkt , und kindisch sich verweilt , Auf einen Hügel hebt , Wie sie den bescheidnen Wänden Auf Blumen schwebend sich nur von ihrem Aushauche nährt .die geübtesten Wortführer der Natur würden daran	915	19	104263-Th_mmel__Moritz_August_von.tsv
KOUS	KOUS		KOUS	als		« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte ,	als	er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !	Schlag fährt mir durch alle Glieder .« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !Doch ich springe hin , öffne den	879	61	62300-Hoffmann__E__T__A_.tsv
KOUS	KOUS		KOUS	da		Im Hause herrschte die größte Thätigkeit ,	da	Rosa beschlossen hatte , am nächsten Abend zur Feier des fürstlichen Geburtsfestes einen der glänzendsten Bälle zu geben , der jemals die Zungen der Klatschsüchtigen mochte beschäftigt haben .	sich mit dem Scheine der Ehrbarkeit .Im Hause herrschte die größte Thätigkeit , da Rosa beschlossen hatte , am nächsten Abend zur Feier des fürstlichen Geburtsfestes einen der glänzendsten Bälle zu geben , der jemals die Zungen der Klatschsüchtigen mochte beschäftigt haben .* * den 5t April 18 –	2573	7	15087-Bruckbr_u__Friedrich_Wilhelm.tsv
KOUS	KOUS		KOUS	da		Da nun dieses etwas ungewisses ist , wie kan man denn um deßwillen dem 29. Augusti eine solche Eigenschafft gewiß zuschreiben , die er von der Enthäuptung Johannis des Täuffers soll erlanget haben ,	da	doch sint der Enthauptung Johannis eine so merckliche Veränderung der Zeit und Calender vorgangen ist ?	unsers Calenders , sey enthauptet worden ?Da nun dieses etwas ungewisses ist , wie kan man denn um deßwillen dem 29. Augusti eine solche Eigenschafft gewiß zuschreiben , die er von der Enthäuptung Johannis des Täuffers soll erlanget haben , da doch sint der Enthauptung Johannis eine so merckliche Veränderung der Zeit und Calender vorgangen ist ?Und ob ich zwar dieses gar eigentlich	1953	34	97156-Schmidt__Johann_Georg.tsv
KOUS	KOUS		KOUS	da		Sie setzt nicht ein einziges Mal ab in ihrer Rede ; sie sieht nicht das Entsetzen , die starre Verwunderung der Rätin ; sie läßt sie auch nicht zu Wort kommen ,	da	die alte Dame ihr versichern will , sie sei unschuldig an dem Verbrechen , dessen man sie hier zeihe !	oder dem Egoismus anderer geopfert wird ?Sie setzt nicht ein einziges Mal ab in ihrer Rede ; sie sieht nicht das Entsetzen , die starre Verwunderung der Rätin ; sie läßt sie auch nicht zu Wort kommen , da die alte Dame ihr versichern will , sie sei unschuldig an dem Verbrechen , dessen man sie hier zeihe !Adele ballt ihre Fäuste .	21	32	18353-Christ__Lena.tsv
KOUS	KOUS		KOUS	daß		In meinen Ohren sauste und hämmerte das Blut , und der Schmerz würgte mich am Halse ,	daß	ich Mühe hatte , die Tränen zu verbeißen .	Bier oder Most in gutem Gsund .In meinen Ohren sauste und hämmerte das Blut , und der Schmerz würgte mich am Halse , daß ich Mühe hatte , die Tränen zu verbeißen .Mocht wohl schon bald seine hundert Jahr	1118	17	18351-Christ__Lena.tsv
KOUS	KOUS		KOUS	daß		Ich erwartete ,	daß	sie Durst empfinden würde , und hatte zu dem Ende ein angenehm stärkendes Getränk bereitet .	des Antheils unterbrach hier die Erzählung .Ich erwartete , daß sie Durst empfinden würde , und hatte zu dem Ende ein angenehm stärkendes Getränk bereitet .Diesen Moment durfte ich nicht versäumen ,	1807	3	83756-Paalzow__Henriette_von.tsv
KOUS	KOUS		KOUS	daß		Du wirst dich gewiß erinnern ,	daß	ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .	war , ein Ehemann zu werden .Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .» Ich werde dann an weiter nichts	4802	6	22325-Dickens__Charles.tsv
KOUS	KOUS		KOUS	daß		Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und	daß	es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .	war , ein Ehemann zu werden .Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .» Ich werde dann an weiter nichts	4802	23	22325-Dickens__Charles.tsv
KOUS	KOUS		KOUS	daß		› Damit drücke ich mit einfachen Worten aus , ‹ sagte er , › meine Herrn ,	daß	ich das größte Vertrauen in Mrs. Strong setze und ihr hiermit alles bedingunglos verschreibe .	Ich öffnete die Tür .› Damit drücke ich mit einfachen Worten aus , ‹ sagte er , › meine Herrn , daß ich das größte Vertrauen in Mrs. Strong setze und ihr hiermit alles bedingunglos verschreibe .Das führte mich dorthin , zumal ich	13054	17	22325-Dickens__Charles.tsv
KOUS	KOUS		KOUS	daß		Dann aus eurer Gestalt uñ Sitten erkenne ich vor gewiß /	daß	ihr in diesen Morgenlåndern nicht gezeuget seyd ; werdet euch demnach unbeschweret finden / mich eures Zustandes zuberichten / welches euch zum ärgesten nicht gedeyen sol .	/ über welchen sie zihen musten .Dann aus eurer Gestalt uñ Sitten erkenne ich vor gewiß / daß ihr in diesen Morgenlåndern nicht gezeuget seyd ; werdet euch demnach unbeschweret finden / mich eures Zustandes zuberichten / welches euch zum ärgesten nicht gedeyen sol .Es hatte aber der älteste von den	3047	11	15210-Buchholtz__Andreas_Heinrich.tsv
KOUS	KOUS		KOUS	daß		Aber was noch mehr ist , er hat Mittel gefunden , die Syrakusaner für seinen Plan einzunehmen und in eine so fanatische Begeisterung zu setzen ,	daß	jedermann sich in die Wette beeifert , seine Absichten zu befördern , seine Befehle zu vollziehen und seinen Beifall zu verdienen .	einem Tauben die Ohren gellen möchten .Aber was noch mehr ist , er hat Mittel gefunden , die Syrakusaner für seinen Plan einzunehmen und in eine so fanatische Begeisterung zu setzen , daß jedermann sich in die Wette beeifert , seine Absichten zu befördern , seine Befehle zu vollziehen und seinen Beifall zu verdienen .153 Wie diese prophetische Vermuthung Aristipps vornehmlich	7563	26	110273-Wieland__Christoph_Martin.tsv
KOUS	KOUS		KOUS	ehe		Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte ,	ehe	ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .	war , ein Ehemann zu werden .Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .» Ich werde dann an weiter nichts	4802	13	22325-Dickens__Charles.tsv
KOUS	KOUS		KOUS	indem		«	indem	es den Finger auf das Himmelskind legte .	anfertigen ließ , war mir unbekannt .« indem es den Finger auf das Himmelskind legte .Die Wärterin aber sagte , es müsse	3601	1	66066-Keller__Gottfried.tsv
KOUS	KOUS		KOUS	ob		Wie sie nun im Anfange keine fremde Götter aufnahmen ,	ob	sie wohl die Götter jedes fremden Landes schoneten , so sollte auch ihren Göttern der alte Dienst , durch den sie Römer geworden waren , bleiben .	war dies die ganze Sache nicht .Wie sie nun im Anfange keine fremde Götter aufnahmen , ob sie wohl die Götter jedes fremden Landes schoneten , so sollte auch ihren Göttern der alte Dienst , durch den sie Römer geworden waren , bleiben .Mit allen Staats- und Kriegshandlungen war Religion	1340	10	61281-Herder__Johann_Gottfried.tsv
KOUS	KOUS		KOUS	weil		Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde ,	weil	ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .	war , ein Ehemann zu werden .Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .» Ich werde dann an weiter nichts	4802	33	22325-Dickens__Charles.tsv
KOUS	KOUS		KOUS	weil		Ursache :	weil	ich keine Winde im Bauche habe .	nannten den Namen des jungen Menschen .Ursache : weil ich keine Winde im Bauche habe .Sie fragten die Träger , wen sie	1212	2	83116-Nebel__Ernst_Ludwig_Wilhelm.tsv
KOUS	KOUS		KOUS	wenn		«	Wenn	ich nun am Tage ohne Rast den üblichen Frauenpflichten nachgegangen war , oft genug auf Kosten meiner Gesundheit , nahm ich mir späte Abendstunden und oft genug die nächtlichen zu meinen schriftstellerischen Versuchen .	nie fünf unbenutzte Minuten beobachtet « .« Wenn ich nun am Tage ohne Rast den üblichen Frauenpflichten nachgegangen war , oft genug auf Kosten meiner Gesundheit , nahm ich mir späte Abendstunden und oft genug die nächtlichen zu meinen schriftstellerischen Versuchen .In Gedanken schon die nächste Aufgabe organisieren	267	1	14296-Boy_Ed__Ida.tsv
KOUS	KOUS		KOUS	wenn			Wenn	er am Lager ankam , waren jedenfalls alle Augen und Ohren auf ihn gerichtet , und so bekam er die Weisung , sich ungefähr zehn Minuten nach unserer Entfernung bei den Feuern sehen zu lassen .	ebenso unbemerkt hinter sie zu schleichen .Wenn er am Lager ankam , waren jedenfalls alle Augen und Ohren auf ihn gerichtet , und so bekam er die Weisung , sich ungefähr zehn Minuten nach unserer Entfernung bei den Feuern sehen zu lassen .Für den Jäger konnte es keinen schönern	6663	0	79315-May__Karl.tsv
