DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
NE	NE		NE	Albrecht		Der jungen Prinzessin Elisabeth von dem Leben ihrer Mutter Nachricht zu geben , mit ihr vereint sich zu bemühen das Kloster ausfindig zu machen , in welchem die Königinn Marie lebte , dieses war das hauptsächlichste , was	Albrecht	von der Gräfinn von Würtemberg in jenen Stunden des Abschieds forderte .	ihrer ersten Abreise aus Nürnberg gab .Der jungen Prinzessin Elisabeth von dem Leben ihrer Mutter Nachricht zu geben , mit ihr vereint sich zu bemühen das Kloster ausfindig zu machen , in welchem die Königinn Marie lebte , dieses war das hauptsächlichste , was Albrecht von der Gräfinn von Würtemberg in jenen Stunden des Abschieds forderte .schrie Ida mit gerungenen Händen !	4786	38	83002-Naubert__Benedikte.tsv
NE	NN		NN	Anna		« – Und unserer	Annah	, sagte Ernst , wird die Ehre zufallen , sie zum erstenmale zu läuten !	Jack richtete das Fernrohr danach hin .« – Und unserer Annah , sagte Ernst , wird die Ehre zufallen , sie zum erstenmale zu läuten !Fehlte der Insel also auch ein Kranz	6788	4	107535-Verne__Jules.tsv
NE	NE		VVFIN	Dechant		Herr	Dechant	, sagte er zu seinem Freunde gewendet , dieser Tag ist mir ein Freuden- und Trauer-Tag , den ich nicht leicht vergessen werde .	sie in einen kleinen Sessel legten .Herr Dechant , sagte er zu seinem Freunde gewendet , dieser Tag ist mir ein Freuden- und Trauer-Tag , den ich nicht leicht vergessen werde .Auch der Küster folgte in einiger Entfernung	1299	1	104913-Tieck__Ludwig.tsv
NE	NE		VVFIN	Eins		‹ Mein Alter aber saß am Bett und rechnete an den Fingern : ›	Eins	, zwei , vier – acht .	Nit raus ?‹ Mein Alter aber saß am Bett und rechnete an den Fingern : › Eins , zwei , vier – acht .Nit raus ?	1682	14	86993-Raabe__Wilhelm.tsv
NE	NE		NE	Elisabeth		Der jungen Prinzessin	Elisabeth	von dem Leben ihrer Mutter Nachricht zu geben , mit ihr vereint sich zu bemühen das Kloster ausfindig zu machen , in welchem die Königinn Marie lebte , dieses war das hauptsächlichste , was Albrecht von der Gräfinn von Würtemberg in jenen Stunden des Abschieds forderte .	ihrer ersten Abreise aus Nürnberg gab .Der jungen Prinzessin Elisabeth von dem Leben ihrer Mutter Nachricht zu geben , mit ihr vereint sich zu bemühen das Kloster ausfindig zu machen , in welchem die Königinn Marie lebte , dieses war das hauptsächlichste , was Albrecht von der Gräfinn von Würtemberg in jenen Stunden des Abschieds forderte .schrie Ida mit gerungenen Händen !	4786	3	83002-Naubert__Benedikte.tsv
NE	NE		NE	Ernst		« – Und unserer Annah , sagte	Ernst	, wird die Ehre zufallen , sie zum erstenmale zu läuten !	Jack richtete das Fernrohr danach hin .« – Und unserer Annah , sagte Ernst , wird die Ehre zufallen , sie zum erstenmale zu läuten !Fehlte der Insel also auch ein Kranz	6788	7	107535-Verne__Jules.tsv
NE	NE		ADJA	Ew.		– Mit	Ew.	Gnaden Verlaub , sagte Trim : – König Wilhelm war der Meinung , daß Alles in der Welt voraus bestimmt sei ; er pflegte zu seinen Soldaten zu sagen : jede Kugel hätte ihren Zettel .	, als meines Onkel Toby's Stadt .– Mit Ew. Gnaden Verlaub , sagte Trim : – König Wilhelm war der Meinung , daß Alles in der Welt voraus bestimmt sei ; er pflegte zu seinen Soldaten zu sagen : jede Kugel hätte ihren Zettel .– Es war gerade , als Du	86	2	99260-Sterne__Laurence.tsv
NE	NE		NE	Felicitas		Die alte Mamsell heftete erstaunt ihren Blick auf	Felicitas	' Gesicht ; dieser Ton voll unsäglicher Bitterkeit war ihr neu .	jungen Mädchens , ihr sogenannter Sonntagsrock .Die alte Mamsell heftete erstaunt ihren Blick auf Felicitas ' Gesicht ; dieser Ton voll unsäglicher Bitterkeit war ihr neu .‹ ... Und nun hast du ihn	2702	8	78772-Marlitt__Eugenie.tsv
NE	NN		NE	Graf		An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der	Graf	Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .	hier hießen sie ihn Platz nehmen .An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .so schrie ihn der alte Ritter an	63	32	53994-Gr_sse__Johann_Georg_Theodor.tsv
NE	NE		NE	Homer		So hat es	Homer	mit dem Fusse des Ulysses gemacht , daran ihn seine Amme erkannt .	nicht zu der Handlung des Wolfes .So hat es Homer mit dem Fusse des Ulysses gemacht , daran ihn seine Amme erkannt .Aesopus würde auslachenswürdig seyn , wenn er	7840	3	48521-Gottsched__Johann_Christoph.tsv
NE	NE		NE	Jukundus		Zu den also bescholtenen Gleichgültigen und Indifferenten gehörte auch	Jukundus	.	, wohl angemessen und gut genäht .Zu den also bescholtenen Gleichgültigen und Indifferenten gehörte auch Jukundus .Er schien auszusehen wie einer , der	235	9	66080-Keller__Gottfried.tsv
