DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
NN	NN		NN	Aberglaube		Dieser	Aberglauben	scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .	viel näher gelegene Brodtteige nicht haben ?Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .Denn man wolle nur die absurdität erwegen	6590	1	97156-Schmidt__Johann_Georg.tsv
NN	NN		NN	Absonderung		Ja es ereignete sich bey	Absonderung	der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .	Wallstatt zu herrlicherm Begräbnis-Gepränge weggeführet wurden .Ja es ereignete sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .Die aber / welche von denen Deutschen	37673	5	78039-Lohenstein__Daniel_Casper_von.tsv
NN	NN		NN	Antwort		« sollte er doch die	Antwort	nicht schuldig bleiben .	, und lassen es dabei bewenden .« sollte er doch die Antwort nicht schuldig bleiben .Ich übergehe den allgemeinen Vorwurf , der	3357	5	110273-Wieland__Christoph_Martin.tsv
NN	NN		NN	Bier		Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das	Bier	verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .	viel näher gelegene Brodtteige nicht haben ?Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .Denn man wolle nur die absurdität erwegen	6590	20	97156-Schmidt__Johann_Georg.tsv
NN	NN		NN	Blume		Und ich habe sie , die uns doch vollständig Fremden , sogar mit	Blumen	beschenkt .	Willkommens mit ihnen rauchen zu dürfen !Und ich habe sie , die uns doch vollständig Fremden , sogar mit Blumen beschenkt .Ich besuche meine Brüder .	8717	13	79326-May__Karl.tsv
NN	NN		NN	Bräuer		Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein	Bräuer	das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .	viel näher gelegene Brodtteige nicht haben ?Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .Denn man wolle nur die absurdität erwegen	6590	18	97156-Schmidt__Johann_Georg.tsv
NN	NN		NN	Erachten		Dieser Aberglauben scheinet aber meines	Erachtens	von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .	viel näher gelegene Brodtteige nicht haben ?Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .Denn man wolle nur die absurdität erwegen	6590	5	97156-Schmidt__Johann_Georg.tsv
NN	NN		NN	Exempel		Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein	Exempel	erzehlen will .	viel näher gelegene Brodtteige nicht haben ?Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .Denn man wolle nur die absurdität erwegen	6590	46	97156-Schmidt__Johann_Georg.tsv
NN	NN		NN	Fenster		« flüsterte ihr Jochai zu : » Ich gehe mit , um vom	Fenster	herab zu ersehen , wer der Klopfende ist .	nach dem Schlüssel an der Wand .« flüsterte ihr Jochai zu : » Ich gehe mit , um vom Fenster herab zu ersehen , wer der Klopfende ist .Großvater und Enkelin fuhren etwas zusammen .	168	13	99030-Spindler__Carl.tsv
NN	NN		NN	Finger		Ja es ereignete sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und	Finger	abgebissen hatten .	Wallstatt zu herrlicherm Begräbnis-Gepränge weggeführet wurden .Ja es ereignete sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .Die aber / welche von denen Deutschen	37673	28	78039-Lohenstein__Daniel_Casper_von.tsv
