DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PDAT	PDAT		PDAT	diese			Diese	Frau « , fuhr der Pursche im Reden fort , » heißt man nur die glückselige Margaretha , sie ist aber seit etwa einem Jahre her zur Wittbe worden , weil ihr Mann , als er von einem gewissen Herrn von Padua aus mit Briefen weggeschickt , unterweges von einem Banditen dergestalt tödlich verwundet worden , daß er etliche Tage hernach an den empfangenen Blessuren sterben müssen .	ohnstreitig die vornehmste zu nennen ist .Diese Frau « , fuhr der Pursche im Reden fort , » heißt man nur die glückselige Margaretha , sie ist aber seit etwa einem Jahre her zur Wittbe worden , weil ihr Mann , als er von einem gewissen Herrn von Padua aus mit Briefen weggeschickt , unterweges von einem Banditen dergestalt tödlich verwundet worden , daß er etliche Tage hernach an den empfangenen Blessuren sterben müssen .« » Ach nein !	3746	0	97160-Schnabel__Johann_Gottfried.tsv
PDAT	PDAT		PDAT	diese		«	Diese	Unterredung endete , wie jede frühere .	meine Louise !« Diese Unterredung endete , wie jede frühere .« » Mein holdes Kind !	5356	1	83757-Paalzow__Henriette_von.tsv
PDAT	NN		NN	diese		82	Dise	bekanten / daß sie / damit sie dem Großhofmeister Mumold das leben fristeten / des Königs Sohn vmb das leben gebracht hettē .	Jedoch ist diß nichts newes .82 Dise bekanten / daß sie / damit sie dem Großhofmeister Mumold das leben fristeten / des Königs Sohn vmb das leben gebracht hettē .97 Vnd es schemt es hab Plato	2435	1	14106-Bodin__Jean.tsv
PDAT	PDAT		PDAT	diese		Wie aufmerksam	diese	Sammler auf den Mist der Pferde und Maultiere sind , läßt sich denken .	kann ohne einen solchen Esel bestehen .Wie aufmerksam diese Sammler auf den Mist der Pferde und Maultiere sind , läßt sich denken .Zwei große biegsame Körbe hängen auf dem	2605	2	32620-Goethe__Johann_Wolfgang.tsv
PDAT	PDAT		PDAT	diese		die Natur bindet sich jedoch nirgends an	diese	Regel .	nicht einer jener Heldentugenden fähig sein .die Natur bindet sich jedoch nirgends an diese Regel .Die beherzten Räuberbanden in Griechenland und Latium	40	7	26878-Forster__Georg.tsv
PDAT	PDAT		PDAT	diese		Dieselbe Bescheidenheit ,	diese	Abneigung gegen alle Herrschsucht , traten ebenso bei den gewöhnlichsten Gelegenheiten des Lebens hervor .	bewundernswürdiger , wenn sie darin erwachten .Dieselbe Bescheidenheit , diese Abneigung gegen alle Herrschsucht , traten ebenso bei den gewöhnlichsten Gelegenheiten des Lebens hervor .Wenn er sich zuweilen streng , sogar	6825	3	78504-Manzoni__Alessandro.tsv
PDAT	PDAT		PDAT	diese		Die erfreuliche Tatsache , daß die von Euer Hochgeboren ins Leben gerufene und der unermüdlichen Leitung Euer Hochgeboren unterstehende Gesellschaft der österreichischen Friedensfreunde bereits auf eine zehnjährige Wirksamkeit zurückblicken kann , bewegt mich dazu , Euer Hochgeboren aus	diesem	Anlaß auf das wärmste zu begrüßen .	Jude der Mörder des kleinen Mannes !Die erfreuliche Tatsache , daß die von Euer Hochgeboren ins Leben gerufene und der unermüdlichen Leitung Euer Hochgeboren unterstehende Gesellschaft der österreichischen Friedensfreunde bereits auf eine zehnjährige Wirksamkeit zurückblicken kann , bewegt mich dazu , Euer Hochgeboren aus diesem Anlaß auf das wärmste zu begrüßen .Auch da waren die Erfolge nur gering	7284	38	102347-Suttner__Bertha_von.tsv
PDAT	PDAT		PDAT	diese		In	diesem	Augenblick beugte sich Onkel Prudent ein wenig über die Reeling , öffnete die Hand und ließ die Dose fallen .	Omaha den seltsamen Apparat wahrgenommen haben .In diesem Augenblick beugte sich Onkel Prudent ein wenig über die Reeling , öffnete die Hand und ließ die Dose fallen .Das war sehr kühn , doch gleichzeitig	1285	1	107516-Verne__Jules.tsv
PDAT	PDAT		PDAT	diese		Was trägst du in	diesem	Korbe ?	» Rede !Was trägst du in diesem Korbe ?Die Zofe , zum Tode erschrocken ,	19	4	94173-Sch_ppner__Alexander.tsv
PDAT	PDAT		PDAT	diese		Beide Eigenschaften , deren innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden sich bei	diesem	Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt , als daß sie sich auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .	behaupten , seinem Leser mitteilen muß .Beide Eigenschaften , deren innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden sich bei diesem Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt , als daß sie sich auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .Sein ernster Charakter läßt ihn zwar nie	434	16	96456-Schiller__Friedrich.tsv
PDAT	PDAT		PDAT	diese		Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für	diesen	Mann erfüllt .	, welche Juden untereinander oft abstößt .Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .Und Frau Edda fuhr dahin , Einkäufe	5360	94	79543-Meisel_Hess__Grete.tsv
