DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PIAT	PIAT		PIS	alle		Meine Kinder sind versorgt ; mein Apfelwein ist diesen Abend	alle	; und morgen geht die Reise fort .	gar nicht viel !Meine Kinder sind versorgt ; mein Apfelwein ist diesen Abend alle ; und morgen geht die Reise fort .Je , Närrchen , ich habe ein	1584	10	110117-Wezel__Johann_Karl.tsv
PIAT	PIAT		PIAT	alle		Dieselbe Bescheidenheit , diese Abneigung gegen	alle	Herrschsucht , traten ebenso bei den gewöhnlichsten Gelegenheiten des Lebens hervor .	bewundernswürdiger , wenn sie darin erwachten .Dieselbe Bescheidenheit , diese Abneigung gegen alle Herrschsucht , traten ebenso bei den gewöhnlichsten Gelegenheiten des Lebens hervor .Wenn er sich zuweilen streng , sogar	6825	6	78504-Manzoni__Alessandro.tsv
PIAT	PIAT		PIAT	alle		Wenn er am Lager ankam , waren jedenfalls	alle	Augen und Ohren auf ihn gerichtet , und so bekam er die Weisung , sich ungefähr zehn Minuten nach unserer Entfernung bei den Feuern sehen zu lassen .	ebenso unbemerkt hinter sie zu schleichen .Wenn er am Lager ankam , waren jedenfalls alle Augen und Ohren auf ihn gerichtet , und so bekam er die Weisung , sich ungefähr zehn Minuten nach unserer Entfernung bei den Feuern sehen zu lassen .Für den Jäger konnte es keinen schönern	6663	8	79315-May__Karl.tsv
PIAT	PIAT		PIAT	alle		Er kam von selbst auf den Gedanken , noch an diesem Tage mit dem alten Simon zu sprechen , und lud mich ein , mit ihm nach Bornheim zu fahren , wo der Schabbes heute die noble Welt des alten Judenquartiers , der neuen Judenstraße , überhaupt	alle	Stämme Israels versammelt habe .	Was kommt dort von der Höh !Er kam von selbst auf den Gedanken , noch an diesem Tage mit dem alten Simon zu sprechen , und lud mich ein , mit ihm nach Bornheim zu fahren , wo der Schabbes heute die noble Welt des alten Judenquartiers , der neuen Judenstraße , überhaupt alle Stämme Israels versammelt habe .» Ach das verstehst du nicht «	2553	47	58301-Hauff__Wilhelm.tsv
PIAT	PIAT		PIAT	alle		Vor	allen	Dingen – was empfinde ich ?	Und wie heißen die anderen Lehrerinnen ?Vor allen Dingen – was empfinde ich ?« Noch habe ich der Besuche Mr.	3543	1	15086-Bront___Charlotte.tsv
PIAT	PIAT		PIS	alle		Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit	aller	Hast herunterschlingen mußte .	war , ein Ehemann zu werden .Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .» Ich werde dann an weiter nichts	4802	38	22325-Dickens__Charles.tsv
PIAT	PIAT		PIAT	alle		Das Gesetz , was nicht wie die Sonne alle erleuchtet , ruht nicht auf dem Gleichgewicht	aller	; ist nicht Naturgesetz .	Naturrecht !Das Gesetz , was nicht wie die Sonne alle erleuchtet , ruht nicht auf dem Gleichgewicht aller ; ist nicht Naturgesetz .Auch der einzelne hat Rechte Nationen gegenüber	1164	16	4090-Arnim__Bettina_von.tsv
PIAT	PIAT		PIAT	alle		Dieser Ort war sein Liebling , er ward ihm durch die Erinnerung zu einer heiligen Heimat	aller	Schmerzen und Entschlüsse .	und floh den Umgang der Menschen .Dieser Ort war sein Liebling , er ward ihm durch die Erinnerung zu einer heiligen Heimat aller Schmerzen und Entschlüsse .Diese Größe der Seele war die Seite	733	16	97133-Schlegel__Friedrich.tsv
PIAT	NN		PIAT	beide			Beide	Eigenschaften , deren innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden sich bei diesem Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt , als daß sie sich auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .	behaupten , seinem Leser mitteilen muß .Beide Eigenschaften , deren innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden sich bei diesem Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt , als daß sie sich auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .Sein ernster Charakter läßt ihn zwar nie	434	0	96456-Schiller__Friedrich.tsv
PIAT	PIAT		PIAT	beide		Ueber dem Peitschenstrich , welcher das ganze Gesicht durchquerte , waren zwei in blöder Wut stierende Augen zu sehen , welche sich auf den Hadschi richteten ; die	beiden	Arme wurden erhoben ; die Hände ballten sich zu Fäusten , und dann that der vor Grimm nicht mehr zurechnungsfähige Mann einen Sprung , um Halef zu packen ; dieser aber wich gewandt zur Seite aus , versetzte ihm einen zweiten Hieb , welcher quer über die Oberlippe strich und schlug ihm dann den schweren Knopf der Peitsche so in den Nacken , daß er niederstürzte .	sechsmal bis herunter zur Erde reichte .Ueber dem Peitschenstrich , welcher das ganze Gesicht durchquerte , waren zwei in blöder Wut stierende Augen zu sehen , welche sich auf den Hadschi richteten ; die beiden Arme wurden erhoben ; die Hände ballten sich zu Fäusten , und dann that der vor Grimm nicht mehr zurechnungsfähige Mann einen Sprung , um Halef zu packen ; dieser aber wich gewandt zur Seite aus , versetzte ihm einen zweiten Hieb , welcher quer über die Oberlippe strich und schlug ihm dann den schweren Knopf der Peitsche so in den Nacken , daß er niederstürzte .Dieser größte und berühmteste Krieger unter allen	4067	28	79316-May__Karl.tsv
