DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PIS	PIAT		PIS	alle		16 Denn etliche da sie höreten / richteten eine verbitterung an / Aber nicht	alle	/ die von Egypten ausgiengen durch Mosen .	/ bis ans ende feste behalten .16 Denn etliche da sie höreten / richteten eine verbitterung an / Aber nicht alle / die von Egypten ausgiengen durch Mosen .2 Darumb so die Bösen / meine	14083	14	78101-Luther__Martin.tsv
PIS	PIS		PIS	alle		Uber dieses	alles	trifft David auf die fünfftehalb Centner ungemüntzet Gold , 14. Centner Silber , 2. Schlag- Fässer voll Perlen , und drey Kisten voll gemüntztes Gold und Silber an , von dessen Glantze , indem er an seiner Jugend-Jahre gedenckt , seine Augen gantz verblendet werden .	sich ferner zu fürchten Ursach hätten .Uber dieses alles trifft David auf die fünfftehalb Centner ungemüntzet Gold , 14. Centner Silber , 2. Schlag- Fässer voll Perlen , und drey Kisten voll gemüntztes Gold und Silber an , von dessen Glantze , indem er an seiner Jugend-Jahre gedenckt , seine Augen gantz verblendet werden .Langrogge , der Musicus , mit einer	3213	2	97159-Schnabel__Johann_Gottfried.tsv
PIS	PIAT		PIS	alle		Melo aber eilte mit seinen vier tausend Reitern / welches	alles	Sicambrische und Tencterische Ritter oder Edelleute waren / dem härtesten Stande zu ; wo der Graf von Oldenburg mehr keinen Athem / wenig Blut / ja nicht einen unverwundeten Soldaten / gleichwohl aber noch das Hertze hatte zwölff tausend Römern durch Hülffe des vortheilhaften Ortes die Stirne zu bieten .	/ und Hoffnung zu überwinden hätten .Melo aber eilte mit seinen vier tausend Reitern / welches alles Sicambrische und Tencterische Ritter oder Edelleute waren / dem härtesten Stande zu ; wo der Graf von Oldenburg mehr keinen Athem / wenig Blut / ja nicht einen unverwundeten Soldaten / gleichwohl aber noch das Hertze hatte zwölff tausend Römern durch Hülffe des vortheilhaften Ortes die Stirne zu bieten .Und ich werde mit iedem vergnügt seyn	681	10	78039-Lohenstein__Daniel_Casper_von.tsv
PIS	PIS		PIS	alle		Doch lasse das	alles	ungeschrieben sein , es gefällt mir nicht , glaube mir , Deinem Herzen und Deiner Liebe .	Es ist schon spät !Doch lasse das alles ungeschrieben sein , es gefällt mir nicht , glaube mir , Deinem Herzen und Deiner Liebe .Adieu , Clemens !	3067	3	4083-Arnim__Bettina_von.tsv
PIS	NE		NE	andere		– Und was er aus seinem Lebensvermögen weitergegeben haben mag an diesen , seinen Sohn Velten	Andres	– unsern Freund ?	werden , wer kann das wissen ?– Und was er aus seinem Lebensvermögen weitergegeben haben mag an diesen , seinen Sohn Velten Andres – unsern Freund ?Mit den Akten des Vogelsangs hatten sie	68	16	87001-Raabe__Wilhelm.tsv
PIS	PIS		PIS	beide		Für	beide	ist Ahriman Mirza als zukünftiger Herrscher in Aussicht genommen .	wer dieser Fürst der Schatten ist .Für beide ist Ahriman Mirza als zukünftiger Herrscher in Aussicht genommen .Es gehen also eigentlich zwei Empörungen gegen	9258	1	79323-May__Karl.tsv
PIS	PIS		PIS	eine		Ein Arzt , der einem Schaden vorbeugt , ist theurer und werther , als	einer	, der ihn heilt .	die Zinsen auf den Tag fallen .Ein Arzt , der einem Schaden vorbeugt , ist theurer und werther , als einer , der ihn heilt .Sieh !	17901	14	62295-Hippel__Theodor_Gottlieb_von.tsv
PIS	NE		PIS	keine		Man darf	Keinem	trauen .	Und Freundschaft – pah !Man darf Keinem trauen .Und wenn man nun Niemanden mehr hat	17071	2	13731-Bleibtreu__Karl.tsv
PIS	PIS		PIS	man			Man	darf Keinem trauen .	Und Freundschaft – pah !Man darf Keinem trauen .Und wenn man nun Niemanden mehr hat	17071	0	13731-Bleibtreu__Karl.tsv
PIS	PIS		PIS	man		Diese beiden letztgenannten Eigenschaften sind die Ursache ihrer nicht ganz freiwilligen Entfernung aus Berlin , wo	man	im Zeichen der Tugend und Gottesfurcht steht .	ihrer Tätigkeit hierher verlegt zu haben .Diese beiden letztgenannten Eigenschaften sind die Ursache ihrer nicht ganz freiwilligen Entfernung aus Berlin , wo man im Zeichen der Tugend und Gottesfurcht steht .Alle bösen Geister haben wieder von mir	902	16	14315-Braun__Lily.tsv
