DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PPOSAT	PPOSAT		PPOSAT	ihr		Seine jugendfrische Schönheit übermannte sie , die wahre Liebe hielt ihren Einzug , und hätte nicht	ihre	königliche Majestät dem im Wege gestanden , so würde sie die verlockenden Bäckchen , die wie zweifrische Apfel schimmerten , sofort abgeküßt haben .	Anmut eines zuckersüßen kleinen kichernden Backfischs .Seine jugendfrische Schönheit übermannte sie , die wahre Liebe hielt ihren Einzug , und hätte nicht ihre königliche Majestät dem im Wege gestanden , so würde sie die verlockenden Bäckchen , die wie zweifrische Apfel schimmerten , sofort abgeküßt haben .Er war schlank , aufrecht wie eine	12	16	6235-Balzac__Honor__de.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Seine jugendfrische Schönheit übermannte sie , die wahre Liebe hielt	ihren	Einzug , und hätte nicht ihre königliche Majestät dem im Wege gestanden , so würde sie die verlockenden Bäckchen , die wie zweifrische Apfel schimmerten , sofort abgeküßt haben .	Anmut eines zuckersüßen kleinen kichernden Backfischs .Seine jugendfrische Schönheit übermannte sie , die wahre Liebe hielt ihren Einzug , und hätte nicht ihre königliche Majestät dem im Wege gestanden , so würde sie die verlockenden Bäckchen , die wie zweifrische Apfel schimmerten , sofort abgeküßt haben .Er war schlank , aufrecht wie eine	12	10	6235-Balzac__Honor__de.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Ja es ereignete sich bey Absonderung der Todten / daß	ihrer	unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .	Wallstatt zu herrlicherm Begräbnis-Gepränge weggeführet wurden .Ja es ereignete sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .Die aber / welche von denen Deutschen	37673	10	78039-Lohenstein__Daniel_Casper_von.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Da sagte der Jäger Jürge : › Ach , bittet hier die gute alte Mutter , daß sie doch morgen mit dem Töchterlein	ihrer	seligen Base bei meinem Rechte zugegen sein mögen ; das wird mir das Herz stärken in meiner letzten Stunde .	, er wolle mit ihm beten .Da sagte der Jäger Jürge : › Ach , bittet hier die gute alte Mutter , daß sie doch morgen mit dem Töchterlein ihrer seligen Base bei meinem Rechte zugegen sein mögen ; das wird mir das Herz stärken in meiner letzten Stunde .« Er hieß mich zu seiner Köchin	495	23	14643-Brentano__Clemens.tsv
PPOSAT	PPOSAT		PPOSAT	mein		» Das dacht' ich mir wohl , sagte	mein	Oheim .	Ich könnte es nicht sagen .» Das dacht' ich mir wohl , sagte mein Oheim .Hatte ein Boden von besonderer Beschaffenheit ,	1653	8	107491-Verne__Jules.tsv
PPOSAT	PPOSAT		PPOSAT	mein		– Aber wo ist Signor Formica , wo ist	mein	würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .	hätt' ich meinen wahnsinnigen Anschlag ausgeführt .– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .– Fern sei es von mir ,	387	9	62350-Hoffmann__E__T__A_.tsv
PPOSAT	PPOSAT		PPOSAT	mein		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich	mein	Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	16	62295-Hippel__Theodor_Gottlieb_von.tsv
PPOSAT	PPOSAT		PPOSAT	mein		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth ,	mein	ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	25	62295-Hippel__Theodor_Gottlieb_von.tsv
PPOSAT	PPOSAT		PPOSAT	meine		« – Nun bemerkte sie das heftige Heben meiner Brust , und die Zähren , die über	meine	Wangen rollten .	Unschuld von den Kindern meines Herzens !« – Nun bemerkte sie das heftige Heben meiner Brust , und die Zähren , die über meine Wangen rollten .Ich drücke noch die Hand einer zärtlichen	10701	17	72270-La_Roche__Sophie_von.tsv
PPOSAT	PPOSAT		PPOSAT	meine		– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für	meine	Heilung danke , die nur er vollbracht .	hätt' ich meinen wahnsinnigen Anschlag ausgeführt .– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .– Fern sei es von mir ,	387	18	62350-Hoffmann__E__T__A_.tsv
