DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PPOSS	NN		PPOSS	ihr		Seit dem Morgen schon war sie sich ganz selbst überlassen , denn Frau Golowski hatte wieder einmal in die Stadt fahren müssen , um nach den	Ihren	zu sehen .	ganz « , sagte Georg ablehnend .Seit dem Morgen schon war sie sich ganz selbst überlassen , denn Frau Golowski hatte wieder einmal in die Stadt fahren müssen , um nach den Ihren zu sehen .Mit Heinrich Bermann , dem Schriftsteller ,	4596	26	97181-Schnitzler__Arthur.tsv
PPOSS	PPOSAT		PPOSS	ihr		Ihre Verkleidung verwandelte sie so , daß Aurora und Don Felix zwei verschiedene Personen zu sein schienen ; es sah sogar aus , als sei die Dame größer als der Mann ; freilich trugen ihre Überschuhe , denn die	ihren	waren besonders hoch , nicht wenig dazu bei .	rüsteten wir zur Aufführung unseres Stückes .Ihre Verkleidung verwandelte sie so , daß Aurora und Don Felix zwei verschiedene Personen zu sein schienen ; es sah sogar aus , als sei die Dame größer als der Mann ; freilich trugen ihre Überschuhe , denn die ihren waren besonders hoch , nicht wenig dazu bei .Man kann sich denken , daß wir	7278	39	73146-Lesage__Alain_Ren_.tsv
PPOSS	NN		NN	ihrige		Alles Bisherige haben Sie bloß von Hörensagen ; und doch schien mir sein Benehmen gegen Sie und das	Ihrige	gegen ihn auf eine genauere Bekanntschaft zu deuten .	» Raten Sie auch auf niemand ?Alles Bisherige haben Sie bloß von Hörensagen ; und doch schien mir sein Benehmen gegen Sie und das Ihrige gegen ihn auf eine genauere Bekanntschaft zu deuten .« » Und womit beweisen Sie mir	1659	18	96438-Schiller__Friedrich.tsv
PPOSS	NN		NN	ihrige		Wer weiß , was heute nacht aus mir wird ; ich danke Gott , daß ich sterblich bin und daß mein Herz mit dem	Ihrigen	noch reden konnte .	war ; daher schrieb ich Ihnen .Wer weiß , was heute nacht aus mir wird ; ich danke Gott , daß ich sterblich bin und daß mein Herz mit dem Ihrigen noch reden konnte .Aber er kam den ganzen Tag nicht	219	24	72269-La_Roche__Sophie_von.tsv
PPOSS	NN		NN	ihrige		Gern erfüllte Brigitte seine Bitte , und setzte dann , von den	Ihrigen	unterstützt , ihre Wohlthätigkeit und Andacht fort .	ihr mir bei unserer Trauung gegeben .Gern erfüllte Brigitte seine Bitte , und setzte dann , von den Ihrigen unterstützt , ihre Wohlthätigkeit und Andacht fort .» Von wem habt ihr diesen Ring	8	12	6061-Baader__Bernhard.tsv
PPOSS	ADJA		NN	ihrige		Als ich mir dann ein hübsches Sümmchen beiseite gelegt und sie von dem	ihrigen	eine annähernd ebenso große Mitgift zusammengespart hatte , da beschlossen wir endlich , unsere Ersparnisse zu heiraten , und heute ... heute klimpert das Geld im Beutel .	besaßen wir aber keine hundert Rubel .Als ich mir dann ein hübsches Sümmchen beiseite gelegt und sie von dem ihrigen eine annähernd ebenso große Mitgift zusammengespart hatte , da beschlossen wir endlich , unsere Ersparnisse zu heiraten , und heute ... heute klimpert das Geld im Beutel .Sieh , ich war fünfundzwanzig Jahre alt	3618	13	107529-Verne__Jules.tsv
PPOSS	ADJA		NN	ihrige		Die Natur erst ein wenig kennen lernen , eh sie sich einfallen lassen , es besser zu wissen als sie ; verträglich und duldsam gegen die Torheiten und Unarten der Menschen sein , welche die	ihrigen	dulden müssen ; durch Beispiele bessern , statt durch frostiges Gewäsche zu ermüden , oder durch Schmähreden zu erbittern ; keine Wirkungen fodern , wovon die Ursachen noch nicht da sind , und nicht verlangen , daß wir die Spitze eines Berges erreicht haben sollen , ehe wir hinauf gestiegen sind .	Feuerhimmel nicht klärer gemacht werden könnte .Die Natur erst ein wenig kennen lernen , eh sie sich einfallen lassen , es besser zu wissen als sie ; verträglich und duldsam gegen die Torheiten und Unarten der Menschen sein , welche die ihrigen dulden müssen ; durch Beispiele bessern , statt durch frostiges Gewäsche zu ermüden , oder durch Schmähreden zu erbittern ; keine Wirkungen fodern , wovon die Ursachen noch nicht da sind , und nicht verlangen , daß wir die Spitze eines Berges erreicht haben sollen , ehe wir hinauf gestiegen sind .Vollkommene Gleichheit , vollkommene Zufriedenheit mit dem	1945	35	110271-Wieland__Christoph_Martin.tsv
PPOSS	NN		NN	ihrige		Meine Fotis trug die	ihrigen	mit einer glücklichen Nachlässigkeit geziert und war darum nur desto reizender .	Dieser trügerische Vorschlag verfing .Meine Fotis trug die ihrigen mit einer glücklichen Nachlässigkeit geziert und war darum nur desto reizender .Nach dem Leichenbegängnis wurde das Mädchen erst	2455	4	3481-Apuleius.tsv
PPOSS	NN		NN	meinige		Noch schlüßlich ersuch' ich die Vollstrecker , falls schwere Kapitel , die besondere Kraft und Stimmung fordern , im Anzuge sein sollten , mir sie bald und jetzt zu schicken , wo gerade meine Lokale ( wozu auch mein Leib zu rechnen ) , mein Schreibfenster , das den ganzen Ilzgrund beherrscht ( denn ich wohne im Grunerschen Hause in der Gymnasiumsstraße ) , und das Blühen der	Meinigen	( worunter mein empirisches Ich mit gehört ) mich sichtbar unterstützen ; ja ich würde – wenn nicht solche Selbst-Personalien eher vor ein Publikum als vor einen Stadtrat gehörten – dazu selber den gedachten Gottesacker schlagen , wo man eben jetzt ( es ist Sonntags 12 Uhr ) halb in der Salvatorskirche , halb auf deren Kirchhofe im Sonnenscheine zwischen Kindern , Schmetterlingen , Sitz-Gräbern und fliegenden Blättern des Herbstes den singenden , orgelnden und redenden Gottesdienst so hält , daß ich alles hier am Schreibtische höre .	Lage nach über ihnen stehen mußte .Noch schlüßlich ersuch' ich die Vollstrecker , falls schwere Kapitel , die besondere Kraft und Stimmung fordern , im Anzuge sein sollten , mir sie bald und jetzt zu schicken , wo gerade meine Lokale ( wozu auch mein Leib zu rechnen ) , mein Schreibfenster , das den ganzen Ilzgrund beherrscht ( denn ich wohne im Grunerschen Hause in der Gymnasiumsstraße ) , und das Blühen der Meinigen ( worunter mein empirisches Ich mit gehört ) mich sichtbar unterstützen ; ja ich würde – wenn nicht solche Selbst-Personalien eher vor ein Publikum als vor einen Stadtrat gehörten – dazu selber den gedachten Gottesacker schlagen , wo man eben jetzt ( es ist Sonntags 12 Uhr ) halb in der Salvatorskirche , halb auf deren Kirchhofe im Sonnenscheine zwischen Kindern , Schmetterlingen , Sitz-Gräbern und fliegenden Blättern des Herbstes den singenden , orgelnden und redenden Gottesdienst so hält , daß ich alles hier am Schreibtische höre .Die liebe Sonne stand so , daß	1307	68	64896-Jean_Paul.tsv
PPOSS	ADJA		PPOSS	meinige		Das wäre ' ne schöne Geschichte , wenn dein Leben im Druck er schiene , wie ein gewisser Tagedieb das	meinige	hat drucken lassen , als ob keine schlimmeren Huren auf der Welt wären als ich !	Amme : Wie denn ?Das wäre ' ne schöne Geschichte , wenn dein Leben im Druck er schiene , wie ein gewisser Tagedieb das meinige hat drucken lassen , als ob keine schlimmeren Huren auf der Welt wären als ich !Pippa : Daran ist nicht zu zweifeln	6339	20	3756-Aretino__Pietro.tsv
