DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PRELAT	PRELAT		PRELAT	die		Die gerade und die krumme Linie ist es ,	deren	Umspielung oder innige Durchdringung alle Formen hervorbringt .	sogenannten Regeln nicht so gar viel .Die gerade und die krumme Linie ist es , deren Umspielung oder innige Durchdringung alle Formen hervorbringt .« » Abgesehen von allem übrigen «	4415	9	104893-Tieck__Ludwig.tsv
PRELAT	PRELAT		PRELAT	die		Ich finde da verschiedene Stammgäste , Frühschoppler ,	deren	Namen ich klüglich verschweige .	Das will ich nicht gerade sagen .Ich finde da verschiedene Stammgäste , Frühschoppler , deren Namen ich klüglich verschweige .Roswitha sagt , du seiest so fiebrig	616	8	26859-Fontane__Theodor.tsv
PRELAT	PRELAT		PRELAT	die		Er ging völlig in seiner Fabrik auf ,	deren	Geschäfte er , ohne jede Spur von Produktivität mechanisch abwickelte .	Ob ich nicht etwas Erspartes besäße .Er ging völlig in seiner Fabrik auf , deren Geschäfte er , ohne jede Spur von Produktivität mechanisch abwickelte .Er habe schon daran gedacht , ihr	264	8	22499-Dohm__Hedwig.tsv
PRELAT	PDS		PDS	die		Sie wird sie nach Massgabe ihrer jedweiligen Reproductionsbedingungen und	deren	Handhabung .	verstanden werden durch ihre geschichtliche Entstehung .Sie wird sie nach Massgabe ihrer jedweiligen Reproductionsbedingungen und deren Handhabung .« Nun , und eben grade diesen	24	9	64095-Holz__Arno.tsv
PRELAT	ADJA		PDS	die		Erst als er die Vortrefflichkeit dieses Thieres und die Leichtigkeit der Fortpflanzung desselben rühmte , auch seinen Werth noch etwas übertrieb , gestatteten jene	deren	Ausschiffung an den Strand .	oder übel auf diesen Vorschlag eingehen .Erst als er die Vortrefflichkeit dieses Thieres und die Leichtigkeit der Fortpflanzung desselben rühmte , auch seinen Werth noch etwas übertrieb , gestatteten jene deren Ausschiffung an den Strand .Allen Muth zusammenraffend , erreichte er die	4563	24	107558-Verne__Jules.tsv
PRELAT	PRELAT		PRELAT	die		Man erinnert sich an jene prachtvollen Blumen ,	deren	Fülle und Zartheit alles übertrift , die in einer Stunde der Nacht am Stängel der Fackeldistel prangen und noch vor Sonnenaufgang verwelken .	Weise nur für das Gegenwärtige berechnet .Man erinnert sich an jene prachtvollen Blumen , deren Fülle und Zartheit alles übertrift , die in einer Stunde der Nacht am Stängel der Fackeldistel prangen und noch vor Sonnenaufgang verwelken .Doch den Bildern eignes Leben einzuhauchen ,	2635	8	26873-Forster__Georg.tsv
PRELAT	PRELAT		PRELAT	die		Eben passirte die Sonne den Zenith – eine Sonne , welche niemals die Reben von Bordeaux oder Burgund ,	deren	Blut man eben getrunken , gezeitigt hätte , denn sie erleuchtete Alles nur schwach und erwärmte gar nicht .	er Hakhabut's Wehklagen gar nicht gehört .Eben passirte die Sonne den Zenith – eine Sonne , welche niemals die Reben von Bordeaux oder Burgund , deren Blut man eben getrunken , gezeitigt hätte , denn sie erleuchtete Alles nur schwach und erwärmte gar nicht .– Es betrifft nämlich Folgendes !	6279	19	107502-Verne__Jules.tsv
PRELAT	PRELAT		PRELAT	die		Es befand sich also auch niemand in der Etage , auf	deren	Plattform wir jetzt standen .	, weil das viel schneller ging .Es befand sich also auch niemand in der Etage , auf deren Plattform wir jetzt standen .« » Warum dieser ?	2650	11	79312-May__Karl.tsv
PRELAT	PRELAT		PRELAT	die		Dunstflocken blieben kapriziös an den Blättern der Gesträuche hangen oder hüpften von Gipfel zu Gipfel , ließen tiefe Engpässe sehen , an	deren	Eingange die Opfergaben , mit denen der indianische Aberglaube die Geister der Berge bedacht hatte , sich in großer Menge zeigten , und enthüllten dem Auge wilde Abgründe , in die sich schäumende Wasserfälle stürzten .	bemühen , mein Haar zu erhalten .Dunstflocken blieben kapriziös an den Blättern der Gesträuche hangen oder hüpften von Gipfel zu Gipfel , ließen tiefe Engpässe sehen , an deren Eingange die Opfergaben , mit denen der indianische Aberglaube die Geister der Berge bedacht hatte , sich in großer Menge zeigten , und enthüllten dem Auge wilde Abgründe , in die sich schäumende Wasserfälle stürzten .Ist mein rother Bruder ein so großer	345	22	79302-May__Karl.tsv
PRELAT	PRELAT		PRELAT	die		Sie gieng alle Erwartungen ihres Lebens durch , von den gutherzig frohen Aussichten , die ihr Antoinettens Kindheit gegeben hatte , bis zu dem Tag , da wilder Durst nach L*** 's Blut sie in das Gefängniß vom Karmeliterkloster getrieben hatte , bis zu der lezten Schlacht , von	deren	Ausgang , so wie von L*** 's kurz darauf in Fougeres erfolgten Tod , sie unterrichtet war ; und sie fand überall nur Fehlschlagen , Blindheit , Leitung eines feindlichen Geschiks. L*** 's Tod schien ihr der lezte Auftritt des Schauspiels , und sie sehnte sich nur noch nach der Gewißheit , daß auch Roger ihr vorausgegangen wäre ; den Mangel an Nachricht hinüber fühlte sie wie einen lästigen Aufenthalt im Augenblik der Abreise .	in ihren Unglüksgefährten um sie her .Sie gieng alle Erwartungen ihres Lebens durch , von den gutherzig frohen Aussichten , die ihr Antoinettens Kindheit gegeben hatte , bis zu dem Tag , da wilder Durst nach L*** 's Blut sie in das Gefängniß vom Karmeliterkloster getrieben hatte , bis zu der lezten Schlacht , von deren Ausgang , so wie von L*** 's kurz darauf in Fougeres erfolgten Tod , sie unterrichtet war ; und sie fand überall nur Fehlschlagen , Blindheit , Leitung eines feindlichen Geschiks. L*** 's Tod schien ihr der lezte Auftritt des Schauspiels , und sie sehnte sich nur noch nach der Gewißheit , daß auch Roger ihr vorausgegangen wäre ; den Mangel an Nachricht hinüber fühlte sie wie einen lästigen Aufenthalt im Augenblik der Abreise .Jedes neue Leiden schien ihr ein Schritt	214	49	64147-Huber__Therese.tsv
