DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKANT	NE		VAFIN	bitte			Bitt'	ich dich mit hochgehob'ner Hand : Die jährliche Kreisversammlung in Ulm macht die Stadt lauter , als sie sonst ist .	; seine Gefangenen verläßt er nicht .Bitt' ich dich mit hochgehob'ner Hand : Die jährliche Kreisversammlung in Ulm macht die Stadt lauter , als sie sonst ist .3 9 Diese folgten , nach dem	2589	0	97606-Schubart__Christian_Friedrich_Daniel.tsv
PTKANT	NN		PTKANT	bitte			Bitte	, schieben Sie mir gütigst einmal den Cigarrenkasten herüber , und wenn es Ihnen nicht zu viel Umstände macht , drücken Sie doch auf das Glöckchen da , zu Ihrer Linken .	Ach , was das langweilig ist !Bitte , schieben Sie mir gütigst einmal den Cigarrenkasten herüber , und wenn es Ihnen nicht zu viel Umstände macht , drücken Sie doch auf das Glöckchen da , zu Ihrer Linken .Ich sehe mir manchmal auf die Nägel	6647	0	99025-Spielhagen__Friedrich.tsv
PTKANT	NE		NN	ja		»	Ja	, « sagte sie lachend , » es hat mir so gut getan .	in das Nirwana der Andacht entrückt .» Ja , « sagte sie lachend , » es hat mir so gut getan .Wie erstaunt war ich aber , als	171	1	79882-Meysenbug__Malwida_Freiin_von.tsv
PTKANT	PTKANT		NN	ja		Ich habe alles Mögliche angefangen , von Schießete und Märite , von Buben und Mägden , aber ein Wort ist ein Wort , das ich anders herausgebracht , als so trockne	Ja	und Nein und : e dr Tusig !	fände hier herum , selb nit .Ich habe alles Mögliche angefangen , von Schießete und Märite , von Buben und Mägden , aber ein Wort ist ein Wort , das ich anders herausgebracht , als so trockne Ja und Nein und : e dr Tusig !« » Mich « , sagte Annelisi	1684	31	48351-Gotthelf__Jeremias.tsv
PTKANT	PTKANT		NN	ja		« »	Ja	.	dorther stammend , ganz vorzüglich sprach .« » Ja .Seht Ihr nicht dort rechts zwei Packpferde	11064	2	79316-May__Karl.tsv
PTKANT	NE		NN	ja		«	Ja	, dieses Geschmäl der unstudierten Gelehrten währete so viel und oft , daß ich mich endlich zu Ollingen darüber beklagen und man von daraus eine heimliche Inhibition tun müssen , damit man meiner ab inductione exemplorum mit Namen verschonete .	, darnach so kommt es so .« Ja , dieses Geschmäl der unstudierten Gelehrten währete so viel und oft , daß ich mich endlich zu Ollingen darüber beklagen und man von daraus eine heimliche Inhibition tun müssen , damit man meiner ab inductione exemplorum mit Namen verschonete .» Sehet , « sagten etliche Dorfpriester	852	1	11288-Beer__Johann.tsv
PTKANT	NE		NN	ja		Dann schenkte er das vor ihm stehende Glas voll , blickte hinein und sagte : »	Ja	, ja .	einem kurzen Kopfnicken zur Thür hinaus .Dann schenkte er das vor ihm stehende Glas voll , blickte hinein und sagte : » Ja , ja .« Dazu stand ihr die Schwester trotz	1428	16	23055-Duncker__Dora.tsv
PTKANT	PTKANT		NN	ja		« »	Ja	, ich !	ohne Erfahrung für uns Alte reden ?« » Ja , ich !Wie kommst du hieher ?	447	2	66087-Keller__Gottfried.tsv
PTKANT	NE		NN	ja		«	Ja	, das tötende Feuer kam hinter uns , um uns zu verderben , aber das » tötende Feuer « , der Häuptling der Tetongs , kam von oben herab , um uns zu retten .	» O weh !« Ja , das tötende Feuer kam hinter uns , um uns zu verderben , aber das » tötende Feuer « , der Häuptling der Tetongs , kam von oben herab , um uns zu retten .Das war Winnetou , der berühmteste Häuptling	1168	1	79397-May__Karl.tsv
PTKANT	NE		NN	ja		Ihre nach dieser Seite hin abzielenden Versuche verliefen aber resultatlos , und Corinna war nicht zum Sprechen zu bewegen , wenn die Schmolke begann : »	Ja	, Corinna , was soll denn nun eigentlich werden ?	leicht wurde , zu unbedingtem Schweigen .Ihre nach dieser Seite hin abzielenden Versuche verliefen aber resultatlos , und Corinna war nicht zum Sprechen zu bewegen , wenn die Schmolke begann : » Ja , Corinna , was soll denn nun eigentlich werden ?« Ja , es sah nicht heiter	2685	26	26858-Fontane__Theodor.tsv
