DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKA	PTKA		PTKA	allzu		Gegen vier Uhr glaubte Joe einen Gegenstand zu bemerken , der sich von der weiten Sandfläche abhob , und bald versicherte er entschieden , daß dies zwei Palmbäume seien , die in nicht	allzu	großer Entfernung von ihnen emporragten .	endlich geraden Weges auf Norden zu .Gegen vier Uhr glaubte Joe einen Gegenstand zu bemerken , der sich von der weiten Sandfläche abhob , und bald versicherte er entschieden , daß dies zwei Palmbäume seien , die in nicht allzu großer Entfernung von ihnen emporragten .Am Mittwoch , dem 23. April ,	3225	33	107489-Verne__Jules.tsv
PTKA	PTKA		PTKA	allzu		Sie war mir viel zu lieb / und es fiele mir	allzu	unmöglich / da sie in solcher unschuld lebet und liebet / sie dergestalt zu beunruhigen .	/ üm ihre ruhe zu befördern .Sie war mir viel zu lieb / und es fiele mir allzu unmöglich / da sie in solcher unschuld lebet und liebet / sie dergestalt zu beunruhigen .( antwortete Delbois / ) diese unvergleichliche	5673	11	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
PTKA	PTKA		PTKA	allzu		Die Scheschianer hatten sich in einigen ruhigen Jahren völlig wieder hergestellt ; Akbars Prachtliebe , und die großen Werke , wodurch er alle Arten von Künstlern und Arbeitern in Beschäftigung und ungeheure Summen in den schnellsten Umlauf setzte , machten seinen Namen und seine Regierung der Nation beliebt ; der allgemeine Wohlstand , der für den Augenblick dadurch befördert wurde , erhöhte ihren Mut , und machte sie geneigt , dem Fürsten , und den seinem Beispiele nacheifernden Großen einen Teil dessen , was sie von ihnen gewannen , ohne eine	allzu	genaue Berechnung wieder zu geben .	so eifrig zu verhindern bemüht ist .Die Scheschianer hatten sich in einigen ruhigen Jahren völlig wieder hergestellt ; Akbars Prachtliebe , und die großen Werke , wodurch er alle Arten von Künstlern und Arbeitern in Beschäftigung und ungeheure Summen in den schnellsten Umlauf setzte , machten seinen Namen und seine Regierung der Nation beliebt ; der allgemeine Wohlstand , der für den Augenblick dadurch befördert wurde , erhöhte ihren Mut , und machte sie geneigt , dem Fürsten , und den seinem Beispiele nacheifernden Großen einen Teil dessen , was sie von ihnen gewannen , ohne eine allzu genaue Berechnung wieder zu geben .› Durch eine sehr einfache Veranstaltung ‹	773	91	110269-Wieland__Christoph_Martin.tsv
PTKA	NE		PTKA	am			Am	wahrscheinlichsten war es , daß einer von ihnen etwas gestohlen und es sogar schon einem zufällig hinzugekommenen Juden verkauft hatte , aber das Geld mit seinem Freunde nicht teilen wollte .	wurde von ihnen zum Schiedsrichter gewählt .Am wahrscheinlichsten war es , daß einer von ihnen etwas gestohlen und es sogar schon einem zufällig hinzugekommenen Juden verkauft hatte , aber das Geld mit seinem Freunde nicht teilen wollte .Die beiden Schreiber gerieten mit anderen Schreibern	13652	0	22509-Dostoevskij__F_dor_Michajlovi_.tsv
PTKA	PTKA		PTKA	am		Der würde jedenfalls	am	besten ins Holländische übersetzen .	einen sehr hübschen , freundlichen Brief .Der würde jedenfalls am besten ins Holländische übersetzen .Mein lieber Otto !	8	3	16008-Busch__Wilhelm.tsv
PTKA	PTKA		PTKA	am		Die Ehre will , daß man die Wahrheit spreche , wenn es Honnêteté gebeut ; der Russe sagt sie denn	am	wenigsten , und wenn es auch nur der geringste Vorteil wollte .	vermutlich ganz andrer , als irdischer .Die Ehre will , daß man die Wahrheit spreche , wenn es Honnêteté gebeut ; der Russe sagt sie denn am wenigsten , und wenn es auch nur der geringste Vorteil wollte .aber ein Gefühl welcher Dinge !	86	20	61274-Herder__Johann_Gottfried.tsv
PTKA	APPRART		APPRART	am		Da hingegen Hannibal schier die geringste sich rechtschaffen währende Stadt zu bemeistern / der Siege zwar durch Wollüste zu genüssẽ / ebẽ so wenig aber / als Pompejus / derselben durch ihre Verfolgung sich zu gebrauchen /	am	wenigsten / wie Alexander / Scipio und Julius / ein Werck völlig auszumachen gewüst hätte .	ihm in freyem Felde lagern können .Da hingegen Hannibal schier die geringste sich rechtschaffen währende Stadt zu bemeistern / der Siege zwar durch Wollüste zu genüssẽ / ebẽ so wenig aber / als Pompejus / derselben durch ihre Verfolgung sich zu gebrauchen / am wenigsten / wie Alexander / Scipio und Julius / ein Werck völlig auszumachen gewüst hätte .Der Verlust seines Auges / die Begegnung	36118	37	78039-Lohenstein__Daniel_Casper_von.tsv
PTKA	PTKA		APPRART	am		« Ihm aber war , als ob sie im Einverständnis sei mit den beiden , die ihn auslachten , und das kränkte ihn	am	meisten ; aber er wußte nicht , was er antworten sollte .	Tag zweiundzwanzig Liter Milch gegeben habe .« Ihm aber war , als ob sie im Einverständnis sei mit den beiden , die ihn auslachten , und das kränkte ihn am meisten ; aber er wußte nicht , was er antworten sollte .Wir haben jeder einen Pony , auf	2231	23	25313-Ernst__Paul.tsv
PTKA	APPRART		PTKA	am		Und unvergeßlich ist mir der Vergleich meines Gamaliel , der ihm vielleicht jetzt	am	theuersten zu stehen kommt .	– das ist die Frage .Und unvergeßlich ist mir der Vergleich meines Gamaliel , der ihm vielleicht jetzt am theuersten zu stehen kommt .Das sind die beiden Arme des Weges	4106	13	62296-Hippel__Theodor_Gottlieb_von.tsv
PTKA	PTKA		PTKA	am		Warum weiß ich jetzt , wie mein Margret aussieht und der Wendel und der Doctor und der Pfarrer , und wenn ich malen könnt' , könnt' ich sie dahin malen ; und mich selber hab' ich doch auch genug geschaut und ich weiß doch nicht , wie ich ausseh ' ... Mein Herz und meine Gedanken kenne ich auch nicht so , ich meine , ich kenne die von anderen Leuten viel besser , und doch kann und muß ich mich auf mich allein	am	besten verlassen ... Was Reue !	mit sich machen was sie wollen .Warum weiß ich jetzt , wie mein Margret aussieht und der Wendel und der Doctor und der Pfarrer , und wenn ich malen könnt' , könnt' ich sie dahin malen ; und mich selber hab' ich doch auch genug geschaut und ich weiß doch nicht , wie ich ausseh ' ... Mein Herz und meine Gedanken kenne ich auch nicht so , ich meine , ich kenne die von anderen Leuten viel besser , und doch kann und muß ich mich auf mich allein am besten verlassen ... Was Reue !Wozu sollten auch die Gefangenen dessen bedürfen	559	84	5247-Auerbach__Berthold.tsv
PTKA	PTKA		ADV	zu		Aber diesmal trat der Umstand ein , daß man nach der Abfahrt der Wilden drei derselben am Ufer schlafend fand , die sich vielleicht verirrt hatten , und	zu	spät zurückgekommen waren .	an der Nordwestküste der Insel landeten .Aber diesmal trat der Umstand ein , daß man nach der Abfahrt der Wilden drei derselben am Ufer schlafend fand , die sich vielleicht verirrt hatten , und zu spät zurückgekommen waren .Diesen Brief und die übrigen Papiere übergab	3380	28	21704-Defoe__Daniel.tsv
PTKA	PTKA		PTKA	zu		Es ist freylich etwas	zu	viel gefodert , sprach sie , mit einem lächelnden Blicke , wenn unsere werthe Gesellinn , die Gewohnheit , durchgehends auf ihr altes Herkommen dringt .	13 § .Es ist freylich etwas zu viel gefodert , sprach sie , mit einem lächelnden Blicke , wenn unsere werthe Gesellinn , die Gewohnheit , durchgehends auf ihr altes Herkommen dringt .1 § .	9613	4	48520-Gottsched__Johann_Christoph.tsv
