DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKNEG	ADJD		ADJD	nicht		Dit künn dei Mann yrst recht	nich	fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !	un haer ne groote Kroon up .Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !« – Un as dei Mann hen	125	6	64836-Jahn__Ulrich.tsv
PTKNEG	ADJD		NE	nicht		Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch	nich	slicht !	un haer ne groote Kroon up .Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !« – Un as dei Mann hen	125	21	64836-Jahn__Ulrich.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		« sollte er doch die Antwort	nicht	schuldig bleiben .	, und lassen es dabei bewenden .« sollte er doch die Antwort nicht schuldig bleiben .Ich übergehe den allgemeinen Vorwurf , der	3357	6	110273-Wieland__Christoph_Martin.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld	nicht	ihm beygemessen werde / davon ich ein Exempel erzehlen will .	viel näher gelegene Brodtteige nicht haben ?Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .Denn man wolle nur die absurdität erwegen	6590	38	97156-Schmidt__Johann_Georg.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Gleich dem Hiob habe ihn der grausame Gott , der überhaupt der Grund alles Übels in der Welt sei , weil er mit dem Menschen experimentiere wie ein Vivisektor mit seinen Versuchstieren – ihm , dem Mister John , seine Familie und seine Reichtümer genommen und ,	nicht	zufrieden mit dem angestifteten Unheil , auch noch seine Freunde gegen ihn aufgehetzt und seine Gesundheit geschädigt .	Er hat mich selbst darauf gebracht .Gleich dem Hiob habe ihn der grausame Gott , der überhaupt der Grund alles Übels in der Welt sei , weil er mit dem Menschen experimentiere wie ein Vivisektor mit seinen Versuchstieren – ihm , dem Mister John , seine Familie und seine Reichtümer genommen und , nicht zufrieden mit dem angestifteten Unheil , auch noch seine Freunde gegen ihn aufgehetzt und seine Gesundheit geschädigt .» Bah , man müßte ihn nur	2381	47	18884-Conrad__Michael_Georg.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Inzwischen warteten die Schauspieler ; doch Bordenave sagte ihnen , daß heute der dritte Akt	nicht	mehr probiert werde .	er ihn wieder zu Boden setzte .Inzwischen warteten die Schauspieler ; doch Bordenave sagte ihnen , daß heute der dritte Akt nicht mehr probiert werde .Nicht wahr , mein Freund : Man	7957	15	112135-Zola___mile.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Kehrte Siegmund Faber zurück , dann lag es mir ob , mich ,	nicht	sie , vor einem wahrhaftigen Ehrenmanne zu entschuldigen .	War sie meine Schwester , meinesgleichen ?Kehrte Siegmund Faber zurück , dann lag es mir ob , mich , nicht sie , vor einem wahrhaftigen Ehrenmanne zu entschuldigen .Schämte sie sich nicht , als Braut	1028	13	26910-Fran_ois__Louise_von.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Und gerade in diesem Augenblicke , wo ich seiner	nicht	dachte , fielen meine Augen auf Tilling .	Warum läßt sich Tilling nicht sehen ?Und gerade in diesem Augenblicke , wo ich seiner nicht dachte , fielen meine Augen auf Tilling .Ich war doch froh , gekommen zu	4663	9	102345-Suttner__Bertha_von.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder ,	nicht	um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .	römischen Vergangenheit und des römischen Ruhmes .Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .« Inzwischen fuhren die Soldaten , unterstützt	4656	14	98460-Sienkiewicz__Henryk.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Dieser Mann kann mich	nicht	beleidigen .	welcher Horde er wohl gehören mag ?Dieser Mann kann mich nicht beleidigen .Das ist gut , sehr gut !	1217	4	79315-May__Karl.tsv
