DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKZU	PTKZU		PTKZU	zu		Er kam von selbst auf den Gedanken , noch an diesem Tage mit dem alten Simon zu sprechen , und lud mich ein , mit ihm nach Bornheim	zu	fahren , wo der Schabbes heute die noble Welt des alten Judenquartiers , der neuen Judenstraße , überhaupt alle Stämme Israels versammelt habe .	Was kommt dort von der Höh !Er kam von selbst auf den Gedanken , noch an diesem Tage mit dem alten Simon zu sprechen , und lud mich ein , mit ihm nach Bornheim zu fahren , wo der Schabbes heute die noble Welt des alten Judenquartiers , der neuen Judenstraße , überhaupt alle Stämme Israels versammelt habe .» Ach das verstehst du nicht «	2553	28	58301-Hauff__Wilhelm.tsv
PTKZU	PTKZU		PTKZU	zu		Als aber die Herbstferien für Hochschule und Gemeindeschule kamen , fühlte ich mich sehr ermüdet und beschloß , etwas für meine Gesundheit	zu	tun .	dem Zorn über seine Anmaßung schwankte .Als aber die Herbstferien für Hochschule und Gemeindeschule kamen , fühlte ich mich sehr ermüdet und beschloß , etwas für meine Gesundheit zu tun .Armer Dichter !	7790	22	79882-Meysenbug__Malwida_Freiin_von.tsv
PTKZU	PTKZU		PTKZU	zu		Hierauf würde der Bär kommen und auf die Eiche	zu	klettern versuchen , dem solle er das Eisen , das er unterdessen wieder auf den Baum geholt haben müsse , auch auf den Kopf werfen .	solle er auf eine Eiche steigen .Hierauf würde der Bär kommen und auf die Eiche zu klettern versuchen , dem solle er das Eisen , das er unterdessen wieder auf den Baum geholt haben müsse , auch auf den Kopf werfen .Da kam das Reh wieder , das	17	9	85738-Pr_hle__Heinrich.tsv
PTKZU	PTKZU		PTKZU	zu		Die Damen , von Arm zu Arm hinüber befördert , betraten das Land , ohne auch nur eine Falte ihrer Kleider benetzt	zu	haben , und bald darauf hatten Alle sammt Waffen und Lebensmitteln auf dem gefürchteten Ufer von Neu-Seeland festen Fuß gefaßt .	Mitschuldigen des Ben Joyce bewacht werden .Die Damen , von Arm zu Arm hinüber befördert , betraten das Land , ohne auch nur eine Falte ihrer Kleider benetzt zu haben , und bald darauf hatten Alle sammt Waffen und Lebensmitteln auf dem gefürchteten Ufer von Neu-Seeland festen Fuß gefaßt .– Aber das ist ein gefährlicher Versuch	7745	22	107493-Verne__Jules.tsv
PTKZU	PTKZU		PTKZU	zu		Sieht es nicht schon aus wie jene weißen Masken , jene Gipsabgüsse , worin wir die Züge der Verstorbenen	zu	bewahren suchen ?	eine deutsche Stiftsdame von vierundsechzig Ahnen .Sieht es nicht schon aus wie jene weißen Masken , jene Gipsabgüsse , worin wir die Züge der Verstorbenen zu bewahren suchen ?Denn wie Sie wissen , bei uns	554	19	59682-Heine__Heinrich.tsv
PTKZU	PTKZU		PTKZU	zu		Und doch sind selbst diese Denkmäler der Vorzeit für nichts in Vergleichung einer fast unglaublichen Urkunde	zu	achten , die in einer , wenn ich nicht irre , aus den Menechmen des Plautus genommenen Zeile das größte Geheimniß der vergangenen Zeit enthüllt , mit der Unterschrift , statt des Namens , Vultus tyranni .	sagen wissen als solch eine Fensterscheibe .Und doch sind selbst diese Denkmäler der Vorzeit für nichts in Vergleichung einer fast unglaublichen Urkunde zu achten , die in einer , wenn ich nicht irre , aus den Menechmen des Plautus genommenen Zeile das größte Geheimniß der vergangenen Zeit enthüllt , mit der Unterschrift , statt des Namens , Vultus tyranni .Welches Licht wird nicht mein glänzendes Museum	8608	16	104263-Th_mmel__Moritz_August_von.tsv
PTKZU	PTKZU		PTKZU	zu		Ich bin immer rein , wasche mich so oft ich pipi gemacht habe ausgezeichnet sowohl durch Wollust , als durch Zartgefühl , denn dieser Ort , den Sie so reizend finden , ist immer so heiß , daß ich ihn nie ins Wasser stecken kann , ohne eine Wollust	zu	empfinden , die an die Befriedigung heranreicht .	einmal , so ist es vernünftig .Ich bin immer rein , wasche mich so oft ich pipi gemacht habe ausgezeichnet sowohl durch Wollust , als durch Zartgefühl , denn dieser Ort , den Sie so reizend finden , ist immer so heiß , daß ich ihn nie ins Wasser stecken kann , ohne eine Wollust zu empfinden , die an die Befriedigung heranreicht .Schonen Sie sich , teurer Vater ,	2616	49	88417-Restif_de_la_Bretonne__Nicolas__dm_.tsv
PTKZU	PTKZU		PTKZU	zu		« Sie schien es wieder nur zu sich selber	zu	sagen .	Plötzlich stand sie auf ihren Füßen .« Sie schien es wieder nur zu sich selber zu sagen .« Sie hauchte es leise vor sich	976	9	63622-Hofmannsthal__Hugo_von.tsv
PTKZU	APPR		ADV	zu		« Hierauf setzte sie sich in den Sorgenstuhl hinter dem bläulichen Kachelofen , steckte sich eine große Hornbrille auf die Hakennase und las schweigend in einem alten , dicken Buch , während das Mädchen wieder	zu	spinnen begann .	« erwiderte ich bebend .« Hierauf setzte sie sich in den Sorgenstuhl hinter dem bläulichen Kachelofen , steckte sich eine große Hornbrille auf die Hakennase und las schweigend in einem alten , dicken Buch , während das Mädchen wieder zu spinnen begann .« » Ja !	1994	35	18351-Christ__Lena.tsv
PTKZU	PTKZU		PTKZU	zu		Wer hat mich darauf hingewiesen , die Herstellung künstlicher Diamanten	zu	versuchen ?	fuhr Cyprien fort .Wer hat mich darauf hingewiesen , die Herstellung künstlicher Diamanten zu versuchen ?» Ihnen , nur Ihnen , Fräulein	1176	10	107513-Verne__Jules.tsv
