DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWAT	PIAT		PWAT	welch		Wären auf ihr andre Metalle zerstreut gewesen , wie jetzt das Eisen ist , das sich allenthalben , auch in Wasser , Erde , Pflanzen , Tieren und Menschen , findet ; hätten sich die Erdharze , die Schwefel in der Menge auf ihr gefunden , in der sich jetzt der Sand , der Ton und endlich die gute fruchtbare Erde findet :	welch	andre Geschöpfe hätten auf ihr leben müssen !	in dieser Entartung der Mensch versinket .Wären auf ihr andre Metalle zerstreut gewesen , wie jetzt das Eisen ist , das sich allenthalben , auch in Wasser , Erde , Pflanzen , Tieren und Menschen , findet ; hätten sich die Erdharze , die Schwefel in der Menge auf ihr gefunden , in der sich jetzt der Sand , der Ton und endlich die gute fruchtbare Erde findet : welch andre Geschöpfe hätten auf ihr leben müssen !Sie zwingt Menschen zusammen , die nicht	6934	63	61281-Herder__Johann_Gottfried.tsv
PWAT	NN		PWAT	welche			Welche	Greuel nun da unten in der Nacht der Bergwerke sich begaben , wollen wir , um die Gemüter unsrer Leser nicht zu ängstigen , verschweigen .	dem Herzoge in einem freundschaftlichen Verhältnisse .Welche Greuel nun da unten in der Nacht der Bergwerke sich begaben , wollen wir , um die Gemüter unsrer Leser nicht zu ängstigen , verschweigen .Es war die Theophilie , welche die	7932	0	64594-Immermann__Karl.tsv
PWAT	ADJA		PRELS	welche		Wie in dem Gebet der beste Eingang ist die Danckbarkeit gegen Gott / so dienet auch bey Fürsten und Herrn /	welche	Götter genennet werden / die Danckbarkeit Gnad und Hulde zu erwerben .	lässet : Das nutzliche aber annimmet .Wie in dem Gebet der beste Eingang ist die Danckbarkeit gegen Gott / so dienet auch bey Fürsten und Herrn / welche Götter genennet werden / die Danckbarkeit Gnad und Hulde zu erwerben .10 .	5052	21	58090-Harsd_rffer__Georg_Philipp.tsv
PWAT	PWAT		PWAT	welche		Sintemahl die Meinung von GOtt in dem Gewissen bestünde / über	welche	GOtt allein die Herrschafft ; und / der Langobarden eigener Urthel nach / kein Fürst die Macht hätte die seinige einem Bürger aufzudringen / weil nur der Leib / nicht aber das beste Theil des Menschen die Seele der Dienstbarkeit unterwerflich wäre .	keinem Scheine des Rechtens verstossen werden .Sintemahl die Meinung von GOtt in dem Gewissen bestünde / über welche GOtt allein die Herrschafft ; und / der Langobarden eigener Urthel nach / kein Fürst die Macht hätte die seinige einem Bürger aufzudringen / weil nur der Leib / nicht aber das beste Theil des Menschen die Seele der Dienstbarkeit unterwerflich wäre .Der Adel hingegen rühmte nicht weniger die	53411	11	78039-Lohenstein__Daniel_Casper_von.tsv
PWAT	PWAT		PWAT	welche		Denn der Martigenis wollte die Weile zu lang werden / daß sie ihn / der ihr Hertz schon gantz eingenommen / in so langer Zeit ( angemerckt / in der Buhler ihrem Calender / ein Tag / für ein gantzes Jahr / gerechnet wird ) nicht gesprochen : weßwegen sie / besorgend / er mögte in der Liebe gegen ihr wieder er kühlen / ihn / durch ihren Lackeyen / besuchen / und / nach seiner Gesundheit / fragen ließ / auch zugleich / in Frantzösischer Sprache / ein kurtzes Hand-Brieflein schickte / Inhalts / daß sie sich ihrer Schuld / wegen jüngst verspielter Discretion / durch beykommende ( an einer köstlichen Hut-Schnur von Perlen hafftende ) Feder / (	welche	/ in einem weissem Atlasch / vernehet / von dem Lackeyen überliefert ward ) hiemit freundlich entbinden wollte .	dem grössern Licht der Natur offenbar .Denn der Martigenis wollte die Weile zu lang werden / daß sie ihn / der ihr Hertz schon gantz eingenommen / in so langer Zeit ( angemerckt / in der Buhler ihrem Calender / ein Tag / für ein gantzes Jahr / gerechnet wird ) nicht gesprochen : weßwegen sie / besorgend / er mögte in der Liebe gegen ihr wieder er kühlen / ihn / durch ihren Lackeyen / besuchen / und / nach seiner Gesundheit / fragen ließ / auch zugleich / in Frantzösischer Sprache / ein kurtzes Hand-Brieflein schickte / Inhalts / daß sie sich ihrer Schuld / wegen jüngst verspielter Discretion / durch beykommende ( an einer köstlichen Hut-Schnur von Perlen hafftende ) Feder / ( welche / in einem weissem Atlasch / vernehet / von dem Lackeyen überliefert ward ) hiemit freundlich entbinden wollte .Solcher Gestalt nun machen die fünff Species	4968	120	26907-Francisci__Erasmus.tsv
PWAT	PWAT		PWAT	welche		Es ist meiner Regierung nicht unbekannt ,	welche	Macht Sie über die Eingebornen des Archipels haben , und sie hat nie aufgehört , diesen Einfluß ernstlich zu beobachten und mit Interesse zu verfolgen !	Zügen und mutlosem Ausdruck im Gesicht .Es ist meiner Regierung nicht unbekannt , welche Macht Sie über die Eingebornen des Archipels haben , und sie hat nie aufgehört , diesen Einfluß ernstlich zu beobachten und mit Interesse zu verfolgen !Die abgemagerte , hohlwangige Frau im zerfetzten	3065	7	107537-Verne__Jules.tsv
PWAT	PWAT		PRELS	welchem		Als einziger Ort , von	welchem	aus entscheidender auf die deutschen Theater gewirkt werden könnte , hatte ich unerläßlich bereits Berlin in das Auge fassen müssen .	Tannhäuser « verursachte , loswerden konnte .Als einziger Ort , von welchem aus entscheidender auf die deutschen Theater gewirkt werden könnte , hatte ich unerläßlich bereits Berlin in das Auge fassen müssen .Wenn ich mit dem Erfolge des »	1393	5	107728-Wagner__Richard.tsv
PWAT	PWAT		PRELS	welchem		« TEUFEL : Ich hatte mich in den sausenden Sturm geschwungen , fuhr prasselnd in den Rauchfang des Vatikans , zersprengte ihn und das Dach , warf das Dach auf die goldne Decke des Zimmers , in	welchem	Alexander saß , auf neue Greuel sinnend , während er seine Horas betete .	und Religionskriege mit Leichen besäet werden .« TEUFEL : Ich hatte mich in den sausenden Sturm geschwungen , fuhr prasselnd in den Rauchfang des Vatikans , zersprengte ihn und das Dach , warf das Dach auf die goldne Decke des Zimmers , in welchem Alexander saß , auf neue Greuel sinnend , während er seine Horas betete .« EREMIT : Der Herr hat recht	2931	37	67770-Klinger__Friedrich_Maximilian.tsv
PWAT	PWAT		PWAT	welchen		« Kaum war der heilige Name , vor	welchen	die Geister der Finsterniß beben , über Ottiliens Lippen gegangen , als alle Gegenstände vor ihrem Gesicht zu wanken begannen , und eine seltsame Bestürzung sie überfiel , welche sie verhinderte , ihre Worte zu enden .	, der schreckliche Augenblick ist erschienen !« Kaum war der heilige Name , vor welchen die Geister der Finsterniß beben , über Ottiliens Lippen gegangen , als alle Gegenstände vor ihrem Gesicht zu wanken begannen , und eine seltsame Bestürzung sie überfiel , welche sie verhinderte , ihre Worte zu enden .« schrie sie nochmals , und wandte	277	8	83010-Naubert__Benedikte.tsv
PWAT	PWAT		PWAT	welchen		Sie lag , nach Landessitte , auf einem Sofa , vor	welchen	ein großer Blendschirm gesetzt wurde , mit einer kleinen Öffnung versehen , durch welche die Prinzessin den niedlich gerundeten Arm hervorstreckte , der aber , um ihn nicht dem profanen Anblick eines männlichen Auges preiszugeben , mit zartem Musselin doppelt und dreifach umwunden war .	ihr wandele eine schwere Krankheit an .Sie lag , nach Landessitte , auf einem Sofa , vor welchen ein großer Blendschirm gesetzt wurde , mit einer kleinen Öffnung versehen , durch welche die Prinzessin den niedlich gerundeten Arm hervorstreckte , der aber , um ihn nicht dem profanen Anblick eines männlichen Auges preiszugeben , mit zartem Musselin doppelt und dreifach umwunden war .Desgleichen ist auch nicht leicht auszumachen ,	414	11	82945-Mus_us__Johann_Karl_August.tsv
