DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWAV	PWAV		PWAV	wann		Serra , ein Meer-Fisch / hat seinen Nahmen von der That / dann Serra heißt ein Sägen : der Fisch aber solle auf dem Rucken so scharpffe Stachlen haben / daß /	wann	er unter einem Schiff herschwimmt / und sich an selbem sehr starck reibet / es durchschneiden möge .	dritten Tag wird er uns auferwecken .Serra , ein Meer-Fisch / hat seinen Nahmen von der That / dann Serra heißt ein Sägen : der Fisch aber solle auf dem Rucken so scharpffe Stachlen haben / daß / wann er unter einem Schiff herschwimmt / und sich an selbem sehr starck reibet / es durchschneiden möge .Und dises ist / was der Prophet	8555	32	68510-Kobolt__Willibald.tsv
PWAV	PWAV		PWAV	warum		« »	Warum	hier ?	einige Augenblicke zu mir , Effendi !« » Warum hier ?Sie hat einige Eigenschaften , welche mein	10842	2	79308-May__Karl.tsv
PWAV	PWAV		PWAV	warum			Warum	nicht der Bub ?	und sagte : » Warum niemand ?Warum nicht der Bub ?« » Wie du die Rechnung gestellt	3263	0	23121-Ebner_Eschenbach__Marie_von.tsv
PWAV	PWAV		PWAV	warum			Warum	war aber meine Seele nicht von ebenso tiefen Gefühlen ergriffen , als ich jüngst zum ersten Male über den entsetzlichen Platz ging , wo Ludwig XVI. gestorben ?	mals mit ihren heitersten Farben geschmückt .Warum war aber meine Seele nicht von ebenso tiefen Gefühlen ergriffen , als ich jüngst zum ersten Male über den entsetzlichen Platz ging , wo Ludwig XVI. gestorben ?Da liegt sie , die Herrlichkeit des	63	0	59696-Heine__Heinrich.tsv
PWAV	PWAV		PWAV	warum			warum	ist sie nicht bei den Buben ?	Zunächst soll er einmal hereinkommen .warum ist sie nicht bei den Buben ?« » Er soll , was ich	727	0	99035-Spitteler__Carl.tsv
PWAV	PWAV		PWAV	weshalb		Sie wissen ,	weshalb	?	heraus und fragte nach seinem Begehr .Sie wissen , weshalb ?Nicht ohne Herzklopfen klingelte Oswald an der	2545	3	99024-Spielhagen__Friedrich.tsv
PWAV	PWAV		PWAV	wie			Wie	sahen sie aus !	sie sich kaum mehr schleppen konnten .Wie sahen sie aus !Wir haben keine Zeit , uns lange	4617	0	79309-May__Karl.tsv
PWAV	PWAV		PWAV	wie			Wie	aufmerksam diese Sammler auf den Mist der Pferde und Maultiere sind , läßt sich denken .	kann ohne einen solchen Esel bestehen .Wie aufmerksam diese Sammler auf den Mist der Pferde und Maultiere sind , läßt sich denken .Zwei große biegsame Körbe hängen auf dem	2605	0	32620-Goethe__Johann_Wolfgang.tsv
PWAV	PWAV		PWAV	wie		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und	wie	?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	59	62295-Hippel__Theodor_Gottlieb_von.tsv
PWAV	PWAV		PWAV	wie		Denn	wie	er keinen Paßport bey dem Gouverneur auf zuweisen hatte / sagte dieser mit einer zwar höflichen doch unanständigen Mine ; er möchte sich so lange gedulten / biß auf gethanen Bericht andre Ordre deswegen vor Sr. Majestät einlieffe / weil ihm bey hoher Lebens-Straffe und sonder Betrachtung des Standes gebothen / diesen Befehl genau nachzukommen .	die andern Gefangenen vor Renardens Zimmer .Denn wie er keinen Paßport bey dem Gouverneur auf zuweisen hatte / sagte dieser mit einer zwar höflichen doch unanständigen Mine ; er möchte sich so lange gedulten / biß auf gethanen Bericht andre Ordre deswegen vor Sr. Majestät einlieffe / weil ihm bey hoher Lebens-Straffe und sonder Betrachtung des Standes gebothen / diesen Befehl genau nachzukommen .Wie nun Rosantes seinen Fürstlichen Stand offenbahret	1374	1	64549-Hunold__Christian_Friedrich.tsv
PWAV	PWAV		PWAV	wie		Sie nahm es und	wie	silberner Glockenton tönte mir ihr : » Grazie , Signore « , das ein süßes Lächeln begleitete .	auf den Knieen als nötig war .Sie nahm es und wie silberner Glockenton tönte mir ihr : » Grazie , Signore « , das ein süßes Lächeln begleitete .› Steigt hinauf , ‹ flüsterte meine	225	4	79878-Meysenbug__Malwida_Freiin_von.tsv
PWAV	PWAV		PWAV	wie		Er ruhte im rauschenden Wald , rastete auf sonnbeschienenen Gehängen , sah träumend die ragenden Wände an und beobachtete ,	wie	das versprengte Wild sich wieder sammelte .	, empfand , daß er lebte .Er ruhte im rauschenden Wald , rastete auf sonnbeschienenen Gehängen , sah träumend die ragenden Wände an und beobachtete , wie das versprengte Wild sich wieder sammelte .Franzl kam sich vor wie eine aus	3837	20	27054-Ganghofer__Ludwig.tsv
PWAV	KOKOM		KOKOM	wie		Den so einen mus man herschlahgen als	wie	dich und fileichd erwiesche ich eine bassende Gelehgenheid und lase Dich herum mit einen Oxenfisel das dier die Lumberei fileichd ferget , so lase ich dich herum du hunzheitener Batsi .	begient es weiter drohben beim Main .Den so einen mus man herschlahgen als wie dich und fileichd erwiesche ich eine bassende Gelehgenheid und lase Dich herum mit einen Oxenfisel das dier die Lumberei fileichd ferget , so lase ich dich herum du hunzheitener Batsi .Eigenlich begient das Ausland ieber der Dohnau	164	7	104520-Thoma__Ludwig.tsv
PWAV	PWAV		PWAV	wo		– Aber	wo	ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .	hätt' ich meinen wahnsinnigen Anschlag ausgeführt .– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .– Fern sei es von mir ,	387	2	62350-Hoffmann__E__T__A_.tsv
PWAV	PWAV		PWAV	wo		– Aber wo ist Signor Formica ,	wo	ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .	hätt' ich meinen wahnsinnigen Anschlag ausgeführt .– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .– Fern sei es von mir ,	387	7	62350-Hoffmann__E__T__A_.tsv
PWAV	PWAV		PWAV	wo		Quid est – Es verdroß mich , daß ich in einem fremden Lande ,	wo	ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	14	62295-Hippel__Theodor_Gottlieb_von.tsv
PWAV	PWAV		PWAV	wo		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und	wo	es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	34	62295-Hippel__Theodor_Gottlieb_von.tsv
PWAV	PWAV		PWAV	wo		Und gerade in diesem Augenblicke ,	wo	ich seiner nicht dachte , fielen meine Augen auf Tilling .	Warum läßt sich Tilling nicht sehen ?Und gerade in diesem Augenblicke , wo ich seiner nicht dachte , fielen meine Augen auf Tilling .Ich war doch froh , gekommen zu	4663	6	102345-Suttner__Bertha_von.tsv
