DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
TRUNC	TRUNC		TRUNC	aus-		Ihr ganzer	Aus-	und Eingang ist in die Kirche und aus der Kirche , aus ihrem Hause und in ihr Haus zurück .	kann ich das zu danken haben .Ihr ganzer Aus- und Eingang ist in die Kirche und aus der Kirche , aus ihrem Hause und in ihr Haus zurück .» Es ist umsonst .	398	2	96440-Schiller__Friedrich.tsv
TRUNC	TRUNC		TRUNC	berufs-		Langsam sehen wir aus kleinem kreise sich in unsern deutschen mittelpunkten entwickeln was wir seit jahren nur in den nachbarländern bemerken konnten : jenseits einer blossen zusammenrottung gewisser berufsklassen zu	berufs-	und unterhaltungszwecken eine geistige und künstlerische gesellschaft die sich verbunden fühlt durch ganz bestimmte ablehnungen und bejahungen : durch ein besonderes lebensgefühl .	auftragen muss um bemerkt zu werden .Langsam sehen wir aus kleinem kreise sich in unsern deutschen mittelpunkten entwickeln was wir seit jahren nur in den nachbarländern bemerken konnten : jenseits einer blossen zusammenrottung gewisser berufsklassen zu berufs- und unterhaltungszwecken eine geistige und künstlerische gesellschaft die sich verbunden fühlt durch ganz bestimmte ablehnungen und bejahungen : durch ein besonderes lebensgefühl .wir zu ihnen : Seid ihr noch	101	30	29774-George__Stefan.tsv
TRUNC	TRUNC		TRUNC	beschwer-		Denn weil er mit seinem grossen und fürtreflich-ausgerüsteten Schiffe die andern beschirmte / und die Ehre der letzte unter den Fliehenden zu seyn behaupten wolte / ward er durch ein mit Schwefel und Pech gefülltes aber mit einer Königlichen Haupt-Fahne ausgeputztes und vergüldetes Schiff angezündet ; also / daß er / welcher vorher mit so viel tausend Masten dem Meere	beschwer-	und schrecklich war / sich eben so wie der flüchtige Xerxes mit Kummer und Noth auf einem Fischer-Kahne konte ans Land sätzen lassen .	sey einem boßhafften Hexen-Meister zu begegnen .Denn weil er mit seinem grossen und fürtreflich-ausgerüsteten Schiffe die andern beschirmte / und die Ehre der letzte unter den Fliehenden zu seyn behaupten wolte / ward er durch ein mit Schwefel und Pech gefülltes aber mit einer Königlichen Haupt-Fahne ausgeputztes und vergüldetes Schiff angezündet ; also / daß er / welcher vorher mit so viel tausend Masten dem Meere beschwer- und schrecklich war / sich eben so wie der flüchtige Xerxes mit Kummer und Noth auf einem Fischer-Kahne konte ans Land sätzen lassen .Bey welchem Unglücke denn noch diß das	40297	60	78039-Lohenstein__Daniel_Casper_von.tsv
TRUNC	TRUNC		TRUNC	blut-		Im Lateinischen rufum , russum , rubrum , rutilum , rubicundum , spadix , badium , φοινικουν puniceum , ( ponceau , coquelicot , nacarat ) , coccineum Scharlach , ύσγινον , welches nach Plinius zwischen purpureum und coccineum liegt und wahrscheinlich cramoisi Karmesin ist ; zuletzt purpureum πορφυρουν , das vom Rosenroten an durchs	Blut-	und Braunrote bis ins Blaurote άλουργες und Violette übergeht .	Andeutungen , 1738 seine letzten Ausarbeitungen .Im Lateinischen rufum , russum , rubrum , rutilum , rubicundum , spadix , badium , φοινικουν puniceum , ( ponceau , coquelicot , nacarat ) , coccineum Scharlach , ύσγινον , welches nach Plinius zwischen purpureum und coccineum liegt und wahrscheinlich cramoisi Karmesin ist ; zuletzt purpureum πορφυρουν , das vom Rosenroten an durchs Blut- und Braunrote bis ins Blaurote άλουργες und Violette übergeht .Bei seiner Vorliebe für die Schwingungslehre erfreute	3424	55	32618-Goethe__Johann_Wolfgang.tsv
TRUNC	TRUNC		TRUNC	bundes-		Ich habe Deine Unterredung mit Mardochai , meinem früheren	Bundes-	, Studien- und Sündengenossen angehört , nicht aus Neugier – denn ich erliege dieser Schwäche nicht , weil ich allmächtig genug bin , um ihr zu trotzen – sondern durch Zufall .	ihre beiderseitig wankende Gesundheit wieder herzustellen .Ich habe Deine Unterredung mit Mardochai , meinem früheren Bundes- , Studien- und Sündengenossen angehört , nicht aus Neugier – denn ich erliege dieser Schwäche nicht , weil ich allmächtig genug bin , um ihr zu trotzen – sondern durch Zufall .Beruhigt durch meine Antwort fuhr sie fort	6652	9	110547-Willkomm__Ernst_Adolf.tsv
TRUNC	NN		NN	erb-		Diese konnte ich denn freilich nicht in Schutz nehmen : ob ich gleich nicht leugnen will , daß mich das häßliche Zeug manchmal unterhält und der Schadenfreude , dieser	Erb-	und Schoßsünde aller Adamskinder , als eine pikante Speise nicht ganz übel schmeckt .	verschaffen , deren ich bedürfen könnte .Diese konnte ich denn freilich nicht in Schutz nehmen : ob ich gleich nicht leugnen will , daß mich das häßliche Zeug manchmal unterhält und der Schadenfreude , dieser Erb- und Schoßsünde aller Adamskinder , als eine pikante Speise nicht ganz übel schmeckt .Er war freundlich genug , das an	200	29	32577-Goethe__Johann_Wolfgang.tsv
TRUNC	NE		NE	french-		Im Laufe des 13. gingen Baxter , Briant und Moko an die Herrichtung des Kochofens , der auf Walzen bis zum Innern von	French-	den gezogen werden mußte .	fragte Gordon .Im Laufe des 13. gingen Baxter , Briant und Moko an die Herrichtung des Kochofens , der auf Walzen bis zum Innern von French- den gezogen werden mußte .– Und warum ?	603	23	107519-Verne__Jules.tsv
TRUNC	CARD		CARD	fünf-		« San-Fernando wird im höchsten Falle	fünf-	bis sechshundert Einwohner haben .	nicht mehr nachzuweisen war – gesucht .« San-Fernando wird im höchsten Falle fünf- bis sechshundert Einwohner haben .Sobald er aus dieser Bucht hinaus war	1439	6	107530-Verne__Jules.tsv
TRUNC	TRUNC		TRUNC	glück-		Ins gemein würden alle Einrathungen eben so wol / als die Wercke nach derselben	glück-	oder unglücklichem Ausschlage für gut oder böse gehalten / und diß / was durch Zufall geriethe / der vernünfftigsten Meinung vorgezogen / und was fehl schlüge von andern getadelt / welche nichts für klug hielten / was nicht aus ihrem Gehirne entsprossen wäre .	gut / sondern kluge und hertzhaffte .Ins gemein würden alle Einrathungen eben so wol / als die Wercke nach derselben glück- oder unglücklichem Ausschlage für gut oder böse gehalten / und diß / was durch Zufall geriethe / der vernünfftigsten Meinung vorgezogen / und was fehl schlüge von andern getadelt / welche nichts für klug hielten / was nicht aus ihrem Gehirne entsprossen wäre .wir Deutschen hätten nach des Varus Niederlage	17242	14	78039-Lohenstein__Daniel_Casper_von.tsv
TRUNC	TRUNC		NN	harz-		Nach den Aussagen desselben erzeugte die Insel viel Palmenkohl , Cocosnüsse und verschiedene Mandelfrüchte ; ebenso gediehen daselbst der wilde Kaffeebaum , der Ebenholzbaum , der » Tacamaca « , nebst anderen	harz-	, respective gummireichen Baumarten , ferner die Banane , das Zuckerrohr , die Yamswurzel , der Anis und endlich eine , von den Urbewohnern » Binao « genannte Pflanze , deren Früchte bei denselben die Stelle des Brotes vertraten .	Isle de France bestimmte Munition mitnahm .Nach den Aussagen desselben erzeugte die Insel viel Palmenkohl , Cocosnüsse und verschiedene Mandelfrüchte ; ebenso gediehen daselbst der wilde Kaffeebaum , der Ebenholzbaum , der » Tacamaca « , nebst anderen harz- , respective gummireichen Baumarten , ferner die Banane , das Zuckerrohr , die Yamswurzel , der Anis und endlich eine , von den Urbewohnern » Binao « genannte Pflanze , deren Früchte bei denselben die Stelle des Brotes vertraten .An letzterem Tage sah sich die »	681	32	107558-Verne__Jules.tsv
TRUNC	TRUNC		TRUNC	hin-		Es schienen nur einfache Maurer und Steinmetzen , die da sprachen , aber ihre Münster , die sie zu vollenden gedachten , ragten über die Ruine hinaus und von ihrem Wirken in Nord , Süd , Ost , West blitzte es jetzt schon	hin-	und herüber , als sähe man plötzlich eine Hülle von der ganzen Welt genommen und erblickte Säulen eines Zaubertempels , der dem Lauscher die Augen blendete ... Frau von Sänger war eine sehr heitre , eine sehr kokette Frau .	Verlobten für die künftige Ehe hatte .Es schienen nur einfache Maurer und Steinmetzen , die da sprachen , aber ihre Münster , die sie zu vollenden gedachten , ragten über die Ruine hinaus und von ihrem Wirken in Nord , Süd , Ost , West blitzte es jetzt schon hin- und herüber , als sähe man plötzlich eine Hülle von der ganzen Welt genommen und erblickte Säulen eines Zaubertempels , der dem Lauscher die Augen blendete ... Frau von Sänger war eine sehr heitre , eine sehr kokette Frau .Sie konnte nicht Widerstand leisten , daß	41285	43	56355-Gutzkow__Karl.tsv
