DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAIMP	NE		VAFIN	sein		Ich erschrak in meinem Kinderherzen und wies scheu darauf hin , aber mein Vater wollte von Angst und schlechter Vorbedeutung nichts wissen und sagte : »	Sei	nicht so dumm .	, hell in der Abendsonne blinkte .Ich erschrak in meinem Kinderherzen und wies scheu darauf hin , aber mein Vater wollte von Angst und schlechter Vorbedeutung nichts wissen und sagte : » Sei nicht so dumm .Ein Tischler wohnte darin .	2209	26	26868-Fontane__Theodor.tsv
VAIMP	NE		VAFIN	sein		– »	Sei	zufrieden , Gospodin – wir wissen , was wir zu thun haben !	aufwiegt wie Sie und Master Frank .– » Sei zufrieden , Gospodin – wir wissen , was wir zu thun haben !« – – – – – –	9049	2	31528-Goedsche__Herrmann.tsv
VAIMP	NE		VAFIN	sein		»	Sei	mutig , Tas !	Tante Gundi !» Sei mutig , Tas !Graf Egge wäre dabei übel weggekommen ,	11772	1	27054-Ganghofer__Ludwig.tsv
VAIMP	NE		VAFIN	sein			Sei	stark , thu' mir 's zu Lieb' !	darfst ' net sprech'n , Mutter !Sei stark , thu' mir 's zu Lieb' !Warum zu dem ?	866	0	79348-May__Karl.tsv
VAIMP	NE		VAFIN	sein		« – »	Sei	zufrieden , Liebste !	mir so oft schon verziehen hast !« – » Sei zufrieden , Liebste !Das gerade ist das Fatale bei so	21	3	110385-Wildermuth__Ottilie.tsv
VAIMP	NE		VAFIN	sein		»	Sei	still « , sagte die Oberköchin zu Therese , die an ihrer Seite zu schluchzen begann , » du siehst , er antwortet nicht , wie kann ich denn da etwas für ihn tun ?	aber und ließ sie nicht los .» Sei still « , sagte die Oberköchin zu Therese , die an ihrer Seite zu schluchzen begann , » du siehst , er antwortet nicht , wie kann ich denn da etwas für ihn tun ?Aber nun glaubte Karl , sie nicht	3667	1	64917-Kafka__Franz.tsv
VAIMP	NE		VAFIN	sein			Sei	willkommen , mein edler Patroklus im französischen Frack und gepudertem Haar !	O Popoi !Sei willkommen , mein edler Patroklus im französischen Frack und gepudertem Haar !Ein bloßer Zufall entschied mein Glück und	573	0	112144-Zschokke__Heinrich.tsv
VAIMP	NE		VAFIN	sein		« »	Sei	überzeugt , daß ich mein möglichstes thun werde , « antwortete ich ihm .	dieses Schiff bewohnen , beißen gern .« » Sei überzeugt , daß ich mein möglichstes thun werde , « antwortete ich ihm .Er hat das Jagdschiff des Khedive in	7405	2	79309-May__Karl.tsv
VAIMP	NN		VAIMP	sein			Seid	Ihr bei dem Bankier gewesen ?	eine ungeheure Phantasie , Mr. Shatterhand !Seid Ihr bei dem Bankier gewesen ?Droben gab es ein lang gestrecktes ,	845	0	79315-May__Karl.tsv
VAIMP	NN		VAIMP	sein		« Die Gesichter um mich herum wurden leichenblaß und auch über meinen Rücken lief es eiskalt herab , aber ich ließ mir nichts merken , sondern antwortete mit halber Stimmer auf das gespenstische Lachen in der Luft : »	Seid	Ihr aber ein Starrkopf !	über dem Abgrund in der Luft .« Die Gesichter um mich herum wurden leichenblaß und auch über meinen Rücken lief es eiskalt herab , aber ich ließ mir nichts merken , sondern antwortete mit halber Stimmer auf das gespenstische Lachen in der Luft : » Seid Ihr aber ein Starrkopf !Da erhob sich der Wolf , wie	3772	39	108449-W_rish_ffer__Sophie.tsv
