DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAINF	VAFIN		VAFIN	haben		128. Da er nach erzehleter kläglicher Historien / wie der Teuffel eine Hexe geholet habe / hinzuthut / also schliessend : Wer da weder in jener Welt ein glückseliges / noch in dieser ein Gottseliges Leben	haben	wil / der suche durch ein solch Gottloß Hexen-Wesen den Tod bey den Teuffeln .	de Gent .128. Da er nach erzehleter kläglicher Historien / wie der Teuffel eine Hexe geholet habe / hinzuthut / also schliessend : Wer da weder in jener Welt ein glückseliges / noch in dieser ein Gottseliges Leben haben wil / der suche durch ein solch Gottloß Hexen-Wesen den Tod bey den Teuffeln .Wie sie von GOTT ewig verdammet werden	3077	36	85699-Praetorius__Johannes.tsv
VAINF	VAFIN		VAFIN	haben		den also sagt sanct Pauel allen Christen › Ein ygliche seele ( ich [ Rand : Röm. 13 , 1 ff. ] halt des Bapsts auch ) sol unterthan sein der ubirkeit , den sie tregt nit umbsonst das schwert , sie dienet got damit , zur straff der bosen , und zu lob den frumen ‹ , auch sanct Petrus › Seyt unterthan allen menschlichen ordnungen [ Rand : 1. Petr. 2 , 13. ] umb gottis willen , der es szo	haben	wil ‹ .	Romischen stuel durch reformiern zuschaffen gebe .den also sagt sanct Pauel allen Christen › Ein ygliche seele ( ich [ Rand : Röm. 13 , 1 ff. ] halt des Bapsts auch ) sol unterthan sein der ubirkeit , den sie tregt nit umbsonst das schwert , sie dienet got damit , zur straff der bosen , und zu lob den frumen ‹ , auch sanct Petrus › Seyt unterthan allen menschlichen ordnungen [ Rand : 1. Petr. 2 , 13. ] umb gottis willen , der es szo haben wil ‹ .Warumb das ?	775	83	78120-Luther__Martin.tsv
VAINF	VAINF		VAINF	haben		Ich fühlte wenig Neigung , nähere Bekanntschaft mit ihr zu machen ; wohl aber mit einem andern Frauenzimmer , dessen Mutter , was die Formen des Gesichts betrifft , sich an dem Vatikanischen Apollo versehen zu	haben	scheint , nur ohne Stolz und Zorn , vielmehr alles heilige Güte ; ein wunderbares Geschöpf !	rief mir zu : » Bravo !Ich fühlte wenig Neigung , nähere Bekanntschaft mit ihr zu machen ; wohl aber mit einem andern Frauenzimmer , dessen Mutter , was die Formen des Gesichts betrifft , sich an dem Vatikanischen Apollo versehen zu haben scheint , nur ohne Stolz und Zorn , vielmehr alles heilige Güte ; ein wunderbares Geschöpf !Man stand nun vom Tisch auf ,	2197	36	59725-Heinse__Wilhelm.tsv
VAINF	VAFIN		VAFIN	haben		Es ist dir ja nicht einmal in den Sinn gekommen , dich an dem Zweikampfe um den Kanz el A' da zu beteiligen , obwohl du ihn für dich	haben	wolltest und also eigentlich der erste unter den Kämpfern hättest sein sollen !	Wir kennen dich da besser !Es ist dir ja nicht einmal in den Sinn gekommen , dich an dem Zweikampfe um den Kanz el A' da zu beteiligen , obwohl du ihn für dich haben wolltest und also eigentlich der erste unter den Kämpfern hättest sein sollen !» Mach uns doch nichts weiß !	8855	29	79321-May__Karl.tsv
VAINF	VAFIN		VAINF	haben		So hatte ich über dieses Mittel genug , mich und die Meinigen nach aller Notdurft hindurchzubringen , warum solle ich mir denn wegen dieses , obzwar schmerzlichen Verlustes , den Hals abgerissen oder mich aufgehangen	haben	?	und vergänglichen Sache zu Tod kränken ?So hatte ich über dieses Mittel genug , mich und die Meinigen nach aller Notdurft hindurchzubringen , warum solle ich mir denn wegen dieses , obzwar schmerzlichen Verlustes , den Hals abgerissen oder mich aufgehangen haben ?Aber was kann man bei solchen Zuständen	1586	35	11288-Beer__Johann.tsv
VAINF	VAINF		VAINF	sein		Bald riet man mir jedoch davon ab , der Gnade des Herzogs von Nassau für meine Spekulation weiter nachzugehen , da jenes Schlößchen seiner feuchten Lage wegen durchaus ungesund für mich	sein	würde .	Zeit einem Bildhauer als Atelier diente .Bald riet man mir jedoch davon ab , der Gnade des Herzogs von Nassau für meine Spekulation weiter nachzugehen , da jenes Schlößchen seiner feuchten Lage wegen durchaus ungesund für mich sein würde .Doch hatte ich eine heimliche Absicht ,	3722	31	107728-Wagner__Richard.tsv
VAINF	VAINF		VAINF	sein		Sein Irrthum mochte für die oberflächliche Beobachtung eines Franzosen verzeihlich	sein	.	Sein zweifelhaftes Englisch bürgte auch dafür .Sein Irrthum mochte für die oberflächliche Beobachtung eines Franzosen verzeihlich sein .» Ich bin aber keiner .	305	10	13731-Bleibtreu__Karl.tsv
VAINF	VAINF		VAINF	sein		Ein Sündenbock muß	sein	, daß die Heuchler alle ihre Tugend an Tag legen können , wenn sie den einen in Fetzen reißen !	Es ist ihnen recht so !Ein Sündenbock muß sein , daß die Heuchler alle ihre Tugend an Tag legen können , wenn sie den einen in Fetzen reißen !» Wehe , wehe , wer ihnen	3384	3	26936-Frapan__Ilse.tsv
VAINF	PPOSAT		VAINF	sein		Du mußt in Burghausen	sein	bis zur elften Glock .	gegen den See von Waging durch .Du mußt in Burghausen sein bis zur elften Glock .Die Sonn ist sicher .	5514	4	27055-Ganghofer__Ludwig.tsv
VAINF	VAINF		VAINF	sein		Vielleicht darf ich bemerken , daß es gerathen	sein	wird , alles Aufsehen zu vermeiden und darum den Weg vereinzelt zurückzulegen , womöglich auch in Beziehung der Kleidung – – – « » Vor Euch net , Bachbauer .	Arrestant und wird aufs Gericht transportirt !Vielleicht darf ich bemerken , daß es gerathen sein wird , alles Aufsehen zu vermeiden und darum den Weg vereinzelt zurückzulegen , womöglich auch in Beziehung der Kleidung – – – « » Vor Euch net , Bachbauer .Er soll mich net umsonst heut aus	1677	8	79348-May__Karl.tsv
