DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAPP	VAPP		VAPP	haben		Der Major drang ruhig vorwärts , mit regelrechten Bewegungen , an welchen ein Schwimmmeister nichts auszusetzen	gehabt	hätte .	« Worüber war er nicht böse ?Der Major drang ruhig vorwärts , mit regelrechten Bewegungen , an welchen ein Schwimmmeister nichts auszusetzen gehabt hätte .rief Glenarvan ; wenn sie je in	230	16	107493-Verne__Jules.tsv
VAPP	VAPP		VAPP	haben		Vielleicht hatte er notwendig	gehabt	und in meiner Abwesenheit , wo er annehmen durfte , daß niemand revidieren würde , doch gegen die Hausordnung gehandelt .	« » Wann ?Vielleicht hatte er notwendig gehabt und in meiner Abwesenheit , wo er annehmen durfte , daß niemand revidieren würde , doch gegen die Hausordnung gehandelt .Wo liegt es ?	3033	4	79318-May__Karl.tsv
VAPP	VAPP		VAPP	haben		In Bello Punico hat Adtilius Regulus sein Lager nah bey dem Fluß Bragadam geschlagen / und mit einer so wunder grossen Schlangen zu streiten	gehabt	/ daß er die Macht und die Waffen seines Kriegs-Heers hat anweden müssen / und sie wie ein Festung bestreiten / biß daß er sie überwunden hat .	streiten / selbe umwicklen und überwinden .In Bello Punico hat Adtilius Regulus sein Lager nah bey dem Fluß Bragadam geschlagen / und mit einer so wunder grossen Schlangen zu streiten gehabt / daß er die Macht und die Waffen seines Kriegs-Heers hat anweden müssen / und sie wie ein Festung bestreiten / biß daß er sie überwunden hat .66 Gedicht .	2750	24	68510-Kobolt__Willibald.tsv
VAPP	VAPP		VAPP	sein		Manche waren freilich so frivol gespannt , daß es ihnen das Liebste	gewesen	wäre , der Unglückliche hätte irgend ein gefährliches Unternehmen begonnen und eine Thatsache ihnen bestätigt , von der man allgemein wol viel erfährt , aber selten so günstige Gelegenheit findet , selbst von ihr etwas in Erfahrung zu bringen .	Reichmeyer ?Manche waren freilich so frivol gespannt , daß es ihnen das Liebste gewesen wäre , der Unglückliche hätte irgend ein gefährliches Unternehmen begonnen und eine Thatsache ihnen bestätigt , von der man allgemein wol viel erfährt , aber selten so günstige Gelegenheit findet , selbst von ihr etwas in Erfahrung zu bringen .sagte sie , im Gegensatz zu dem	11053	12	56355-Gutzkow__Karl.tsv
VAPP	VAPP		VAPP	sein		Der K \nig beschlosse anfänglich / zu haus zu bleiben / weil sein auszug nun so oft unglůcklich	gewesen	/ und ware willens hernachzufolgen .	und diesen krieg nicht länger auszusetzen .Der K \nig beschlosse anfänglich / zu haus zu bleiben / weil sein auszug nun so oft unglůcklich gewesen / und ware willens hernachzufolgen .unsrer lieder und gedichte : ward in	15687	18	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
VAPP	VAPP		VAPP	sein		Nun ist underwegen ein seer tieffer bach	gewesen	unnd gar ein schmaler steg darübergangen , über welchen der voll pfaff hat gon müssen .	Disen růff erneüwert er zů mermalen .Nun ist underwegen ein seer tieffer bach gewesen unnd gar ein schmaler steg darübergangen , über welchen der voll pfaff hat gon müssen .Dargegen versprich ich dir ein wechsine kertzen	1268	7	110201-Wickram__Georg.tsv
VAPP	VAPP		VAPP	sein		Diese der Amalien Worte waren uns insgesamt genugsame Zeugnis , daß sie dem Friderichen nicht unhold wäre , » und « , sagte sie weiter zu dem Diener , » es ist doch auch gut , daß ich verkleidet bin , erstlich dem leichtfertigen Verfolger meiner Ehren und dann auch vor Philippen insonderheit verborgen zu sein , denn dieser ist ebenderjenige Einsiedler	gewesen	, zu dem ich , wie ich Euch vor etlichen Wochen erzählet habe , in den Wald gekommen , der mich hernachmals auf ebendieses Schloß gewiesen , darinnen ich bald bin ausgekundschaftet worden .	welche die Welt zu treiben pfleget .Diese der Amalien Worte waren uns insgesamt genugsame Zeugnis , daß sie dem Friderichen nicht unhold wäre , » und « , sagte sie weiter zu dem Diener , » es ist doch auch gut , daß ich verkleidet bin , erstlich dem leichtfertigen Verfolger meiner Ehren und dann auch vor Philippen insonderheit verborgen zu sein , denn dieser ist ebenderjenige Einsiedler gewesen , zu dem ich , wie ich Euch vor etlichen Wochen erzählet habe , in den Wald gekommen , der mich hernachmals auf ebendieses Schloß gewiesen , darinnen ich bald bin ausgekundschaftet worden .Diese vermischte Erzählungen des Pfarrers hörte ich	2204	62	11288-Beer__Johann.tsv
VAPP	VAPP		VAPP	sein		Am folgenden Morgen Ich überließ mich jetzt dem frohern Genuß des Lebens , alle meine dunkeln Empfindungen lösten sich in Sinnlichkeit auf , ich glaubte , alles frühere sei nur ein Weg hierher	gewesen	, eine Vorbereitung zu dieser Vollkommenheit .	und mein Unglück traf ihr Herz .Am folgenden Morgen Ich überließ mich jetzt dem frohern Genuß des Lebens , alle meine dunkeln Empfindungen lösten sich in Sinnlichkeit auf , ich glaubte , alles frühere sei nur ein Weg hierher gewesen , eine Vorbereitung zu dieser Vollkommenheit .Sie fuhr auf , und gab eine	2881	33	104891-Tieck__Ludwig.tsv
VAPP	VAPP		VAPP	sein		« Dazu gehört auch kein erster Philologe der Nachwelt , um etwa das Costume unsrer Zeit daher zu muthmaßen , so wenig die Ammonshörner Alexanders und Lysimachus uns auf den Verdacht bringen , als wäre er eine gehörnte Mißgeburt	gewesen	.	Erz abschütteln könne , oder nicht ?« Dazu gehört auch kein erster Philologe der Nachwelt , um etwa das Costume unsrer Zeit daher zu muthmaßen , so wenig die Ammonshörner Alexanders und Lysimachus uns auf den Verdacht bringen , als wäre er eine gehörnte Mißgeburt gewesen .und was sind seine Theorie und seine	5385	39	61273-Herder__Johann_Gottfried.tsv
VAPP	VAPP		VAPP	sein		Und da sie als Weib den Urgründen des Lebens , dort wo Wunsch und Erfüllung eines sind , näher war als ich , war sie wahrscheinlich im tiefsten überzeugt	gewesen	, alles das , was nun in ihrem violetten Büchlein aufgezeichnet stand , wirklich durchlebt zu haben .	diesem Augenblick offenbar zu finden scheinen .Und da sie als Weib den Urgründen des Lebens , dort wo Wunsch und Erfüllung eines sind , näher war als ich , war sie wahrscheinlich im tiefsten überzeugt gewesen , alles das , was nun in ihrem violetten Büchlein aufgezeichnet stand , wirklich durchlebt zu haben .Alles stand in diesen Blättern aufgezeichnet ,	84	29	97222-Schnitzler__Arthur.tsv
VAPP	VAPP		VAPP	sein		‹ Bist du bei der Lehrerwitwe	gewesen	?	keinem direkten Bezug zur Sache stehen .‹ Bist du bei der Lehrerwitwe gewesen ?Etwa eine Minute lang schwiegen sie .	10851	6	22510-Dostoevskij__F_dor_Michajlovi_.tsv
VAPP	VAPP		VAPP	sein		– Längst wußte ich , daß die Wunde , die ich ihm beigebracht , nicht einmal gefährlich	gewesen	, daß er sich um meiner Geliebten Hand beworben , ach !	, die ihm zu Gebote standen .– Längst wußte ich , daß die Wunde , die ich ihm beigebracht , nicht einmal gefährlich gewesen , daß er sich um meiner Geliebten Hand beworben , ach !– Aber nun fahre du fort ,	349	17	62343-Hoffmann__E__T__A_.tsv
VAPP	VAPP		VAPP	sein		Wenn die Angaben des Commerzienrathes über seine Verhältnisse immer so ungenau waren , – auch den Werth seiner Fabrik hatte er gestern Abend in derselben Proportion überschätzt – wenn er den Ueberreichen nur spielte , weil er es vielleicht einmal	gewesen	, wenn er – ich blieb nach der See gewandt stehen und athmete ein paar mal tief auf .	Commerzienrath auch bei der Auseinandersetzung übernommen .Wenn die Angaben des Commerzienrathes über seine Verhältnisse immer so ungenau waren , – auch den Werth seiner Fabrik hatte er gestern Abend in derselben Proportion überschätzt – wenn er den Ueberreichen nur spielte , weil er es vielleicht einmal gewesen , wenn er – ich blieb nach der See gewandt stehen und athmete ein paar mal tief auf .Wie sollte die herauskommen ?	9822	40	99025-Spielhagen__Friedrich.tsv
VAPP	VAPP		VAPP	sein		Word Zwischen den Bewohnern von Epe und denen von Engter ist vor langen Jahren einmal ein Streit um die Marken	gewesen	, da ist endlich ein Mann aus Epe gekommen , der ist hingetreten und hat gesagt : » Hier geht die Schnad ( Grenze ) « und hat es auch beschworen .	Schnad und ruft : » Hoho !Word Zwischen den Bewohnern von Epe und denen von Engter ist vor langen Jahren einmal ein Streit um die Marken gewesen , da ist endlich ein Mann aus Epe gekommen , der ist hingetreten und hat gesagt : » Hier geht die Schnad ( Grenze ) « und hat es auch beschworen .Word Zwischen den Bewohnern von Epe und	0	20	55169-Gr_sse__Johann_Georg_Theodor.tsv
VAPP	ADJD		NE	sein		Angeschnauzt von meinem Herrn und abgeschwartet 5 in der Still' , weil Stiefeln nicht blank	gewest	.	Bedienten gefühlt in der neuen Lieb .Angeschnauzt von meinem Herrn und abgeschwartet 5 in der Still' , weil Stiefeln nicht blank gewest .Sehr geschmeichelt gefühlt von der Lieb vornehmer	4729	15	64595-Immermann__Karl.tsv
VAPP	PTKVZ		VVPP	sein		Der Geist gab zur Antwort : Der Herr / welchen du gesehn / ist deines Vatern Bruder	gewest	/ ein gottsfürchtiger Mann / welcher vielmals / wider die Ungläubige / gefochten .	Walde / etliche Stunden / irre .Der Geist gab zur Antwort : Der Herr / welchen du gesehn / ist deines Vatern Bruder gewest / ein gottsfürchtiger Mann / welcher vielmals / wider die Ungläubige / gefochten .Um Martini 1684sten Jahrs / geht ein	3924	17	26907-Francisci__Erasmus.tsv
