DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMINF	VMFIN		VMINF	können		Um die Erfahrung wieder zu machen , hätte ich nicht nach Pompeji zu kommen gebraucht , und du hättest sie mir um gut hundert Meilen näher bestätigen	können	.	noch nicht vorgeschritten , Norbert Hanold .Um die Erfahrung wieder zu machen , hätte ich nicht nach Pompeji zu kommen gebraucht , und du hättest sie mir um gut hundert Meilen näher bestätigen können .Vielleicht – ihre Erscheinung erweckte ihm unwillkürlich	668	27	64904-Jensen__Wilhelm.tsv
VMINF	VMINF		VMINF	können		Ich hatte nahe genug bei den Sprechenden gestanden , um jedes ihrer Worte hören und jede ihrer Mienen beobachten zu	können	, und ich hatte deutlich bemerkt , daß , als Herr von Granow des jungen Fürsten Erwähnung that , Konstanze , die halb abgekehrt mit einer gleichgültig-verdrießlichen Miene dastand , sich plötzlich umwandte und ihre Augen fest auf den Sprechenden heftete , während ein dunkles Roth über ihre Wangen flog .	Fluchtversuch mußte meine Lage unberechenbar verschlimmern .Ich hatte nahe genug bei den Sprechenden gestanden , um jedes ihrer Worte hören und jede ihrer Mienen beobachten zu können , und ich hatte deutlich bemerkt , daß , als Herr von Granow des jungen Fürsten Erwähnung that , Konstanze , die halb abgekehrt mit einer gleichgültig-verdrießlichen Miene dastand , sich plötzlich umwandte und ihre Augen fest auf den Sprechenden heftete , während ein dunkles Roth über ihre Wangen flog .Und wäre das Fenster unvergittert gewesen –	5992	20	99025-Spielhagen__Friedrich.tsv
VMINF	VMFIN		VMINF	können		Wir werden in Lagen kommen , wo wir ganze Männer , aber keine Memmen brauchen	können	.	ist überflüssig und gar nicht maßgebend .Wir werden in Lagen kommen , wo wir ganze Männer , aber keine Memmen brauchen können .« » Inwiefern ?	2018	15	79313-May__Karl.tsv
VMINF	VMINF		VMINF	können		Wär es nach ihm gegangen , so hätte er diesen Zustand der Dinge wohl nie geändert und das Interim in Permanenz erklärt ; denn er hatte , während ihm die Spielpassion eigentlich nur durch den Wunsch , die Zeit hinzubringen , aufgedrungen war , eine ganz aufrichtige Passion für Pferd und Wagen , und sein Lebelang in der Welt umherzukutschieren , immer auf der Suche nach einer Apotheke , ohne diese je finden zu	können	, wäre wohl eigentlich sein Ideal gewesen .	Kaiser und Rex geht nicht .Wär es nach ihm gegangen , so hätte er diesen Zustand der Dinge wohl nie geändert und das Interim in Permanenz erklärt ; denn er hatte , während ihm die Spielpassion eigentlich nur durch den Wunsch , die Zeit hinzubringen , aufgedrungen war , eine ganz aufrichtige Passion für Pferd und Wagen , und sein Lebelang in der Welt umherzukutschieren , immer auf der Suche nach einer Apotheke , ohne diese je finden zu können , wäre wohl eigentlich sein Ideal gewesen .Du mußt doch wissen Kaiser Franz .	698	74	26868-Fontane__Theodor.tsv
VMINF	VMINF		VMINF	können		« » Ein Krieger muß darnach trachten , den Schlaf beherrschen zu	können	.	euern eigenen Tod zur Folge haben .« » Ein Krieger muß darnach trachten , den Schlaf beherrschen zu können .» So werde ich also haben die	4042	12	79310-May__Karl.tsv
VMINF	VMINF		VMINF	können		Man muß daher die Kunst verstehn , mit seinen Gästen nur von solchen Dingen zu reden , die sie gern hören , in einem größern Zirkel solche Gespräche zu führen , woran alle mit Vergnügen teilnehmen und sich dabei in vorteilhaftem Lichte zeigen	können	.	gibt , als große Schmausereien haben .Man muß daher die Kunst verstehn , mit seinen Gästen nur von solchen Dingen zu reden , die sie gern hören , in einem größern Zirkel solche Gespräche zu führen , woran alle mit Vergnügen teilnehmen und sich dabei in vorteilhaftem Lichte zeigen können .« Endlich wenn wir Zeugen von Familienzwist	1291	43	68043-Knigge__Adolph_Freiherr_von.tsv
VMINF	VMINF		VMINF	können		Er sprach das » Wasserpolakisch « des Oberschlesiers , und Fedko war ein Ruthene , aber sie hatten sich doch bisher verständigen	können	.	» Hast du mich nicht verstanden ?Er sprach das » Wasserpolakisch « des Oberschlesiers , und Fedko war ein Ruthene , aber sie hatten sich doch bisher verständigen können .« » Es ist auch nicht nötig	5784	22	26919-Franzos__Karl_Emil.tsv
VMINF	VMINF		VMINF	können		» Willkomm , Herr Weißgerber « , schrien etliche Cavalier über den Altan herunter , welche ich wegen schneller Fahrt nicht erkennen	können	.	er mit der zurückkommenden Gutsche übersendet .» Willkomm , Herr Weißgerber « , schrien etliche Cavalier über den Altan herunter , welche ich wegen schneller Fahrt nicht erkennen können .Aber seine Frau Mutter hieß ihm dieses	525	22	11287-Beer__Johann.tsv
VMINF	VMINF		VMINF	können		Überwinder der Welt wollen wir nicht werden ; was aber in uns römischen oder ( wenn dieser einst größere Name noch einen Wert hat ) deutschen Charakter enthält , warum sollten wir das einer Sprache nicht geben	können	, die einst in viel roherem Zustande auch eine Herrin der Welt war ?	allen können wir uns nicht gleichen .Überwinder der Welt wollen wir nicht werden ; was aber in uns römischen oder ( wenn dieser einst größere Name noch einen Wert hat ) deutschen Charakter enthält , warum sollten wir das einer Sprache nicht geben können , die einst in viel roherem Zustande auch eine Herrin der Welt war ?Der Geschichtschreiber Roms schrieb die Geschichte der	5068	37	61283-Herder__Johann_Gottfried.tsv
VMINF	VMINF		VMINF	können		« Doch , wo hätte die Marschallin Trost finden	können	?	, gerade Ihr thatet mir Noth !« Doch , wo hätte die Marschallin Trost finden können ?« rief der junge Graf mit unschuldigem	2766	9	83757-Paalzow__Henriette_von.tsv
VMINF	VMINF		VMINF	können		Norbert verstand's von früher her , sich durch richtig gewählte , mit einer guten › mancia ‹ verbundene Worte bald von der Lästigkeit seines › guida ‹ zu befreien , um unbehindert allein seinen Zwecken nachgehn zu	können	.	dem ordnungsmäßigen Wege nach Pompeji hinein .Norbert verstand's von früher her , sich durch richtig gewählte , mit einer guten › mancia ‹ verbundene Worte bald von der Lästigkeit seines › guida ‹ zu befreien , um unbehindert allein seinen Zwecken nachgehn zu können .So setzte sein Fuß sich mit jäher	731	37	64904-Jensen__Wilhelm.tsv
VMINF	VMINF		VMINF	können		In der Ausgabe von 1592 von Gödelmann's Zauberern , Hexen vnd Vnholden heißt es I , S. 45 : » Es hatten etliche Münche im Closter N. einen Schatz auß der Kirche verlohrn , als sie aber den Dieb nirgendts erforschen vnd erkündigen	können	, rathfragten sie einen Wahrsager , der gab Antwort , daß derselbigt Kirchenräuber sey seiner Gattung ein Schwartzkünstler , es erscheine wol sein Cörper , Strumpf , den Kopf aber möge er nicht sehen können .	Nr. 38 .In der Ausgabe von 1592 von Gödelmann's Zauberern , Hexen vnd Vnholden heißt es I , S. 45 : » Es hatten etliche Münche im Closter N. einen Schatz auß der Kirche verlohrn , als sie aber den Dieb nirgendts erforschen vnd erkündigen können , rathfragten sie einen Wahrsager , der gab Antwort , daß derselbigt Kirchenräuber sey seiner Gattung ein Schwartzkünstler , es erscheine wol sein Cörper , Strumpf , den Kopf aber möge er nicht sehen können .Das laß ich nicht geschehn !	70	43	85870-Pr_hle__Heinrich.tsv
VMINF	VMINF		VMINF	müssen		» Ich werde noch ganz andre Ungerechtigkeiten begehen	müssen	, wenn ich es zu etwas gebracht habe , und obendrein genötigt sein , sie hinter gefühlvoller Schönrederei zu verbergen .	» Das ist gar nichts !» Ich werde noch ganz andre Ungerechtigkeiten begehen müssen , wenn ich es zu etwas gebracht habe , und obendrein genötigt sein , sie hinter gefühlvoller Schönrederei zu verbergen .Betroffen sah Julian , was er angerichtet	6368	8	99250-Stendhal.tsv
VMINF	VMFIN		VMINF	müssen		Man wird das Militärmaß heruntersetzen	müssen	, es wird lauter krummbeinige Leutnants geben und keinen Schwadronskommandanten ohne Buckel !	» Sie wissen es nicht ?Man wird das Militärmaß heruntersetzen müssen , es wird lauter krummbeinige Leutnants geben und keinen Schwadronskommandanten ohne Buckel !« fragte der Hofrat in atemraubender Erregung	786	5	23136-Ebner_Eschenbach__Marie_von.tsv
VMINF	VMINF		VMINF	müssen		Die Einrichtung hätte so getroffen werden sollen , daß man immer nach dem Alter aus der Welt gehen müßte ; der älteste zuerst , dann der nächste nach ihm und so weiter : nicht um gekehrt , daß ein steinalter Greis , der kaum noch drei Zähne im Munde hat , beinahe aller Sinnen beraubt ist und sich mit Hülfe von vier Bedienten kaum noch von einem Stuhle zum andern fortschleppen kann , kurz , der ein Spott der Kinder und ein lebendiges Grabmal ist , daß so einer immer noch fortlebe , die schönsten und gesundesten jungen Männer hingegen sterben	müssen	; welches ebenso widersinnisch ist , als wenn die Ströme rückwärts zu ihrer Quelle liefen .	TERPSION .Die Einrichtung hätte so getroffen werden sollen , daß man immer nach dem Alter aus der Welt gehen müßte ; der älteste zuerst , dann der nächste nach ihm und so weiter : nicht um gekehrt , daß ein steinalter Greis , der kaum noch drei Zähne im Munde hat , beinahe aller Sinnen beraubt ist und sich mit Hülfe von vier Bedienten kaum noch von einem Stuhle zum andern fortschleppen kann , kurz , der ein Spott der Kinder und ein lebendiges Grabmal ist , daß so einer immer noch fortlebe , die schönsten und gesundesten jungen Männer hingegen sterben müssen ; welches ebenso widersinnisch ist , als wenn die Ströme rückwärts zu ihrer Quelle liefen .Der Klotho nämlich , die bei eines	984	101	78055-Lukian.tsv
VMINF	VMINF		VMINF	müssen		Sie erinnerte sich , wie sie Vorjahren in einem ihrer Häuser im Zustande eines heftigen Unwohlseins bei miserablem Wetter die Kinder aus der Schule hatte abholen	müssen	und beinahe schwer krank geworden wäre ; und was sie damals als eine der unvermeidlichen Peinlichkeiten ihres Berufs hingenommen , das ließ sie nun in ihrem Herzen die Leute entgelten , bei denen sie jetzt in Stellung war , ohne es sie äußerlich merken zu lassen .	beinahe vernachlässigt und immer leidend war .Sie erinnerte sich , wie sie Vorjahren in einem ihrer Häuser im Zustande eines heftigen Unwohlseins bei miserablem Wetter die Kinder aus der Schule hatte abholen müssen und beinahe schwer krank geworden wäre ; und was sie damals als eine der unvermeidlichen Peinlichkeiten ihres Berufs hingenommen , das ließ sie nun in ihrem Herzen die Leute entgelten , bei denen sie jetzt in Stellung war , ohne es sie äußerlich merken zu lassen .Der Bankdirektor war ein Mann in den	254	26	97182-Schnitzler__Arthur.tsv
VMINF	VMINF		VMINF	müssen		Als einziger Ort , von welchem aus entscheidender auf die deutschen Theater gewirkt werden könnte , hatte ich unerläßlich bereits Berlin in das Auge fassen	müssen	.	Tannhäuser « verursachte , loswerden konnte .Als einziger Ort , von welchem aus entscheidender auf die deutschen Theater gewirkt werden könnte , hatte ich unerläßlich bereits Berlin in das Auge fassen müssen .Wenn ich mit dem Erfolge des »	1393	25	107728-Wagner__Richard.tsv
VMINF	VMFIN		VMINF	müssen		« » Allerdings , « fuhr der Meister fort , » eben dieses Kunststück – es ist wohl mehr als das – würde Euch bewiesen haben , daß die gemeinste , am leichtesten zu berechnende Mechanik oft mit den geheimnisvollsten Wundern der Natur in Beziehung treten und dann Wirkungen hervorbringen kann , die unerklärlich , – selbst dies Wort im gewöhnlichen Sinn genommen , bleiben	müssen	.	ich selbst die Augen niederschlagen muß .« » Allerdings , « fuhr der Meister fort , » eben dieses Kunststück – es ist wohl mehr als das – würde Euch bewiesen haben , daß die gemeinste , am leichtesten zu berechnende Mechanik oft mit den geheimnisvollsten Wundern der Natur in Beziehung treten und dann Wirkungen hervorbringen kann , die unerklärlich , – selbst dies Wort im gewöhnlichen Sinn genommen , bleiben müssen .– Fürs erste starrt er mir ,	3965	65	62300-Hoffmann__E__T__A_.tsv
VMINF	VMINF		VMINF	müssen		Ben-Zouf machte ihm jedoch begreiflich , daß er für seinen Platz in der Gondel werde 50.000 Francs bezahlen	müssen	, wenn er es wagte , noch ferner den Mund aufzuthun .	Bedürfnisse die Trümmer der beiden Fahrzeuge .Ben-Zouf machte ihm jedoch begreiflich , daß er für seinen Platz in der Gondel werde 50.000 Francs bezahlen müssen , wenn er es wagte , noch ferner den Mund aufzuthun .Nirgends fanden sich Schwämme , Meerasseln ,	802	18	107502-Verne__Jules.tsv
VMINF	VMFIN		VMINF	müssen		Ich sollte zwar diesem Buche auch die Merkwürdigkeiten von allerhand Sachen , wie in meinem Studiosi Joviali beygesetzt haben ; weil es aber wider meine Meynung allzu groß angewachsen , so habe ich diese hieher gehörigen Merkwürdigkeiten ausgelassen , und aus selben ein besonders Buch , unter dem Titel : Nützliche Zeitanwendung ; oder Auszug der merkwürdigsten Sachen , von den Menschen , Thieren , vermischten Sachen , und unterschiedlichen Kunststücken machen	müssen	, welchem nun noch ein anders Werklein : Der vorsichtige und nach heutigem Geschmacke wohlerfahrne Speisemeister , sammt einer Anweisung zum Kochen , Tranchiren und einigen sonderheitlichen Komplimenten , mit beygefügten allgemeinen Tischregeln , nachgefolget ist .	Reprimande , Verweis , Ausscheltung .Ich sollte zwar diesem Buche auch die Merkwürdigkeiten von allerhand Sachen , wie in meinem Studiosi Joviali beygesetzt haben ; weil es aber wider meine Meynung allzu groß angewachsen , so habe ich diese hieher gehörigen Merkwürdigkeiten ausgelassen , und aus selben ein besonders Buch , unter dem Titel : Nützliche Zeitanwendung ; oder Auszug der merkwürdigsten Sachen , von den Menschen , Thieren , vermischten Sachen , und unterschiedlichen Kunststücken machen müssen , welchem nun noch ein anders Werklein : Der vorsichtige und nach heutigem Geschmacke wohlerfahrne Speisemeister , sammt einer Anweisung zum Kochen , Tranchiren und einigen sonderheitlichen Komplimenten , mit beygefügten allgemeinen Tischregeln , nachgefolget ist .Virtus post funera vivit .	1710	72	97256-Schreger__Odilo.tsv
VMINF	VMINF		VMINF	müssen		Auch schaute er die Perlen an , als ob sie Spielzeug seien ; gleichgültig ; verwundert , daß er sich deswegen so bemüht , so viel deswegen hatte reden	müssen	.	versank wie ein Stein im Wasser .Auch schaute er die Perlen an , als ob sie Spielzeug seien ; gleichgültig ; verwundert , daß er sich deswegen so bemüht , so viel deswegen hatte reden müssen .Welchen Rufes , das wußte sie nicht	14251	29	108455-Wassermann__Jakob.tsv
VMINF	VMINF		VMINF	müssen		Aber das eine Mal vergriff er sich doch , und da hat er's runterwürgen	müssen	.	von Marzipan und natürlich für ihn .Aber das eine Mal vergriff er sich doch , und da hat er's runterwürgen müssen .Konstantin wollte die Polen ärgern , weil	205	14	26865-Fontane__Theodor.tsv
VMINF	VMINF		VMINF	wollen		Wahrhaftig , es klingt fast lächerlich , das Edelste , was sich ein Menschenleben bewahren kann , in einer Maschine finden zu	wollen	.	, die ich nie gekannt habe .Wahrhaftig , es klingt fast lächerlich , das Edelste , was sich ein Menschenleben bewahren kann , in einer Maschine finden zu wollen .– Ja , ich bin frei ,	2654	22	110547-Willkomm__Ernst_Adolf.tsv
VMINF	VMINF		VMINF	wollen		Aber Zehren , der , wenn es ihm gerade einfällt , hochmüthig sein kann , wie der Satan , hat darauf bestanden , mit dem Fürsten selbst verhandeln zu	wollen	, und nun war natürlich der Scandal fertig .	, mit Konstanze in's Ausland ging .Aber Zehren , der , wenn es ihm gerade einfällt , hochmüthig sein kann , wie der Satan , hat darauf bestanden , mit dem Fürsten selbst verhandeln zu wollen , und nun war natürlich der Scandal fertig .Es fehlen noch zwei Jahre , bis	6107	29	99025-Spielhagen__Friedrich.tsv
VMINF	VMFIN		VMFIN	wollen		Kann ich dafür , daß die Leute so wenig Lebkuchen essen und keinen Met trinken	wollen	?	Du bist doch mit ihr verlobt .Kann ich dafür , daß die Leute so wenig Lebkuchen essen und keinen Met trinken wollen ?› Ja , du .	338	15	90195-Saar__Ferdinand_von.tsv
