DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMPP	VVPP		VVPP	dürfen		Ich habe diese seine hohe Stellung in der russischen Hauptstadt für meinen kleinen Teil , wenigstens als Augen- und Ohrenzeuge , mit geteilt und genossen und in denselben Kreisen viel mitleben	gedurft	; durch ihn waren mir die Paläste geöffnet .	gewonnen und neue politische Gesichtspunkte gezeigt .Ich habe diese seine hohe Stellung in der russischen Hauptstadt für meinen kleinen Teil , wenigstens als Augen- und Ohrenzeuge , mit geteilt und genossen und in denselben Kreisen viel mitleben gedurft ; durch ihn waren mir die Paläste geöffnet .Hier in Königsberg öffnete sich nun der	1203	31	4078-Arndt__Ernst_Moritz.tsv
VMPP	VVPP		VMPP	wollen		Da waren doch ins Magazin schon ganz andere gekommen , Adelige , welchen man es ansah , an der seinen blauen Haut , die schimmerte wie ein frisch gestärktes Hemd , und drei schwarze Streifen auf die weißen Handschuhe gesteppt , riesig Chic , und waren ganz verliebt gewesen mit besseren Versprechungen , einer wie der andere – wenn sie nur	gewollt	hätte .	, was ihr das Milieu bot .Da waren doch ins Magazin schon ganz andere gekommen , Adelige , welchen man es ansah , an der seinen blauen Haut , die schimmerte wie ein frisch gestärktes Hemd , und drei schwarze Streifen auf die weißen Handschuhe gesteppt , riesig Chic , und waren ganz verliebt gewesen mit besseren Versprechungen , einer wie der andere – wenn sie nur gewollt hätte .Es wurde immer nur , je treuer	59	61	6140-Bahr__Hermann.tsv
VMPP	VMPP		VMPP	wollen		– Hat 's Gott	gewollt	, daß man euch liebe , wie der Clemens mir sagt : ich sei berufen mit ihm zusammen , daß wir einander lieben , wenn das so wär , daß Gott wolle , wo er gar nicht zu wollen hat , ich würde ihm widerspenstig sein und den grad nicht wollen lieben , den er dazu geschaffen .	doch seufzt man euch nicht nach !– Hat 's Gott gewollt , daß man euch liebe , wie der Clemens mir sagt : ich sei berufen mit ihm zusammen , daß wir einander lieben , wenn das so wär , daß Gott wolle , wo er gar nicht zu wollen hat , ich würde ihm widerspenstig sein und den grad nicht wollen lieben , den er dazu geschaffen .– Ja , ihr Rosen seid schön	2999	4	4083-Arnim__Bettina_von.tsv
VMPP	VVPP		VMPP	wollen		Ohne diesen glücklichen Zufall hätte Donna Felicia oder Don Eugenio sich , so viel sie	gewollt	hätten , auf das tu si hic esses , berufen mögen ; sie würden vermutlich nicht halb so viel damit gewonnen haben , als jetzt , da sich jedes würklich an des andern Platz befand ; so groß ist der Unterschied zwischen der Würkung , die eine flüchtige Abstraction und ein wahres Gefühl auf uns macht .	von seiner Neigung Rechenschaft geben soll .Ohne diesen glücklichen Zufall hätte Donna Felicia oder Don Eugenio sich , so viel sie gewollt hätten , auf das tu si hic esses , berufen mögen ; sie würden vermutlich nicht halb so viel damit gewonnen haben , als jetzt , da sich jedes würklich an des andern Platz befand ; so groß ist der Unterschied zwischen der Würkung , die eine flüchtige Abstraction und ein wahres Gefühl auf uns macht .Wär es so etwas unbegreifliches , daß	3133	15	110270-Wieland__Christoph_Martin.tsv
VMPP	VMPP		VMPP	wollen		Als er darauf wieder heraufgekommen und alles erzählt , hat man gar sehr in ihn gedrungen , er solle noch zum drittenmale hinuntersteigen und ein Wahrzeichen mit heraufbringen , aber das hat er nicht	gewollt	; endlich jedoch haben sie ihm vieles vieles Geld geboten , wenn er es thäte , und da hat er sich doch bethören laßen und ist zum drittenmale hinabgestiegen .	könne , wie es darin aussehe .Als er darauf wieder heraufgekommen und alles erzählt , hat man gar sehr in ihn gedrungen , er solle noch zum drittenmale hinuntersteigen und ein Wahrzeichen mit heraufbringen , aber das hat er nicht gewollt ; endlich jedoch haben sie ihm vieles vieles Geld geboten , wenn er es thäte , und da hat er sich doch bethören laßen und ist zum drittenmale hinabgestiegen .Bei Herzberg liegt ein Teich , der	4	34	69540-Kuhn__Adalbert.tsv
VMPP	VVPP		VMPP	wollen		Hierüber war nun ihr königlicher Herr Vater , der lieber	gewollt	hätte , sie möge sich bucklich lachen , sehr unwillig und wendete alles an , um sie aufzuheitern .	sehr liebte und darum Liebseelchen nannte .Hierüber war nun ihr königlicher Herr Vater , der lieber gewollt hätte , sie möge sich bucklich lachen , sehr unwillig und wendete alles an , um sie aufzuheitern .Röhropp kannte die zornige Gemütsart der Rußika	30	10	14651-Brentano__Clemens.tsv
VMPP	VMPP		VMPP	wollen		Er traf sie und sagte ihr , was geschehen war , – sagte ihr , – daß sie nun frei war ... wie sie es	gewollt	.	Und dann erzählte er noch mehr .Er traf sie und sagte ihr , was geschehen war , – sagte ihr , – daß sie nun frei war ... wie sie es gewollt .» Ich habe ihn getötet « ,	1637	25	79543-Meisel_Hess__Grete.tsv
VMPP	VMPP		VMPP	wollen		In demselben schien mir plötzlich alles tröstend und erfüllend entgegenzutreten , was ich bisher	gewollt	und gesucht oder unruhig und dunkel empfunden gefühlerfülltes und scharf beobachtetes Kleinleben und feine Spiegelung des nächsten Menschentums mit dem weiten Himmel des geahnten Unendlichen und Ewigen darüber ; heitere , mutwillige Schrankenlosigkeit und Beweglichkeit des Geistes , die sich jeden Augenblick in tiefes Sinnen und Träumen der Seele verwandelte ; lächelndes Vertrautsein mit Not und Wehmut , daneben das Ergreifen poetischer Seligkeit , welche mit goldener Flut alle kleine Qual und Grübelei hinwegspülte und mich in glückliche Vergessenheit tauchen ließ ; vor allem aber die Naturschilderung an der Hand der entfesselten Phantasie , welche berauscht über die blühende Erde schweifte und mit den Sternen spielte wie ein Kind mit Blumen , je toller , desto besser !	auch ziemlich prozeßerfahren in die Welt .In demselben schien mir plötzlich alles tröstend und erfüllend entgegenzutreten , was ich bisher gewollt und gesucht oder unruhig und dunkel empfunden gefühlerfülltes und scharf beobachtetes Kleinleben und feine Spiegelung des nächsten Menschentums mit dem weiten Himmel des geahnten Unendlichen und Ewigen darüber ; heitere , mutwillige Schrankenlosigkeit und Beweglichkeit des Geistes , die sich jeden Augenblick in tiefes Sinnen und Träumen der Seele verwandelte ; lächelndes Vertrautsein mit Not und Wehmut , daneben das Ergreifen poetischer Seligkeit , welche mit goldener Flut alle kleine Qual und Grübelei hinwegspülte und mich in glückliche Vergessenheit tauchen ließ ; vor allem aber die Naturschilderung an der Hand der entfesselten Phantasie , welche berauscht über die blühende Erde schweifte und mit den Sternen spielte wie ein Kind mit Blumen , je toller , desto besser !So erschienen hier die einen von rastloser	7556	14	66065-Keller__Gottfried.tsv
VMPP	VVPP		VMPP	wollen		Aber ich denk' auch wieder : › Sonst ist nichts ; und wenn einer hineinschleicht , hat er was	gewollt	; und wenn er das Beil gehabt hat , hat er auch was damit gemacht .	und das hätt' das Seil verschunden .Aber ich denk' auch wieder : › Sonst ist nichts ; und wenn einer hineinschleicht , hat er was gewollt ; und wenn er das Beil gehabt hat , hat er auch was damit gemacht .Da fing ich an , die Kloben	3842	19	78049-Ludwig__Otto.tsv
VMPP	VMPP		VMPP	wollen		« Es war alles anders geworden , als die Geheimräthin	gewollt	.	Und was geht es Dich an ?« Es war alles anders geworden , als die Geheimräthin gewollt .« Indessen er trank .	2753	10	966-Alexis__Willibald.tsv
