DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVIMP	NN		VVIMP	brechen			Brecht	Euch durch und nehmt mit , was Ihr fortbringen könnt .	So seht her .Brecht Euch durch und nehmt mit , was Ihr fortbringen könnt .Fürchtet Euch gar nicht , liebe Zechgenoßen	49	0	71782-L_hr__Johann_Andreas_Christian.tsv
VVIMP	VVIMP		VVIMP	geben		Liebe schöne Annerl , mögest du nicht so sehr erschrecken über mich ,	gib	dich zufrieden , und wenn du mir jemals ein wenig gut warst , so rede nicht schlecht von mir !	ehrliches Grab neben meiner Mutter vergönne !Liebe schöne Annerl , mögest du nicht so sehr erschrecken über mich , gib dich zufrieden , und wenn du mir jemals ein wenig gut warst , so rede nicht schlecht von mir !Ich habe meinen Vater und Bruder der	357	13	14643-Brentano__Clemens.tsv
VVIMP	VVIMP		VVIMP	geben		sodann habt ihr die Entschuldigung gleich an der Hand , und sagt , der Stern , das Gestirn sey die Ursach , als welche über euern Willen prädominirt und geherrscht , ob aber dazumal ihr den Heiland Jesum in einem guten Stern werd finden , zweifle ich stark , ja ich sag rund heraus , nein , nein , dann sofern die Stern Ursach seyn des Bösen , so müssen sie selbst in Abgrund steigen , da kann der Fisch und Krebs gesotten werden , und der Stier und Widder gebraten ; seynd sie aber Ursach des Guten , so steigen sie in Himmel zu der ewigen Belohnung ,	gib	aber Acht , Astrologe , daß dich der Scorpion alldort nit zwicke , seynd aber alle diese Himmels-Gestirn nur also beschaffen , daß sie den Menschen , forderist den menschlichen Leib nur incliniren und neigen , so bleibt doch unser Will' in seinem Freiherrn-Stand , und folgsam kann der Astrologus nicht wissen , künftige Ding vorzudeuten und zu prophezeihen , sondern dieß ist von dem allwissenden Gott allein vorbehalten , laßt euch also eine Witzigung und eine Lehr seyn , ihr solchergestalten wahrsuchende und wahrsagende Adams-Kinder , was da schon längst Gott durch den Propheten Isaiam gesagt hat : » Laß dir jetzt helfen , die aus dem Lauf des Himmels wahrsagen , und nach den Sternen gucken , und rechnen die Monate , daß sie daraus weissagen , was dir begegnen soll ; siehe , sie seynd worden wir Stopplen , das Feuer hat sie verbrennet , sie werden ihre Seel nit retten von der Gewalt der Flammen .	warum ihr dieß und dieß gethan ?sodann habt ihr die Entschuldigung gleich an der Hand , und sagt , der Stern , das Gestirn sey die Ursach , als welche über euern Willen prädominirt und geherrscht , ob aber dazumal ihr den Heiland Jesum in einem guten Stern werd finden , zweifle ich stark , ja ich sag rund heraus , nein , nein , dann sofern die Stern Ursach seyn des Bösen , so müssen sie selbst in Abgrund steigen , da kann der Fisch und Krebs gesotten werden , und der Stier und Widder gebraten ; seynd sie aber Ursach des Guten , so steigen sie in Himmel zu der ewigen Belohnung , gib aber Acht , Astrologe , daß dich der Scorpion alldort nit zwicke , seynd aber alle diese Himmels-Gestirn nur also beschaffen , daß sie den Menschen , forderist den menschlichen Leib nur incliniren und neigen , so bleibt doch unser Will' in seinem Freiherrn-Stand , und folgsam kann der Astrologus nicht wissen , künftige Ding vorzudeuten und zu prophezeihen , sondern dieß ist von dem allwissenden Gott allein vorbehalten , laßt euch also eine Witzigung und eine Lehr seyn , ihr solchergestalten wahrsuchende und wahrsagende Adams-Kinder , was da schon längst Gott durch den Propheten Isaiam gesagt hat : » Laß dir jetzt helfen , die aus dem Lauf des Himmels wahrsagen , und nach den Sternen gucken , und rechnen die Monate , daß sie daraus weissagen , was dir begegnen soll ; siehe , sie seynd worden wir Stopplen , das Feuer hat sie verbrennet , sie werden ihre Seel nit retten von der Gewalt der Flammen .Anno 1242 , als Massatius Vigonzonius zu	11498	109	4-Abraham_a_Sancta_Clara.tsv
VVIMP	VVFIN		VVIMP	geben		» Es liegt ja nur bei dir , die schwere Zeit meiner Prüfung abzukürzen ,	gib	es auf , mich zu quälen – « flehte ich .	Hände eines Weibes gegeben zu sein .» Es liegt ja nur bei dir , die schwere Zeit meiner Prüfung abzukürzen , gib es auf , mich zu quälen – « flehte ich .« sie trat zurück und betrachtete mich	1274	15	90216-Sacher_Masoch__Leopold_von.tsv
VVIMP	NE		VVFIN	helfen			Hilf	mir aufräumen , Fritz !	Grade von da bin ich .Hilf mir aufräumen , Fritz !Ja wohl , Excellenz , Angerode !	8563	0	56355-Gutzkow__Karl.tsv
VVIMP	VAFIN		ADJD	helfen		oder : Ich glaube Herr ;	hilf	du meinem Unglauben ; oder : Amen , ja !	: Gott sey mir Sünder gnädig !oder : Ich glaube Herr ; hilf du meinem Unglauben ; oder : Amen , ja !( No. 5. ) Ohne allen Zweifel	32	6	68610-Kosegarten__Gotthard_Ludwig.tsv
VVIMP	NE		VVFIN	hören		« »	Höre	weiter !	Dir gekauft und auch manches geborgt .« » Höre weiter !wohl erkenne ich Dich in dieser Jammergestalt	4919	2	99030-Spindler__Carl.tsv
VVIMP	VVFIN		VVFIN	kommen		»	Kommt	Ihr Gärtner manchmal nach Berlin , Herr Bornstein ?	ob es dazu noch nicht langte ?» Kommt Ihr Gärtner manchmal nach Berlin , Herr Bornstein ?Er pflege sich bei Karsten ordentlich heraus	4016	1	23055-Duncker__Dora.tsv
VVIMP	NN		VVFIN	lassen			Lasse	er sich diese lateinischen Worte von dem Herrn Pastor in Wilmershausen erklären , so wird er sehen , daß sein Ansuchen unstatthaft ist , und daß der Herr v. N. keinesweges verbunden sey , ihm mit Weib und Kindern , besonders jetzo in diesen schweren Zeiten , zu ernähren .	seine Dienstentlassung verur , sachet habe .Lasse er sich diese lateinischen Worte von dem Herrn Pastor in Wilmershausen erklären , so wird er sehen , daß sein Ansuchen unstatthaft ist , und daß der Herr v. N. keinesweges verbunden sey , ihm mit Weib und Kindern , besonders jetzo in diesen schweren Zeiten , zu ernähren .Er kann sich darauf verlassen , daß	856	0	82931-Mus_us__Johann_Karl_August.tsv
VVIMP	NN		VVIMP	lassen			Laß	vor allem die › sie ‹ aus dem Spiele !	ich die Levee von New Orleans .Laß vor allem die › sie ‹ aus dem Spiele !Doch weiter !	34	0	98165-Sealsfield__Charles.tsv
VVIMP	NE		VVIMP	lassen			Laß	dein ganzes Volk wissen , daß du die Verschwender hassest , und keine Uneigennützigkeit von einem Diener hoffest , den eine unersättliche Nothdurft drückt .	, des Pöbels Aufmerksamkeit zu erwerben .Laß dein ganzes Volk wissen , daß du die Verschwender hassest , und keine Uneigennützigkeit von einem Diener hoffest , den eine unersättliche Nothdurft drückt .Der Arme , der kaum das Nöthige	686	0	57772-Haller__Albrecht_von.tsv
