DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVINF	ADJA		VVINF	ansehen		105 Dann er macht die gleich in einer guldenen Ketten solcher seltzame weiß von weitem herauß gehen / daß sie in sein Hand / wie sie ein	ansehen	hatte / sich erstreckten / vnn gleichwol die Kett hernachgehends vberall gantz befunden ward .	/ vnnd noch in Leben ist .105 Dann er macht die gleich in einer guldenen Ketten solcher seltzame weiß von weitem herauß gehen / daß sie in sein Hand / wie sie ein ansehen hatte / sich erstreckten / vnn gleichwol die Kett hernachgehends vberall gantz befunden ward .Nach fůnff Stunden / als sie wider	2072	27	14106-Bodin__Jean.tsv
VVINF	VVINF		VVINF	empfinden		Ich erwartete , daß sie Durst	empfinden	würde , und hatte zu dem Ende ein angenehm stärkendes Getränk bereitet .	des Antheils unterbrach hier die Erzählung .Ich erwartete , daß sie Durst empfinden würde , und hatte zu dem Ende ein angenehm stärkendes Getränk bereitet .Diesen Moment durfte ich nicht versäumen ,	1807	6	83756-Paalzow__Henriette_von.tsv
VVINF	ADJA		VVINF	erraten		Bald nach meiner Zurückkunft nach Milet gerieth ich auf den Einfall , das berühmte allegorische Mährchen vom Prodikus , den Hercules auf dem Scheidewege , in zwei Seitenstücken zu malen ; so daß Lais in dem einen die Tugend , in dem andern die Wollust vorstellt , und ( wie du bereits	errathen	hast ) der junge Göttersohn im einen der Erstern , im andern ihrer reizenden Gegnerin die Hand reicht .	er nicht sehr lange ausdauern könnte .Bald nach meiner Zurückkunft nach Milet gerieth ich auf den Einfall , das berühmte allegorische Mährchen vom Prodikus , den Hercules auf dem Scheidewege , in zwei Seitenstücken zu malen ; so daß Lais in dem einen die Tugend , in dem andern die Wollust vorstellt , und ( wie du bereits errathen hast ) der junge Göttersohn im einen der Erstern , im andern ihrer reizenden Gegnerin die Hand reicht .Du weißt , in welchem Grade die	6108	52	110273-Wieland__Christoph_Martin.tsv
VVINF	VVINF		VVINF	fallen		In diesem Augenblick beugte sich Onkel Prudent ein wenig über die Reeling , öffnete die Hand und ließ die Dose	fallen	.	Omaha den seltsamen Apparat wahrgenommen haben .In diesem Augenblick beugte sich Onkel Prudent ein wenig über die Reeling , öffnete die Hand und ließ die Dose fallen .Das war sehr kühn , doch gleichzeitig	1285	20	107516-Verne__Jules.tsv
VVINF	VVFIN		VVINF	finden		Wir haben Dich auf- und abwärts in der Galerie gesucht ; konnten Dich nicht	finden	.	Muth , fuhr mein Oheim fort .Wir haben Dich auf- und abwärts in der Galerie gesucht ; konnten Dich nicht finden .Ich mußte mich wohl fügen , und	3040	14	107491-Verne__Jules.tsv
VVINF	VVINF		VVINF	geben		Im Hause herrschte die größte Thätigkeit , da Rosa beschlossen hatte , am nächsten Abend zur Feier des fürstlichen Geburtsfestes einen der glänzendsten Bälle zu	geben	, der jemals die Zungen der Klatschsüchtigen mochte beschäftigt haben .	sich mit dem Scheine der Ehrbarkeit .Im Hause herrschte die größte Thätigkeit , da Rosa beschlossen hatte , am nächsten Abend zur Feier des fürstlichen Geburtsfestes einen der glänzendsten Bälle zu geben , der jemals die Zungen der Klatschsüchtigen mochte beschäftigt haben .* * den 5t April 18 –	2573	25	15087-Bruckbr_u__Friedrich_Wilhelm.tsv
VVINF	VVINF		VVINF	gehen		105 Dann er macht die gleich in einer guldenen Ketten solcher seltzame weiß von weitem herauß	gehen	/ daß sie in sein Hand / wie sie ein ansehen hatte / sich erstreckten / vnn gleichwol die Kett hernachgehends vberall gantz befunden ward .	/ vnnd noch in Leben ist .105 Dann er macht die gleich in einer guldenen Ketten solcher seltzame weiß von weitem herauß gehen / daß sie in sein Hand / wie sie ein ansehen hatte / sich erstreckten / vnn gleichwol die Kett hernachgehends vberall gantz befunden ward .Nach fůnff Stunden / als sie wider	2072	16	14106-Bodin__Jean.tsv
VVINF	VVINF		VVINF	hauen		Hacken ,	hauen	; die Hacke , das Werkzeug dazu , imgleichen die Ferse : der Haken , worauf man etwas henket .	wenn man darauf Achtung geben will .Hacken , hauen ; die Hacke , das Werkzeug dazu , imgleichen die Ferse : der Haken , worauf man etwas henket .Und bey den Franzosen sind fast alle	3198	2	48520-Gottsched__Johann_Christoph.tsv
VVINF	VVINF		VVINF	holen		« » Wenn jemand von Schloß Hubertus kommt , um meine Geräte zu	holen	, « sagte er , » ich habe droben alles bereitgestellt .	winkte er den Diener zu sich .« » Wenn jemand von Schloß Hubertus kommt , um meine Geräte zu holen , « sagte er , » ich habe droben alles bereitgestellt .An der Kruckenstube wurde die Tür aufgerissen	10999	13	27054-Ganghofer__Ludwig.tsv
VVINF	VVINF		VVINF	hören		Wo die Fichten sich beugten wie Rohr , was sollte man da nicht kreideweiße Gesichter sehen und von den blassen Lippen Stoßgebete murmeln und die Heiligen angerufen	hören	.	, wie ein Schneetreiben flog es .Wo die Fichten sich beugten wie Rohr , was sollte man da nicht kreideweiße Gesichter sehen und von den blassen Lippen Stoßgebete murmeln und die Heiligen angerufen hören .Die eine Wand des letzten Zeltes war	3103	27	965-Alexis__Willibald.tsv
