DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVIZU	VVIZU		VVIZU	abwenden		Doch wenn diese Elenden nur zu der Ahnung kamen , daß Zermah wenigstens in einen Theil ihrer Geheimnisse eingedrungen war , würden sie wohl einen Augenblick gezögert haben , diese Gefahr dadurch , daß sie die Frau umbrachten ,	abzuwenden	?	wäre Texar allein im Zimmer gewesen .Doch wenn diese Elenden nur zu der Ahnung kamen , daß Zermah wenigstens in einen Theil ihrer Geheimnisse eingedrungen war , würden sie wohl einen Augenblick gezögert haben , diese Gefahr dadurch , daß sie die Frau umbrachten , abzuwenden ?Nach dem was sie gehört , schien	1135	39	107518-Verne__Jules.tsv
VVIZU	VVIZU		VVIZU	abwenden		dardurch er denn bewogen worden , zu Rettung seiner Unschuld , und die bevorstehende Gefahr	abzuwenden	, den gantzen Handel zu erzehlen .	führen , dabey wird es bleiben .dardurch er denn bewogen worden , zu Rettung seiner Unschuld , und die bevorstehende Gefahr abzuwenden , den gantzen Handel zu erzehlen .Darum können die Segensprecher , mit diesem	1968	15	84969-Pfitzer__Johann_Nikolaus.tsv
VVIZU	VVIZU		VVIZU	anerkennen		Eine Reibung führte zur andern ; seine erst eigenwillige Absonderung zwang ihn endlich , die Gewalt der öffentlichen Meinung , der kein ehrgeiziges Gemüt sich entziehen kann , da ihm der Weg freiwilligen Einstimmens nicht mehr offen stand , durch den Trotz	anzuerkennen	, den er ihr geflissentlich bei jeder Gelegenheit entgegensetzte .	dem Namen des wilden Fritz gegangen .Eine Reibung führte zur andern ; seine erst eigenwillige Absonderung zwang ihn endlich , die Gewalt der öffentlichen Meinung , der kein ehrgeiziges Gemüt sich entziehen kann , da ihm der Weg freiwilligen Einstimmens nicht mehr offen stand , durch den Trotz anzuerkennen , den er ihr geflissentlich bei jeder Gelegenheit entgegensetzte .Die Leute hatten natürlicherweise von Anfang an	3822	42	78050-Ludwig__Otto.tsv
VVIZU	VVINF		VVIZU	anrühren		Da die Jagd auf dem Wege vom Fort Selkirk nach dem Fort Youkon ziemlich ausgiebig gewesen , hatte man die mitgenommenen Vorräte nicht zum Zwecke der täglichen Verköstigung	anzurühren	gebraucht .	Sollte der Wind sich gedreht haben ?Da die Jagd auf dem Wege vom Fort Selkirk nach dem Fort Youkon ziemlich ausgiebig gewesen , hatte man die mitgenommenen Vorräte nicht zum Zwecke der täglichen Verköstigung anzurühren gebraucht .– Also zweitausendzweihundert Meilen ?	1701	28	107522-Verne__Jules.tsv
VVIZU	VVPP		VVIZU	antreffen		– Du Jerusalem , große und weltberühmte Stadt , allwo zu Zeiten Salomonis mehr Silber und Gold als Steiner	anzutreffen	waren , hast den 8 August Anno Christi 69 den Grimm und Zorn erfahren dieses Elements , indem es dich gänzlich verzehret , ob man zwar dazumalen ehender hätte die Brunst mit Blut löschen können , als mit Wasser .	den Eurigen in die Asche gelegt .– Du Jerusalem , große und weltberühmte Stadt , allwo zu Zeiten Salomonis mehr Silber und Gold als Steiner anzutreffen waren , hast den 8 August Anno Christi 69 den Grimm und Zorn erfahren dieses Elements , indem es dich gänzlich verzehret , ob man zwar dazumalen ehender hätte die Brunst mit Blut löschen können , als mit Wasser .Dremedal in Spanien , eine herrliche Kirchfahrt	17408	19	4-Abraham_a_Sancta_Clara.tsv
VVIZU	ADJA		VVIZU	aufatmen		» Die Jugend darf im Morgenstrahle der Hoffnung sich sonnen , « spricht sie oft zu ihren Kindern , » der Mittag gehört der Gegenwart ; im rauschenden Drange der Begebenheiten , bald sengend heiß , bald sanft erwärmend , bald in Wonne , bald in Quaal , geht er auch im Laufe unsers Lebens , wie in dem eines einzelnen Tages so schnell an uns vorüber , daß wir im raschen Wechsel kaum	aufzuathmen	vermögen ; doch der milde , sanfte , erquickende Abend ist die Zeit der Alten , denn er allein ist der Erinnerung heilig .	verwaiseten Zustande doppelt wichtig für mich .» Die Jugend darf im Morgenstrahle der Hoffnung sich sonnen , « spricht sie oft zu ihren Kindern , » der Mittag gehört der Gegenwart ; im rauschenden Drange der Begebenheiten , bald sengend heiß , bald sanft erwärmend , bald in Wonne , bald in Quaal , geht er auch im Laufe unsers Lebens , wie in dem eines einzelnen Tages so schnell an uns vorüber , daß wir im raschen Wechsel kaum aufzuathmen vermögen ; doch der milde , sanfte , erquickende Abend ist die Zeit der Alten , denn er allein ist der Erinnerung heilig .Die Arme war unglücklicher Weise Zeuge eines	3419	74	97246-Schopenhauer__Johanna.tsv
VVIZU	VVINF		VVIZU	aufrücken		Bei Völkerfamilien und Sprachgenossenschaften , welche zusammen ein Ganzes bilden sollen , ist es ein wahres Glück , wenn sie untereinander sich etwas	aufzurücken	und zu sticheln haben ; denn wie durch alle Welt und Natur bindet auch da die Verschiedenheit und Mannigfaltigkeit , und das Ungleiche und doch Verwandte hält besser zusammen ; aber es muß Gemüt und Verstand in dem Scherzkampfe sein und dieser zutreffend auf das wahre Wesen der Gegensätze .	konnte , der prügelte seinen Hund .Bei Völkerfamilien und Sprachgenossenschaften , welche zusammen ein Ganzes bilden sollen , ist es ein wahres Glück , wenn sie untereinander sich etwas aufzurücken und zu sticheln haben ; denn wie durch alle Welt und Natur bindet auch da die Verschiedenheit und Mannigfaltigkeit , und das Ungleiche und doch Verwandte hält besser zusammen ; aber es muß Gemüt und Verstand in dem Scherzkampfe sein und dieser zutreffend auf das wahre Wesen der Gegensätze .« oder so häufige leise Andeutungen im	2833	23	66065-Keller__Gottfried.tsv
VVIZU	VVFIN		VVIZU	ausführen		Laßt uns keine Zeit verlieren , ihn	auszuführen	!	zu thun und zu sagen habe .Laßt uns keine Zeit verlieren , ihn auszuführen !Uebrigens ist es nicht nötig , schon	2381	7	79310-May__Karl.tsv
VVIZU	ADJA		VVIZU	ausruhen		Ich beschloß , ein wenig	auszuruhen	und setzte mich am Ufer auf einen Baumklotz nieder .	Ich komme als Cornet zum Regimente .Ich beschloß , ein wenig auszuruhen und setzte mich am Ufer auf einen Baumklotz nieder .« – sagte der Junker , und	283	5	25804-Fischer__Christian_August.tsv
VVIZU	VVINF		VVIZU	aussöhnen		Nun redte ihm alles zu , sich wieder	auszusöhnen	!	weg , ohne vom Herrn St** .Nun redte ihm alles zu , sich wieder auszusöhnen !gegangen , und hätte mit ihr gesprochen	10431	8	72270-La_Roche__Sophie_von.tsv
