DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
XY	ADJA		ADJA	\sten		Sie stritten immer mit einander / welcher von ihnen wol der unglůckseligste liebhaber wäre : da Marsius behaubten wolte / daß mein K \ nig sich noch tr	\sten	k \ nte / weil die Ahalibama / so lang sie ihn lebendig gewust / ihn beständig geliebt hätte ; da hingegegen er sich dessen ganz nicht zu berůmen wůste / daß er iemals wäre geliebt worden .	/ noch ihr gespråche vernemen kunte .Sie stritten immer mit einander / welcher von ihnen wol der unglůckseligste liebhaber wäre : da Marsius behaubten wolte / daß mein K \ nig sich noch tr \sten k \ nte / weil die Ahalibama / so lang sie ihn lebendig gewust / ihn beständig geliebt hätte ; da hingegegen er sich dessen ganz nicht zu berůmen wůste / daß er iemals wäre geliebt worden .( fragte er ganz betrübet / )	22919	28	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
XY	APPR		ADJA	ach		« Solches erbarmete meinen lieben Gevatter und er sprach :	ach	Päte , Päte , ich wollte dir zürnen , und du zwingest mich mit dir zu weinen , bistu denn unschuldig ?	für meinen guten himmlischen König treten .« Solches erbarmete meinen lieben Gevatter und er sprach : ach Päte , Päte , ich wollte dir zürnen , und du zwingest mich mit dir zu weinen , bistu denn unschuldig ?du willt zum Nachtmahl und nachgehends zum	390	10	79540-Meinhold__Wilhelm.tsv
XY	NE		NN	b		Hohenau begegnete mir des Morgens auf der Gasse , sagte mir , er erwarte heute seinen academischen Freund , und bath mich , sobald ich dessen Ankunft vernehmen sollte , ihn bey dem Herrn Lieutenant von	B	... , woselbst er den Abend zubringen würde , abzurufen .	werde ich diese Ruhe finden .Hohenau begegnete mir des Morgens auf der Gasse , sagte mir , er erwarte heute seinen academischen Freund , und bath mich , sobald ich dessen Ankunft vernehmen sollte , ihn bey dem Herrn Lieutenant von B ... , woselbst er den Abend zubringen würde , abzurufen .Bey Ihnen , lieber Herr !	6354	36	68046-Knigge__Adolph_Freiherr_von.tsv
XY	ADV		XY	ber		7 ) Ja lie |	ber	A| dam so | die Mey | nung al | so steht | etc .	er mühlete , gemahlen , mahl !7 ) Ja lie | ber A| dam so | die Mey | nung al | so steht | etc .Doch saget man auch , sich über	6382	5	48520-Gottsched__Johann_Christoph.tsv
XY	NE		NE	caepolla			Cæpolla	Cautela. 123 .	in l. 1. C. de relat .Cæpolla Cautela. 123 .120 Accurs .	6155	0	14106-Bodin__Jean.tsv
XY	NN		NE	castabalenser		Die Colophonier und	Castabalenser	hätten Hunde in ihren Schlachten an die Spitze gestellet / zwey hundert Hunde hätten einen König der Garamanter durch ihre Tapfferkeit wieder in sein Reich gesetzt .	treuen Bären so schlecht nicht anzusehen .Die Colophonier und Castabalenser hätten Hunde in ihren Schlachten an die Spitze gestellet / zwey hundert Hunde hätten einen König der Garamanter durch ihre Tapfferkeit wieder in sein Reich gesetzt .Und ob sie wohl gegen mich ihre	35139	3	78039-Lohenstein__Daniel_Casper_von.tsv
XY	NE		NE	cautela.		Cæpolla	Cautela.	123 .	in l. 1. C. de relat .Cæpolla Cautela. 123 .120 Accurs .	6155	1	14106-Bodin__Jean.tsv
XY	NN		NE	colophonier		Die	Colophonier	und Castabalenser hätten Hunde in ihren Schlachten an die Spitze gestellet / zwey hundert Hunde hätten einen König der Garamanter durch ihre Tapfferkeit wieder in sein Reich gesetzt .	treuen Bären so schlecht nicht anzusehen .Die Colophonier und Castabalenser hätten Hunde in ihren Schlachten an die Spitze gestellet / zwey hundert Hunde hätten einen König der Garamanter durch ihre Tapfferkeit wieder in sein Reich gesetzt .Und ob sie wohl gegen mich ihre	35139	1	78039-Lohenstein__Daniel_Casper_von.tsv
XY	ADJD		VVPP	daruff		Und da das Jar herumbkam , da kamen sie zů dem Priester und danckten im der gůten Ler und bliben	daruff	und wurden reich on Liegen .	: › Wir wöllen es versůchen .Und da das Jar herumbkam , da kamen sie zů dem Priester und danckten im der gůten Ler und bliben daruff und wurden reich on Liegen .Wan dan euwer Kauflüt und Kunden von	5199	20	84231-Pauli__Johannes.tsv
XY	NE		NE	jawohl			Jawohl	, jawohl , hier gehe ich neben dir bis jetzt bloß als der dicke Schaumann durch den Stadtfrieden – wenn sie morgen von ihm aus nach der Roten Schanze hinüber- und hinaufsehen , werden sie nur noch vom geheimnisschwangern , sühneträchtigen Schaumann reden und mich den giftgeschwollenen Bauch blähen sehen : Eduard , du ahnst es doch nicht ganz , wie unangenehm mir diese Geschichte mit Kienbaum ist und wie fürchterlich es mir gegen die Natur geht , daß grade mir die endliche Abwickelung der Sache aufgeladen worden ist !	so behaglich – so – unschuldig !Jawohl , jawohl , hier gehe ich neben dir bis jetzt bloß als der dicke Schaumann durch den Stadtfrieden – wenn sie morgen von ihm aus nach der Roten Schanze hinüber- und hinaufsehen , werden sie nur noch vom geheimnisschwangern , sühneträchtigen Schaumann reden und mich den giftgeschwollenen Bauch blähen sehen : Eduard , du ahnst es doch nicht ganz , wie unangenehm mir diese Geschichte mit Kienbaum ist und wie fürchterlich es mir gegen die Natur geht , daß grade mir die endliche Abwickelung der Sache aufgeladen worden ist !Er läßt seine Gefühle in einer langgezogenen	1430	0	87000-Raabe__Wilhelm.tsv
XY	ADV		NE	jawohl		Jawohl ,	jawohl	, hier gehe ich neben dir bis jetzt bloß als der dicke Schaumann durch den Stadtfrieden – wenn sie morgen von ihm aus nach der Roten Schanze hinüber- und hinaufsehen , werden sie nur noch vom geheimnisschwangern , sühneträchtigen Schaumann reden und mich den giftgeschwollenen Bauch blähen sehen : Eduard , du ahnst es doch nicht ganz , wie unangenehm mir diese Geschichte mit Kienbaum ist und wie fürchterlich es mir gegen die Natur geht , daß grade mir die endliche Abwickelung der Sache aufgeladen worden ist !	so behaglich – so – unschuldig !Jawohl , jawohl , hier gehe ich neben dir bis jetzt bloß als der dicke Schaumann durch den Stadtfrieden – wenn sie morgen von ihm aus nach der Roten Schanze hinüber- und hinaufsehen , werden sie nur noch vom geheimnisschwangern , sühneträchtigen Schaumann reden und mich den giftgeschwollenen Bauch blähen sehen : Eduard , du ahnst es doch nicht ganz , wie unangenehm mir diese Geschichte mit Kienbaum ist und wie fürchterlich es mir gegen die Natur geht , daß grade mir die endliche Abwickelung der Sache aufgeladen worden ist !Er läßt seine Gefühle in einer langgezogenen	1430	2	87000-Raabe__Wilhelm.tsv
XY	ADJA		ADJA	k		Sie stritten immer mit einander / welcher von ihnen wol der unglůckseligste liebhaber wäre : da Marsius behaubten wolte / daß mein K \ nig sich noch tr \sten	k	\ nte / weil die Ahalibama / so lang sie ihn lebendig gewust / ihn beständig geliebt hätte ; da hingegegen er sich dessen ganz nicht zu berůmen wůste / daß er iemals wäre geliebt worden .	/ noch ihr gespråche vernemen kunte .Sie stritten immer mit einander / welcher von ihnen wol der unglůckseligste liebhaber wäre : da Marsius behaubten wolte / daß mein K \ nig sich noch tr \sten k \ nte / weil die Ahalibama / so lang sie ihn lebendig gewust / ihn beständig geliebt hätte ; da hingegegen er sich dessen ganz nicht zu berůmen wůste / daß er iemals wäre geliebt worden .( fragte er ganz betrübet / )	22919	29	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
XY	ADJA		XY	kat		Die Omeyß erhůb sich der flügel / daß sie nit mehr so arbeitsam jr speiß im	kat	sůchen můßt / sonder im freien lufft daher schwebē / fragt die bynen / ob auch gefährlicheyt im lufft were .	Gelt schweigt nit wo es ist .Die Omeyß erhůb sich der flügel / daß sie nit mehr so arbeitsam jr speiß im kat sůchen můßt / sonder im freien lufft daher schwebē / fragt die bynen / ob auch gefährlicheyt im lufft were .Es ist nichts stöltzers dann ein volle	20	16	24266-Egenolff__Christian.tsv
XY	NN		NN	livres		Herr : Ungefähr so viel : achthundertsiebzig	Livres	.	werden , das Mädchen zu heiraten ?Herr : Ungefähr so viel : achthundertsiebzig Livres .› Wie , Herr Kommissar ?	761	7	22329-Diderot__Denis.tsv
XY	ADJA		ADJD	men		Um Mitternacht kam der Teufel unten an , um ihn zu holen ; da er ihn aber im Schutze der heiligen , geweihten und getauften Glocken sah , sagte er : » Ä vild' nok hiilp dä nier a di helle Ting ;	men	ä herr ingen Ti , ä skal a Wakkerballe ( Ich wollte dich bald von den heiligen Dingern herunterbringen ; aber usw. ) .	eine Nacht im Geltinger Glockenhause zuzubringen .Um Mitternacht kam der Teufel unten an , um ihn zu holen ; da er ihn aber im Schutze der heiligen , geweihten und getauften Glocken sah , sagte er : » Ä vild' nok hiilp dä nier a di helle Ting ; men ä herr ingen Ti , ä skal a Wakkerballe ( Ich wollte dich bald von den heiligen Dingern herunterbringen ; aber usw. ) .« Das ist daher entstanden .	4	43	80797-M_llenhoff__Karl.tsv
XY	NE		XY	n		v.	N	.	der junge Herr schreibt aufgeweckrund spashaft .v. N .Belvedere war eine alte Frau ; wenn	2715	1	82931-Mus_us__Johann_Karl_August.tsv
XY	ADJA		VVFIN	nte		Sie stritten immer mit einander / welcher von ihnen wol der unglůckseligste liebhaber wäre : da Marsius behaubten wolte / daß mein K \ nig sich noch tr \sten k \	nte	/ weil die Ahalibama / so lang sie ihn lebendig gewust / ihn beständig geliebt hätte ; da hingegegen er sich dessen ganz nicht zu berůmen wůste / daß er iemals wäre geliebt worden .	/ noch ihr gespråche vernemen kunte .Sie stritten immer mit einander / welcher von ihnen wol der unglůckseligste liebhaber wäre : da Marsius behaubten wolte / daß mein K \ nig sich noch tr \sten k \ nte / weil die Ahalibama / so lang sie ihn lebendig gewust / ihn beständig geliebt hätte ; da hingegegen er sich dessen ganz nicht zu berůmen wůste / daß er iemals wäre geliebt worden .( fragte er ganz betrübet / )	22919	31	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
XY	VVFIN		XY	p		Du brauchst nur funffzig Jahr / wenn du auf dieser Erden	p	.	in Hispanien. †. II. Dec. 1474 .Du brauchst nur funffzig Jahr / wenn du auf dieser Erden p .Der Sorgen-Wurm heckt sich in Seiden-Wurms Geweben	60262	11	78039-Lohenstein__Daniel_Casper_von.tsv
XY	NE		ADJD	psal.			Psal.	48 .	kein Rat / wider den HERRN .Psal. 48 .3 Denn es verdros mich auff die	13776	0	78101-Luther__Martin.tsv
XY	ADJA		XY	son		Vnd sein	son	Sacharja ward König an seine stat .	in der Chronica der könige Jsrael .Vnd sein son Sacharja ward König an seine stat .Matth. 27. ; Marc. 15 .	14832	2	78101-Luther__Martin.tsv
XY	VVFIN		NE	vild'		Um Mitternacht kam der Teufel unten an , um ihn zu holen ; da er ihn aber im Schutze der heiligen , geweihten und getauften Glocken sah , sagte er : » Ä	vild'	nok hiilp dä nier a di helle Ting ; men ä herr ingen Ti , ä skal a Wakkerballe ( Ich wollte dich bald von den heiligen Dingern herunterbringen ; aber usw. ) .	eine Nacht im Geltinger Glockenhause zuzubringen .Um Mitternacht kam der Teufel unten an , um ihn zu holen ; da er ihn aber im Schutze der heiligen , geweihten und getauften Glocken sah , sagte er : » Ä vild' nok hiilp dä nier a di helle Ting ; men ä herr ingen Ti , ä skal a Wakkerballe ( Ich wollte dich bald von den heiligen Dingern herunterbringen ; aber usw. ) .« Das ist daher entstanden .	4	33	80797-M_llenhoff__Karl.tsv
XY	PWAV		NE	wa			wa	könten die Pomerische Säu unnd Beckermoren gedulden , daß ihnen die Meuß also spannentieff hinden auß dem Ars speck nagen , ja gar Nester hinein tragen , und Hochzeit darinn halten , wann sie nicht stäts im trog legen ?	hett wie ein Zungstreckiger Hund außgeleppert ?wa könten die Pomerische Säu unnd Beckermoren gedulden , daß ihnen die Meuß also spannentieff hinden auß dem Ars speck nagen , ja gar Nester hinein tragen , und Hochzeit darinn halten , wann sie nicht stäts im trog legen ?Wa wer der Bauer von Saltzburg ,	2342	0	25786-Fischart__Johann.tsv
XY	NN		NN	§			§	.	Indianer Gott schläfft bey den Weibern .§ .61 Ein Teuffel verräth den andern .	4000	0	85699-Praetorius__Johannes.tsv
XY	NE		NE	ä		Um Mitternacht kam der Teufel unten an , um ihn zu holen ; da er ihn aber im Schutze der heiligen , geweihten und getauften Glocken sah , sagte er : »	Ä	vild' nok hiilp dä nier a di helle Ting ; men ä herr ingen Ti , ä skal a Wakkerballe ( Ich wollte dich bald von den heiligen Dingern herunterbringen ; aber usw. ) .	eine Nacht im Geltinger Glockenhause zuzubringen .Um Mitternacht kam der Teufel unten an , um ihn zu holen ; da er ihn aber im Schutze der heiligen , geweihten und getauften Glocken sah , sagte er : » Ä vild' nok hiilp dä nier a di helle Ting ; men ä herr ingen Ti , ä skal a Wakkerballe ( Ich wollte dich bald von den heiligen Dingern herunterbringen ; aber usw. ) .« Das ist daher entstanden .	4	32	80797-M_llenhoff__Karl.tsv
XY	ADJA		XY	ä		Um Mitternacht kam der Teufel unten an , um ihn zu holen ; da er ihn aber im Schutze der heiligen , geweihten und getauften Glocken sah , sagte er : » Ä vild' nok hiilp dä nier a di helle Ting ; men	ä	herr ingen Ti , ä skal a Wakkerballe ( Ich wollte dich bald von den heiligen Dingern herunterbringen ; aber usw. ) .	eine Nacht im Geltinger Glockenhause zuzubringen .Um Mitternacht kam der Teufel unten an , um ihn zu holen ; da er ihn aber im Schutze der heiligen , geweihten und getauften Glocken sah , sagte er : » Ä vild' nok hiilp dä nier a di helle Ting ; men ä herr ingen Ti , ä skal a Wakkerballe ( Ich wollte dich bald von den heiligen Dingern herunterbringen ; aber usw. ) .« Das ist daher entstanden .	4	44	80797-M_llenhoff__Karl.tsv
