DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APZR	APPR		APPR	an		Nachdem Alles geordnet war , erfolgte der Befehl zur Eröffnung des Feuers , und von diesem Augenblick	an	spie die » Maria « ohne Unterbrechung ihre Breitseiten gegen das Ufer .	jungen Mannes wieder die Oberhand gewonnen .Nachdem Alles geordnet war , erfolgte der Befehl zur Eröffnung des Feuers , und von diesem Augenblick an spie die » Maria « ohne Unterbrechung ihre Breitseiten gegen das Ufer .Die Panagia wird mir helfen , zu	17873	17	31528-Goedsche__Herrmann.tsv
APZR	APZR		APPR	an		Die Propheten aber immer im Blik auf 's verheissene Königreich der lezten Zeitdamit Ihnen das bekannt werde , was noch kommen soll ; aber mit einem einfältigen kindlichen Glauben : daß Gott dem Wort nach manches erfüllen könne , was uns thöricht und unmöglich scheint , gleichwie er auch von Anfang	an	gethan : z.B. in Ansehung der Sündflut , Erscheinungen , und Besuch bei Abraham ; in den Offenbarungen , die dem Moses zu verschiedenenmalen wiederfahren ; ferner bei'm Durchgang durch 's rothe Meer , Speisung eines so großen Volkes in der Wüste , und Tränkung desselben aus einem Felsen , wo vorher kein Wasser floß : u. s.w. welches alles die heutigen Gelehrten vorher , eh es geschehen war , eben so wenig geglaubt , und Gott lieber in den engen Bezirk ihres kurzgefaßten Möglichkeitsystems eingeschlossen , und einen jeden Glaubigen ausgelacht hätten , wie ver mutlich die vor der Sündflut den Noah ausgelacht , als er den Schiffkasten gebaut ; und die zu Sodom den Loth , als er die Zerstörung ihrer Stadt geglaubt .	die nachfolgende Geistesrichtung meines seligen Vaters .Die Propheten aber immer im Blik auf 's verheissene Königreich der lezten Zeitdamit Ihnen das bekannt werde , was noch kommen soll ; aber mit einem einfältigen kindlichen Glauben : daß Gott dem Wort nach manches erfüllen könne , was uns thöricht und unmöglich scheint , gleichwie er auch von Anfang an gethan : z.B. in Ansehung der Sündflut , Erscheinungen , und Besuch bei Abraham ; in den Offenbarungen , die dem Moses zu verschiedenenmalen wiederfahren ; ferner bei'm Durchgang durch 's rothe Meer , Speisung eines so großen Volkes in der Wüste , und Tränkung desselben aus einem Felsen , wo vorher kein Wasser floß : u. s.w. welches alles die heutigen Gelehrten vorher , eh es geschehen war , eben so wenig geglaubt , und Gott lieber in den engen Bezirk ihres kurzgefaßten Möglichkeitsystems eingeschlossen , und einen jeden Glaubigen ausgelacht hätten , wie ver mutlich die vor der Sündflut den Noah ausgelacht , als er den Schiffkasten gebaut ; und die zu Sodom den Loth , als er die Zerstörung ihrer Stadt geglaubt .Klopstok wurde durch mich in Ludwigsburg ,	3587	51	97606-Schubart__Christian_Friedrich_Daniel.tsv
APZR	APZR		APZR	an		Auf einmal riß sein Wasserzug von oben	an	bis unten auseinander , alles stob davon und auf leerem Platz einsam stund Resli , ehe er zehn zählen konnte ; stille ward es um ihn , nur von oben her , von den Spritzenführern , hörte er fluchen , er wußte nicht warum .	wäre , ihn wieder zu treffen .Auf einmal riß sein Wasserzug von oben an bis unten auseinander , alles stob davon und auf leerem Platz einsam stund Resli , ehe er zehn zählen konnte ; stille ward es um ihn , nur von oben her , von den Spritzenführern , hörte er fluchen , er wußte nicht warum .Er machte wohl noch die Runde rund	705	7	48351-Gotthelf__Jeremias.tsv
APZR	APPR		APPR	an		Er verdient es zu seyn , er ist fähig es zu werden , und daß es ihr gelingen wird , hab' ich von der Stunde	an	nicht bezweifelt , da ich ihr Bildniß bei Learchen sah ; denn ich erkannte auf den ersten Blick Aristipps Hälfte in ihr .	mit dem eines andern vertauschen möchte .Er verdient es zu seyn , er ist fähig es zu werden , und daß es ihr gelingen wird , hab' ich von der Stunde an nicht bezweifelt , da ich ihr Bildniß bei Learchen sah ; denn ich erkannte auf den ersten Blick Aristipps Hälfte in ihr .Dieß wird und muß euch andern wackern	8226	25	110273-Wieland__Christoph_Martin.tsv
APZR	APZR		PTKVZ	aus		Diese Frau « , fuhr der Pursche im Reden fort , » heißt man nur die glückselige Margaretha , sie ist aber seit etwa einem Jahre her zur Wittbe worden , weil ihr Mann , als er von einem gewissen Herrn von Padua	aus	mit Briefen weggeschickt , unterweges von einem Banditen dergestalt tödlich verwundet worden , daß er etliche Tage hernach an den empfangenen Blessuren sterben müssen .	ohnstreitig die vornehmste zu nennen ist .Diese Frau « , fuhr der Pursche im Reden fort , » heißt man nur die glückselige Margaretha , sie ist aber seit etwa einem Jahre her zur Wittbe worden , weil ihr Mann , als er von einem gewissen Herrn von Padua aus mit Briefen weggeschickt , unterweges von einem Banditen dergestalt tödlich verwundet worden , daß er etliche Tage hernach an den empfangenen Blessuren sterben müssen .« » Ach nein !	3746	43	97160-Schnabel__Johann_Gottfried.tsv
APZR	ADV		APZR	her		Diese Frau « , fuhr der Pursche im Reden fort , » heißt man nur die glückselige Margaretha , sie ist aber seit etwa einem Jahre	her	zur Wittbe worden , weil ihr Mann , als er von einem gewissen Herrn von Padua aus mit Briefen weggeschickt , unterweges von einem Banditen dergestalt tödlich verwundet worden , daß er etliche Tage hernach an den empfangenen Blessuren sterben müssen .	ohnstreitig die vornehmste zu nennen ist .Diese Frau « , fuhr der Pursche im Reden fort , » heißt man nur die glückselige Margaretha , sie ist aber seit etwa einem Jahre her zur Wittbe worden , weil ihr Mann , als er von einem gewissen Herrn von Padua aus mit Briefen weggeschickt , unterweges von einem Banditen dergestalt tödlich verwundet worden , daß er etliche Tage hernach an den empfangenen Blessuren sterben müssen .« » Ach nein !	3746	26	97160-Schnabel__Johann_Gottfried.tsv
APZR	APZR		APZR	her		Das muß eine Zeit	her	sein .	zögerte nicht , dem Wunsche nachzukommen .Das muß eine Zeit her sein .« » Du ?	123	4	90189-Saar__Ferdinand_von.tsv
APZR	APZR		APZR	her		‹ Wer vom flachen Lande	her	in Eisleben einreitet und die ansteigende Kirche und den niedersteigenden Bergbau wahrnimmt , findet die Vorstellung seiner Kindheit : daß der Ort , wo so ein Mann wie Luther geboren und gestorben , auch dem Auge schon ausgezeichnet sein müsse , überraschend erfüllt ; neben der festen dauernden Sitte , welche die kleineren Städte von Sachsen vor dem übrigen Deutschlande schon im Äußeren durch ordentliche Erhaltung und Reinlichkeit kenntlich macht , hat die Umgebung der Kirche noch etwas besonders Ernstes und Feierliches ; älter als Luther , scheint sie doch seinetwegen erbaut , daß Gottes Wort lauter und klar darin gepredigt werde ; sein Haus ist nicht erneut , aber altertümlich genug , um die neugierigen Reisenden in die ernstere Gesinnung einer früheren Zeit unseres Vaterlandes zu versetzen .	darum auf Anton so unermüdlich losgestoßen .‹ Wer vom flachen Lande her in Eisleben einreitet und die ansteigende Kirche und den niedersteigenden Bergbau wahrnimmt , findet die Vorstellung seiner Kindheit : daß der Ort , wo so ein Mann wie Luther geboren und gestorben , auch dem Auge schon ausgezeichnet sein müsse , überraschend erfüllt ; neben der festen dauernden Sitte , welche die kleineren Städte von Sachsen vor dem übrigen Deutschlande schon im Äußeren durch ordentliche Erhaltung und Reinlichkeit kenntlich macht , hat die Umgebung der Kirche noch etwas besonders Ernstes und Feierliches ; älter als Luther , scheint sie doch seinetwegen erbaut , daß Gottes Wort lauter und klar darin gepredigt werde ; sein Haus ist nicht erneut , aber altertümlich genug , um die neugierigen Reisenden in die ernstere Gesinnung einer früheren Zeit unseres Vaterlandes zu versetzen .Er habe im Wirtshause das erste Feuer	1162	5	5093-Arnim__Ludwig_Achim_von.tsv
APZR	APZR		APZR	her		Auf einmal riß sein Wasserzug von oben an bis unten auseinander , alles stob davon und auf leerem Platz einsam stund Resli , ehe er zehn zählen konnte ; stille ward es um ihn , nur von oben	her	, von den Spritzenführern , hörte er fluchen , er wußte nicht warum .	wäre , ihn wieder zu treffen .Auf einmal riß sein Wasserzug von oben an bis unten auseinander , alles stob davon und auf leerem Platz einsam stund Resli , ehe er zehn zählen konnte ; stille ward es um ihn , nur von oben her , von den Spritzenführern , hörte er fluchen , er wußte nicht warum .Er machte wohl noch die Runde rund	705	38	48351-Gotthelf__Jeremias.tsv
APZR	APZR		APZR	heraus		– Willy an seinen Bruder Thomas Der Wechsel der Jahreszeiten zerstört die Berge und Felsen , die ewigen Pfeiler der Erde zerbröckeln sich durch Regengüsse , der Mensch durch den Lauf seines Bluts , ein Totenwurm in ihm , der ihn von innen	heraus	zernagt .	werde ich in beständiger Furcht leben .– Willy an seinen Bruder Thomas Der Wechsel der Jahreszeiten zerstört die Berge und Felsen , die ewigen Pfeiler der Erde zerbröckeln sich durch Regengüsse , der Mensch durch den Lauf seines Bluts , ein Totenwurm in ihm , der ihn von innen heraus zernagt .– Ein Italiener , Rosa , wird	5887	43	104891-Tieck__Ludwig.tsv
