DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM.la	APPR		APPR	ab		so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam	ab	Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .	, sicut Priscillianus dixit , anathemasit .so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .Mit Johann. I. und der Herr sandte	583	14	85695-Praetorius__Johannes.tsv
FM.la	NE		NE	aeris		so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti ,	Æris	, Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .	, sicut Priscillianus dixit , anathemasit .so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .Mit Johann. I. und der Herr sandte	583	24	85695-Praetorius__Johannes.tsv
FM.la	VVFIN		NE	argenti		so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri ,	argenti	, Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .	, sicut Priscillianus dixit , anathemasit .so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .Mit Johann. I. und der Herr sandte	583	22	85695-Praetorius__Johannes.tsv
FM.la	NE		NE	auri		so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus	Auri	, argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .	, sicut Priscillianus dixit , anathemasit .so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .Mit Johann. I. und der Herr sandte	583	20	85695-Praetorius__Johannes.tsv
FM.la	FM		NE	celebratos		so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto	celebratos	; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .	, sicut Priscillianus dixit , anathemasit .so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .Mit Johann. I. und der Herr sandte	583	17	85695-Praetorius__Johannes.tsv
FM.la	ADJD		ADJD	clarus		so viel davon : Gigantæus mons etiam propter metalla & lapillos	clarus	, etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .	, sicut Priscillianus dixit , anathemasit .so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .Mit Johann. I. und der Herr sandte	583	11	85695-Praetorius__Johannes.tsv
FM.la	ADJD		FM	est		Quid	est	– Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	1	62295-Hippel__Theodor_Gottlieb_von.tsv
FM.la	FM		NE	etiam		so viel davon : Gigantæus mons	etiam	propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .	, sicut Priscillianus dixit , anathemasit .so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .Mit Johann. I. und der Herr sandte	583	6	85695-Praetorius__Johannes.tsv
FM.la	ADJD		NE	etiam		so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus ,	etiam	ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .	, sicut Priscillianus dixit , anathemasit .so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .Mit Johann. I. und der Herr sandte	583	13	85695-Praetorius__Johannes.tsv
FM.la	VVFIN		NE	fructu		so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis	fructū	nondum præbuit .	, sicut Priscillianus dixit , anathemasit .so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .Mit Johann. I. und der Herr sandte	583	33	85695-Praetorius__Johannes.tsv
