DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOUI	KOUI		KOUI	ohne		Die Damen , von Arm zu Arm hinüber befördert , betraten das Land ,	ohne	auch nur eine Falte ihrer Kleider benetzt zu haben , und bald darauf hatten Alle sammt Waffen und Lebensmitteln auf dem gefürchteten Ufer von Neu-Seeland festen Fuß gefaßt .	Mitschuldigen des Ben Joyce bewacht werden .Die Damen , von Arm zu Arm hinüber befördert , betraten das Land , ohne auch nur eine Falte ihrer Kleider benetzt zu haben , und bald darauf hatten Alle sammt Waffen und Lebensmitteln auf dem gefürchteten Ufer von Neu-Seeland festen Fuß gefaßt .– Aber das ist ein gefährlicher Versuch	7745	14	107493-Verne__Jules.tsv
KOUI	KOUI		KOUI	ohne		Ich bin immer rein , wasche mich so oft ich pipi gemacht habe ausgezeichnet sowohl durch Wollust , als durch Zartgefühl , denn dieser Ort , den Sie so reizend finden , ist immer so heiß , daß ich ihn nie ins Wasser stecken kann ,	ohne	eine Wollust zu empfinden , die an die Befriedigung heranreicht .	einmal , so ist es vernünftig .Ich bin immer rein , wasche mich so oft ich pipi gemacht habe ausgezeichnet sowohl durch Wollust , als durch Zartgefühl , denn dieser Ort , den Sie so reizend finden , ist immer so heiß , daß ich ihn nie ins Wasser stecken kann , ohne eine Wollust zu empfinden , die an die Befriedigung heranreicht .Schonen Sie sich , teurer Vater ,	2616	46	88417-Restif_de_la_Bretonne__Nicolas__dm_.tsv
KOUI	APPR		KOUI	ohne		Er blickte auf , da stand ein Mann im Gesträuche , welchen unser Bürger freundlichst grüßte ,	ohne	jedoch einer Antwort gewürdigt zu werden : darüber verwundert , betrachtete er den Fremden näher und fand , daß sich eigentlich kein Gesicht , sondern nur eine Art Nebel an der Stelle desselben befand .	» Jesus , Maria und Joseph !Word Die vor .Word Die vor .	2	17	94030-Sch_ppner__Alexander.tsv
KOUI	APPR		KOUI	statt		Und doch sind selbst diese Denkmäler der Vorzeit für nichts in Vergleichung einer fast unglaublichen Urkunde zu achten , die in einer , wenn ich nicht irre , aus den Menechmen des Plautus genommenen Zeile das größte Geheimniß der vergangenen Zeit enthüllt , mit der Unterschrift ,	statt	des Namens , Vultus tyranni .	sagen wissen als solch eine Fensterscheibe .Und doch sind selbst diese Denkmäler der Vorzeit für nichts in Vergleichung einer fast unglaublichen Urkunde zu achten , die in einer , wenn ich nicht irre , aus den Menechmen des Plautus genommenen Zeile das größte Geheimniß der vergangenen Zeit enthüllt , mit der Unterschrift , statt des Namens , Vultus tyranni .Welches Licht wird nicht mein glänzendes Museum	8608	47	104263-Th_mmel__Moritz_August_von.tsv
KOUI	KOUI		APPR	um			Um	Zeit zu gewinnen , daß er zu mir Vertrauen fasse , bat ich ihn , auf diesem Tische da am Fenster einen Brief schreiben zu dürfen .	selbst umbringe , wie seine Pferde .Um Zeit zu gewinnen , daß er zu mir Vertrauen fasse , bat ich ihn , auf diesem Tische da am Fenster einen Brief schreiben zu dürfen .Ja , im Gegentheil äußerte er :	9497	0	56355-Gutzkow__Karl.tsv
KOUI	KOUI		KOUI	um			Um	mir Luft zu verschaffen , entwarf ich mehrere Schauspiele und schrieb die Expositionen von den meisten .	mitten in den friedlichen Zustand hereinbricht .Um mir Luft zu verschaffen , entwarf ich mehrere Schauspiele und schrieb die Expositionen von den meisten .Religion , Sitte , Gesetz , Stand	7608	0	32619-Goethe__Johann_Wolfgang.tsv
KOUI	APPR		APPR	um		–	Um	mich vom Schreck zu erholen , muß ich dich küssen .	so braun , klar und durchsichtig !– Um mich vom Schreck zu erholen , muß ich dich küssen .Und dazu die Kinderaugen !	1259	1	104911-Tieck__Ludwig.tsv
KOUI	KOUI		KOUI	um		« flüsterte ihr Jochai zu : » Ich gehe mit ,	um	vom Fenster herab zu ersehen , wer der Klopfende ist .	nach dem Schlüssel an der Wand .« flüsterte ihr Jochai zu : » Ich gehe mit , um vom Fenster herab zu ersehen , wer der Klopfende ist .Großvater und Enkelin fuhren etwas zusammen .	168	11	99030-Spindler__Carl.tsv
KOUI	APPR		KOUI	um		Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht	um	dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .	römischen Vergangenheit und des römischen Ruhmes .Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .« Inzwischen fuhren die Soldaten , unterstützt	4656	15	98460-Sienkiewicz__Henryk.tsv
KOUI	KOUI		KOUI	um		Natur hatte das Ihre gethan ,	um	ihm diese Mühe zu ersparen , das wußte mein Vater , und so hätte er sie sich auch ersparen können .	erbärmliches und böswilliges on dit ist .Natur hatte das Ihre gethan , um ihm diese Mühe zu ersparen , das wußte mein Vater , und so hätte er sie sich auch ersparen können .Es ist daher besser , ich werfe	5364	6	99260-Sterne__Laurence.tsv
