DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
NE	NN		NN	Apfel		Seine jugendfrische Schönheit übermannte sie , die wahre Liebe hielt ihren Einzug , und hätte nicht ihre königliche Majestät dem im Wege gestanden , so würde sie die verlockenden Bäckchen , die wie zweifrische	Apfel	schimmerten , sofort abgeküßt haben .	Anmut eines zuckersüßen kleinen kichernden Backfischs .Seine jugendfrische Schönheit übermannte sie , die wahre Liebe hielt ihren Einzug , und hätte nicht ihre königliche Majestät dem im Wege gestanden , so würde sie die verlockenden Bäckchen , die wie zweifrische Apfel schimmerten , sofort abgeküßt haben .Er war schlank , aufrecht wie eine	12	34	6235-Balzac__Honor__de.tsv
NE	NN		NN	Bordenave		Inzwischen warteten die Schauspieler ; doch	Bordenave	sagte ihnen , daß heute der dritte Akt nicht mehr probiert werde .	er ihn wieder zu Boden setzte .Inzwischen warteten die Schauspieler ; doch Bordenave sagte ihnen , daß heute der dritte Akt nicht mehr probiert werde .Nicht wahr , mein Freund : Man	7957	6	112135-Zola___mile.tsv
NE	NE		NE	Cornwallis		Wirklich wurden ihm zwei Jahre später einige Goldproben aus Neu-Süd-Wales zugesendet , und er entschied die Auswanderung einer großen Anzahl Arbeiter aus	Cornwallis	nach den Goldregionen Neu-Hollands .	werden ihn wiederfinden , nicht wahr ?Wirklich wurden ihm zwei Jahre später einige Goldproben aus Neu-Süd-Wales zugesendet , und er entschied die Auswanderung einer großen Anzahl Arbeiter aus Cornwallis nach den Goldregionen Neu-Hollands .erwiderte Paganel , und rieb sie heftig	1071	22	107493-Verne__Jules.tsv
NE	NE		NE	Don		So kam er mit würdigem Anstande herbei , der Herzogin die Hand zu küssen , die indessen ihren Gemahl , den Herzog , hatte rufen lassen , dem sie , während	Don	Quixote näher kam , seine Abgesandtschaft erzählte ; und da beide den ersten Teil dieser Historie gelesen hatten und daraus die wunderliche Sinnesart des Don Quixote kannten , so erwarteten sie ihn mit dem größten Vergnügen und der heftigsten Neugier , indem sie sich vornahmen , seiner Laune zu folgen und in allem , was er sagen würde , mit ihm übereinzustimmen , ihn , solange er bei ihnen bliebe , ganz wie einen irrenden Ritter zu behandeln , mit allen jenen Zeremonien , die in den Ritterbüchern gebräuchlich sind , welche sie gelesen hatten und überdies sehr liebten .	und Höflichkeit bis zum Himmel erhob .So kam er mit würdigem Anstande herbei , der Herzogin die Hand zu küssen , die indessen ihren Gemahl , den Herzog , hatte rufen lassen , dem sie , während Don Quixote näher kam , seine Abgesandtschaft erzählte ; und da beide den ersten Teil dieser Historie gelesen hatten und daraus die wunderliche Sinnesart des Don Quixote kannten , so erwarteten sie ihn mit dem größten Vergnügen und der heftigsten Neugier , indem sie sich vornahmen , seiner Laune zu folgen und in allem , was er sagen würde , mit ihm übereinzustimmen , ihn , solange er bei ihnen bliebe , ganz wie einen irrenden Ritter zu behandeln , mit allen jenen Zeremonien , die in den Ritterbüchern gebräuchlich sind , welche sie gelesen hatten und überdies sehr liebten .« versetzte Don Quixote , » wende	6146	31	17702-Cervantes_Saavedra__Miguel_de.tsv
NE	NE		NE	Drap		Då	drap	et sik , dat dem huinen de lampe iutgonk .	'e : » Ik saihe lecht .Då drap et sik , dat dem huinen de lampe iutgonk .Då sach de hane : » Ik	8	1	71463-Kuhn__Adalbert.tsv
NE	NN		NE	Engel		Ich möchte gestorben sein – ein	Engel	– ein Geist von der , die Du so geliebt hast .	« seufzte Elmerice .Ich möchte gestorben sein – ein Engel – ein Geist von der , die Du so geliebt hast .« – » Könnte ich Dir doch	3234	6	83757-Paalzow__Henriette_von.tsv
NE	NE		NE	Et		Då drap	et	sik , dat dem huinen de lampe iutgonk .	'e : » Ik saihe lecht .Då drap et sik , dat dem huinen de lampe iutgonk .Då sach de hane : » Ik	8	2	71463-Kuhn__Adalbert.tsv
NE	NE		NE	Faber		Kehrte Siegmund	Faber	zurück , dann lag es mir ob , mich , nicht sie , vor einem wahrhaftigen Ehrenmanne zu entschuldigen .	War sie meine Schwester , meinesgleichen ?Kehrte Siegmund Faber zurück , dann lag es mir ob , mich , nicht sie , vor einem wahrhaftigen Ehrenmanne zu entschuldigen .Schämte sie sich nicht , als Braut	1028	2	26910-Fran_ois__Louise_von.tsv
NE	NE		NE	Ferdinand		Wieder im dreißigjährigen Kriege , nach der Nördlinger-Schlacht , gewann es	Ferdinand	II. für seinen Sohn .	Bayern wäre dann von selbst zugefallen .Wieder im dreißigjährigen Kriege , nach der Nördlinger-Schlacht , gewann es Ferdinand II. für seinen Sohn .Machte es der Fall des Hohenstaufischen Kaiserhauses	25	11	13206-Birlinger__Anton.tsv
NE	NE		NE	Formica		– Aber wo ist Signor	Formica	, wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .	hätt' ich meinen wahnsinnigen Anschlag ausgeführt .– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .– Fern sei es von mir ,	387	5	62350-Hoffmann__E__T__A_.tsv
