DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PAV	NN		ADV	allda			Allda	ist Cyrus so lange geblieben / biß er erwachsen .	/ wo er diesen Knaben bekommen ?Allda ist Cyrus so lange geblieben / biß er erwachsen .Da findet sich einer von den Knaben	4663	0	72312-Lauremberg__Peter.tsv
PAV	PROAV		PROAV	dabei		Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich	dabei	meine besten Einfälle habe .	, in eine köstliche Frucht verwandelt .Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .Ist unsre Geliebte unsre vertrauteste Freundin geworden	2182	59	99251-Stendhal.tsv
PAV	PROAV		PROAV	dabei		– In faden Harmlosigkeiten freilich darf ich mich	dabei	nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?	läßt sich darin nicht finden !.. .– In faden Harmlosigkeiten freilich darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?Jetzt sind Sie 's nicht .	479	8	23119-Ebner_Eschenbach__Marie_von.tsv
PAV	PROAV		PROAV	dagegen		Begleitete mich	dagegen	jenes junge Mädchen , so müßte ich ja in Aller Augen weit mehr als der Kaufmann Nicolaus Korpanoff meines Podaroshna erscheinen .	Verdacht wegen meiner Person zu zerstreuen .Begleitete mich dagegen jenes junge Mädchen , so müßte ich ja in Aller Augen weit mehr als der Kaufmann Nicolaus Korpanoff meines Podaroshna erscheinen .» Ja , sagte er sich ,	5271	2	107503-Verne__Jules.tsv
PAV	PROAV		PROAV	daher		Gehe	daher	immer zu Euricius , oder wohin du sonst willst .	Weiser , « erwiderte Vinicius freundlich .Gehe daher immer zu Euricius , oder wohin du sonst willst .Da ergriff Petrus ein irdenes Gefäß mit	5331	1	98460-Sienkiewicz__Henryk.tsv
PAV	PROAV		PROAV	damit		Dann hielt er inne und ließ seiner Wirthin	damit	zu der Frage Zeit , ob Vittoria's Eltern noch am Leben wären und wo und wie sein Vater sie kennen gelernt habe .	keinen besseren Freund , als sie !Dann hielt er inne und ließ seiner Wirthin damit zu der Frage Zeit , ob Vittoria's Eltern noch am Leben wären und wo und wie sein Vater sie kennen gelernt habe .Sie sehnte sich , seinen Blick zu	3360	8	73679-Lewald__Fanny.tsv
PAV	PROAV		PROAV	damit		« Und es reißt der Räuberhauptmann den Schlüsselbund aus Hermanns Hand und macht sich	damit	rasselnd beim Brette zu schaffen .	Weshalb hält mr den gfange ?« Und es reißt der Räuberhauptmann den Schlüsselbund aus Hermanns Hand und macht sich damit rasselnd beim Brette zu schaffen .Waas ischt mit dem ?	8400	14	110544-Wille__Bruno.tsv
PAV	VVFIN		VVFIN	danach		Jeder bejahte regelmäßig die Frage	darnach	und war froh , nicht über sich selbst sprechen zu müssen .	ein besonderes Vergehen zu sein schien .Jeder bejahte regelmäßig die Frage darnach und war froh , nicht über sich selbst sprechen zu müssen .» Hast du am Hause erklärt ,	6029	5	66066-Keller__Gottfried.tsv
PAV	PROAV		PROAV	daran		An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten	daran	einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .	hier hießen sie ihn Platz nehmen .An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .so schrie ihn der alte Ritter an	63	20	53994-Gr_sse__Johann_Georg_Theodor.tsv
PAV	PROAV		PROAV	daran		So hat es Homer mit dem Fusse des Ulysses gemacht ,	daran	ihn seine Amme erkannt .	nicht zu der Handlung des Wolfes .So hat es Homer mit dem Fusse des Ulysses gemacht , daran ihn seine Amme erkannt .Aesopus würde auslachenswürdig seyn , wenn er	7840	11	48521-Gottsched__Johann_Christoph.tsv
