DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKA	PTKA		PTKA	allzu		Die Gräfin begegnete ihm : Mein lieber Adgandester / ist er so lange bey Hofe gewest / und ein so grosser Staats-Mann worden / hat aber wegen	allzu	grosser Gewogenheit seines Fürsten / und seines ihn überschüttenden Glückes nicht gelernet : daß grosse Herrscher keiner Verbindligkeit unterworffen / die Zahlung ihrer Schulden aber eine freywillige Begnadigung seyn solle ?	Besitzthume mir allein Catumer überlegen ist ?Die Gräfin begegnete ihm : Mein lieber Adgandester / ist er so lange bey Hofe gewest / und ein so grosser Staats-Mann worden / hat aber wegen allzu grosser Gewogenheit seines Fürsten / und seines ihn überschüttenden Glückes nicht gelernet : daß grosse Herrscher keiner Verbindligkeit unterworffen / die Zahlung ihrer Schulden aber eine freywillige Begnadigung seyn solle ?also ich eben so wohl ein taugliches	23680	27	78039-Lohenstein__Daniel_Casper_von.tsv
PTKA	PTKA		PTKA	allzu		wie oft muß ich dir sagen , daß Hufeland Leuten von deiner Konstitution jede	allzu	rasche Bewegung streng untersagt ; wie du jetzt glühst !	» Nein !wie oft muß ich dir sagen , daß Hufeland Leuten von deiner Konstitution jede allzu rasche Bewegung streng untersagt ; wie du jetzt glühst !Der Baron stand auf und sah seine	268	14	58304-Hauff__Wilhelm.tsv
PTKA	PTKA		APPRART	am		« Theodor schwieg , Wilhelm sah ihn lange an ; dann sagte er : Wilhelm erglühte ; unverwandt , mit leuchtenden Blicken hing sein Auge an dem Munde des Hageren ; seine Hand ballte sich , ihm selber unbewußt , zusammen ; er fragte : Wilhelm stand nachdenklich ; dann antwortete er : » Ich weiß nicht , worüber ich mich	am	meisten verwundern soll , ob über das unbegreifliche Zusammen treffen deines Traumes mit demjenigen , was mir mit dem Männchen begegnet ist , oder vielmehr darüber , daß es mir in diesem Augenblick vorkommen will , als müßte ich auch von einem Eichhorn etwas wissen , welches der Hagere mir gebraten und mit mir verzehrt habe .	heute an den Galgen gehängt worden !« Theodor schwieg , Wilhelm sah ihn lange an ; dann sagte er : Wilhelm erglühte ; unverwandt , mit leuchtenden Blicken hing sein Auge an dem Munde des Hageren ; seine Hand ballte sich , ihm selber unbewußt , zusammen ; er fragte : Wilhelm stand nachdenklich ; dann antwortete er : » Ich weiß nicht , worüber ich mich am meisten verwundern soll , ob über das unbegreifliche Zusammen treffen deines Traumes mit demjenigen , was mir mit dem Männchen begegnet ist , oder vielmehr darüber , daß es mir in diesem Augenblick vorkommen will , als müßte ich auch von einem Eichhorn etwas wissen , welches der Hagere mir gebraten und mit mir verzehrt habe .Der Offizier des Korps klopfte mich auf	637	61	58805-Hebbel__Friedrich.tsv
PTKA	PTKA		PTKA	am		Er zweifelte keinen Augenblick daran , daß , wenn die Barricade übergehen sollte , er an der Spitze der Männer , die er in den Kampf geführt , fallen würde ; aber daran dachte er	am	wenigsten .	der Barricade eingefügten Tonne saß Oldenburg .Er zweifelte keinen Augenblick daran , daß , wenn die Barricade übergehen sollte , er an der Spitze der Männer , die er in den Kampf geführt , fallen würde ; aber daran dachte er am wenigsten .fragte Herr Schmenckel und kraute sich ungläubig	549	35	99024-Spielhagen__Friedrich.tsv
PTKA	APPR		PTKA	zu		Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker ,	zu	gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .	und klammerte sieh an das Geländer .Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .Ein Wörtl !	8472	46	27055-Ganghofer__Ludwig.tsv
PTKA	APPR		PTKA	zu		Auch Vreneli hätte es nie erfahren , wenn Uli es ihm später nicht selbst erzählt , wie er , nachdem er einige ausgewischt , unter das schwarze Dach eines Ofenhauses gestanden , weil er	zu	alt dazu gewesen , eine Schlägerei auf Tod und Leben fortzusetzen .	wenn man ihr den Gring abschreiße .Auch Vreneli hätte es nie erfahren , wenn Uli es ihm später nicht selbst erzählt , wie er , nachdem er einige ausgewischt , unter das schwarze Dach eines Ofenhauses gestanden , weil er zu alt dazu gewesen , eine Schlägerei auf Tod und Leben fortzusetzen .Heute beim Betten habe sie Blut auf	3560	34	48349-Gotthelf__Jeremias.tsv
PTKA	PTKZU		PTKA	zu		) , so möchte ich doch gar	zu	gern sein Gesicht sehen .	Hinterkopf und seinem roten Halse blickte .) , so möchte ich doch gar zu gern sein Gesicht sehen .Eifersüchtig um meinetwillen !	2858	7	104939-Tolstoj__Lev_Nikolaevi_.tsv
PTKA	PTKA		PTKA	zu		Der Reiter sprengte abseits in die Egau und Metzger nach ; wurde lezterem doch	zu	tief und schwamm noch ein Stück .	ihn an : woher des Weges ?Der Reiter sprengte abseits in die Egau und Metzger nach ; wurde lezterem doch zu tief und schwamm noch ein Stück .In einem Kirchenbuche aus dem Neresheimischen ist	4	14	11962-Birlinger__Anton.tsv
PTKA	PTKA		APPR	zu		Es handelt sich um eine kurze , sehr schnelle Rekognoszierung , die dich	zu	sehr anstrengen würde .	Also Kompagnons ?Es handelt sich um eine kurze , sehr schnelle Rekognoszierung , die dich zu sehr anstrengen würde .« » Ihr sagt › wir ‹	2150	13	79326-May__Karl.tsv
PTKA	PTKZU		PTKA	zu		« Kaum hatte Sancho diese Worte gesprochen , als sich die silberne Nymphe erhob , die neben dem Geiste des Merlin saß , den durchsichtigen Schleier aufhob und ein Gesicht zeigte , welches allen mehr als überflüssig reizend erschien , mit männlichem Anstande und einer nicht	zu	zarten Stimme sich gerade gegen Sancho Pansa wandte und sagte : » O du nichtsnutziger Stallmeister , du gemeine Seele , du Felsenherz , du mit dem Gemüt von Kieseln , mit Eingeweiden von Feuerstein !	wo seine Augen sie nimmermehr wiederfänden .« Kaum hatte Sancho diese Worte gesprochen , als sich die silberne Nymphe erhob , die neben dem Geiste des Merlin saß , den durchsichtigen Schleier aufhob und ein Gesicht zeigte , welches allen mehr als überflüssig reizend erschien , mit männlichem Anstande und einer nicht zu zarten Stimme sich gerade gegen Sancho Pansa wandte und sagte : » O du nichtsnutziger Stallmeister , du gemeine Seele , du Felsenherz , du mit dem Gemüt von Kieseln , mit Eingeweiden von Feuerstein !« » Ich habe sie nicht gekannt	1870	46	17702-Cervantes_Saavedra__Miguel_de.tsv
PTKA	PTKA		PTKA	zu		War' ich so glücklich , wie Sie , welches Opfer wäre mir wohl	zu	groß ?	sie fürchtet davon die schlimmsten Folgen .War' ich so glücklich , wie Sie , welches Opfer wäre mir wohl zu groß ?Sollten Sie es nicht wissen , brauche	1326	13	104907-Tieck__Ludwig.tsv
PTKA	APPR		PTKA	zu		Überall Frieden und Gesundheit , inmitten von Armseligkeit , Trostlosigkeit und Wiesen , die es	zu	nichts bringen konnten wegen Staub .	, erbeten hätte – – – .Überall Frieden und Gesundheit , inmitten von Armseligkeit , Trostlosigkeit und Wiesen , die es zu nichts bringen konnten wegen Staub .Word Ein Schriftsteller älteren Datums würde nun	3	15	1345-Altenberg__Peter.tsv
