DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKVZ	PTKVZ		PTKVZ	an		Er schaute sie	an	, heimlich , mit dem inneren Auge , das streng war , und er sah die Veränderung , von der sie gesprochen ; er empfing das Bild , das sie gefordert .	, bis die berufene Helferin eintraf .Er schaute sie an , heimlich , mit dem inneren Auge , das streng war , und er sah die Veränderung , von der sie gesprochen ; er empfing das Bild , das sie gefordert .Die Schirmacher hatte in der Eile die	16135	3	108455-Wassermann__Jakob.tsv
PTKVZ	PTKVZ		PTKVZ	an		Er ruhte im rauschenden Wald , rastete auf sonnbeschienenen Gehängen , sah träumend die ragenden Wände	an	und beobachtete , wie das versprengte Wild sich wieder sammelte .	, empfand , daß er lebte .Er ruhte im rauschenden Wald , rastete auf sonnbeschienenen Gehängen , sah träumend die ragenden Wände an und beobachtete , wie das versprengte Wild sich wieder sammelte .Franzl kam sich vor wie eine aus	3837	16	27054-Ganghofer__Ludwig.tsv
PTKVZ	PTKVZ		PTKVZ	an		Dann zog er ein weißes Beinkleid	an	, elegante Strümpfe , einen grünen Rock und schüttete seinen ganzen Vorrat von Parfüm in sein Taschentuch .	und sang leise vor sich hin .Dann zog er ein weißes Beinkleid an , elegante Strümpfe , einen grünen Rock und schüttete seinen ganzen Vorrat von Parfüm in sein Taschentuch .Er verschwand schnell in seinem Hause .	4945	6	26038-Flaubert__Gustave.tsv
PTKVZ	PTKVZ		PTKVZ	auf		Stolz sprang	auf	und setzte sich wieder .	Gang und eine klangvolle Stimme besaß .Stolz sprang auf und setzte sich wieder .Er blickte in den Spiegel ; er	1674	2	48338-Gon_arov__Ivan_Aleksandrovi_.tsv
PTKVZ	PTKVZ		PTKVZ	auf		– – – Dann sprang Otbert	auf	und verschwand hinter dem Thürvorhang zu meiner Rechten .	– aber dann ists zu spät !– – – Dann sprang Otbert auf und verschwand hinter dem Thürvorhang zu meiner Rechten .– Dann seufzen sie : Ja ,	1806	6	57424-Hahn_Hahn__Ida_Gr_fin_von.tsv
PTKVZ	ADJD		ADJD	auf		Als nun jhr Führer das Hörnlein hörete / rieff er den seinen zu : Auff / auff / ihr Brüder	auff	!	schier ein unwiederbringliches übel verursachet hätte .Als nun jhr Führer das Hörnlein hörete / rieff er den seinen zu : Auff / auff / ihr Brüder auff !Nun hatte gleichwol Markus ursach gnug /	2590	20	15210-Buchholtz__Andreas_Heinrich.tsv
PTKVZ	APPR		PTKVZ	aus		Wie sahen sie	aus	!	sie sich kaum mehr schleppen konnten .Wie sahen sie aus !Wir haben keine Zeit , uns lange	4617	3	79309-May__Karl.tsv
PTKVZ	PROAV		PTKVZ	dahin		Kurz , ich erkläre mich schlechterdings wider alle Neuerungen , und gebe meine Stimme	dahin	: daß alles bey dem alten wohlhergebrachten Reichsherkommen gelassen werde .	Wo sind ihre Bestallungsbriefe dazu ?Kurz , ich erkläre mich schlechterdings wider alle Neuerungen , und gebe meine Stimme dahin : daß alles bey dem alten wohlhergebrachten Reichsherkommen gelassen werde .Was haben sie für eine Vollmacht aufzuweisen	1932	14	48520-Gottsched__Johann_Christoph.tsv
PTKVZ	PTKVZ		PTKVZ	ein		Endlich begann Egloff wieder zu sprechen : » Sie sehen , dieses Haus schüchtert mich so	ein	, ich unterlasse wahrscheinlich wichtige Dinge .	Hand , und dann schwiegen sie .Endlich begann Egloff wieder zu sprechen : » Sie sehen , dieses Haus schüchtert mich so ein , ich unterlasse wahrscheinlich wichtige Dinge .« – » Gottlos , « wiederholte	653	16	66883-Keyserling__Eduard_von.tsv
PTKVZ	ART		PTKVZ	ein		« Er trat , angetan mit dem neuen Kleidungsstück ,	ein	.	werde sie auch später wieder bekämpfen .« Er trat , angetan mit dem neuen Kleidungsstück , ein .Ganz plötzlich ward es still .	646	10	80060-M_hsam__Erich.tsv
PTKVZ	PTKVZ		PTKVZ	ein		D' amis sûrs et fidèles ; Homburg indessen sollte noch erreicht werden , und um zehn Uhr abends rückten wir in seine Straßen	ein	.	trübseligen Anblick dem Auge zu entziehen .D' amis sûrs et fidèles ; Homburg indessen sollte noch erreicht werden , und um zehn Uhr abends rückten wir in seine Straßen ein .Auch Dorf Glindow hat von diesem allem	8533	23	26867-Fontane__Theodor.tsv
