DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
TRUNC	TRUNC		TRUNC	abend-		4 › Komplete ‹ heißt in Klöstern das	Abend-	oder Schlußgebet .	auf , was ich dir sage !4 › Komplete ‹ heißt in Klöstern das Abend- oder Schlußgebet .Und wisse , mein Kind , ich	2354	8	3756-Aretino__Pietro.tsv
TRUNC	TRUNC		TRUNC	auf-		Wir haben Dich	auf-	und abwärts in der Galerie gesucht ; konnten Dich nicht finden .	Muth , fuhr mein Oheim fort .Wir haben Dich auf- und abwärts in der Galerie gesucht ; konnten Dich nicht finden .Ich mußte mich wohl fügen , und	3040	3	107491-Verne__Jules.tsv
TRUNC	TRUNC		TRUNC	bestürtz-		Thusnelde suchet über Saloninens ausführlichem Bericht die in höchster	Bestürtz-	und Verzweiffelung sich befindende Königin Erato zur Vernunfft ; der Feldherr aber seine in den Fürst Zeno verliebte Schwester zu einer Staats-Heyrath an den Cattischen Hertzog Catumer zu bringen .	verstöret / und von Saloninen verrathen .Thusnelde suchet über Saloninens ausführlichem Bericht die in höchster Bestürtz- und Verzweiffelung sich befindende Königin Erato zur Vernunfft ; der Feldherr aber seine in den Fürst Zeno verliebte Schwester zu einer Staats-Heyrath an den Cattischen Hertzog Catumer zu bringen .Aehnligkeit und Gleichheit der beständigste Brunn der	34516	9	78039-Lohenstein__Daniel_Casper_von.tsv
TRUNC	NN		NN	bruder-		Es ist wahr , die Dichter fangen an , auf immer luftigeren Bahnen zu wandeln : sie schaffen sich ihre eignen Welten mit Thronen , die ihre Phantasie erbaute , mit Richterstühlen , die ihre eigne Gesetzgebung haben , mit einem Gottesdienst , dessen » Liebes Kind « , sagte ihr Gatte ; » mein	Bruder–	« Wörtlich seine Worte wiederzugeben ist schwer .	als den Hahn seines Pistols zurücklegen .Es ist wahr , die Dichter fangen an , auf immer luftigeren Bahnen zu wandeln : sie schaffen sich ihre eignen Welten mit Thronen , die ihre Phantasie erbaute , mit Richterstühlen , die ihre eigne Gesetzgebung haben , mit einem Gottesdienst , dessen » Liebes Kind « , sagte ihr Gatte ; » mein Bruder– « Wörtlich seine Worte wiederzugeben ist schwer .Jeronimo hatte keine Empfindung als für das	1087	55	56354-Gutzkow__Karl.tsv
TRUNC	PRELS		VVFIN	dahr-		Das zelt ihres siges ist auf-geschlagen ,	dahr-	unter si ihrem Lihbsten di wunden , di si ihm veruhrsachchet hat , verbünden und heilen sol .	mächtige feindin üm schönes wetter anflöhet .Das zelt ihres siges ist auf-geschlagen , dahr- unter si ihrem Lihbsten di wunden , di si ihm veruhrsachchet hat , verbünden und heilen sol .Si hat ihm nicht alein durch ihrer	70	7	110853-Zesen__Philipp_von.tsv
TRUNC	TRUNC		TRUNC	eis-		Da stand der greise Kobold von Dovre mit der Krone von gehärteten	Eis-	und polierten Tannenzapfen ; übrigens hatte er einen Bärenpelz und große Stiefel an , die Söhne hingegen gingen mit bloßem Halse und in Hosen ohne Tragbänder , denn es waren Kraftmänner .	auch das meinige gethan zu haben !Da stand der greise Kobold von Dovre mit der Krone von gehärteten Eis- und polierten Tannenzapfen ; übrigens hatte er einen Bärenpelz und große Stiefel an , die Söhne hingegen gingen mit bloßem Halse und in Hosen ohne Tragbänder , denn es waren Kraftmänner .Die Elfe faßte ihn um das Handgelenk	137	12	1399-Andersen__Hans_Christian.tsv
TRUNC	TRUNC		ADJA	erfahrn-		Seckendorff ein vortrefflich	erfahrn-	und gelehrter Barde .	Fürstin / der Hedwig erwiesene Gewogenheit .Seckendorff ein vortrefflich erfahrn- und gelehrter Barde .Alcipp' und Daphnis stund beysammen eingeschräncket .	36203	3	78039-Lohenstein__Daniel_Casper_von.tsv
TRUNC	TRUNC		TRUNC	feuers-		Wann gerät denn ein Mensch in	Feuers-	und Wassersgefahr ?	, ließ ihn still sich austrauern .Wann gerät denn ein Mensch in Feuers- und Wassersgefahr ?Pastor Blümel schüttelte seufzend das Haupt ,	2380	6	26911-Fran_ois__Louise_von.tsv
TRUNC	TRUNC		TRUNC	freuden-		Herr Dechant , sagte er zu seinem Freunde gewendet , dieser Tag ist mir ein	Freuden-	und Trauer-Tag , den ich nicht leicht vergessen werde .	sie in einen kleinen Sessel legten .Herr Dechant , sagte er zu seinem Freunde gewendet , dieser Tag ist mir ein Freuden- und Trauer-Tag , den ich nicht leicht vergessen werde .Auch der Küster folgte in einiger Entfernung	1299	15	104913-Tieck__Ludwig.tsv
TRUNC	TRUNC		NE	haber-		Aber im sittlichen Verstand gehet das nit an / es kan nit seyn / daß der Prediger oder Beichtvatter allzeit nur lauter Waitzen-Brod aufsetze / ich will sagen / lauter glimpfige und tröstliche Text und Wort auf die Bahn bringe / sondern man muß zu Zeiten auch / wann es die Umständ / die Bestraffung der Sünden / und die Verbesserung der Sitten also erforderet / mit schwartzen Rocken-Brod / ja mit rauhem	Haber-	und Gersten-Brod verlieb nehmen / das ist / ernstliche Verweiß und Bedrohungen gedultig anhören .	samt ihr ewiglich belohnet zu werden .Aber im sittlichen Verstand gehet das nit an / es kan nit seyn / daß der Prediger oder Beichtvatter allzeit nur lauter Waitzen-Brod aufsetze / ich will sagen / lauter glimpfige und tröstliche Text und Wort auf die Bahn bringe / sondern man muß zu Zeiten auch / wann es die Umständ / die Bestraffung der Sünden / und die Verbesserung der Sitten also erforderet / mit schwartzen Rocken-Brod / ja mit rauhem Haber- und Gersten-Brod verlieb nehmen / das ist / ernstliche Verweiß und Bedrohungen gedultig anhören .Aber in diesem ist ein grosser Unterschied	474	73	68510-Kobolt__Willibald.tsv
