DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMINF	VMINF		VMINF	dürfen		Um Zeit zu gewinnen , daß er zu mir Vertrauen fasse , bat ich ihn , auf diesem Tische da am Fenster einen Brief schreiben zu	dürfen	.	selbst umbringe , wie seine Pferde .Um Zeit zu gewinnen , daß er zu mir Vertrauen fasse , bat ich ihn , auf diesem Tische da am Fenster einen Brief schreiben zu dürfen .Ja , im Gegentheil äußerte er :	9497	26	56355-Gutzkow__Karl.tsv
VMINF	VMINF		VMINF	dürfen		« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu	dürfen	.	« » Ah ?« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .Oder doch , oder doch ?	7274	65	79326-May__Karl.tsv
VMINF	VMINF		VMINF	können		Natur hatte das Ihre gethan , um ihm diese Mühe zu ersparen , das wußte mein Vater , und so hätte er sie sich auch ersparen	können	.	erbärmliches und böswilliges on dit ist .Natur hatte das Ihre gethan , um ihm diese Mühe zu ersparen , das wußte mein Vater , und so hätte er sie sich auch ersparen können .Es ist daher besser , ich werfe	5364	26	99260-Sterne__Laurence.tsv
VMINF	VMINF		VMINF	können		Nicht als ob wir des frommen Glaubens lebten , auch nur eine von Ihnen für uns gewinnen zu	können	.	machten wir unserem Arzt die Abschiedsvisite .Nicht als ob wir des frommen Glaubens lebten , auch nur eine von Ihnen für uns gewinnen zu können .Aus den vertiertesten Gesichtern brach ein Schein	7934	18	14315-Braun__Lily.tsv
VMINF	VMINF		VMINF	können		Mir ging an der Seite des Bruders und mitten im civilisirten Leben eine neue Welt auf , von der ich mich nicht trennen zu	können	vermeinte .	Geiste des Krieges und der Waffen .Mir ging an der Seite des Bruders und mitten im civilisirten Leben eine neue Welt auf , von der ich mich nicht trennen zu können vermeinte .Aber ebenso wuchs auch das Verlangen des	1967	24	79370-May__Karl.tsv
VMINF	VMFIN		VMINF	können		– Der Vater , ein eifriger Handelsmann , war mit diesem unsichtbaren Angebinde der Fee nicht ganz zufrieden , und meinte zu seiner Frau , sie hätte dem Kinde wohl ein werthvolleres Geschenk machen	können	.	Da bin ich , greif' mich !– Der Vater , ein eifriger Handelsmann , war mit diesem unsichtbaren Angebinde der Fee nicht ganz zufrieden , und meinte zu seiner Frau , sie hätte dem Kinde wohl ein werthvolleres Geschenk machen können .Sein Gefieder schimmerte in allen Farben des	24	34	72446-Lehnert__Johann_Heinrich.tsv
VMINF	VMFIN		VMINF	können		Sie müssen so stehen , daß sie zwei Seiten bestreichen	können	.	wir wollen sie gleich herunter haben !Sie müssen so stehen , daß sie zwei Seiten bestreichen können .» Das sollt ihr gleich erfahren .	6500	10	79314-May__Karl.tsv
VMINF	VMINF		VMINF	können		– Diese weniger treuherzig als aus Bitterkeit abgelegte Beichte konnte unserm Novizen in keiner Rücksicht gleichgültig seyn , obgleich er aus einigen Stellen der in ordensgemäßer Ordnung geführten Correspondenz auf etwas von dieser Art hätte schließen	können	.	zur beschämenden Strafe gezogen zu werden .– Diese weniger treuherzig als aus Bitterkeit abgelegte Beichte konnte unserm Novizen in keiner Rücksicht gleichgültig seyn , obgleich er aus einigen Stellen der in ordensgemäßer Ordnung geführten Correspondenz auf etwas von dieser Art hätte schließen können .wie doch die Rechtsfreunde immer zu spät	1457	36	62296-Hippel__Theodor_Gottlieb_von.tsv
VMINF	VMFIN		VMINF	können		Den Degen , womit Friedrich den Löwen erlegte , hat man noch viele Jahrhunderte nachher in der Rüstkammer zu Oldenburg sehen	können	.	, auf ewig von aller Lehnspflicht .Den Degen , womit Friedrich den Löwen erlegte , hat man noch viele Jahrhunderte nachher in der Rüstkammer zu Oldenburg sehen können .« Nun beschenkte er ihn noch mit	19	21	48386-Gottschalck__Friedrich.tsv
VMINF	VMINF		VMINF	können		– – Der Beweistermin strich ohne Nutzen vorbei : er hätte ebensogut den harten kalten Taufengel in der Hauptkirche umhalsen	können	, so kalt und stumm verblieb der seinige .	alle ziehen aus seiner Gegend her .– – Der Beweistermin strich ohne Nutzen vorbei : er hätte ebensogut den harten kalten Taufengel in der Hauptkirche umhalsen können , so kalt und stumm verblieb der seinige .Ich beobachte nichts schärfer und protokolliere nichts	4461	20	64892-Jean_Paul.tsv
