DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVFIN	VVFIN		VVFIN	bemerken		« – Nun	bemerkte	sie das heftige Heben meiner Brust , und die Zähren , die über meine Wangen rollten .	Unschuld von den Kindern meines Herzens !« – Nun bemerkte sie das heftige Heben meiner Brust , und die Zähren , die über meine Wangen rollten .Ich drücke noch die Hand einer zärtlichen	10701	3	72270-La_Roche__Sophie_von.tsv
VVFIN	VVFIN		VVFIN	bitten		Um Zeit zu gewinnen , daß er zu mir Vertrauen fasse ,	bat	ich ihn , auf diesem Tische da am Fenster einen Brief schreiben zu dürfen .	selbst umbringe , wie seine Pferde .Um Zeit zu gewinnen , daß er zu mir Vertrauen fasse , bat ich ihn , auf diesem Tische da am Fenster einen Brief schreiben zu dürfen .Ja , im Gegentheil äußerte er :	9497	12	56355-Gutzkow__Karl.tsv
VVFIN	VVFIN		VVFIN	brechen		Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und	bricht	Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .	viel näher gelegene Brodtteige nicht haben ?Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .Denn man wolle nur die absurdität erwegen	6590	28	97156-Schmidt__Johann_Georg.tsv
VVFIN	VVFIN		VVFIN	danken		– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung	danke	, die nur er vollbracht .	hätt' ich meinen wahnsinnigen Anschlag ausgeführt .– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .– Fern sei es von mir ,	387	20	62350-Hoffmann__E__T__A_.tsv
VVFIN	VVFIN		VVFIN	denken		» Das	dacht'	ich mir wohl , sagte mein Oheim .	Ich könnte es nicht sagen .» Das dacht' ich mir wohl , sagte mein Oheim .Hatte ein Boden von besonderer Beschaffenheit ,	1653	2	107491-Verne__Jules.tsv
VVFIN	VVFIN		VVFIN	eilen		Der Kutscher , ein Paar der andern Leute	eilten	nach der Rampe .	erlangt eine Gewalt über die Anderen .Der Kutscher , ein Paar der andern Leute eilten nach der Rampe .Wie aber war sie zu der Selbstbeherrschung	2382	8	73679-Lewald__Fanny.tsv
VVFIN	VVFIN		NE	erdenken		Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset /	erdencket	er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .	viel näher gelegene Brodtteige nicht haben ?Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .Denn man wolle nur die absurdität erwegen	6590	23	97156-Schmidt__Johann_Georg.tsv
VVFIN	VVFIN		VVFIN	ereignen		Ja es	ereignete	sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .	Wallstatt zu herrlicherm Begräbnis-Gepränge weggeführet wurden .Ja es ereignete sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .Die aber / welche von denen Deutschen	37673	2	78039-Lohenstein__Daniel_Casper_von.tsv
VVFIN	VVFIN		VVFIN	erscheinen		Jeder der Hausbesitzer	erscheint	mit einem Polizisten und ist sehr erstaunt , einen fremden Bewohner mit fremden Sachen in seinen Räumen zu finden .	Vermögen wieder in Ordnung bringen können .Jeder der Hausbesitzer erscheint mit einem Polizisten und ist sehr erstaunt , einen fremden Bewohner mit fremden Sachen in seinen Räumen zu finden .Mit denen falle ich sogar hinein .	41	3	25343-Ernst__Paul.tsv
VVFIN	PIS		VVFIN	experimentieren		Gleich dem Hiob habe ihn der grausame Gott , der überhaupt der Grund alles Übels in der Welt sei , weil er mit dem Menschen	experimentiere	wie ein Vivisektor mit seinen Versuchstieren – ihm , dem Mister John , seine Familie und seine Reichtümer genommen und , nicht zufrieden mit dem angestifteten Unheil , auch noch seine Freunde gegen ihn aufgehetzt und seine Gesundheit geschädigt .	Er hat mich selbst darauf gebracht .Gleich dem Hiob habe ihn der grausame Gott , der überhaupt der Grund alles Übels in der Welt sei , weil er mit dem Menschen experimentiere wie ein Vivisektor mit seinen Versuchstieren – ihm , dem Mister John , seine Familie und seine Reichtümer genommen und , nicht zufrieden mit dem angestifteten Unheil , auch noch seine Freunde gegen ihn aufgehetzt und seine Gesundheit geschädigt .» Bah , man müßte ihn nur	2381	25	18884-Conrad__Michael_Georg.tsv
VVFIN	VVFIN		VVFIN	fassen		Um Zeit zu gewinnen , daß er zu mir Vertrauen	fasse	, bat ich ihn , auf diesem Tische da am Fenster einen Brief schreiben zu dürfen .	selbst umbringe , wie seine Pferde .Um Zeit zu gewinnen , daß er zu mir Vertrauen fasse , bat ich ihn , auf diesem Tische da am Fenster einen Brief schreiben zu dürfen .Ja , im Gegentheil äußerte er :	9497	10	56355-Gutzkow__Karl.tsv
VVFIN	VVFIN		VVFIN	flüstern		«	flüsterte	ihr Jochai zu : » Ich gehe mit , um vom Fenster herab zu ersehen , wer der Klopfende ist .	nach dem Schlüssel an der Wand .« flüsterte ihr Jochai zu : » Ich gehe mit , um vom Fenster herab zu ersehen , wer der Klopfende ist .Großvater und Enkelin fuhren etwas zusammen .	168	1	99030-Spindler__Carl.tsv
VVFIN	VVFIN		VVFIN	gehen		« flüsterte ihr Jochai zu : » Ich	gehe	mit , um vom Fenster herab zu ersehen , wer der Klopfende ist .	nach dem Schlüssel an der Wand .« flüsterte ihr Jochai zu : » Ich gehe mit , um vom Fenster herab zu ersehen , wer der Klopfende ist .Großvater und Enkelin fuhren etwas zusammen .	168	8	99030-Spindler__Carl.tsv
VVFIN	VVFIN		VVFIN	gewinnen		Wieder im dreißigjährigen Kriege , nach der Nördlinger-Schlacht ,	gewann	es Ferdinand II. für seinen Sohn .	Bayern wäre dann von selbst zugefallen .Wieder im dreißigjährigen Kriege , nach der Nördlinger-Schlacht , gewann es Ferdinand II. für seinen Sohn .Machte es der Fall des Hohenstaufischen Kaiserhauses	25	9	13206-Birlinger__Anton.tsv
VVFIN	NN		VVFIN	kehren			Kehrte	Siegmund Faber zurück , dann lag es mir ob , mich , nicht sie , vor einem wahrhaftigen Ehrenmanne zu entschuldigen .	War sie meine Schwester , meinesgleichen ?Kehrte Siegmund Faber zurück , dann lag es mir ob , mich , nicht sie , vor einem wahrhaftigen Ehrenmanne zu entschuldigen .Schämte sie sich nicht , als Braut	1028	0	26910-Fran_ois__Louise_von.tsv
VVFIN	VVFIN		VVFIN	liegen		Kehrte Siegmund Faber zurück , dann	lag	es mir ob , mich , nicht sie , vor einem wahrhaftigen Ehrenmanne zu entschuldigen .	War sie meine Schwester , meinesgleichen ?Kehrte Siegmund Faber zurück , dann lag es mir ob , mich , nicht sie , vor einem wahrhaftigen Ehrenmanne zu entschuldigen .Schämte sie sich nicht , als Braut	1028	6	26910-Fran_ois__Louise_von.tsv
VVFIN	VVFIN		VVFIN	liegen		Ja es ereignete sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander	lagen	/ einander in dem letzten Grimme Nasen und Finger abgebissen hatten .	Wallstatt zu herrlicherm Begräbnis-Gepränge weggeführet wurden .Ja es ereignete sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .Die aber / welche von denen Deutschen	37673	19	78039-Lohenstein__Daniel_Casper_von.tsv
VVFIN	VVFIN		VVFIN	rollen		« – Nun bemerkte sie das heftige Heben meiner Brust , und die Zähren , die über meine Wangen	rollten	.	Unschuld von den Kindern meines Herzens !« – Nun bemerkte sie das heftige Heben meiner Brust , und die Zähren , die über meine Wangen rollten .Ich drücke noch die Hand einer zärtlichen	10701	19	72270-La_Roche__Sophie_von.tsv
VVFIN	VVFIN		VVFIN	rufen			rief	der Doctor .	.. .rief der Doctor .– Es gäbe noch eins !	1906	0	107490-Verne__Jules.tsv
VVFIN	VVFIN		VVFIN	sagen		Inzwischen warteten die Schauspieler ; doch Bordenave	sagte	ihnen , daß heute der dritte Akt nicht mehr probiert werde .	er ihn wieder zu Boden setzte .Inzwischen warteten die Schauspieler ; doch Bordenave sagte ihnen , daß heute der dritte Akt nicht mehr probiert werde .Nicht wahr , mein Freund : Man	7957	7	112135-Zola___mile.tsv
VVFIN	VVFIN		VVFIN	sagen		» Das dacht' ich mir wohl ,	sagte	mein Oheim .	Ich könnte es nicht sagen .» Das dacht' ich mir wohl , sagte mein Oheim .Hatte ein Boden von besonderer Beschaffenheit ,	1653	7	107491-Verne__Jules.tsv
VVFIN	VVFIN		NE	scheinen		Dieser Aberglauben	scheinet	aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .	viel näher gelegene Brodtteige nicht haben ?Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .Denn man wolle nur die absurdität erwegen	6590	2	97156-Schmidt__Johann_Georg.tsv
VVFIN	NE		NE	verwahrlosen		Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier	verwarloset	/ erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .	viel näher gelegene Brodtteige nicht haben ?Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .Denn man wolle nur die absurdität erwegen	6590	21	97156-Schmidt__Johann_Georg.tsv
VVFIN	VVFIN		VVFIN	warten		Inzwischen	warteten	die Schauspieler ; doch Bordenave sagte ihnen , daß heute der dritte Akt nicht mehr probiert werde .	er ihn wieder zu Boden setzte .Inzwischen warteten die Schauspieler ; doch Bordenave sagte ihnen , daß heute der dritte Akt nicht mehr probiert werde .Nicht wahr , mein Freund : Man	7957	1	112135-Zola___mile.tsv
VVFIN	VMINF		VVFIN	weilen		Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu	weilen	ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .	viel näher gelegene Brodtteige nicht haben ?Dieser Aberglauben scheinet aber meines Erachtens von einem Schaden-Bräuer erfunden zu seyn / denn wenn zu weilen ein Bräuer das Bier verwarloset / erdencket er Lügen / und bricht Ursach von andern Zäunen / auf daß die Schuld nicht ihm beygemessen werde / davon ich ein Exempel erzehlen will .Denn man wolle nur die absurdität erwegen	6590	16	97156-Schmidt__Johann_Georg.tsv
