DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
XY	CARD		XY	(+		– Ja , antwortete der Doctor , ein im Freien und ge schützt vor jeder Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null	(+	57 ° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (– 58 ° hunderttheilig ) herabsinkt .	Zahl kein Zweifel sein kann .. .– Ja , antwortete der Doctor , ein im Freien und ge schützt vor jeder Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null (+ 57 ° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (– 58 ° hunderttheilig ) herabsinkt .fragte der Zimmermann .	2196	27	107490-Verne__Jules.tsv
XY	XY		XY	*		67	*	Franz Rudolf Weiß , Principes philosophiques , politiques et moraux , erschienen 1785 , auch ins Deutsche übersetzt .	und die Apologie d'une pauvre personne .67 * Franz Rudolf Weiß , Principes philosophiques , politiques et moraux , erschienen 1785 , auch ins Deutsche übersetzt .( Die hier gegebenen Briefe sind unecht	1986	1	99251-Stendhal.tsv
XY	XY		XY	*			*	Die Sonne war mittlerweile tiefer hinabgestiegen und berührte schon die Wipfel des Waldes .	den Dichter macht – der Form .* Die Sonne war mittlerweile tiefer hinabgestiegen und berührte schon die Wipfel des Waldes .Nach einer Epoche reichen und tatkräftigen Lebens	16971	0	26867-Fontane__Theodor.tsv
XY	ADJD		VVFIN	ach		Und er hatte von Thornfield wie von meinem Heim gesprochen –	ach	!	, verirrten Vögeln wie mir hinwarf .Und er hatte von Thornfield wie von meinem Heim gesprochen – ach !« Ich wußte , daß es eine	4255	11	15086-Bront___Charlotte.tsv
XY	VVFIN		NE	ach		Um diese Zeit kam denn auch Herr Porphyrio von Ockerodastes aus seinem seidenen Palast hervor und ließ sich von Fräulein Ännchen mit Butterbrot füttern : » Ach ,	ach	, « kicherte Fräulein Ännchen ihm oft ins Ohr , » ach , ach , wenn Papa wüßte , daß Sie eigentlich ein König sind , bester Corduanspitz .	ein Herz und eine Seele waren .Um diese Zeit kam denn auch Herr Porphyrio von Ockerodastes aus seinem seidenen Palast hervor und ließ sich von Fräulein Ännchen mit Butterbrot füttern : » Ach , ach , « kicherte Fräulein Ännchen ihm oft ins Ohr , » ach , ach , wenn Papa wüßte , daß Sie eigentlich ein König sind , bester Corduanspitz .« – Herr Dapsul seufzte einigemal hintereinander	497	28	62357-Hoffmann__E__T__A_.tsv
XY	VVFIN		VVFIN	ach		Um diese Zeit kam denn auch Herr Porphyrio von Ockerodastes aus seinem seidenen Palast hervor und ließ sich von Fräulein Ännchen mit Butterbrot füttern : » Ach , ach , « kicherte Fräulein Ännchen ihm oft ins Ohr , »	ach	, ach , wenn Papa wüßte , daß Sie eigentlich ein König sind , bester Corduanspitz .	ein Herz und eine Seele waren .Um diese Zeit kam denn auch Herr Porphyrio von Ockerodastes aus seinem seidenen Palast hervor und ließ sich von Fräulein Ännchen mit Butterbrot füttern : » Ach , ach , « kicherte Fräulein Ännchen ihm oft ins Ohr , » ach , ach , wenn Papa wüßte , daß Sie eigentlich ein König sind , bester Corduanspitz .« – Herr Dapsul seufzte einigemal hintereinander	497	40	62357-Hoffmann__E__T__A_.tsv
XY	VVFIN		VVFIN	ach		Um diese Zeit kam denn auch Herr Porphyrio von Ockerodastes aus seinem seidenen Palast hervor und ließ sich von Fräulein Ännchen mit Butterbrot füttern : » Ach , ach , « kicherte Fräulein Ännchen ihm oft ins Ohr , » ach ,	ach	, wenn Papa wüßte , daß Sie eigentlich ein König sind , bester Corduanspitz .	ein Herz und eine Seele waren .Um diese Zeit kam denn auch Herr Porphyrio von Ockerodastes aus seinem seidenen Palast hervor und ließ sich von Fräulein Ännchen mit Butterbrot füttern : » Ach , ach , « kicherte Fräulein Ännchen ihm oft ins Ohr , » ach , ach , wenn Papa wüßte , daß Sie eigentlich ein König sind , bester Corduanspitz .« – Herr Dapsul seufzte einigemal hintereinander	497	42	62357-Hoffmann__E__T__A_.tsv
XY	NN		NE	antiochien		Weil er nun in Armenien erfuhr : daß Labienus und Pacor den Römischen Feldhauptmann Saxa geschlagen /	Antiochien	/ Apamea / Jerusalem und gantz Syrien biß auff die Stadt Tyrus / Cilicien biß auff die Stadt Stratonicea eingenommen hatte / und König Artabazes dem Ventidius / welchen Antonius mit Kriegs-Macht in Cilicien schickte / etliche tausend Reuter zusendete / zohe Segimer mit diesen Hülffs-Völckern auch dahin .	für was ärgers als eine Dienstbarkeit .Weil er nun in Armenien erfuhr : daß Labienus und Pacor den Römischen Feldhauptmann Saxa geschlagen / Antiochien / Apamea / Jerusalem und gantz Syrien biß auff die Stadt Tyrus / Cilicien biß auff die Stadt Stratonicea eingenommen hatte / und König Artabazes dem Ventidius / welchen Antonius mit Kriegs-Macht in Cilicien schickte / etliche tausend Reuter zusendete / zohe Segimer mit diesen Hülffs-Völckern auch dahin .Hiermit machte er Anstalt : daß Segimer	54643	17	78039-Lohenstein__Daniel_Casper_von.tsv
XY	NE		NE	apamea		Weil er nun in Armenien erfuhr : daß Labienus und Pacor den Römischen Feldhauptmann Saxa geschlagen / Antiochien /	Apamea	/ Jerusalem und gantz Syrien biß auff die Stadt Tyrus / Cilicien biß auff die Stadt Stratonicea eingenommen hatte / und König Artabazes dem Ventidius / welchen Antonius mit Kriegs-Macht in Cilicien schickte / etliche tausend Reuter zusendete / zohe Segimer mit diesen Hülffs-Völckern auch dahin .	für was ärgers als eine Dienstbarkeit .Weil er nun in Armenien erfuhr : daß Labienus und Pacor den Römischen Feldhauptmann Saxa geschlagen / Antiochien / Apamea / Jerusalem und gantz Syrien biß auff die Stadt Tyrus / Cilicien biß auff die Stadt Stratonicea eingenommen hatte / und König Artabazes dem Ventidius / welchen Antonius mit Kriegs-Macht in Cilicien schickte / etliche tausend Reuter zusendete / zohe Segimer mit diesen Hülffs-Völckern auch dahin .Hiermit machte er Anstalt : daß Segimer	54643	19	78039-Lohenstein__Daniel_Casper_von.tsv
XY	VVFIN		NE	biet		Argus hett hundert augen zum sehen , aber hundert hend muß ein Keller und Haußknecht haben , wie Briareus , auff das er unauffhörlich unnd unermüdet zäpff , schöpft , gewinn , hol , trag , ketsch ,	biet	, stell , giß , schenck , füll .	und unser äugen vor übernächtlichen schlaf .Argus hett hundert augen zum sehen , aber hundert hend muß ein Keller und Haußknecht haben , wie Briareus , auff das er unauffhörlich unnd unermüdet zäpff , schöpft , gewinn , hol , trag , ketsch , biet , stell , giß , schenck , füll .Trinck allzeit vor dem durst : so	358	38	25786-Fischart__Johann.tsv
