DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
$,	$,		$,	,		Kehrte Siegmund Faber zurück , dann lag es mir ob , mich , nicht sie	,	vor einem wahrhaftigen Ehrenmanne zu entschuldigen .	War sie meine Schwester , meinesgleichen ?Kehrte Siegmund Faber zurück , dann lag es mir ob , mich , nicht sie , vor einem wahrhaftigen Ehrenmanne zu entschuldigen .Schämte sie sich nicht , als Braut	1028	15	26910-Fran_ois__Louise_von.tsv
$,	$,		$,	,		– Aber wo ist Signor Formica	,	wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .	hätt' ich meinen wahnsinnigen Anschlag ausgeführt .– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .– Fern sei es von mir ,	387	6	62350-Hoffmann__E__T__A_.tsv
$,	$,		$,	,		– Aber wo ist Signor Formica , wo ist mein würdiger Arzt	,	daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .	hätt' ich meinen wahnsinnigen Anschlag ausgeführt .– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .– Fern sei es von mir ,	387	12	62350-Hoffmann__E__T__A_.tsv
$,	$,		$,	,		– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke	,	die nur er vollbracht .	hätt' ich meinen wahnsinnigen Anschlag ausgeführt .– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .– Fern sei es von mir ,	387	21	62350-Hoffmann__E__T__A_.tsv
$,	$,		$,	,		Quid est – Es verdroß mich	,	daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	6	62295-Hippel__Theodor_Gottlieb_von.tsv
$,	$,		$,	,		Quid est – Es verdroß mich , daß ich in einem fremden Lande	,	wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	13	62295-Hippel__Theodor_Gottlieb_von.tsv
$,	$,		$,	,		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und	,	im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	19	62295-Hippel__Theodor_Gottlieb_von.tsv
$,	$,		$,	,		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth	,	mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	24	62295-Hippel__Theodor_Gottlieb_von.tsv
$,	$,		$,	,		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war	,	und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	32	62295-Hippel__Theodor_Gottlieb_von.tsv
$,	$,		$,	,		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging	,	ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	39	62295-Hippel__Theodor_Gottlieb_von.tsv
$,	$,		$,	,		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke	,	durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	50	62295-Hippel__Theodor_Gottlieb_von.tsv
$,	$,		$,	,		Will er	,	daß sie gelöst werden soll durch dich , so wird es geschehen .	hinaufgeführt in den Himmelssaal der Christen .Will er , daß sie gelöst werden soll durch dich , so wird es geschehen .Aber vergiß nicht , daß das Weib	8963	2	27046-Freytag__Gustav.tsv
$,	$,		$,	,		Will er , daß sie gelöst werden soll durch dich	,	so wird es geschehen .	hinaufgeführt in den Himmelssaal der Christen .Will er , daß sie gelöst werden soll durch dich , so wird es geschehen .Aber vergiß nicht , daß das Weib	8963	10	27046-Freytag__Gustav.tsv
$,	$,		$,	,		– Ei	,	lieber Alter , Ihr lebt also noch ?	jetzt und rief aus : Ei !– Ei , lieber Alter , Ihr lebt also noch ?rief er aus ; Du lügst !	1196	2	104913-Tieck__Ludwig.tsv
$,	$,		$,	,		– Ei , lieber Alter	,	Ihr lebt also noch ?	jetzt und rief aus : Ei !– Ei , lieber Alter , Ihr lebt also noch ?rief er aus ; Du lügst !	1196	5	104913-Tieck__Ludwig.tsv
$,	$,		$,	,		Alt ist die Historie	,	bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .	O wehe , o wehe solchen !Alt ist die Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .Volsäus zu Londen , Albericus zu Prag	3249	4	4-Abraham_a_Sancta_Clara.tsv
$,	$,		$,	,		Alt ist die Historie , bekannt ist die Geschicht '	,	ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .	O wehe , o wehe solchen !Alt ist die Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .Volsäus zu Londen , Albericus zu Prag	3249	10	4-Abraham_a_Sancta_Clara.tsv
$,	$,		$,	,		Alt ist die Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit	,	welche sich mit dem guten Alt-Vater Noe zugetragen .	O wehe , o wehe solchen !Alt ist die Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .Volsäus zu Londen , Albericus zu Prag	3249	15	4-Abraham_a_Sancta_Clara.tsv
$,	$,		$,	,		Und gerade in diesem Augenblicke	,	wo ich seiner nicht dachte , fielen meine Augen auf Tilling .	Warum läßt sich Tilling nicht sehen ?Und gerade in diesem Augenblicke , wo ich seiner nicht dachte , fielen meine Augen auf Tilling .Ich war doch froh , gekommen zu	4663	5	102345-Suttner__Bertha_von.tsv
$,	$,		$,	,		Und gerade in diesem Augenblicke , wo ich seiner nicht dachte	,	fielen meine Augen auf Tilling .	Warum läßt sich Tilling nicht sehen ?Und gerade in diesem Augenblicke , wo ich seiner nicht dachte , fielen meine Augen auf Tilling .Ich war doch froh , gekommen zu	4663	11	102345-Suttner__Bertha_von.tsv
$,	$,		$,	,		Es wurde sogar das Gerücht verbreitet	,	die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .	römischen Vergangenheit und des römischen Ruhmes .Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .« Inzwischen fuhren die Soldaten , unterstützt	4656	6	98460-Sienkiewicz__Henryk.tsv
$,	$,		$,	,		Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder	,	nicht um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .	römischen Vergangenheit und des römischen Ruhmes .Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .« Inzwischen fuhren die Soldaten , unterstützt	4656	13	98460-Sienkiewicz__Henryk.tsv
$,	$,		$,	,		Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun	,	sondern um nichts von der Stadt übrig zu lassen .	römischen Vergangenheit und des römischen Ruhmes .Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .« Inzwischen fuhren die Soldaten , unterstützt	4656	21	98460-Sienkiewicz__Henryk.tsv
$,	$,		$,	,		Es war doch alles mögliche	,	was diese Lena erreicht hatte , und eine gute Portion Fleiss und Tüchtigkeit gehörte bei allem Glück dazu , es so weit zu bringen .	wenigen Monaten in Berlin schon gelernt .Es war doch alles mögliche , was diese Lena erreicht hatte , und eine gute Portion Fleiss und Tüchtigkeit gehörte bei allem Glück dazu , es so weit zu bringen .« wandte Lotte schüchtern ein .	1754	5	23055-Duncker__Dora.tsv
