DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPRART	APPRART		APPRART	am		12 Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die	am	Hofe des Gefengnis woneten .	Geld dar / auff einer wage .12 Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .DA merckt ich / das des HERRN	3953	32	78101-Luther__Martin.tsv
APPRART	APPRART		APPRART	am		» › Die Sonne bleibt	am	Himmelszelt !	eigenes Kind zu Ehren zu ziehen .» › Die Sonne bleibt am Himmelszelt !« Es handelt sich , soviel entwirrbar	2285	5	66066-Keller__Gottfried.tsv
APPRART	APPRART		APPRART	am		Dann hielt er inne und ließ seiner Wirthin damit zu der Frage Zeit , ob Vittoria's Eltern noch	am	Leben wären und wo und wie sein Vater sie kennen gelernt habe .	keinen besseren Freund , als sie !Dann hielt er inne und ließ seiner Wirthin damit zu der Frage Zeit , ob Vittoria's Eltern noch am Leben wären und wo und wie sein Vater sie kennen gelernt habe .Sie sehnte sich , seinen Blick zu	3360	18	73679-Lewald__Fanny.tsv
APPRART	APPRART		APPRART	am		In meinen Ohren sauste und hämmerte das Blut , und der Schmerz würgte mich	am	Halse , daß ich Mühe hatte , die Tränen zu verbeißen .	Bier oder Most in gutem Gsund .In meinen Ohren sauste und hämmerte das Blut , und der Schmerz würgte mich am Halse , daß ich Mühe hatte , die Tränen zu verbeißen .Mocht wohl schon bald seine hundert Jahr	1118	14	18351-Christ__Lena.tsv
APPRART	APPRART		APPRART	am		Im Hause herrschte die größte Thätigkeit , da Rosa beschlossen hatte ,	am	nächsten Abend zur Feier des fürstlichen Geburtsfestes einen der glänzendsten Bälle zu geben , der jemals die Zungen der Klatschsüchtigen mochte beschäftigt haben .	sich mit dem Scheine der Ehrbarkeit .Im Hause herrschte die größte Thätigkeit , da Rosa beschlossen hatte , am nächsten Abend zur Feier des fürstlichen Geburtsfestes einen der glänzendsten Bälle zu geben , der jemals die Zungen der Klatschsüchtigen mochte beschäftigt haben .* * den 5t April 18 –	2573	12	15087-Bruckbr_u__Friedrich_Wilhelm.tsv
APPRART	APPRART		APPRART	am		Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und daß es mir	am	Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .	war , ein Ehemann zu werden .Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .» Ich werde dann an weiter nichts	4802	26	22325-Dickens__Charles.tsv
APPRART	APPRART		APPRART	beim		« Und es reißt der Räuberhauptmann den Schlüsselbund aus Hermanns Hand und macht sich damit rasselnd	beim	Brette zu schaffen .	Weshalb hält mr den gfange ?« Und es reißt der Räuberhauptmann den Schlüsselbund aus Hermanns Hand und macht sich damit rasselnd beim Brette zu schaffen .Waas ischt mit dem ?	8400	16	110544-Wille__Bruno.tsv
APPRART	APPRART		APPRART	im			Im	Hause herrschte die größte Thätigkeit , da Rosa beschlossen hatte , am nächsten Abend zur Feier des fürstlichen Geburtsfestes einen der glänzendsten Bälle zu geben , der jemals die Zungen der Klatschsüchtigen mochte beschäftigt haben .	sich mit dem Scheine der Ehrbarkeit .Im Hause herrschte die größte Thätigkeit , da Rosa beschlossen hatte , am nächsten Abend zur Feier des fürstlichen Geburtsfestes einen der glänzendsten Bälle zu geben , der jemals die Zungen der Klatschsüchtigen mochte beschäftigt haben .* * den 5t April 18 –	2573	0	15087-Bruckbr_u__Friedrich_Wilhelm.tsv
APPRART	APPRART		APPRART	im		12 Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die	im	Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .	Geld dar / auff einer wage .12 Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .DA merckt ich / das des HERRN	3953	23	78101-Luther__Martin.tsv
APPRART	APPRART		APPRART	im		Er benahm sich wie einer , der nicht gehört haben will , und sagte : » Willst du für deinen Buben das Erbgut aufrecht halten , so mußt du für ihn zur Holdenwehr	im	Winter einen Ersatzmann stellen .	Der Heiner macht schon alles .Er benahm sich wie einer , der nicht gehört haben will , und sagte : » Willst du für deinen Buben das Erbgut aufrecht halten , so mußt du für ihn zur Holdenwehr im Winter einen Ersatzmann stellen .Da geh mit dem Jakob vom Käser	4783	33	27055-Ganghofer__Ludwig.tsv
APPRART	APPRART		APPRART	im		Bald nach meiner Zurückkunft nach Milet gerieth ich auf den Einfall , das berühmte allegorische Mährchen vom Prodikus , den Hercules auf dem Scheidewege , in zwei Seitenstücken zu malen ; so daß Lais in dem einen die Tugend , in dem andern die Wollust vorstellt , und ( wie du bereits errathen hast ) der junge Göttersohn	im	einen der Erstern , im andern ihrer reizenden Gegnerin die Hand reicht .	er nicht sehr lange ausdauern könnte .Bald nach meiner Zurückkunft nach Milet gerieth ich auf den Einfall , das berühmte allegorische Mährchen vom Prodikus , den Hercules auf dem Scheidewege , in zwei Seitenstücken zu malen ; so daß Lais in dem einen die Tugend , in dem andern die Wollust vorstellt , und ( wie du bereits errathen hast ) der junge Göttersohn im einen der Erstern , im andern ihrer reizenden Gegnerin die Hand reicht .Du weißt , in welchem Grade die	6108	58	110273-Wieland__Christoph_Martin.tsv
